id,type,platform,hurricane,days_from_landfall,source,author,created_date,text
phi_deb_July31_1,post,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,FORECAST | Good morning! Mostly cloudy and dry this morning. Sct'd storms return this afternoon with highs in the 90s. Coverage looks to be around 40-60% which is typical for this time of year.
phi_deb_July31_2,post,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"Wednesday Tropical Thoughts:
1. Euro still brings a weak system in the Bahamas and skirts it along the East coast of Florida. Little impact to our area with this scenario. 
2. GFS (American model) is still the wild card. (And the outlier). It goes in the Eastern Gulf and would bring squally weather to the West coast of Florida over the weekend and early next week. 
3. The wave seems to be getting better organized today while the NHC still has it at a 60% chance of developing. 
4. The Orange hatched area still covers Florida but is leaning East coast track. So am I. 
5. 🐢"
phi_deb_July31_3,post,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,Cool shot of lightning strike and developing funnel cloud in Hudson Tuesday night. 📸 Debbie Mick Kolbrick
phi_deb_July31_4,post,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,12z Euro now trending a ragged system more to the West. Keeps a pretty sloppy low impacting Florida late in the weekend. Models will continue to flip flop for another day or 2. LOTS of different possibilities in play. Tonight would be a great night to check out DPL at 7:30.
phi_deb_July31_5,post,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"Wednesday Tropical Thoughts:
1. The latest Euro is showing more of a West track. Remember, the ""windshield wiper"" effect often shows models will flip flop every 6 hours. However, our general rule of thumb is that the weaker a system is, the more West it will go. This is expected to stay weak for several days, so a little more West makes sense. 
2. Florida impacts from the Bay Area Southward is rain on Sunday and Monday. If it's a depression or a weak TS (Debby), maybe some breezy weather as well.  
3. Areas North (as we mentioned a few days ago) have a bit more of an opportunity for development IF the system would stay far enough offshore and tap that very warm Gulf water. So I would say the Northern Gulf coast needs to keep a bit closer eye on this.  
4. Based on the current thinking, the rain is never a bad thing for Florida.  So much going against development with dry air and land, but that very warm water is obviously the biggest wild card. 
5. Nothing to freak out about. We need the rain...we're gonna get some Sunday and Monday. 
6. Again, this is only the beginning of the season. We will be dealing with these type of systems for the next 3 months. There is nothing ominous about this one. Make your plans and keep an eye on things in case they change. 
7. 🐢 Rule #7  Don't freak out until I do, we're fine."
phi_deb_July31_6,post,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"Important Tropical Update. Debby on the way?
Things are starting to come together...so is our ""Orange Blob"". Looks like Florida will get some rain from it, maybe a good bit. Let's talk about it. That's right now on DPL."
phi_deb_July31_7,post,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"Hurricane season is cranking up!  All NEW Rule #7 logos. Tees, Tanks, Hoodies, Hats and more.  Lots of new colors including your favorite teams. Just click on the link. Proceeds benefit Children's Miracle Network and other local charities. 
Clothing Link:
https://rule-7-stuff-2.creator-spring.com/.../blue-and...
Cups, Mugs and Tumblers Link:
Rule7shop.etsy.com"
phi_deb_July31_8,post,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,Models are coming together. Here are my Wednesday evening thoughts on our developing tropical system. [VIDEO]
phi_deb_July31_9,post,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,[VIDEO]
phi_deb_Aug1_1,post,facebook,Debby,-4,phillips,Denis Phillips,2024-08-01,0z models coming in. The Northern Gulf coast needs to keep a close eye on this from the panhandle to NOLA. There's lots of very warm water in the Gulf and that translates to a lot of fuel. Should be able to pinpoint details by Friday. Rainfall amounts could very well be extreme across much of the state. We'll be updating 24/7 as always.
