0z models coming in. The Northern Gulf coast needs to keep a close eye on this from the panhandle to NOLA. There's lots of very warm water in the Gulf and that translates to a lot of fuel. Should be able to pinpoint details by Friday. Rainfall amounts could very well be extreme across much of the state. We'll be updating 24/7 as always.,Pos,Neu,Neg,Compound,Overall Sentiment
Current rain prediction amounts are crazy,0.0,0.676,0.324,-0.34,NEG
is that showing 7 inches for Pinellas?,0.0,1.0,0.0,0.0,NEU
“thats what she said”,0.0,1.0,0.0,0.0,NEU
and we are soaked already!! Especially Largo/Clearwater.,0.0,1.0,0.0,0.0,NEU
Remember that old saying people - be careful what you wish for 'cause you just might get it.,0.223,0.777,0.0,0.5106,POS
"Will I be able to take my lemur for a walk at about 6:28pm, Sunday, August 4th?
He doesn't like rain at all.",0.0,0.905,0.095,-0.2755,NEG
we are flying in from the UK on Saturday afternoon! Will we see any sun?,0.0,1.0,0.0,0.0,NEU
I guess Mr Good and Handsome is going to have to use his box.,0.357,0.643,0.0,0.7269,POS
how’s it looking for Saturday Aug 3? Still ok for inside event in Pasco around 4pm?,0.146,0.854,0.0,0.3736,POS
"I’ll take this one
Ang 💯 % it won’t rain inside",0.0,1.0,0.0,0.0,NEU
"Was gonna ask the same about my goldfish. Gotta ask 'em every year, but not usually this early. Denny doesn't like being stuck in the house. I'll have to get him a treadmill.",0.061,0.863,0.077,-0.1419,NEG
the things we do for love,0.457,0.543,0.0,0.6369,POS
gold fish can go for walks this time of year 🤣,0.0,1.0,0.0,0.0,NEU
your stealing my bits!!!,0.0,0.396,0.604,-0.6784,NEG
Do you sleep during hurricane season?,0.0,1.0,0.0,0.0,NEU
"until there is an actual depression/hurricane to track, nobody knows. As of now, it is still a ""maybe"".",0.0,1.0,0.0,0.0,NEU
thank you for all you do!,0.358,0.642,0.0,0.4199,POS
I have moved to Marion County but I still watch you for the weather. You are THE BEST!! I'm also a Dr. Pepper fan.,0.354,0.646,0.0,0.9088,POS
How much rain do you think Marion County will get?,0.0,1.0,0.0,0.0,NEU
denis and the word sleep or the action itself don’t know each other during hurricane. Season 😂😂,0.0,1.0,0.0,0.0,NEU
"Denis, go to bed!",0.0,1.0,0.0,0.0,NEU
Flying to London out of Tampa next Thursday … should I be concerned?,0.0,1.0,0.0,0.0,NEU
Hahaha short answer! I think sleep is overrated!!!,0.443,0.557,0.0,0.6973,POS
ty!,1.0,0.0,0.0,0.4389,POS
is Ryan going to be a future meteorologist? 😊,0.0,1.0,0.0,0.0,NEU
She’s got your genes!😂,0.0,1.0,0.0,0.0,NEU
yay Ryan,0.773,0.227,0.0,0.5267,POS
Where are they saying it's stopping and dropping a bunch of extra rain? Worried about Oldsmar. RE Olds Park surges bad.,0.0,0.7,0.3,-0.743,NEG
"my husband is flying out of Tampa on early Sun morning, does this look to be a problem for that?",0.0,0.87,0.13,-0.4019,NEG
"ok, when there's bad surge. Always check RE Olds Park.",0.161,0.584,0.255,-0.3182,NEG
"I thought this was nothing to worry about? Or are you saying just heavy rain? I'm up all night, I'll keep you company 😄",0.116,0.884,0.0,0.4149,POS
Soooooo if you’re flying back to Tampa a Wednesday from a European vacay- plan b huh??,0.0,1.0,0.0,0.0,NEU
we're in Hernando Cnty,0.0,1.0,0.0,0.0,NEU
I'm in Brooksville Denis Phillips. How's that looking,0.0,1.0,0.0,0.0,NEU
Also would like to know the Hernando speculation on this because yikes o.o,0.163,0.719,0.118,0.1779,POS
our sunset cruise.,0.0,1.0,0.0,0.0,NEU
"he said Sunday rain",0.0,1.0,0.0,0.0,NEU
"We’re heading out on the Islander Sunday from Tampa…Key West to Cozumel. I was hoping the GFS didn’t score a coup on the other models but it’s looking that way.
Think we’ll be able to sneak out to Key West or Cozumel before she starts cranking up?",0.041,0.959,0.0,0.2263,POS
the real question is where did you visit? 😂,0.0,1.0,0.0,0.0,NEU
Flying into Orlando for Disney from the UK on Monday evening. Any idea how this will effect that please Denis Phillips? Thanks ☺️,0.198,0.802,0.0,0.6369,POS
"Denis, hubby has an outside band gig Saturday afternoon in Sarasota, yes or no?",0.16,0.71,0.13,0.128,POS
thanks so much for replying. Really appreciate it. We’re from Wales so used to lots of rain 😂,0.282,0.718,0.0,0.7089,POS
how do you keep up with all of us so fast? You’re just amazing. Thanks for being our weather expert!,0.28,0.72,0.0,0.7901,POS
"It kills me when people ask about travel plans. It’s ALWAYS a gamble when traveling during storm and hurricane season. Be prepared for flight delays and cancellations no matter what, especially considering we’ve had storms almost daily this summer.",0.07,0.796,0.133,-0.5719,NEG
I agree ! Moving my son into his dorm in August in Florida and from August till about October it’s a nail biter traveling down and then leaving him there 🫤,0.097,0.903,0.0,0.4199,POS
"That’s why we do our traveling end of September-July , August through mid September is when you stay home.",0.0,1.0,0.0,0.0,NEU
I'm already tired of it and season just started.,0.0,0.734,0.266,-0.4404,NEG
should I visit next week 🤣🤣,0.0,1.0,0.0,0.0,NEU
Agree 100%. There's a reason travel to the tropics and subtropics is cheaper this time of year.,0.143,0.857,0.0,0.3612,POS
I agree! A person needs to make their own decisions based on what’s best for them. Don’t rely on Facebook to tell you what to do. 🤦🏼‍♀️,0.233,0.767,0.0,0.7901,POS
hell it’s a gamble anytime,0.0,0.395,0.605,-0.6808,NEG
Being a teacher and going back to work tomorrow with the storm brewing is definitely making it a interesting start to a new year,0.221,0.779,0.0,0.6597,POS
Slowest moving wave in history. Gesh,0.0,1.0,0.0,0.0,NEU
exactly. We have been watching this blob for weeks.,0.0,1.0,0.0,0.0,NEU
I agree 💯,1.0,0.0,0.0,0.3612,POS
that’s what bothers me. Those can become monsters.,0.0,0.795,0.205,-0.2023,NEG
gives everyone more time to get ready.,0.294,0.706,0.0,0.3612,POS
