"Lots to decipher. Hope to see you tonight on ABC Action News - WFTS - Tampa Bay and on DPL at 7:30. (No, I don't know if your flight is cancelled yet) 🤣",Pos,Neu,Neg,Compound,Overall Sentiment
Is it gonna rain at my house at 10:15 am on Saturday 😂😂😂😂😂😂😂😂😂😂😂,0.0,1.0,0.0,0.0,NEU
10:27,0.0,1.0,0.0,0.0,NEU
awesome thank you. I’ll turn my sprinklers off at 10:29 then. 😂😂,0.398,0.602,0.0,0.765,POS
Is my picnic on October 2nd canceled due to heat lightning? 😏😏😏,0.0,1.0,0.0,0.0,NEU
imma hold you to that. Be back on the 1st,0.0,1.0,0.0,0.0,NEU
I make a mean cocktail. 🍸,0.0,1.0,0.0,0.0,NEU
well that’s my birthday so you better have a backup plan for the party you are now hosting! 😂😂😂,0.355,0.645,0.0,0.8058,POS
the more the merrier right? 😂😂,0.373,0.627,0.0,0.4549,POS
yes!,1.0,0.0,0.0,0.4574,POS
My bet is that this thing swings further west and we don't see a drop rain.,0.115,0.885,0.0,0.2057,POS
you just bursted my bubble. I’m coming for the week next week and only want 1 day of sunshine ☀️. I see enough of rain and snow here in WV 😂😂,0.143,0.857,0.0,0.5423,POS
"Catastrophic like 10+ inches, or 4-7 inch rain?",0.214,0.513,0.274,-0.1779,NEG
I live in Largo so we'll see if there's rain (the infamous Largo bubble) 🤣🤣,0.0,1.0,0.0,0.0,NEU
I'm for that scenario. Maybe Mississippi needs some rain?,0.0,1.0,0.0,0.0,NEU
Boo 🙁 I’m supposed to drive down to Key west for the weekend 😭,0.0,1.0,0.0,0.0,NEU
"Remember what the teacher caught us, hands at 10 and 2 on the wheel",0.0,1.0,0.0,0.0,NEU
I haven’t been following Denis long enough to know what happens once rule number 7 is no longer in effect but we’re almost at that point!. Cuba is punching air right now but that should slow it down for us right? What’s the thought on strength level if it brushes up close to the Bay??,0.109,0.864,0.028,0.689,POS
do you anticipate flood/evac mandates? I work for a nursing facility on the water and would rather be prepared than not 😭 asking for a friend! Lol,0.181,0.724,0.095,0.3322,POS
Rule #8. Don't freak out until Jim Cantore shows up 😎,0.211,0.789,0.0,0.3412,POS
Rule 7..Don't freak out until Dennis tells you to freak out,0.348,0.652,0.0,0.5875,POS
Changed my 3:30 pm flight to 7 am Sunday Boston to Tampa.,0.0,1.0,0.0,0.0,NEU
"good choice",0.744,0.256,0.0,0.4404,POS
UK to Orlando Thursday 8th … are we ok? 🫶😂,0.216,0.784,0.0,0.296,POS
ahh thank you for replying 🥰,0.385,0.615,0.0,0.3612,POS
same here! 🤞🏻,0.0,1.0,0.0,0.0,NEU
"Manchester?",0.0,1.0,0.0,0.0,NEU
"Gatwick for us",0.0,1.0,0.0,0.0,NEU
"Denis, can I eat a piece of cheese Sunday, yes or no?",0.209,0.62,0.171,0.128,POS
right. You know all the questions are coming 🤣🤣😂😂,0.0,1.0,0.0,0.0,NEU
"Priceless, lmao!! 100% chance of cheese...being delivered by a turtle, lol.",0.57,0.43,0.0,0.8513,POS
so condensending.,0.0,1.0,0.0,0.0,NEU
Obly at precisely 5:17pm and wash it down with Diet Dr Pepper.,0.0,1.0,0.0,0.0,NEU
What about cursing to Bahamas tomorrow,0.0,1.0,0.0,0.0,NEU
you’re welcome to curse the whole way there!,0.235,0.469,0.296,-0.2003,NEG
"If I'm in a Zone A area, would it be prudent to reschedule my young child's major surgery with a hefty recovery that is scheduled for tomorrow? It freaks me out to think of having to do the recovery process with no electricity and the special diet. (Yes, I know I'm being paranoid... 😅)",0.051,0.882,0.068,0.0258,NEU
thank you - you're the best!,0.7,0.3,0.0,0.7901,POS
stop bothering people,0.0,0.172,0.828,-0.5859,NEG
