"Tropic Alert!  Debby on the way??
We've got a lot to talk about. Tracking what could be Debby in the Gulf later this weekend.   That's right now on DPL.",Pos,Neu,Neg,Compound,Overall Sentiment
So could it be a hurricane or just a tropical storm ? Confusion,0.0,0.804,0.196,-0.296,NEG
shouldnt my husband have the yard cut by Saturday 🤣🤣🤣🤣,0.0,0.811,0.189,-0.2732,NEG
I vote yes. 😆,0.73,0.27,0.0,0.4019,POS
I told mine the same 😂,0.0,1.0,0.0,0.0,NEU
Ladies I do fear the professional might have to chime in to truly seal the deal 🤝🏼 Denis Phillips what say you??? 🙂‍↕️🙂‍↕️🙂‍↕️🙂‍↕️,0.109,0.751,0.14,-0.212,NEG
Is the area from Venice to Ft Meyers supposed to get less rain than above Tampa?,0.0,1.0,0.0,0.0,NEU
that's what I'm here to see.,0.0,1.0,0.0,0.0,NEU
Ragged nothing burger! You're awesome,0.0,0.527,0.473,-0.5553,NEG
"I just realized that there was another tropical storm, Debbie/ or Debra about 6-7years ago that flooded Pinellas county I wonder how similar this one will be.",0.0,1.0,0.0,0.0,NEU
yes that was TS Debby in 2012 . We flooded twice with the tides. Hopefully she’s mellowed since then.,0.252,0.748,0.0,0.6597,POS
Who’s hosting the best party!?,0.529,0.471,0.0,0.6696,POS
that would be you!,0.0,1.0,0.0,0.0,NEU
Yes!!!!,0.0,1.0,0.0,0.0,NEU
I like sciency. 🙂 like learning how it all works.,0.455,0.545,0.0,0.6124,POS
Disney sunday - friday next week,0.0,1.0,0.0,0.0,NEU
"Should be fine",0.474,0.526,0.0,0.2023,POS
Going to St Pete Beach for the week. Should we stay put in Brooksville instead of staying on the beach?,0.0,1.0,0.0,0.0,NEU
Woo water wings weather!,0.531,0.469,0.0,0.5255,POS
Next Sunday? Or this coming Sunday?,0.0,1.0,0.0,0.0,NEU
This,0.0,1.0,0.0,0.0,NEU
How the rain will be Monday for Tampa? I’m trying to get out of a training 😅,0.0,1.0,0.0,0.0,NEU
I think it’s only fair to cancel the last week of anything before school starts. 🤣,0.141,0.736,0.123,0.0772,POS
"My kids birthday party is Saturday afternoon, has he gone over the afternoon forecast for Saturday 😏🫠",0.144,0.856,0.0,0.4019,POS
How will weather be in Clearwater on Saturday night? Got an outdoor concert,0.0,1.0,0.0,0.0,NEU
Protect st Pete at all costs 😭💜,0.302,0.698,0.0,0.3818,POS
"Dangit, now I have to do yard work tomorrow.",0.0,1.0,0.0,0.0,NEU
"We live in the big bend area. We’re so appreciative of your forecast, it’s all I trust! Thank you for what you do",0.36,0.64,0.0,0.8936,POS
"How long will this “storm, depression, hurricane “ last …. Do we know haha",0.169,0.621,0.209,-0.1779,NEG
Could this create a similar draining effect in the gulf like the one last year?,0.277,0.723,0.0,0.5574,POS
How would flying out of Dominic Republic tomorrow to Miami,0.0,1.0,0.0,0.0,NEU
"up, then over, followed by a landing",0.0,1.0,0.0,0.0,NEU
When does the tropical depression/storm clear????,0.0,1.0,0.0,0.0,NEU
Thank you 🙏🏼 I would like to know same thing when can we stop worrying,0.255,0.51,0.235,0.1027,POS
Any idea about wind?,0.0,1.0,0.0,0.0,NEU
How will it be in Miami Saturday and Sunday,0.0,1.0,0.0,0.0,NEU
Obviously Dennis knows more than the airports and seaports.,0.0,1.0,0.0,0.0,NEU
I think he actually does….,0.0,1.0,0.0,0.0,NEU
"Denis, should the panhandle (Panama city area) be concerned and preparing right now?",0.0,1.0,0.0,0.0,NEU
Will there be a chance of seeing a shark on Bayshore?,0.2,0.8,0.0,0.25,POS
Just the Milfs,0.0,1.0,0.0,0.0,NEU
