🐢,Pos,Neu,Neg,Compound,Overall Sentiment
I missed the live. When will it be accessible to view?,0.0,0.804,0.196,-0.296,NEG
"helps to press the play button 🤣. Thx.",0.6,0.4,0.0,0.7579,POS
"I’m traumatized from Idalia so now I guess I panic early on 🤣",0.0,0.561,0.439,-0.7402,NEG
me to my house caught on fire right a few hours before the hurricane came last year,0.0,0.862,0.138,-0.34,NEG
amen 😭,0.0,1.0,0.0,0.0,NEU
"same 🤣",0.0,1.0,0.0,0.0,NEU
Rule #7,0.0,1.0,0.0,0.0,NEU
I live right where the last big one made landfall lol bad anxiety now,0.156,0.556,0.289,-0.34,NEG
"Your anxiety is understandable. Have you guys managed to recover? My grandparents were in Michael. They were 40 mile inland, surrounded by trees. The trees protected the house, but so many fell they couldn't leave",0.087,0.876,0.037,0.2076,POS
"we have. Our roof just finally got fixed yesterday. The roof to the front porch was torn and when it flew back it ripped up some metal from our roof. So the front porch got fixed this past week and a new roof over it as well. Finally got everything fixed and had so much trees down, but thankfully the Samaritans Purse group that was here cleaned up the down trees for us.",0.069,0.911,0.02,0.5789,POS
Idalia was awful. So much coastal flooding,0.0,0.667,0.333,-0.4588,NEG
"really was and I live in Keaton where it made landfall. Had to mandatory evacuate and everything had so much major anxiety about losing everything. I’m about 7 mins from the beach itself. Our roof JUST got fixed yesterday, finally.",0.032,0.857,0.112,-0.5046,NEG
Same,0.0,1.0,0.0,0.0,NEU
"Ok. I’m from the Chicago suburbs. I follow the amazing Illinois Storm Chasers for updates on our weather here. As you probably know - we get very interesting weather here 🤣
I started following you from advice from family I have in FL as we are due to fly out of O’Hare tomorrow at 7 a.m. to Orlando, ultimately traveling to Port Canaveral & on a cruise Sunday-Sat.
Your reports, page, & merchandise for charity is so down to Earth & dare I say “fun”? (I am a science teacher too, so I find this interesting).
I will continue following your reports even after our trip. When we are under 25” of snow or getting pummeled by rain/tornados/derechos I’ll remember my FL times by watching your reports.
Right now we are all about Rule #7 ❤️
🐢",0.091,0.909,0.0,0.8955,POS
"why are you on here???? 😡",0.0,1.0,0.0,0.0,NEU
"maybe you didn’t read my entire post?
I posted because I’m going to FL and I have family there that said he’s the best to help us monitor the weather.
All I was giving was compliments to a very respected meteorologist for the FL area.
Hopefully all is well in your life-blessings.",0.33,0.67,0.0,0.9595,POS
one could ask you the same...?,0.0,1.0,0.0,0.0,NEU
You were awesome on DPL at answering questions even the ones you asked not to be asked!,0.215,0.785,0.0,0.6588,POS
"Denis, please remember citrus county is considered part of the big bend area. So when you tell your viewers our area south, not to worry. Your loyal citrus county viewers need a heads up as well. Thank you for the excellent job you do. You are my go to storm guru ☺️☺️",0.264,0.736,0.0,0.9338,POS
"I agree with you on that!",0.411,0.589,0.0,0.4199,POS
🍻🐢🍻,0.0,1.0,0.0,0.0,NEU
cheers 🍻,1.0,0.0,0.0,0.4767,POS
"Hopefully we don't get much! Florida Gov. Ron DeSantis declared a state of emergency for 54 of the state's 67 counties in anticipation of what could be the first major storm of the hurricane season, with the potential to cause weekslong river flooding,",0.095,0.848,0.057,0.2003,POS
"The slower the better, for me at least. I am supposed to be moving this weekend 🤞",0.172,0.828,0.0,0.4404,POS
slow is not good! More time to develop & energize — dumps much more rain.,0.168,0.541,0.292,-0.3178,NEG
"Yeah, yeah I know. I am trying to move on Sunday. Not an option to do so sooner than that. If this can push out to Monday it can rain all it wants without ruining thousands of dollars of my belongings that would be great for ME. I would not be worried about this system at all if I was not moving house.",0.183,0.817,0.0,0.8787,POS
"same here",0.0,1.0,0.0,0.0,NEU
"I’m thankful for the turtle lolol",0.425,0.575,0.0,0.5719,POS
#IYKYK 😆,0.0,1.0,0.0,0.0,NEU
Listen a kid or two of mine are rooting for the turtle to cross the finish line aug 12 which happens to be 1st day of school 🤣,0.0,1.0,0.0,0.0,NEU
We love our Denis!! We feel safer knowing he’s around during this time of year. He gets us through it.,0.296,0.704,0.0,0.8217,POS
"I'm on a fishing trip in Islamorada, so the slower the better. Just trying to make it until Sunday",0.146,0.854,0.0,0.4404,POS
This is another reason why so many love you! Your awesome sense of humor 🙂,0.499,0.501,0.0,0.8994,POS
"Avoidance of a storm… I’m listening to Christmas music, wrapping presents, and drinking wine. 🍷Wine not? Lol 😂",0.0,0.736,0.264,-0.6164,NEG
"if you can handle doing that the first day of August, then you can handle any hurricane that comes to Florida. Wow! Impressive lol",0.327,0.673,0.0,0.8805,POS
I dodn't know why this post makes me laugh so hard but here I am cry laughing... I need to go to bed I think,0.089,0.695,0.216,-0.5078,NEG
Turtle time 🍷,0.0,1.0,0.0,0.0,NEU
"It's hilarious that a turtle got that many likes hahahaha. I know why but still, that's pretty amazing lol",0.585,0.415,0.0,0.9513,POS
As long as it’s out of here but the 15th I’ll be good haha,0.395,0.605,0.0,0.8338,POS
Worried about Crystal river flooding again 😢,0.0,0.694,0.306,-0.296,NEG
New tracks shifted more east closer to Tampa Bay!,0.0,1.0,0.0,0.0,NEU
Still am nervous about this weather,0.0,0.704,0.296,-0.2732,NEG
Lol I love spaghetti,0.875,0.125,0.0,0.7906,POS
Do I need water?,0.0,1.0,0.0,0.0,NEU
"yes. Drink a couple now. If you have to ask, you’re already dehydrated.",0.197,0.803,0.0,0.4019,POS
so fun beverages!!! Whoop whoop! ETA: FB needs A sarcasm font!,0.325,0.546,0.13,0.5942,POS
same page! Love ya!,0.615,0.385,0.0,0.6988,POS
is going to be mostly rain don't go to crazy,0.184,0.816,0.0,0.2584,POS
because that's what it's going to be it's not even expected to develop and if it does it's nothing we haven't seen before it rains everyday it's just going to be more rain at once we will be fine and if you live in Florida you already know to have a stockpile of water we will be fine,0.061,0.939,0.0,0.3818,POS
I was making a joke and trying to be light hearted. That is that why FB needs a sarcasm font! 💕,0.129,0.774,0.098,0.1511,POS
lol ok gotcha they definitely do though,0.658,0.342,0.0,0.7717,POS
"always nice to have extra, even if you don’t need it this time, save for next 🩶",0.3,0.7,0.0,0.7184,POS
"all the time i pick up 16 hours to work lol",0.237,0.763,0.0,0.4215,POS
urGoh is ready,0.556,0.444,0.0,0.3612,POS
I think it's a drunk turtle.,0.0,0.556,0.444,-0.34,NEG
Denis are you sure you can’t tell these people if their flight is going to be canceled 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😂😂😂😂😂😂😂😂😂,0.119,0.881,0.0,0.3182,POS
he should tell everyone that 😆,0.0,1.0,0.0,0.0,NEU
The Coworker by Freida McFadden! 🐢🐢🐢🐢,0.0,1.0,0.0,0.0,NEU
I am bummed. I’m headed to OBX and you won’t be there to keep me calm and safe. We’re to have our motor home right on the shore too.,0.167,0.833,0.0,0.6369,POS
"pack rule #7 in your suitcase",0.0,1.0,0.0,0.0,NEU
I did think about packing my rule #7 cup lol,0.259,0.741,0.0,0.4215,POS
"I feel like this is gonna be in my dreams now..",0.394,0.606,0.0,0.6369,POS
Omg,0.0,1.0,0.0,0.0,NEU
As long as it's not a turtle that hovers over us for what seemed like forever with Ian,0.135,0.865,0.0,0.3612,POS
