Here are my evening thoughts on what will likely become Tropical Storm Debby over the weekend. [VIDEO],Pos,Neu,Neg,Compound,Overall Sentiment
So what you’re saying is buy wine before Sat night…got it. Thank you!!,0.204,0.796,0.0,0.4738,POS
I did yesterday 🙂,0.0,1.0,0.0,0.0,NEU
oh boy I'heading out for some too!!!,0.0,1.0,0.0,0.0,NEU
Thank you! Very helpful.,0.746,0.254,0.0,0.7082,POS
"New to Florida
Hello",0.0,1.0,0.0,0.0,NEU
you’re following the right weather guy 😉👍🏼,0.0,1.0,0.0,0.0,NEU
I am,0.0,1.0,0.0,0.0,NEU
You have no worries… don’t listen to the other weathermen…. Stick with Denis.👍,0.0,0.845,0.155,-0.296,NEG
Don’t panic til he tells you to,0.0,0.645,0.355,-0.5106,NEG
How bad coastal pasco,0.0,0.462,0.538,-0.5423,NEG
Your forecasts are the most accurate than anyone else. The best,0.296,0.704,0.0,0.6369,POS
I still need to mow dang it,0.0,1.0,0.0,0.0,NEU
"People new to Florida.",0.0,1.0,0.0,0.0,NEU
Please answer… my wife and live with my parents so we can take care of them. We live in citrus county.. straight up how bad?,0.232,0.658,0.11,0.4404,POS
how do you want a clear cut answer when it's still so far out,0.244,0.625,0.131,0.2023,POS
"because we've lived here long enough to judge forecasts, it WILL be a hurricane and it will flood a lot of the coast, mostly more northern coast, as for Citrus county, I couldn't begin to suggest yet, depends on if it turns, just be prepared - listen to weather station for your area, do what they say. Hang In!",0.039,0.961,0.0,0.2942,POS
if your theory is true then why bother asking the question,0.197,0.634,0.169,0.1027,POS
"it’s not a hurricane",0.0,1.0,0.0,0.0,NEU
I’m aware of that.,0.0,1.0,0.0,0.0,NEU
"It will be,sheesh, maybe not when it goes by Citrus County, but rest assured, it WILL BE A HURRICANE.",0.16,0.84,0.0,0.5023,POS
you may want to check the dates of posts before replying,0.115,0.885,0.0,0.0772,POS
"be prepared for this H season .. what are your options? Do u know the shelters? Have a generator? Have a small luggage w impt documents..clothes. crate w extra meds, food.water. will u Evacuate north to other relatives or hotels? Do a mock plan NOW. So u are ready IF a big H heads your way before NOV 30.",0.106,0.842,0.052,0.4288,POS
best response ever. STAY READY so you don't have to GET READY👌🏾,0.426,0.574,0.0,0.8143,POS
This is gonna be a long few months.,0.0,1.0,0.0,0.0,NEU
This is not what they are saying,0.0,1.0,0.0,0.0,NEU
Inland it can be a cat. 1. Good morning P. First of all we still have two days to go. Wobble. Wobble. Prayers for all.,0.112,0.888,0.0,0.4404,POS
How cold is it in that studio? I’m sweating just watching this video. 😂,0.0,1.0,0.0,0.0,NEU
How’s Tuesday looking we are flying out of Tampa,0.0,1.0,0.0,0.0,NEU
"interested in the answer to this as well. Daughter and friend are supposed to fly out Tuesday morning. Sounds like mostly a rainmaker, so fingers crossed their flight is fine!",0.344,0.656,0.0,0.8908,POS
it should be far north by then.,0.0,1.0,0.0,0.0,NEU
Good info‼️Thank you👍🏻,0.592,0.408,0.0,0.4404,POS
"You rock.",0.0,1.0,0.0,0.0,NEU
Hoping this will be out amd gone by Thursday,0.259,0.741,0.0,0.4215,POS
"Tuesday for me! Lol fingers crossed!",0.404,0.596,0.0,0.5242,POS
It's foreshadowing. My mom's name is Debby. And we don't get along,0.0,1.0,0.0,0.0,NEU
The best!! Always,0.705,0.295,0.0,0.6988,POS
It shifted all the way east Florida is good now,0.244,0.756,0.0,0.4404,POS
"really?? What does this mean then for Sunday and Monday- just rain?",0.0,1.0,0.0,0.0,NEU
"most likely if any",0.0,1.0,0.0,0.0,NEU
"Thank you Denis for the clear and concise forecast.
This Orlando area resident appreciates it.",0.412,0.588,0.0,0.8126,POS
You’re the best Denis,0.583,0.417,0.0,0.6369,POS
Nothing more than rain.,0.0,1.0,0.0,0.0,NEU
I think were good,0.592,0.408,0.0,0.4404,POS
I hope so just depends on who still wants to go out in storming weather and winds. I hope everyone,0.266,0.734,0.0,0.7003,POS
"I don't think he said storming",0.0,1.0,0.0,0.0,NEU
You are still the best !! Straight forward. Appreciate you greatly,0.54,0.46,0.0,0.855,POS
What a perfect breakdown Thank you!,0.684,0.316,0.0,0.7574,POS
It's the tornadoes I do not like with them.,0.0,0.768,0.232,-0.2755,NEG
Why does the storm have a name already when it's not really developed,0.0,1.0,0.0,0.0,NEU
