"Important Update: 
1. If you missed DPL, I talked about what I call the ""whack-a-mole"" effect. Remember the carnival game? Those little guys pop up all over the place without much notice.  Well, when a disorganized storm is over land, it sometimes tries to form a new center over water...away from the existing one. With Invest 97, this is a possibility. What does that mean?  If a new center forms NORTH of Cuba, it would develop faster and move a bit more to the East. 
2/ I'm not saying it will happen, but I've seen this before. It still won't have much time to develop, but the track could be closer to the Bay area and the impacts would be felt sooner. (Saturday night or Sunday morning)
3. THIS is why you really need to have an actual low center to track...otherwise, it's still guesswork.  So, hopefully, by the morning we will have that and can get a more definitive answer for timing. (And if your flights will be canceled🤣. )
4.  Just throwing that out there so we won't get caught by surprise if a new center forms overnight.  Either way, we'll update you 24/7 as always.  The season is just beginning. It's a marathon, not a sprint. 
5.  Rule #7  Nothing to freak out about...just be prepared and have a plan as always.  🐢",Pos,Neu,Neg,Compound,Overall Sentiment
Or it could redevelop a center to the south,0.0,1.0,0.0,0.0,NEU
"So what I hear you saying is that there will be a Cat 4 storm that hits Tampa at 11:42 pm on Monday? Is that accurate? OK, OK, Just kidding. Please apply rule #7 now and always!",0.254,0.746,0.0,0.8488,POS
maybe tropical storm or cat 1 hurricane,0.0,1.0,0.0,0.0,NEU
Time for me to get my wine...LOL! Thank you for taking care of us Denis! Looking forward to a nice rain! ❤,0.355,0.645,0.0,0.8547,POS
"I thought he said there would be some heat lightning! Who knows! Rule #7 is at play, so I’m not really paying attention yet! 😅",0.13,0.87,0.0,0.5067,POS
well played!,1.0,0.0,0.0,0.5848,POS
Heat Lightning with a 100% chance of Diet Dr Pepper. 😂,0.2,0.8,0.0,0.25,POS
There will be a Cat 4 storm that hits Tampa at 11:42 pm on Monday *AND* your flight is cancelled.,0.0,0.895,0.105,-0.25,NEG
"and bring your poncho for Disney",0.0,1.0,0.0,0.0,NEU
"I think the message is, It's gonna rain..ALOT. lol that's about what there is to know right now. lol",0.259,0.741,0.0,0.6808,POS
what is the recommended “plan” you always talk about? we’d love your planning ideas also 🙂,0.316,0.684,0.0,0.7184,POS
"yeah, exactly my thoughts! Evacuating is tricky timing. And, lots more prep. I lived in flood zone (Ruskin on the water)for 16 years. Just moved to SCC (non flood zone, ie about 10 miles inland) to hopefully avoid the evacuation scenario. But, with an impending storm and not knowing EXACTLY what the impacts will be, I feel just as tense as when living in the flood zone! I just packed my bag. Whew!😓🥺",0.046,0.863,0.091,-0.5308,NEG
"he always posts a hurricane prep plan by the beginning of the season. I'll try to find it and post here. If things eventually get worse, he usually reposts it. 😉",0.0,0.9,0.1,-0.4767,NEG
"if you're in an evacuation zone know where you'll go. It doesn't have to be another state, 10-20 miles inland could be fine. Remember, ""run from water, hide from wind"". Prepare for power to be out. Have drinking water for 2-3 days per person, some non-refrigerated food, etc.",0.036,0.929,0.034,0.0258,NEU
I’m prepped…just need bread and cheese!,0.0,1.0,0.0,0.0,NEU
don’t forget the wine 🍷,0.0,0.612,0.388,-0.2263,NEG
I was going to say this 😄 don't forget the wine 😉,0.172,0.828,0.0,0.1695,POS
Thanks for the dig on flights being cancelled. I fly home Sunday afternoon and start a new job Monday!,0.158,0.743,0.099,0.2942,POS
"we went on our first actual vacation in over a year and are supposed to fly home Sunday afternoon, so I’m watching this very closely too.",0.0,1.0,0.0,0.0,NEU
before jumping the gun let's just see how this progresses Sunday is still pretty far away,0.163,0.714,0.122,0.2023,POS
come on home now just in case,0.0,1.0,0.0,0.0,NEU
"it’s not much of a dig, he doesn’t know. The airlines will closer to that time. He gets asked CONSTANTLY and doesn’t have those answers. Imagine his frustration with that happening every storm every year. Watch closely or leave earlier if it’ll give you peace of mind.",0.069,0.846,0.085,0.0516,POS
"Congrats on the new gig",0.459,0.541,0.0,0.5267,POS
"I am SO over this and the season has just begun. 😭",0.0,1.0,0.0,0.0,NEU
I’m with you!! It’s annoying!! A big PIA!!!,0.0,0.608,0.392,-0.5951,NEG
over what? We have literally seen no action this side of the country all season so far? Lol get a grip.,0.145,0.761,0.093,0.3046,POS
We are going to Orlando Florida with my 12 year old daughter on Saturday to go to Disney should we cancel with all the rain?,0.0,0.923,0.077,-0.25,NEG
the crowds might be lower,0.0,0.645,0.355,-0.296,NEG
rule #8,0.0,1.0,0.0,0.0,NEU
7* lol,0.737,0.263,0.0,0.4215,POS
"What was the posters #7 comment/request/instruction targeting to? Poster says to not freak out just go to Disney with ponchos, tennis shoes, sandals, umbrellas and worse case scenario a towel or two to dry off with if you get wet. Best of all be prepared lol",0.208,0.735,0.057,0.8023,POS
Saturday should be fine,0.375,0.625,0.0,0.2023,POS
Looks like the inflatable kayaks we bought this week might come in handy next week!,0.166,0.834,0.0,0.4199,POS
Well my plans for tomorrow will now be a trip to the grocery store. I’ll at least be prepared for lots of rain in next couple days. Thanks Denis for keeping us updated.,0.192,0.808,0.0,0.7096,POS
me as well. I really don't want to go out when people are going nuts.,0.124,0.651,0.225,-0.1779,NEG
"Hurricane season ""I don't know if your flight was cancelled."" It went viral.😂😂 I love it😂😂",0.231,0.769,0.0,0.6369,POS
I’m flying to Florida Wednesday. Do I need to cancel?,0.0,0.8,0.2,-0.25,NEG
Yes,1.0,0.0,0.0,0.4019,POS
"no, keep in contact with your airlines",0.0,0.732,0.268,-0.296,NEG
100%,0.0,1.0,0.0,0.0,NEU
depends where in Florida,0.0,1.0,0.0,0.0,NEU
"No, keep in contact with airline. Where are you flying into? It’s mostly rain on Sunday.",0.0,0.872,0.128,-0.296,NEG
SRQ,0.0,1.0,0.0,0.0,NEU
"I think by the time you are coming it will pass. However it’s in the cone. We live just over an hour from there. Flights will probably be full because Sunday they might cancel some. I worked for one the will be cautious until they know more.
Enjoy the trip.",0.067,0.867,0.066,0.2716,POS
Wednesday? This is leaving the area by Monday. You should be fine.,0.141,0.859,0.0,0.2023,POS
"I'm not going to ask about flights, cruises, or walking the dog. I'll just sit here and wait for the cold front to come.",0.0,1.0,0.0,0.0,NEU
