It's Florida folks. Just because a storm has its signal on doesn't mean it's gonna turn!,Pos,Neu,Neg,Compound,Overall Sentiment
they nailed this one too 🤣,0.0,1.0,0.0,0.0,NEU
"and there's those that turn it on last minute!!!",0.0,1.0,0.0,0.0,NEU
it’s called a blinkah 😆,0.0,1.0,0.0,0.0,NEU
actual Floridians say the letter 'r',0.0,1.0,0.0,0.0,NEU
actual Floridians are chillin about possible Debby. The northerners are talking about it.,0.0,1.0,0.0,0.0,NEU
"northerners and all the weather channels! I’ve gone from we better not drive from Philly to Disney Saturday and Sunday to Yes, let’s go!",0.219,0.781,0.0,0.7339,POS
 nailed it!!! 😂,0.0,1.0,0.0,0.0,NEU
"yup and I hope it doesn’t",0.42,0.58,0.0,0.4404,POS
y’all crazy,0.0,0.294,0.706,-0.34,NEG
it's Fl! No one uses a signal 😂,0.0,0.667,0.333,-0.3595,NEG
"If it’s Florida, it doesn’t even use a turn signal. 😂",0.0,1.0,0.0,0.0,NEU
"nope, the cars are always out of blinker fluid... 🤣",0.0,1.0,0.0,0.0,NEU
seems to be the case. Lots of road hazards for sure.,0.187,0.813,0.0,0.3182,POS
"happens both ways they don't and they do and never turn.",0.0,1.0,0.0,0.0,NEU
I believe newer vehicles aren't equipped with this gadget😂,0.0,1.0,0.0,0.0,NEU
SO true! 😂,0.805,0.195,0.0,0.6271,POS
"truth!",1.0,0.0,0.0,0.3802,POS
"good one!",0.761,0.239,0.0,0.4926,POS
best comment,0.808,0.192,0.0,0.6369,POS
True Floridians don’t freak out. It’s just rain. Breathe people.,0.204,0.584,0.212,-0.0258,NEU
it’s more than enough rain now!!!😳,0.0,1.0,0.0,0.0,NEU
that's all it is here thank God,0.479,0.521,0.0,0.5574,POS
We all know those aren't used here!,0.0,1.0,0.0,0.0,NEU
It’s all fun and games until you have a foot of Tampa Bay in your living room.,0.18,0.82,0.0,0.5106,POS
Amen sister! Especially when a hard rain could do the same thing.,0.0,0.835,0.165,-0.243,NEG
yep been there lol.. and the overflow from the sewage plants 😑,0.18,0.82,0.0,0.296,POS
I thought it was against the law to use a turn signal in Florida 🙂,0.0,1.0,0.0,0.0,NEU
"you may be
thinking of coming to a full stop at a stop sign!",0.0,0.681,0.319,-0.5707,NEG
Only if you don’t intend to use them.,0.0,1.0,0.0,0.0,NEU
"If it was against the law to use your signals, more people would",0.0,1.0,0.0,0.0,NEU
or to stay anywhere close to the speed limit on the Suncoast Parkway.,0.0,1.0,0.0,0.0,NEU
it's all the old folks on the road down here afraid to use the accelerator,0.0,1.0,0.0,0.0,NEU
only for Floridians!,0.0,1.0,0.0,0.0,NEU
But will it take a sharp right turn while speeding thru the stop light with its flashers on🥺,0.0,0.851,0.149,-0.4215,NEG
could always take a left with their right signal on (person eyewitness account of a snow bird),0.0,1.0,0.0,0.0,NEU
I didn’t think Florida and Signals could ever be in the same sentence,0.106,0.894,0.0,0.0772,POS
"We're making progress. This morning I was behind someone who turned on their left signal! Which was great, until they went right. 🤦🏽‍♀️",0.264,0.736,0.0,0.8016,POS
"truth!",1.0,0.0,0.0,0.3802,POS
"it’s in the left lane with its signal on but never turning!",0.0,1.0,0.0,0.0,NEU
At least it is using a turn signal,0.0,1.0,0.0,0.0,NEU
"I was going to say the same thing.",0.0,1.0,0.0,0.0,NEU
"what I said 😂 more polite than most Florida driver's",0.0,1.0,0.0,0.0,NEU
"Thank you for actually being there for us during TS Debby...Been here for 20 years in Pinellas & now Pasco County. Enjoyed meeting you in the office at Palm Harbor University HS a number of years ago. I was the only one at the end of the day( substitute teacher). I escorted you to the guidance office.
Thanks🎼🎶🎹😊",0.122,0.878,0.0,0.7269,POS
And sometimes it makes a sudden turn across 3 lanes without a signal on,0.0,1.0,0.0,0.0,NEU
just like them old people on the road,0.263,0.737,0.0,0.3612,POS
"It's the crazy ""me"" generation young ones that run over you, come H---- or highwater, to get to the head of the line, ahead of everyone, and then have to stop and wait at the red light!",0.0,0.877,0.123,-0.5983,NEG
beat me to it. 🥴🤣,0.0,1.0,0.0,0.0,NEU
I'd rather have what we are about to get then any hurricane that is a cat 3 or higher,0.0,1.0,0.0,0.0,NEU
only logical comment 🏆,0.0,1.0,0.0,0.0,NEU
In 2004 Charlie didn't have his signal on and made a right turn anyway!! Works both ways!! As you say rule #7,0.0,1.0,0.0,0.0,NEU
But there's a good chance that it will! Which is why I moved from Florida to Barbados last year. Most of them miss us here!,0.237,0.684,0.079,0.6847,POS
"That statement is the kiss of death!",0.0,0.486,0.514,-0.6476,NEG
"do you like it there?",0.385,0.615,0.0,0.3612,POS
https://livereports.today/qsd7df,0.0,1.0,0.0,0.0,NEU
Killing me Smalls! 🤣,0.0,0.299,0.701,-0.69,NEG
"I was just about to go drain the water from all my planters, and wow did the sky cracked open. I am still trying to understand that one fierce lightning bolt that made me run back into the house this afternoon... Only one, no others followed. It was right here in Port Richey, it was a real doozie!",0.069,0.894,0.037,0.4389,POS
"the saying is: if the thunder roars, go indoors. death by lightning is pretty high in Florida",0.145,0.679,0.176,-0.1779,NEG
"lightning is getting ever so weirder. However, It was telling me get my derriere back in my chair, recovering from leg injury.",0.0,0.807,0.193,-0.5847,NEG
"uncanny, I am recovering from a broken ankle myself!!",0.0,0.62,0.38,-0.5696,NEG
"Ok everyone, please be kind. I figure, If I'm in a turn lane, people know that I'm going to turn. A blinker just states the obvious. But if there is no turn lane, then it makes sense to use the turn signal.",0.126,0.809,0.065,0.1655,POS
"Actually, I think it's the law that you have to use your turn signal if you're turning. It prevents a lot of accidents. Since moving here a few years ago, I have felt that a lot of Florida people think using a turn signal is a suggestion, but it really is the law.",0.025,0.94,0.035,-0.128,NEG
it costs nothing to use the turn signal and the bulb never burns out lol,0.0,0.857,0.143,-0.3252,NEG
"nope, turn signal required regardless of lane. Half the time people don't even know they're IN a turn lane, so assuming they're turning just because they are isn't safe at all",0.0,0.923,0.077,-0.3412,NEG
"No one in Florida uses a signal, so is it REALLY a Florida storm?",0.0,0.833,0.167,-0.296,NEG
"Weather,sports and comedy...You rock",0.0,1.0,0.0,0.0,NEU
"Who needs a signal!?
Just as most of these drivers , they just do what they want, when they want ..",0.145,0.855,0.0,0.2244,POS
I cuss ‘em out when they don’t use them and don’t trust ‘em when they do!,0.204,0.796,0.0,0.5562,POS
"what if it forgets to put on its signal?",0.0,1.0,0.0,0.0,NEU
"Best question ever!!",0.705,0.295,0.0,0.6988,POS
"Florida meme
-Mommy, the news says a hurricane is coming this Sunday, -Mom- great, we're going to have a barbecue that day, happy barbecue Sunday",0.271,0.729,0.0,0.8316,POS
"At least it had it's signal on, most Floridians don't think their cars come with that option",0.0,1.0,0.0,0.0,NEU
"I’m sorry but we need a right turn. We South Mississippi folks don’t want it here.",0.093,0.833,0.074,0.0772,POS
Cars have signals here?,0.0,1.0,0.0,0.0,NEU
only if you keep the blinker fluid filled.,0.0,1.0,0.0,0.0,NEU
"Yes, but it's an add-on option so many don't bother with it. 😅",0.324,0.676,0.0,0.5858,POS
only horns lol.,0.583,0.417,0.0,0.4215,POS
Like many of the drivers....,0.385,0.615,0.0,0.3612,POS
It is driving like some of our residents😀,0.263,0.737,0.0,0.3612,POS
Half these people in Florida don't even use turn signals I definitely know that this storm not going to use it's turn signal either 🤣🤣🤣,0.105,0.895,0.0,0.4019,POS
"It’s summer in Florida, if it doesn’t fall on you, it falls from you.",0.0,1.0,0.0,0.0,NEU
Rule#7 we got this Floridians 😁,0.0,1.0,0.0,0.0,NEU
"Being new to Florida summer storms, I’m learning a lot!",0.0,1.0,0.0,0.0,NEU
I need this in a T SHIRT,0.0,1.0,0.0,0.0,NEU
People signal here?,0.0,1.0,0.0,0.0,NEU
I am flying in on Saturday morning. So far my fly is on schedule. How long is this expected to last?,0.0,1.0,0.0,0.0,NEU
we are all preparing 🌧️🌧️🌧️,0.0,1.0,0.0,0.0,NEU
"It's not even a TS, yet. If you wussies can't hang, go back home. REAL Floridians don't start looking at it till it's a strong 2 or better.",0.212,0.788,0.0,0.7351,POS
Or turn the direction is is signaling. Or turn off its signal after turning.,0.0,1.0,0.0,0.0,NEU
"Ahhh I call that the “eventual left”",0.0,1.0,0.0,0.0,NEU
Probably just needs some blinker fluid. Then it’ll turn left with the right blinker on.,0.0,1.0,0.0,0.0,NEU
Just because I have my blinker on doesn't mean people will let me in,0.0,1.0,0.0,0.0,NEU
"Specifically, Pinellas County. Bogus signals, right and left.",0.0,1.0,0.0,0.0,NEU
that’s actually hysterical,0.0,0.645,0.355,-0.0258,NEU
"And just because the blinker is on, it doesn't mean that a Floridian is turning that direction...",0.0,1.0,0.0,0.0,NEU
"I lost interest at it may become a cat one, and isn’t yet even a TS.",0.184,0.675,0.141,0.1779,POS
It's driving with the hazards on,0.0,1.0,0.0,0.0,NEU
I am stealing this! 😉😂,0.0,0.429,0.571,-0.6114,NEG
This may not age well.,0.0,0.688,0.312,-0.2057,NEG
There's some weird weather junkies out there. Some of them want it to hit Tampa. Those are usually the people only renting.,0.057,0.87,0.074,-0.1027,NEG
"and me, because I would get an extra day off work lol. Now before anyone comes for me, I am NOT wishing damage! I just need it to be enough of a threat that the office will close for the day.",0.131,0.754,0.116,0.1665,POS
yes. Because renters rather be homeless.,0.351,0.649,0.0,0.4019,POS
I rent in St Pete and that is the absolute last thing I ever want! We had to move out of our rental house last year due to flooding and I don't want to do that again.,0.083,0.917,0.0,0.2244,POS
some of us like storms. You like what you want. I will like what I like. It won't hit you in Tampa though,0.414,0.586,0.0,0.8519,POS
not this renter!! I don’t want to be homeless! I hope it stays completely away from us. 🤞🏻,0.266,0.734,0.0,0.6219,POS
"Those people obviously never have been through a bad TS or Hurricane? Until you have family that lost their home and belongings and or pets or you yourself was affected those people won't be laughing about wanting a bad storm to hit or damage to your home, mo power for days or weeks they will not be laughing then. 🤔🙄",0.0,0.725,0.275,-0.9542,NEG
"I wonder if people renting realize that when the landlords home insurance goes up, their rent goes up. Things to ponder… 🤔 🤣",0.0,1.0,0.0,0.0,NEU
"Not all renters you guys. That's why I said ""usually"" not all. 😂",0.0,1.0,0.0,0.0,NEU
"People always miss the keyword 🤦🏼‍♀️",0.0,0.758,0.242,-0.1531,NEG
The problem isn't the signal. It's the turn that happens without one.,0.0,0.803,0.197,-0.4019,NEG
One of the best posts yet,0.457,0.543,0.0,0.6369,POS
Bring it on!! I'm ready for a good one!!,0.523,0.477,0.0,0.7627,POS
8 inch of rain between yesterday and today and wind gust up to 30 mph this morning in Zephryhills,0.0,1.0,0.0,0.0,NEU
A good rainmaker spring hill I'll take it,0.326,0.674,0.0,0.4404,POS
Yep! My friends question my turn signal use. I refuse to be responsible for a wreck because I didn’t signal.,0.316,0.48,0.204,0.4199,POS
"Lmao !!!! perfectly said",0.823,0.177,0.0,0.8825,POS
This is good,0.592,0.408,0.0,0.4404,POS
"In Florida it should be...Just because a storm does not have its signal on, does not mean...",0.0,1.0,0.0,0.0,NEU
"Gotta remember Florida now has soooooo many new residents who never have been through a tropical storm, cyclone, flood or hurricane. It’s all new to them. Let them enjoy their anxiety 😬",0.097,0.851,0.052,0.3612,POS
Love this one .,0.677,0.323,0.0,0.6369,POS
"Omg I hadnt even considered that this time! 😳",0.0,1.0,0.0,0.0,NEU
"Debbie is not a hooker, got curves, but follows a straight path!",0.227,0.773,0.0,0.3903,POS
Where’s the Debbie tshirt/mug???,0.0,1.0,0.0,0.0,NEU
I’ll lend you my Debbie Harry t shirt!,0.0,1.0,0.0,0.0,NEU
True story!,0.756,0.244,0.0,0.4753,POS
"Sounds like our drivers",0.455,0.545,0.0,0.3612,POS
That was awesome!!!!!,0.0,1.0,0.0,0.0,NEU
My name is Debbie...I hope it doesn't want to come here just because we have the same name!!!,0.18,0.762,0.058,0.5505,POS
Me too! I go by Debbie but this one is spelled Debby.,0.0,1.0,0.0,0.0,NEU
"Same name even if it's spelled differently! I spelled it Debby in grade school, Debbi in middle school, and Debbie in HS...my brother still asks me how I'm spelling my name these days! 😂",0.0,1.0,0.0,0.0,NEU
Doesn't mean it's not gonna turn either. Florida drivers are unpredictable. I've seen a dude have his signal on for miles and then proceeded to turn the opposite way.,0.0,1.0,0.0,0.0,NEU
Im coming! Im ready,0.482,0.518,0.0,0.4199,POS
Just like the drivers down here will have their signal on for miles before they turn 🤣. Where ever it goes hopefully it won’t be bad🙏🙏🙏,0.178,0.822,0.0,0.6369,POS
You're lucky it's using it's signals at all.,0.286,0.714,0.0,0.4215,POS
I didn't think Florida used signals,0.0,1.0,0.0,0.0,NEU
Good one!,0.761,0.239,0.0,0.4926,POS
So true!!!,0.799,0.201,0.0,0.6084,POS
"LOVE THIS
Extremely true",0.801,0.199,0.0,0.8412,POS
hoping any rain u guys get won't affect my flight home Sun evening 😮🤞🤞🤞,0.189,0.811,0.0,0.4215,POS
same with your uncle! He hopefully will arrive around 9:00pm Sunday night,0.214,0.786,0.0,0.4574,POS
from where?,0.0,1.0,0.0,0.0,NEU
MDW 😂,0.0,1.0,0.0,0.0,NEU
"Only in Miami,,there are hwy signs..""to signal when changing lanes""",0.0,1.0,0.0,0.0,NEU
I was admiring my Dads new Hurricane windows and said wow they are nice so if the house gets blown down the windows won’t break?? I almost broke a leg running! Hahahahahah,0.264,0.669,0.067,0.8098,POS
It's name is Debby. It's coming. I've been saying it all week. Tropical storm Debby in 2012 was horrible and the name should not be used again because it caused 250 million in damage and took 8 lives. It's a bad omen. Debby can kick rocks. Me and my fam LOATHE Debby lol,0.044,0.731,0.225,-0.9068,NEG
Got a taste of the turn during Charlie. Wasn't supposed to hit South Florida and that's exactly where it hit,0.0,1.0,0.0,0.0,NEU
But its Headlights…aka Cone….. will light up the entire State.,0.0,1.0,0.0,0.0,NEU
It also could be signaling left but turn right. And that’s on Florida drivers,0.0,1.0,0.0,0.0,NEU
"Hell people in Florida just turn without turn signals, so why think a signal means anything😂😂😂",0.0,0.753,0.247,-0.6808,NEG
"Much like the drivers, they don’t use signals and constantly have a brake light out in the Ohio Valley!",0.141,0.859,0.0,0.4199,POS
"I like your style, how you put it out there",0.238,0.762,0.0,0.3612,POS
Now THIS is funny!,0.516,0.484,0.0,0.4926,POS
Love this. Prayers answered. Thank GOD. 🙌🏼,0.704,0.296,0.0,0.8602,POS
People in fladuh don't use their turn signal 😀,0.0,1.0,0.0,0.0,NEU
Ohio here… at what level storm do you typically have to evacuate?,0.0,1.0,0.0,0.0,NEU
depends on where you are in FL. Run from water. Hide from the wind. I’m not in a flood zone and 20 miles inland or so. I’m in a house built after 2015. I likely would never evacuate. It would never be ordered here anyway.,0.0,0.96,0.04,-0.1779,NEG
"Usually you’re ordered to evacuate based on your flood zone. There is a map that tells you. Your county puts out a notice saying which zones need to evacuate for floods. Any level storm can bring floods. For wind, typically for a category 1 or above, mobile/manufactured homes are ordered to evacuate. Between category 1 and 3, there is a lot of discretion for those who live in regular housing. Some people evacuate for everything, some prefer to shelter in place but will evacuate for a cat 3 or higher, it kind of depends on your situation and the individual storm. You have a few days to watch what it’s doing. There is a bit of a gamble as the storm’s trajectory can change; I remember one storm (I think Charlie) where a lot of people evacuated into its path. Gas is a commodity, as is space on the road, so everybody can’t evacuate every time. I’ve never experienced being in the path of a category 4 or 5, but I think mandatory evacuations may apply for those almost always.",0.009,0.991,0.0,0.1154,POS
super helpful thank you!,0.905,0.095,0.0,0.8588,POS
evacuate to where? That’s the problem.,0.0,0.649,0.351,-0.4019,NEG
"you only need to evacuate from the water, so go where there are no evacuations. You really don’t need to drive 100s of miles",0.0,0.913,0.087,-0.296,NEG
"I’ve never evacuated. Doubt I ever will.",0.297,0.703,0.0,0.2755,POS
home to Ohio lol,0.483,0.517,0.0,0.4215,POS
"you and everyone else will be on I-75N lol… I’ve lived here since 1988, only time I’ve ever evacuated was when I lived in a mobile home about 4-5 years ago… went to stay with a friend who lived on the 6th floor… her power went out, huge trees were ripped out of the ground, major damage to her building… my mobile home never lost power, zero damage to my house… now, unless Denis tells us to leave, I’m staying put!",0.085,0.824,0.09,-0.1103,NEG
that’s what I really wanted to know! Thank you!,0.306,0.694,0.0,0.4738,POS
And that would be exactly like the drivers.😂,0.263,0.737,0.0,0.3612,POS
Looking fwd to your updates.,0.0,1.0,0.0,0.0,NEU
So true,0.756,0.244,0.0,0.4754,POS
That's what I say. Those warm Gulf waters are going to fuel it,0.147,0.853,0.0,0.2263,POS
"May have have the turn signal on for an eventual turn but misses the exit. Forgetting about the missed intentional exit, heads straight to Tennessee. So all I can say is ""thank you for your thoughtfulness!""",0.14,0.737,0.122,0.1882,POS
"Spelled the right way finally and I'm flying out Sunday! 🤣",0.0,1.0,0.0,0.0,NEU
Let's hope it does NOT turn toward our coast. Hope it's like most Florida drivers that go for miles with their signal on and never turn:),0.265,0.735,0.0,0.8074,POS
"…and speaking from Lee County…they don’t always use their signal!!!",0.0,1.0,0.0,0.0,NEU
This is great 🤣🤣,0.577,0.423,0.0,0.6249,POS
"Yay, a turn signal, but is it the correct one?!",0.238,0.762,0.0,0.3595,POS
your right! IT might be a BMW owner,0.0,1.0,0.0,0.0,NEU
"It's Florida, where no one can afford to buy property insurance.",0.0,0.82,0.18,-0.296,NEG
"Looks like this turn is going to be using a lot of blinker fluid!",0.189,0.811,0.0,0.4199,POS
"It's the opposite though...no signal, and turn...unpredictable...Florida driving and Hurricane season.",0.0,1.0,0.0,0.0,NEU
Probably it's LEFT blinker....beware! 🙂,0.0,1.0,0.0,0.0,NEU
"If all we get is a tropical storm, I’ll take it.",0.0,1.0,0.0,0.0,NEU
My Floridian sense says it still gonna be moving west and it’s not gonna touch us,0.0,1.0,0.0,0.0,NEU
"All these driver comments apply to just about every state in our country. I saw a few ""stunt"" drivers in Michigan today.",0.0,1.0,0.0,0.0,NEU
you’re right Karen! I think they’re everywhere!,0.0,1.0,0.0,0.0,NEU
Cute....but I still remember Charlie 2004. It was supposed to hit us but made an unexpected right turn...obviously didn't use his turn signal.,0.0,1.0,0.0,0.0,NEU
Thank you for your common sense Forcast it's so great,0.492,0.508,0.0,0.829,POS
"You are the best, blinker or no blinker! You deserve a Dr Pepper!",0.282,0.589,0.13,0.555,POS
I have lived here less than a month I'm right on the gulf I'm not even a bit nervous. Maybe I should be but I'm not,0.063,0.937,0.0,0.1045,POS
It's going to totally miss us. My bet is that it hits Louisiana.,0.0,0.864,0.136,-0.2247,NEG
Just like the drivers! 😂,0.482,0.518,0.0,0.4199,POS
or where you expect it to.,0.0,1.0,0.0,0.0,NEU
Bah! That’s good!,0.635,0.365,0.0,0.5399,POS
Omg. Toooooooo funny,0.592,0.408,0.0,0.4404,POS
Blinkers are a sign of weakness 🤦‍♀️😂,0.0,0.641,0.359,-0.4215,NEG
Is it me or do we always spend so many days saying turn turn....,0.0,1.0,0.0,0.0,NEU
But sometimes it pulls a Crazy Ivan and surprise!,0.22,0.498,0.282,-0.1882,NEG
I shared this with my FB cruise group because I almost spit out my drink when I read it. Lol. We sail Monday. Woohoo. That's good stuff though. 😂,0.352,0.648,0.0,0.886,POS
This is pure gold!,0.0,1.0,0.0,0.0,NEU
Thank you for your posts. This USF parent appreciates your sanity! 💕👍,0.379,0.621,0.0,0.7263,POS
