NEW | A heat advisory has been issued for our area today. The combination of high temperatures in the low to mid-90s and high humidity will mean the heat index may reach up to 111F at times between noon and 6 pm. Sct'd storms will bring cooler temps for some during the afternoon.,Pos,Neu,Neg,Compound,Overall Sentiment
"It was awful today, here in Brdtn. Went grocery shopping and all it was doing was giving me an upset stomach. Could not wait till I got back home. !
Not going anymore during the daytime!!",0.06,0.777,0.162,-0.6219,NEG
Same for NJ over 102 with the heat index here too.,0.0,1.0,0.0,0.0,NEU
I hope teco gets my power back on. Gonna need the AC working today,0.195,0.805,0.0,0.4404,POS
Oh dear..... that is awful Dora ~,0.0,0.625,0.375,-0.4588,NEG
"It’ll be cooler by the waters.",0.0,1.0,0.0,0.0,NEU
68 in Rockland Maine. I'm wearing a sweatshirt while eating my lobster rolls. 😁,0.0,1.0,0.0,0.0,NEU
"FL weather season is doing its thing this year. It’s gonna be a long season, I think.
Sleep is overrated!😂",0.0,1.0,0.0,0.0,NEU
"Just having a thunderstorms in Clearwater, largo Bellaire area.",0.0,1.0,0.0,0.0,NEU
Totally appreciate the updates! Don't you ever sleep lol,0.465,0.535,0.0,0.7257,POS
"lol! That's what I was just thinking. Denis, don't u ever sleep? But then what are WE doing up at 4:45 am. Denis is in good company of non sleepers. 😆",0.189,0.811,0.0,0.722,POS
What is “our area”? Is it central Florida or gulf coast?,0.0,1.0,0.0,0.0,NEU
this why it’s so hot,0.0,1.0,0.0,0.0,NEU
that makes sense now,0.0,1.0,0.0,0.0,NEU
stay tuned for Friday and the Tampa/BG area,0.0,1.0,0.0,0.0,NEU
Happy August lo,0.649,0.351,0.0,0.5719,POS
😂😂,0.0,1.0,0.0,0.0,NEU
So not ready to do August 😢,0.0,0.677,0.323,-0.3374,NEG
"I'm having Rob check our ac filter. It's been working overtime",0.0,0.735,0.265,-0.5574,NEG
"be careful babe",0.444,0.556,0.0,0.1531,POS
do you ever sleep? You are the best at keeping us all updated on the weather. We can’t thank you enough.,0.261,0.739,0.0,0.7717,POS
good morning my becky hugs,0.67,0.33,0.0,0.7269,POS
morning,0.0,1.0,0.0,0.0,NEU
Thank you Denis,0.556,0.444,0.0,0.3612,POS
"Stay safe everyone.",0.592,0.408,0.0,0.4404,POS
Thank You Denis.,0.556,0.444,0.0,0.3612,POS
Definitely warm and muggy this morning.,0.535,0.465,0.0,0.5574,POS
make sure you drink plenty of water today!!,0.292,0.708,0.0,0.4374,POS
stay hydrated tomorrow!,0.0,1.0,0.0,0.0,NEU
it’s hot!,0.0,1.0,0.0,0.0,NEU
🥵🥵🥵,0.0,1.0,0.0,0.0,NEU
"Ya, it's gross out",0.0,0.492,0.508,-0.4767,NEG
All ready feel it,0.455,0.545,0.0,0.3612,POS
Bs,0.0,1.0,0.0,0.0,NEU
"Gonna be gross out there!!!
Don't forget your sunscreen and antiperspirant!! 😥",0.112,0.603,0.286,-0.5577,NEG
Cat cant sit on the porch today for sure!! …& why am i awake at 4:44?,0.171,0.829,0.0,0.4374,POS
me to!,0.0,1.0,0.0,0.0,NEU
same,0.0,1.0,0.0,0.0,NEU
Ughhh. Thanks,0.744,0.256,0.0,0.4404,POS
Would someone be kind of enough to inform me if Dennis mentioned that next Thursday would be okay traval day to Sarasota thankyou,0.079,0.921,0.0,0.2263,POS
Thank you Denis Phillips,0.455,0.545,0.0,0.3612,POS
Thank you Denis,0.556,0.444,0.0,0.3612,POS
Denis Phillips do you ever sleep?,0.0,1.0,0.0,0.0,NEU
Plant trees whenever & wherever you can 😢🥹🥵🥵🥵🥵,0.0,1.0,0.0,0.0,NEU
