FORECAST | Good morning! Sct'd storms return this afternoon providing some relief from the heat. Rain coverage could be a little higher than yesterday with the storms beginning a little earlier compared to Wednesday. Have a great day!,Pos,Neu,Neg,Compound,Overall Sentiment
Traveling to st Pete Aug 3-9 do we think I’ll get any sun?,0.0,1.0,0.0,0.0,NEU
Rain Sunday and Monday from Tropical Depression Debby seems to be likely. but it rains most afternoons in that part of the country.,0.0,0.903,0.097,-0.3291,NEG
"not bad , I just want at least a day or two of sun . Do you think it’s still worth the trip ?",0.216,0.728,0.056,0.5466,POS
"It's up to you whether to travel. August in Florida means afternoon storms on some days, tropical depression coming or not.",0.0,0.844,0.156,-0.5719,NEG
It didn’t storm last night and I was out last night. I,0.0,1.0,0.0,0.0,NEU
Can't say it enough..thank you Denis. You always keep us well informed and calm.,0.268,0.732,0.0,0.5267,POS
Thank you for all you do! Try to get some rest if you can.,0.177,0.823,0.0,0.4199,POS
Thank you Denis! Now go get some sleep 😂 🤗,0.285,0.715,0.0,0.4199,POS
You do a great job. Continue to do so. Counting on you. Happy Thursday 😁,0.415,0.585,0.0,0.8316,POS
Denis Phillips would a 2.5 hour boat ride In Clearwater be a good idea today at noon?,0.172,0.828,0.0,0.4404,POS
This is how it's looking from P.R.,0.0,1.0,0.0,0.0,NEU
You too D! Thks for watching out❣️🤓,0.31,0.69,0.0,0.4003,POS
Doesn’t look very good after 11am:(,0.39,0.61,0.0,0.4927,POS
Thanks for calming my anxiety. Rule #7 my favorite!,0.57,0.321,0.109,0.8016,POS
it’s just weather.,0.0,1.0,0.0,0.0,NEU
Have a great day,0.672,0.328,0.0,0.6249,POS
Denis Phillips thank you for all you do I appreciate you very much have a good day yourself,0.391,0.609,0.0,0.8107,POS
The best ..do you ever sleep???... ❤️,0.441,0.559,0.0,0.6946,POS
Not during Hurricane season I moved here 23 years ago and I seen Denis Phillips on all hours during hurricane season 🙂,0.0,1.0,0.0,0.0,NEU
it’s gotta be all the Diet Dr Pepper flowing through his veins 😉,0.0,1.0,0.0,0.0,NEU
I know...I'm following him for over a decade...have a nice day...stay safe,0.449,0.551,0.0,0.6908,POS
"Wishing you a great day, Denis!",0.677,0.323,0.0,0.7424,POS
Rain please,0.697,0.303,0.0,0.3182,POS
