"TROPICS | NHC continues to update the area they expect development with this tropical wave as the models shift west. After highlighting areas east of Florida yesterday, the latest model shift west has the NHC now looking into the eastern Gulf. Any development likely not occurring until the weekend at the earliest. (Note: I mentioned a comparison to Elena in 1985 on DPL last night.  Too early to know for sure, but whatever forms could easily stall and possibly even loop in the Northern Gulf. We could be dealing with a messy rainmaker for quite awhile next week)",Pos,Neu,Neg,Compound,Overall Sentiment
Denis Phillips We’re supposed to go to adventure island Monday. Should we reschedule?,0.161,0.839,0.0,0.3182,POS
Denis Phillips ha that’s true,0.634,0.366,0.0,0.6369,POS
have family flying into miami in sunday. will this have a big impact Denis Phillips,0.0,1.0,0.0,0.0,NEU
Denis Phillips thank you so much. the only guy we trust,0.392,0.608,0.0,0.7003,POS
Denis Phillips will the storm pass by Thursday to drive to Sarasota thank you,0.161,0.839,0.0,0.3612,POS
Denis Phillips sorry just trying to understand. This storm is possibly stalling near the Tampa Bay Area?,0.0,0.829,0.171,-0.2732,NEG
Denis Phillips it could stall for next Thursday??? 🥲 do you think cruise ships down the coast will re route,0.0,0.885,0.115,-0.327,NEG
"I want to kayak in my community pond on Sunday it has a small crack and my truck leaks oil will I be, ok or should i reschedule ?",0.137,0.863,0.0,0.3612,POS
"Denis Phillips Phew ! Thank you ! The best weatherman , travel agent, event planner and air traffic controller there is !!",0.316,0.684,0.0,0.8346,POS
Denis Phillips yall are stupid😂😂😂,0.0,1.0,0.0,0.0,NEU
staahhp😂😂😂,0.0,1.0,0.0,0.0,NEU
Dominic Testa who me ? 😂😂,0.0,1.0,0.0,0.0,NEU
Can you talk about surge? Pasco Coastal here,0.0,1.0,0.0,0.0,NEU
Do you forsee any issues flying out Saturday afternoon from TPA?,0.0,1.0,0.0,0.0,NEU
Dennis Denis Phillips my mom has to fly back to Nj from Tampa on Tuesday should she change her flight ?????✈️,0.0,1.0,0.0,0.0,NEU
Will we be okay flying into MCO on Sunday evening/Monday morning?,0.16,0.84,0.0,0.2263,POS
Denis Phillips perfect thank you!!,0.693,0.307,0.0,0.7772,POS
Our family is headed to Anna Maria Island Sat-Sat..is the whole trip going to be rainy??🥹,0.0,1.0,0.0,0.0,NEU
Thx Denis Phillips what about the rest of the week??,0.241,0.759,0.0,0.4329,POS
Will this impact my traveling plans to and from Tampa? I’m flying out Friday from Tampa to ohio. 8/2-8/4,0.0,1.0,0.0,0.0,NEU
Denis Phillips thank you,0.455,0.545,0.0,0.3612,POS
How about Key West this weekend?,0.0,1.0,0.0,0.0,NEU
Denis Phillips thanks.,0.592,0.408,0.0,0.4404,POS
I have a flight out from Tampa Tuesday afternoon. Should I change it?,0.0,1.0,0.0,0.0,NEU
