"Afternoon Tropical Update:
1. No surprises or changes to our thinking. Now up to 70% chance of development this weekend or early next week. 
2. Models still show a ragged system moving along the Eastern Gulf heading North Sunday and early next week. 
3. There is certainly the possibility this could get stronger, especially in the Northern Gulf. The water is very warm. You already know that.
4. So it's continue to be stalked by this turtle until we reach the weekend and see how it shapes up. 🐢
5. I'll say it again. Lots of rain for Florida. The threat of a tropical storm or even a hurricane can't be ruled out for the Northern Gulf.
6. For the Bay Area, I see Saturday being fine. Sunday will see rain increasing from the South with breezy weather along the coast. Way too early to know if surge will be an issue as that depends how close it actually get to us. Again, risk is higher to the North. 
7. Rule #7. Nothing to freak out about. Just keep an eye out in things and make your plans as needed. Watch DPL and ABC Action News tonight for the latest.
8. I don't know if your flight is cancelled yet...but probably not. Yes, it's probably gonna rain at Disney next week. That's an answer to eleventy billion messages so far today. 🤣",Pos,Neu,Neg,Compound,Overall Sentiment
"Punta Gorda getting hit other than rain? We appreciate you, Denis Phillips!",0.214,0.786,0.0,0.4574,POS
Denis Phillips thank you!,0.482,0.518,0.0,0.4199,POS
"thank you for asking that. That's
where I'm from",0.238,0.762,0.0,0.3612,POS
"I mean, even without the storm, it’s summer in central Florida. It will rain at Disney pretty much every day. 😂",0.151,0.849,0.0,0.4939,POS
"Yes, but as someone who has planned this trip for at least 6 months after 6 years since our last Disney trip, I'm over here trying to figure out if it's going to rain all day every day of the week or if it's the afternoon thunderstorms that we knew to anticipate. Just trying to get in the heads space.",0.031,0.969,0.0,0.2144,POS
"it has rained for hours every trip I’ve taken to Disney lately. I am local. It will rain. Bring a poncho/stroller cover and hit the outdoor rides that close for lightning when weather is fair, and go to the shows and indoor rides when the lightning closes the outdoor attractions. You will still have a wonderful time if you prepare for the rain!",0.138,0.862,0.0,0.8439,POS
Thanks. We're just trying to get in the right frame of mind. 🙂,0.209,0.791,0.0,0.4404,POS
"That's the plan! Can't control the weather, can only control our attitudes! 🙂",0.0,1.0,0.0,0.0,NEU
"absolutely. Have a great time.",0.593,0.407,0.0,0.6573,POS
I was just at Disney last week and it poured daily.. along with thunder and lightning.. bring a poncho and even make plans to go back to the hotel,0.0,1.0,0.0,0.0,NEU
this! It rained all last week and we just enjoyed the indoor things! As locals we don't really let it bother us lol,0.228,0.681,0.091,0.615,POS
we truly can’t let it bother us or we could never go! I am typing this as the daily thunderstorm goes overhead. 😅,0.13,0.773,0.098,0.2003,POS
exactly! It's thundering here but nothing else,0.0,1.0,0.0,0.0,NEU
yesss rained my whole trip lol lucky I am local and from here so it didn't bother us lol,0.433,0.567,0.0,0.8658,POS
"I hear you. Same. I can’t move this trip to another time because of schedules of everyone going. I know it rains in the summer daily, just hoping this isn’t a total wash out in terms of fun.",0.16,0.84,0.0,0.7269,POS
"we love locally and some of our favorite park days at Disney are when there is a hurricane. Crowds are super low. You may lose some outside rides, but the others will still be open. And Disney always adds extra Magic at the resorts during hurricane nastiness. 🙂",0.133,0.753,0.114,0.25,POS
pop shallot different then rain all day everyday,0.0,1.0,0.0,0.0,NEU
exactly,0.0,1.0,0.0,0.0,NEU
"so true!",0.772,0.228,0.0,0.5244,POS
right?,0.0,1.0,0.0,0.0,NEU
"I live on the west coast, but have a son in the panhandle, so keeping a close watch! Thank you!",0.193,0.807,0.0,0.5905,POS
my son also lives there. He's a fisherman out of Panama City,0.0,1.0,0.0,0.0,NEU
My son lives in Blountstown,0.0,1.0,0.0,0.0,NEU
"my son use to live there...I think, maybe it was Youngstown. It was hurricane Michael that took him there with a roofing company. Fell in love, now does his dream job.",0.181,0.819,0.0,0.7351,POS
Hurricane Debby here we come 😬,0.0,1.0,0.0,0.0,NEU
wish we knew too early I guess,0.351,0.649,0.0,0.4019,POS
"it would not shock me if that were the case, especially if this develops rapidly in those warm waters in the Gulf",0.17,0.83,0.0,0.4738,POS
Oh the ever changing reality of trying to forecast a storm that hasn’t even begun. Thank you Dennis for all you do keeping us safe and informed!,0.192,0.808,0.0,0.69,POS
"I just watched Tropical Tidbits' latest video update. Goodness, there are so many factors. I've decided I don't like any tropical disturbance with the name Debby.",0.104,0.731,0.164,-0.1803,NEG
same here! Debby just sounds like she’s ready to start some drama 😂,0.346,0.654,0.0,0.6476,POS
"It's that 'y' at the end of her name. 😆",0.0,1.0,0.0,0.0,NEU
like my sister in law Debby,0.333,0.667,0.0,0.3612,POS
"I’ve got a meeting in Ft. Myers on Monday afternoon and it’s going to be partially outdoors, can you call them and reschedule for me? 🤣 Thanks for the great info Denis!",0.207,0.793,0.0,0.807,POS
go ahead and cancel there will be a cat 16ake landfall on that exact location that day with 89 inches of rain per minute and 763 mph winds sustained,0.0,0.931,0.069,-0.25,NEG
reschedule the meeting or the storm? 😂😂😂,0.0,1.0,0.0,0.0,NEU
That’s a great question. 😂 I’ll let Denis decide,0.406,0.594,0.0,0.6249,POS
"I'm always amazed at some of the questions that are asked of this patient man.
People! He reports the weather. He's not your life coach. He's not your travel planner. He gives you up-to-date information about impending weather. It's up to you to adult and plan around it.",0.069,0.931,0.0,0.5411,POS
"And mark my words , if he were to suggest something that didn’t materialize , he’d never hear the end of it.! If these systems were that easy to understand, we wouldn’t need folks like Denis, or others. As an old time Floridian, I have high regard for folks taking time to share their information as it happens!",0.136,0.864,0.0,0.8011,POS
"so true, but Denis is naturally such a super guy that I’m sure some people see him as the weather dad (shoes included) they never had. That makes them think he should plan their lives for them.",0.239,0.761,0.0,0.8846,POS
"And. It’s Hurricane season. So Definitely Plan for it. lol",0.42,0.58,0.0,0.6997,POS
This! 💯,0.0,1.0,0.0,0.0,NEU
🤣🤣🤣. But so true,0.621,0.379,0.0,0.7118,POS
not to mention it's offensive to locals.,0.0,0.667,0.333,-0.4588,NEG
"WORD.",0.0,1.0,0.0,0.0,NEU
"Thanks for your great comment, these people with their ridiculous questions make me crazy! You said it perfectly!",0.397,0.438,0.165,0.8353,POS
well said 👏🏻,0.512,0.488,0.0,0.2732,POS
truth!,1.0,0.0,0.0,0.3802,POS
"same! It's quite selfish honestly. To think he has time to sit on here all day, every day, all night .... Answer this stuff? My gosh!!!!! Facepalm!!!",0.1,0.761,0.139,-0.3144,NEG
"Thanks!! You're #8 add on is awesome! 🤣🤣 But should I top off my gas, start filling the gas cans and getting toilet paper? (Kidding.. 😆)",0.256,0.744,0.0,0.7633,POS
"my husband went to Costco 2 nights ago because I'm almost out of water. All the Zephyrhills water was gone. People already panic buying. 😭
I just wanted my normal amount of water that I typically drink in a week or so. 🤦🏻‍♀️",0.0,0.918,0.082,-0.5106,NEG
geez. 😔 We started buying a little extra at the start of the season.,0.0,1.0,0.0,0.0,NEU
"the stores around me (manatee county) have already been low on gallon jugs of water for a month or so. Our tap water, even filtered, has been funky from an algae bloom since June. 🙁",0.0,0.899,0.101,-0.3612,NEG
"we don't really stock up or anything, but often have 5-6 cases of water when we shop. My husband is a landscaper, so even though I try to drink plenty of water, he drinks so much more. If I tried to buy extra for hurricane season, I'm pretty sure I'd have to make it be my bed at this point. 😂",0.116,0.884,0.0,0.8047,POS
"oh no! Our tap water isn't filtered, unfortunately, and we have disgustingly hard water. 🤢",0.103,0.504,0.393,-0.6962,NEG
I thought milk and bread is what people buying 😂,0.0,1.0,0.0,0.0,NEU
"Milk sandwiches???",0.0,1.0,0.0,0.0,NEU
Sunday or Monday can I wash my car?🤷‍♀️🤣 Probably a no with the Cat 5 on the way.😱🤣,0.0,0.864,0.136,-0.296,NEG
bread...buy bread😂,0.0,1.0,0.0,0.0,NEU
oh good figured if I looked hard enough would find a ride to Sam's for water and tp!!! 😄,0.197,0.73,0.073,0.5229,POS
Soo 5 days ago it was so low impact on the east coast earlier it was just a tropical storm to the west coast and now “it could get stronger” it’s gonna be a cat 4 and slam in the west coast by tomorrow at this rate 😂,0.0,0.885,0.115,-0.6532,NEG
like that one that hit Texas. lol it strengthened super quick!,0.637,0.363,0.0,0.906,POS
YEP! That’s why I hate when they are like “oh there’s no danger” uhm it’s hurricane season there’s always danger,0.187,0.482,0.33,-0.6321,NEG
True! Always be prepared 🙃,0.714,0.286,0.0,0.6114,POS
Tell us you're from up north without saying it 🤣😉,0.0,1.0,0.0,0.0,NEU
I am lol but it’s my 9th year here 😂 really just poking fun at how we all knew it would change to this but the weather people apparently did not,0.2,0.8,0.0,0.7747,POS
"Welcome to Fl. Get use to it, it's bipolar!
Weather man = human and they do the best they can with mother nature.",0.273,0.727,0.0,0.8172,POS
Welcome to hurricane season!,0.523,0.477,0.0,0.5093,POS
"Cat 4 landfall in Pensacola you heard it here first.
I base this forecast on nothing other than that's the first thing I thought to say",0.0,1.0,0.0,0.0,NEU
Love all of your info but rule # 8 tops it best! 😂👏🏼👏🏼😂,0.622,0.378,0.0,0.9342,POS
Thanks for your great coverage. I am supposed to go to Key West tomorrow. I am worried about getting back to Tampa on Monday? What do you recommend?,0.289,0.646,0.065,0.8253,POS
Flotation devices.,0.0,1.0,0.0,0.0,NEU
"if your worried, stay home",0.0,0.645,0.355,-0.296,NEG
Will this be lingering around on Wednesday? I’m going to a Corey Feldman concert at the amphitheater. I’ll be devastated if it rains,0.0,0.84,0.16,-0.6124,NEG
"Flying in from Ohio Sunday afternoon, hope I’ll be good 🫣",0.42,0.58,0.0,0.7003,POS
"We’re currently on the Islander, we are supposed to come back into port Sunday in Tampa. Think we will make it?",0.0,1.0,0.0,0.0,NEU
Y’all better make it! Bring that ship in so I can get on! 😆,0.241,0.759,0.0,0.5399,POS
eek,0.0,1.0,0.0,0.0,NEU
"I’d like to state this for the record: Denis Phillips has the patience of a saint!! Thank you for all you do. And those of you who ask ridiculous questions….please stop. People are laughing, and not with you.",0.193,0.704,0.103,0.6229,POS
Denis you have the patience of a Saint. Thank you 😊,0.238,0.762,0.0,0.3612,POS
Wondering if it will just be a lot of rain or will it be a lot of thunderstorms also? Asking for my older yellow lab….,0.0,1.0,0.0,0.0,NEU
"my dogs would love to know that, as well. They are not fans of loud noises, especially thunder.",0.283,0.717,0.0,0.743,POS
it’s a battle. He gets so upset. He just shakes ….oh and by the time it starts it’s too late to give him a tranquilizer cause they take like 30 minutes.￼,0.072,0.723,0.204,-0.5524,NEG
"I have a 14 (almost 15) y/o Silky Terrier, we can literally hear his bones rattle from shaking so hard. Nothing works to calm him. Our younger dog...his bones are still sturdy but man does he shake and drool. Poor doggos.",0.0,0.765,0.235,-0.8158,NEG
"We have 2 Miniture Schnauzers. One is chill, the other shakes enough for both of them.",0.0,1.0,0.0,0.0,NEU
my dog shakes.😱,0.0,1.0,0.0,0.0,NEU
"It’s too late for my pup either way. She’s associated thunder with rain, so rain storms are scary now too. 🥺 I feel so bad for her.",0.0,0.749,0.251,-0.8267,NEG
"Well seeing that I have a place In clearwater and orlando , it looks like either way I'm gonna get hammered with some rain! Lol!",0.296,0.704,0.0,0.7896,POS
Ok I know we needed the rain but come on usually my area is a bubble storms all around just not us! But now come on my 5acres is a lake enough I don’t want to keep mowing the property,0.089,0.911,0.0,0.3274,POS
It appears that caution is advised for those of us in Citrus County,0.0,1.0,0.0,0.0,NEU
"unfortunately, I agree. My house is there. I hope we do not get a big storm surge......",0.287,0.585,0.128,0.4588,POS
"are you in one of those evacuation zones? I'm quite far inland from there, but the danger of trees and limbs falling is great.",0.17,0.633,0.196,0.0387,NEU
"we are close to the coast, yes",0.31,0.69,0.0,0.4019,POS
stay safe. Evacuate if necessary.,0.42,0.58,0.0,0.4404,POS
"Barbara Ann Scilabro Merz
I was putting things in my trunk and lightning/thunder crashed right overhead ⚡️⚡️
No warning ❗️",0.0,0.787,0.213,-0.5574,NEG
I have a deep and healthy respect for lightning.,0.537,0.463,0.0,0.7003,POS
Doesn’t it always rain at Disney in the Summer? It’s Florida and Summer!,0.0,1.0,0.0,0.0,NEU
"Okay, but is it gonna rain this weekend at Disney? 🤣 ((I’m kidding))",0.116,0.884,0.0,0.1154,POS
"It's summer at Disney... Odds are it's gonna rain anyways",0.0,1.0,0.0,0.0,NEU
"Yes, we knew to expect the afternoon thunderstorms. Now we're trying to figure out if it's going to rain all day every day next week.",0.101,0.899,0.0,0.4019,POS
