"On a lighter note, Ryan left her phone at home. Desperate times call for desperate measures. 🤣 #dalimuseum",Pos,Neu,Neg,Compound,Overall Sentiment
"She's Adorable! Denis, maybe Ryan would appreciate having a phone like this of her own. Decorate a phone like this for her. Everything found on Amazon, including the phone. 😊( Except the land line, of course. )",0.308,0.692,0.0,0.8977,POS
"Had to pull my friend away from that phone😂🤣
It’s pretty amazing and I highly suggest a field trip over to The Dali for this fantastic exhibit going on through mid October.",0.357,0.643,0.0,0.9377,POS
"Been there, done that 😄",0.0,1.0,0.0,0.0,NEU
"Ryan is such a good sport just like her dad, she's adorable I might add! 🌟 😃",0.471,0.529,0.0,0.8356,POS
She is so adorable,0.578,0.422,0.0,0.6269,POS
"My daughter is obsessed! When we went to the gift shop, she scoured for a lobster phone, to no avail. She was so sad 😞",0.096,0.632,0.272,-0.6466,NEG
"it's a normal vintage style/like phone with a painted fake lobster on it. Very cool. Easy to make for your daughter. Did a quick search. Amazon sells that exact phone minus the 🦞☺️
Retro Landline Telephone, Sentno 1960' s Vintage Corded Dial Phone, Classic Old Fashion Telephones Wired Desk Telephone for Office and Home (White)",0.13,0.816,0.054,0.5222,POS
Ryan is just so adorable! She has her Dad's Star quality!,0.32,0.68,0.0,0.6908,POS
What did she ask Dali?,0.0,1.0,0.0,0.0,NEU
She is adorable!,0.636,0.364,0.0,0.5411,POS
"""SHello??? Can you hear me?""🤣",0.0,1.0,0.0,0.0,NEU
She must have connected directly with sponge Bob.,0.0,1.0,0.0,0.0,NEU
She is adorable,0.615,0.385,0.0,0.4939,POS
"She’s a character like her daddy lol",0.57,0.43,0.0,0.6486,POS
We went today. It was our first time. Loved it.,0.302,0.698,0.0,0.5994,POS
She’s adorable! Love the phone cover!,0.666,0.334,0.0,0.8395,POS
Now that’s a phone!😂😂😂,0.0,1.0,0.0,0.0,NEU
That is so funny,0.555,0.445,0.0,0.5777,POS
"Denis Phillips - She is too funny!🤣 I'm sure it's never a dull moment with her!🥰",0.3,0.7,0.0,0.63,POS
We loved the Dalí Museum!,0.512,0.488,0.0,0.636,POS
The daily museum is pretty awesome!,0.655,0.345,0.0,0.8221,POS
She is growing up fast. So cute !,0.514,0.486,0.0,0.6468,POS
"Where do lobsters park there public transport vehicles?
At the bustacean",0.0,1.0,0.0,0.0,NEU
Love this ❤️...became a beutifull young talented lady,0.6,0.4,0.0,0.8176,POS
Ryan is so beautiful,0.625,0.375,0.0,0.7177,POS
The Dali Alive 360 is fantastic.,0.608,0.392,0.0,0.7351,POS
She’s adorable !,0.777,0.223,0.0,0.5411,POS
Do those things still work?,0.0,1.0,0.0,0.0,NEU
We were just there,0.0,1.0,0.0,0.0,NEU
Absolutely,0.0,1.0,0.0,0.0,NEU
Omg! NOT FUNNY! Find Another Way To Amuse & Entertain Yourself!!!!,0.383,0.434,0.183,0.4972,POS
