"Red draws your attention, what it means is that 2-7 days from now there is a 70% chance that a numbered or named storm could develop in the red area. We will be watching this closely and have regular updates on what to expect.",Pos,Neu,Neg,Compound,Overall Sentiment
What storm was it that literal stalled and soaked Florida for days? All i know is our 4 dogs hate water.💦,0.0,0.756,0.244,-0.6705,NEG
most recent I think I remember was Sandy.,0.0,1.0,0.0,0.0,NEU
Elena?,0.0,1.0,0.0,0.0,NEU
"I will never forget Elena! Labor Day weekend 1985. Came back to Redington Beach where I lived back then. House flooded, calf deep sea and sewer water. It had been sitting there in house 3 days. Car was totaled, all windows blown out and it was gull of water. UGHHHH",0.041,0.959,0.0,0.2401,POS
I can’t believe the GFS was right and the euro was wrong. The euro is a favorite of mine as well.,0.211,0.661,0.128,0.25,POS
it's hard when there's no actual storm yet.,0.0,0.625,0.375,-0.3818,NEG
I always thought the EURO was the right one. Now I am not sure.,0.0,0.849,0.151,-0.2411,NEG
it has a significantly higher percentage of accuracy over the years.,0.0,1.0,0.0,0.0,NEU
not this time,0.0,1.0,0.0,0.0,NEU
I have always found that to be true.,0.318,0.682,0.0,0.4215,POS
it’s not over yet! Lol,0.0,0.604,0.396,-0.3867,NEG
it changed in less then 24 hours . The Euro may still hold true.,0.189,0.811,0.0,0.4215,POS
"Still haven't recovered from Idalia, cut us a break 😭",0.0,0.769,0.231,-0.2732,NEG
🙏🏼,0.0,1.0,0.0,0.0,NEU
"I'm all good with my flashlights and 3 cases of water. Just tell me days before i'm gonna be evacuated. lol Last year I booked a hotel, and they cancelled 2 hours as the hurricane was coming. grrr lol",0.203,0.716,0.081,0.7269,POS
What name will this storm be named?,0.0,1.0,0.0,0.0,NEU
Debby!!!! 👍👍👍,0.0,1.0,0.0,0.0,NEU
Thank you😊,0.714,0.286,0.0,0.3612,POS
Glad it’s spelled THAT way 😝😝😝,0.375,0.625,0.0,0.4588,POS
me too,0.0,1.0,0.0,0.0,NEU
lol me too!,0.607,0.393,0.0,0.4753,POS
debby,0.0,1.0,0.0,0.0,NEU
Here we go!!,0.0,1.0,0.0,0.0,NEU
Ugh 2-7 days feels like a big difference. 😩,0.243,0.485,0.272,-0.0772,NEG
Will there be significant weather Clearwater on Saturday. 2-7 days seems like a big difference,0.264,0.736,0.0,0.5106,POS
The other one missed us and went to Texas so now it's trying to make up for it.,0.0,0.885,0.115,-0.296,NEG
"we can’t take another one right now in Texas.",0.0,1.0,0.0,0.0,NEU
"Oh snap, we are supposed to go to St Pete for our vacation next week Tuesday-Sunday.",0.0,1.0,0.0,0.0,NEU
"Travelling from the UK on the 9th. First time in summer, so hoping it’s going to be ok",0.267,0.733,0.0,0.7019,POS
everyone will have really green grass and lots of flowers from the rain. It’ll be gone. Enjoy Florida.,0.158,0.842,0.0,0.4939,POS
flying into Melbourne on Sunday.,0.0,1.0,0.0,0.0,NEU
east coast. You have nothing to worry about. This will be on the Gulf side.,0.147,0.853,0.0,0.3412,POS
will be long gone by then,0.0,1.0,0.0,0.0,NEU
same 🤞,0.0,1.0,0.0,0.0,NEU
"Thank you because I have a trip to Florida next week",0.238,0.762,0.0,0.3612,POS
same 6-11th. Ugh not sure if I should cancel before our trip is non refundable.,0.0,0.619,0.381,-0.6968,NEG
same 8/5 - 8/10,0.0,1.0,0.0,0.0,NEU
8/8 and driving. Let's hope it's just a little rain storm 🤞,0.244,0.756,0.0,0.4404,POS
same. Same days too.,0.0,1.0,0.0,0.0,NEU
same 8/8 to 8/15.,0.0,1.0,0.0,0.0,NEU
8/4-8/10!,0.0,1.0,0.0,0.0,NEU
supposed to be in Gulf Shores 4th to the 9th!,0.0,1.0,0.0,0.0,NEU
I currently live in Alabama but not near the Gulf. Definitely will see rain from it if heading this way,0.165,0.835,0.0,0.5499,POS
same😅,0.0,1.0,0.0,0.0,NEU
same 8-12,0.0,1.0,0.0,0.0,NEU
This turtle left-right “thing” is making it difficult to plan anything!!,0.0,0.764,0.236,-0.4738,NEG
"We are set to fly in to FLL on Saturday the 10th and get on a cruise on Monday the 12th, will this be out of there by then?",0.0,1.0,0.0,0.0,NEU
It will probably be gone by mid-week. I think you're good!,0.262,0.738,0.0,0.4926,POS
"where are u cruising out of?",0.0,1.0,0.0,0.0,NEU
"Noooo, I'm suppose to be flying into Tampa Wednesday 5pm.",0.0,1.0,0.0,0.0,NEU
same! I have to fly out Sunday to PA for work and am coming home (Lakewood Ranch) Tuesday night flying into Tampa 🙄,0.0,1.0,0.0,0.0,NEU
Every weather app says something different 😂🥲 my kids have a dig day planned alin Orlando and I'm worried they will be rained out .. should I be concerned? I know it's hard to time frame these things.,0.0,0.902,0.098,-0.3818,NEG
We will be leaving Florida sooner then expected then 🥺🫶🏼!,0.0,1.0,0.0,0.0,NEU
"no need to go anywhere just yet.",0.0,0.732,0.268,-0.296,NEG
"we don’t want to take any chances, because we are traveling with our fifth wheel ! 🫣🫠
Even if it’s rain, we would be better if we are trying to chase the sun 😂",0.178,0.822,0.0,0.6476,POS
I would wait til tomorrow the storm may not even form and dissipate.,0.0,1.0,0.0,0.0,NEU
"we are supposed to leave Sunday instead of midweek , I guess we will see until then ! Thank you 🥰😘",0.14,0.8,0.06,0.3802,POS
"I was hoping it would go out in the Atlantic Ocean and not affect anyone.. I am hanging on to Rule #7 , but I am beginning to worry. Yesterday it was yellow with lesser chance of it developing. In less than 24 hours it has become red with a good possibility of developing I am getting better at this because Denis Phillips explaines it so well. Thank you DPL.",0.242,0.71,0.048,0.9385,POS
I have a feeling the panhandle is gonna get hit again. Unfortunately bad news for them but we maybe spared again.,0.059,0.755,0.186,-0.4019,NEG
Great of all the times we fly out of Tampa on Tuesday for vacation lol,0.347,0.653,0.0,0.7845,POS
Looks like it's going Way West,0.333,0.667,0.0,0.3612,POS
Panning on going to SeaWorld and the water park this weekend. Do you think we will get rained out,0.0,1.0,0.0,0.0,NEU
"If this were to impact the west coast of Florida, what is the timeframe? Just curious since we’re flying into Bradenton to go to Anna Maria on Thursday?!",0.099,0.901,0.0,0.4501,POS
sunday night into possible Tuesday morning depending if it stalls,0.0,1.0,0.0,0.0,NEU
thank you!,0.736,0.264,0.0,0.4199,POS
I’m worried in Houston,0.0,0.577,0.423,-0.296,NEG
What's over there gulf or out west that is keeping this from coming to Texas?,0.0,1.0,0.0,0.0,NEU
theres a high pressure in the Atlantic and also one over the west.,0.0,0.833,0.167,-0.296,NEG
"thanks for a wimpy hurricane that didn't follow its predictions, Beryl was crummy.",0.196,0.676,0.128,0.25,POS
SOOO basically the entire state 😕,0.0,1.0,0.0,0.0,NEU
how’s the sea looking for the week after 13-26,0.0,1.0,0.0,0.0,NEU
Wow- thats pretty far out.,0.7,0.3,0.0,0.7906,POS
which is why I asked about the sea lol,0.286,0.714,0.0,0.4215,POS
"Thanks Denis, I count on you.",0.42,0.58,0.0,0.4404,POS
Will it be in gulf by weekend,0.0,1.0,0.0,0.0,NEU
yes,1.0,0.0,0.0,0.4019,POS
"Thanks for your updates, you always keep all informed.",0.266,0.734,0.0,0.4404,POS
"I am flying out Tuesday morning, how about arrival time mid-day Sunday thank you.",0.172,0.828,0.0,0.3612,POS
"Will it hit Largo?",0.0,1.0,0.0,0.0,NEU
Let's hope not but we may know in 7 days!,0.219,0.781,0.0,0.3054,POS
we have a winter place there. I hope not!,0.347,0.653,0.0,0.4926,POS
"We do too! 😊",0.0,1.0,0.0,0.0,NEU
NO !! We are on sacred burial ground !! At least that has worked so far for all these years !!!! 🤞🙏🏻,0.0,0.837,0.163,-0.625,NEG
I forgot!!! We are allset!!🙏,0.0,1.0,0.0,0.0,NEU
EXACTLY !!! lol No worries 😉,0.262,0.187,0.55,-0.4724,NEG
🤦‍♀️🤦‍♀️🤦‍♀️ flying to Rhode Island next Friday. Hope it goes away soon 🙏🙏,0.195,0.805,0.0,0.4404,POS
flying out Friday too! To NJ.,0.0,1.0,0.0,0.0,NEU
"what time?",0.0,1.0,0.0,0.0,NEU
take off is at 8:15am. How about you?!,0.0,1.0,0.0,0.0,NEU
I totally said that to Kyle! That we could be airport buddies if the times aligned!!! Thank you!! Have a safe trip too and have fun!,0.32,0.68,0.0,0.871,POS
you too thx 🙏❤️,0.455,0.545,0.0,0.3612,POS
"I’m supposed to fly out of Tampa on Tuesday 🤦‍♀️🤦‍♀️🤦‍♀️",0.0,1.0,0.0,0.0,NEU
hope it’s not a problem for you,0.563,0.437,0.0,0.6319,POS
thanks,1.0,0.0,0.0,0.4404,POS
Was the GFS correct? Say what?,0.0,1.0,0.0,0.0,NEU
"Thank you for your updates.
You still got some Diet Dr Pepper???",0.217,0.783,0.0,0.466,POS
Is there a time expectancy yet? Destin for example?,0.0,1.0,0.0,0.0,NEU
"Sunday/monday",0.0,1.0,0.0,0.0,NEU
"thank you!!",0.755,0.245,0.0,0.4738,POS
Isn' it already invest97L??,0.0,1.0,0.0,0.0,NEU
"Just prepare. Prepare for flooding. Figure out your evacuation route. Generators, batteries, water and food, cook food on propane first that may spoil, know your flood zone (it will be a new moon, so tide may be higher), get anything valuable off of the ground in advance if you are in a flood zone or surge zone. If you only have one safe way out, consider going further inland for a night or two to prevent being stuck. If you stay, have a life vest or something floaty. Get one for the puppers. Emergency use cases, it comes in handy and can lessen some stress. Seal important documents, and have some cash. Have gas, don't be a gas hog at the station. Don't stress. Use common sense. This happens every year, take it serious, but don't freak out over it. Just have a plan, practice the plan, and execute. And if it doesn't happen... yay! Party.",0.059,0.848,0.093,-0.674,NEG
gotta go buy 100 rolls of TP. be right back,0.0,1.0,0.0,0.0,NEU
don’t forget the 48 cases of water and 60 loaves of bread. Especially if you are in Miami- 6 hours from where any rain might fall.,0.0,0.927,0.073,-0.2263,NEG
"just a few miles east of Tampa, but its the same out here ! 😃",0.0,1.0,0.0,0.0,NEU
lol I won’t lie. I did just check the garage to make sure I had some in there.,0.282,0.718,0.0,0.6249,POS
me too shhhh,0.0,1.0,0.0,0.0,NEU
Brilk!!! (Bread and Milk),0.0,1.0,0.0,0.0,NEU
"and I checked my TP too lol",0.359,0.641,0.0,0.4215,POS
"I love you and I know you want to hang out but sending a storm with your name, was not the way.
I think I’m on the list too. I think we should all be afraid of that storm comes as I know the fury of my anger these days",0.07,0.743,0.188,-0.8537,NEG
I never liked the color red lol Also thank you Denis. You are the man Sir. Signed fellow Diet Dr Pepper lover lol,0.381,0.544,0.075,0.8614,POS
Is this red x different from the orange blob we've been watching?,0.0,1.0,0.0,0.0,NEU
"no, same storm, it changed colors from orange to red due to upping the chance of development",0.104,0.781,0.115,-0.0516,NEG
