5pm Advisory update for PTC #4:  No changes to winds or track. The Tropical Storm Watch has been extended North to Levy county. We'll have complete updates on ABC Action News and we will post our thoughts throughout the evening on social media.,Pos,Neu,Neg,Compound,Overall Sentiment
Over Apollo Beach a little while ago! Clouds were rotating.,0.0,1.0,0.0,0.0,NEU
"afternoon regular lol it's fl",0.412,0.588,0.0,0.4215,POS
not anywhere close to us yet.,0.0,1.0,0.0,0.0,NEU
Thank you Mr Philips. So appreciate your keeping us well informed.,0.487,0.513,0.0,0.7645,POS
Ya just never know. Wasn't Charlie in 2004 the hurricane headed straight for Pinellas and at the last minute took a right turn to Punta Gorda?? It crossed across the State to Ormond Beach. A lot of people from Pinellas evacuated to the center of the state and ended up getting hit.,0.044,0.956,0.0,0.3094,POS
yes but much different storm.,0.316,0.684,0.0,0.2144,POS
"true, but what I'm saying is you just never know with this stuff",0.137,0.863,0.0,0.2263,POS
that Hurricane changed Polk county,0.0,1.0,0.0,0.0,NEU
"In my backyard in riverview, but it went back up in the clouds. Sorry about video, handed phone to husband 😉🤣",0.0,0.932,0.068,-0.1154,NEG
nothing to do with this storm.,0.0,1.0,0.0,0.0,NEU
"no, but it was neat to see...",0.377,0.472,0.151,0.5267,POS
"It is a ""small craft advisory"" for adventure!!!",0.346,0.654,0.0,0.4898,POS
"Right off the coast at high tide, perfect!",0.363,0.637,0.0,0.6114,POS
"First casualty on my Plumeria I think it was my husband and not the storm from last night.
She’s my strongest semi compact grower now 7 yrs old and only planted in ground 2 or so months ago.",0.074,0.84,0.087,-0.128,NEG
if it broke just leave it for a few days and stick back in ground. My landscaper knocked over a tree and now I have 5 sticks blooming.,0.0,0.846,0.154,-0.4588,NEG
Getting a thunder storm now.,0.0,1.0,0.0,0.0,NEU
"I’m from the DELMARVA area, too! Tropical storms several times a year, just close your windows!",0.0,1.0,0.0,0.0,NEU
Ugh so one of my two days off is going to be spent in the house. Hopefully with power.😂,0.12,0.756,0.124,-0.0258,NEU
"PTC, just had to Google the meaning of this new lingo means🙄",0.0,1.0,0.0,0.0,NEU
"I see you are going to make me google it also 😂",0.0,1.0,0.0,0.0,NEU
Right lol,0.737,0.263,0.0,0.4215,POS
Charley was on the same path.,0.0,1.0,0.0,0.0,NEU
"Are PTC#4 and Invest 97, the same?",0.0,1.0,0.0,0.0,NEU
yes,1.0,0.0,0.0,0.4019,POS
yes,1.0,0.0,0.0,0.4019,POS
Is it slowing down? Now we are looking at closer to afternoon Sunday? We have a high tide that afternoon!,0.0,1.0,0.0,0.0,NEU
"Any idea how long the rain will stick around? We are visiting and this is our first “tropical” storm! lol 😂 Not worried, just want to know when I can possibly be back on the beach with a drink in Hand… priorities! 🤣",0.124,0.847,0.029,0.6187,POS
We have a storm surge watch now to,0.0,1.0,0.0,0.0,NEU
Is this for sure gonna be a hurricane or tropical storm?,0.204,0.796,0.0,0.3182,POS
I saw circulation and an eye forming on another weather site,0.0,1.0,0.0,0.0,NEU
"Probably won’t have an eye with this one the entire time it’s in the gulf. Too east and too little time over gulf, and lots of Florida land interaction, for a stronger storm it needs to go west",0.067,0.933,0.0,0.3818,POS
hurricane hunters were goin today havnt heard yet,0.0,1.0,0.0,0.0,NEU
"They haven’t found a well defined low level center yet as far as I’m aware, the last few mins",0.104,0.792,0.104,0.0,NEU
"I’m not from Florida, but we will be in Destin on Sunday for a week. How’s it looking in that area during that time?",0.0,1.0,0.0,0.0,NEU
"Sunday is when this will get to Florida. Just be prepared for alot if rain. If you will be on the coast, make sure to check out the local weather there. This us mainly Tampa Bay area. Understand the flooding in your area when you arrive.",0.087,0.913,0.0,0.4939,POS
Same here. Headed to Cape San Blas! Interested to see what the thoughts are for these areas,0.158,0.842,0.0,0.4574,POS
"if the storm turns east you will be fine. If it doesn’t, you need to buy a golf umbrella.",0.096,0.904,0.0,0.2023,POS
"Rain!",0.0,1.0,0.0,0.0,NEU
Destin isn’t in the cone of uncertainty. You should be fine.,0.136,0.682,0.182,-0.1531,NEG
great to hear! Thank you 😊,0.697,0.303,0.0,0.784,POS
"awesome, thank you. We head out today and will drive halfway to Mississippi and then should be in Destin tomorrow at around 1 PM. I hope y’all stay safe!",0.356,0.644,0.0,0.9134,POS
Will ocala get anything?,0.0,1.0,0.0,0.0,NEU
"I just wanna know if I can go to Pensacola beach tomorrow? lol",0.219,0.781,0.0,0.4215,POS
"What’s with the PTC all of a sudden. On my Hurricane app too.",0.0,1.0,0.0,0.0,NEU
I know what it means. I should have ask why all of a sudden are we using that now. Or maybe I never noticed.,0.0,1.0,0.0,0.0,NEU
Potential Tropical Cyclone. It's new and sort of and early warning system..,0.0,0.821,0.179,-0.34,NEG
Either way. I’m ready 😂😂😂😂,0.385,0.615,0.0,0.3612,POS
"as I said, it is new. It gives EOCs a way to start warning systems earlier.",0.0,0.844,0.156,-0.34,NEG
"thanks!",1.0,0.0,0.0,0.4926,POS
"potential tropical cyclone",0.0,1.0,0.0,0.0,NEU
"💪🏼💪🏼",0.0,1.0,0.0,0.0,NEU
Ready set …. Everyone slam the panic button 😂🙄,0.174,0.417,0.41,-0.5267,NEG
Rule #7!,0.0,1.0,0.0,0.0,NEU
"It's just gonna be a rain storm... We've been through much worse 🌴😜🤘🏼😎🌴",0.0,0.78,0.22,-0.4767,NEG
Apollo Beach 450,0.0,1.0,0.0,0.0,NEU
Charlotte County has started sending messages about the watch.,0.0,1.0,0.0,0.0,NEU
looks like we r almost out of the cone for now..but never will I let my guard down🙏,0.143,0.857,0.0,0.3612,POS
Riverview off Bloomingdale providence. Was this a tornado 🌪️ trying in formation Denis Phillips my kid took this photo,0.0,1.0,0.0,0.0,NEU
Our local news has the track changing a tad west.,0.0,1.0,0.0,0.0,NEU
I always check you first for our weather updates,0.0,1.0,0.0,0.0,NEU
I am flying into TPA Monday at 5:30. Where will this storm be located on Monday afternoon? Thanks everyone. 🤞,0.146,0.854,0.0,0.4404,POS
it won’t be over the airport will 5:38 so you should be fine.,0.13,0.87,0.0,0.2023,POS
thanks for your info. That helps.,0.579,0.421,0.0,0.6705,POS
look at the map. It tells you.,0.0,1.0,0.0,0.0,NEU
Did it slow down?,0.0,1.0,0.0,0.0,NEU
"he said it would",0.0,1.0,0.0,0.0,NEU
"here’s the latest",0.0,1.0,0.0,0.0,NEU
Thanks!!!!,0.0,1.0,0.0,0.0,NEU
