Here's a closer look at the updated 5pm track. I will post my thoughts on how this impacts our weekend weather shortly.,Pos,Neu,Neg,Compound,Overall Sentiment
Tampa Bay area has the Tocobaga tribe burial. We're good here. Everyone else stay safe.,0.309,0.691,0.0,0.7003,POS
is true! 💯,0.756,0.244,0.0,0.4753,POS
keep believing that 🤦,0.0,1.0,0.0,0.0,NEU
that also could mean we are do never underestimate the power of the ocean and a hurricane it coukd completely wipe out Tampa if it hits right .. thats the risk you take living here,0.052,0.889,0.058,-0.0547,NEG
a myth is true 🤣 tell that to the people that went thru last one in Tampa ..it could also mean we are due,0.118,0.882,0.0,0.4215,POS
always wanted to research it.....,0.0,1.0,0.0,0.0,NEU
"At the moment, I am coming in tomorrow on a southwest flight at 4:20 PM and according to them, my flight is on time",0.0,1.0,0.0,0.0,NEU
my flight is at 1pm and lands in Tampa on Sunday at 3:45pm. Waiting for the cancelation so I can rebook for Monday 😑,0.0,1.0,0.0,0.0,NEU
snoop and I approve of your flight time 😂,0.0,1.0,0.0,0.0,NEU
my sons was just canceled on South West tomorrow at 9 pm returning from Buffalo,0.0,1.0,0.0,0.0,NEU
good luck with your flight,0.663,0.337,0.0,0.7096,POS
If it could just stay a smaller storm...please. ❤,0.0,1.0,0.0,0.0,NEU
I need this track to slow down or hurry up. We need Sunday for a wedding 💒,0.0,1.0,0.0,0.0,NEU
rain on your wedding day is good luck,0.496,0.504,0.0,0.7096,POS
showers of blessings. Rained on us and we've been married 55 years.,0.241,0.759,0.0,0.5423,POS
congratulations to the couple.,0.565,0.435,0.0,0.5994,POS
either way girl people won't be able to drive in the flooding. Lets pray,0.15,0.85,0.0,0.3182,POS
but they have to get to that area. My aunt lives in a flood zone for her to travel out there she wouldn't make it.,0.0,1.0,0.0,0.0,NEU
last I heard - morning should be ok.,0.306,0.694,0.0,0.296,POS
the wedding is at 6:00 p.m. Sunday what do you think it will be like at that time around Park boulevard?,0.111,0.889,0.0,0.3612,POS
"agree but I need Monday for a day off",0.226,0.774,0.0,0.1901,POS
“when it rains on your wedding day” … just heard this song randomly today. It’s good luck. Expect rain Sunday.,0.258,0.742,0.0,0.7096,POS
oh no!!! Fingers crossed for you!!,0.0,0.598,0.402,-0.5216,NEG
Headed to Apple Pepsi Cola like they all used to… back in the day.,0.161,0.839,0.0,0.3612,POS
"Once again Denis Phillips, you are not into all the drama. Thank you!",0.189,0.811,0.0,0.4199,POS
Regardless we are going to be on the bad side of the storm it will be a little windy and a lot of rain around Tampa area. I always listen to Denis and have been safe for over 20 years here,0.068,0.849,0.083,-0.1531,NEG
Polk county is out?,0.0,1.0,0.0,0.0,NEU
looks like 1/3 of the county is still in. We will still get wind and rain from it too I'm sure...,0.111,0.889,0.0,0.3612,POS
"the cone is just the chance of the center being in that location., not the width of the storm. It’s saying there’s a chance that solid white line can move as far east as Polk, which would mean the whole storm would be over the county.",0.118,0.882,0.0,0.5574,POS
60 to 75 mph winds,0.0,1.0,0.0,0.0,NEU
Just because that little line isn’t going over your county at this point in time doesn’t mean you’re out. Much of the state is going to see a good amount of rain from this.,0.083,0.917,0.0,0.4404,POS
Just got pretty windy in Ocala ...,0.348,0.652,0.0,0.4939,POS
My husband is riding his motorcycle home to spring hill from AL on Sunday. So I'm watching this turtle like a hawk...,0.111,0.889,0.0,0.3612,POS
Have my plan B in place to get home from VA Sunday. It will just require my husband to drive to Orlando Airport instead of PIE!,0.0,1.0,0.0,0.0,NEU
I have to work thru Monday. Hope it's enough to get a day off!,0.225,0.775,0.0,0.4926,POS
My theory is there is no tropical storm. It’s all a rouse because the weather people are hiding tbe real truth: Godzilla and King Kong are going to be fighting it out somewhere in Florida.,0.059,0.765,0.176,-0.5574,NEG
"Gone a little bit more north from last update with had it right over me. Now more towards northern panhandle, Jacksonville direction. But still 2pm still has the RIGHT SIDE of storm rt outside my area… 🙃",0.0,1.0,0.0,0.0,NEU
Riverview at 5:20,0.0,1.0,0.0,0.0,NEU
that’s wild!,0.0,1.0,0.0,0.0,NEU
it appeared for a short amount of time and then disintegrated quickly!,0.0,1.0,0.0,0.0,NEU
"sooooo, my Sunday flight at 4pm isnt looking so good...",0.0,1.0,0.0,0.0,NEU
My Sunday flight at 8:30 am isn't either.,0.0,1.0,0.0,0.0,NEU
where are you flying out of or into,0.0,1.0,0.0,0.0,NEU
"i’m not sure of your airline, but Southwest Airlines already has a travel advisory out so you might want to check with your airline to see if you can change your ticket to leave earlier or later or get a refund.",0.045,0.886,0.068,0.0167,NEU
"funny you mention this, I decided to be proactive and call SWA and as I was dialing them I got the alert. Was able to bump up my flight to tomorrow afternoon!",0.24,0.76,0.0,0.8016,POS
Fingers crossed. Can you maybe leave earlier?,0.0,0.833,0.167,-0.0516,NEG
totes leaving earlier! Just got off the phone with SWA!,0.0,1.0,0.0,0.0,NEU
Thank you for all the updates...we appreciate it!!,0.491,0.509,0.0,0.6988,POS
I’m head out to North Carolina any thoughts on the weather forecast Monday/Tuesday,0.0,1.0,0.0,0.0,NEU
"Glad it will be moving swiftly to give it less chance of strengthening and flooding.",0.472,0.528,0.0,0.8335,POS
Like everyday around 4pm. Got it 👍🏼,0.294,0.706,0.0,0.3612,POS
Good for us east coasters,0.42,0.58,0.0,0.4404,POS
Should be a good party!,0.747,0.253,0.0,0.7088,POS
It's heading right to my house🙄🤦‍♀️,0.0,1.0,0.0,0.0,NEU
Looks Like tampa safe,0.73,0.27,0.0,0.6597,POS
Going to the big bend area like last year,0.238,0.762,0.0,0.3612,POS
What are thoughts about flights coming into Orlando Sunday? Lots of delays and cancellations?,0.0,1.0,0.0,0.0,NEU
dennis flying to Orlando tomorrow landing 3 pm will that be bad,0.0,0.741,0.259,-0.5423,NEG
Will this shift east at all?,0.0,1.0,0.0,0.0,NEU
"Imma hope no lol",0.64,0.112,0.247,0.5423,POS
"I really like this track",0.482,0.518,0.0,0.4201,POS
Am in Wesley chapel how bad does will it be here ?,0.0,0.741,0.259,-0.5423,NEG
So basically every afternoon 🤌😎,0.0,1.0,0.0,0.0,NEU
When am I supposed to worry ?,0.0,0.58,0.42,-0.4404,NEG
Did the track move slightly west?,0.0,1.0,0.0,0.0,NEU
"Sorry if this has been asked, and I know it's kind of random, but why are we suddenly seeing the word ""cyclone""??",0.0,0.93,0.07,-0.1306,NEG
I was always told the word cyclone was used in the Pacific instead of hurricane.,0.0,1.0,0.0,0.0,NEU
That’s what I thought! I’ve lived here for 13 years and this is the first time that I actually received a notification for cyclone watch! Strange!!,0.0,0.881,0.119,-0.453,NEG
Will it be raining when I walk my dog?,0.0,1.0,0.0,0.0,NEU
CAN SOMEONE GET THIS MAN SOME DR. PEPPER?!?!,0.0,1.0,0.0,0.0,NEU
