"Friday Evening  Tropical Update:
1. No changes to our earlier post this morning. Finally, things are proceeding as forecasted. 
2. The timing of our squally weather will be Sunday morning through the evening. Track ranges from landfall around Sarasota to the Big Bend Area. Regardless of the exact track, wind and rain will be about the same. Think afternoon thunderstorm. Winds of 40ish mph with higher gusts. (Yes, IF the storm were to get stronger the winds would be higher, but let's cross that bridge IF it were to happen. Ok?)
3. Surge of 1-3 feet is possible and unfortunately, yet again, the tide is high when the storm approaches.  The exact track DOES matter on this. If it stays offshore longer, the storm will get stronger and the surge could be a bit higher in Citrus and Levy counties. If ""Debby to be"" goes onshore sooner, the resulting surge would be lower across the entire area. 
4. Expect rainfall of anywhere from 2 to 6 inches with some spots higher and some lower. That's just the nature of any tropical system that comes through Florida.
5. We will be in the NE quadrant so there is always the chance we could see a waterspout (or tornado) or 2. 
6. Bottom line, this is more of a nuisance for most people. There could be some power outages...just as we often see during our thunderstorm season. Do I expect widespread issues?  I don't. 
7. Bottom line, nothing to freak out about. We get 40 to 50 mph winds many times in the Summer.  Wind-wise, it's an afternoon thunderstorm that will last for several hours.  
8. Surge is always our biggest concern with this kind of system. NHC is saying 1 to 3 foot surge in the Bay.  It might be ""just a tropical storm"" with wind, but water can still be a big issue. The exact location and timing of landfall is the biggest factor with surge. 
9. Lastly, I don't know if your flight is canceled and yes, it's going to rain at Disney.  (That should cover 95% of the questions I get)  We got this folks. This is good practice for what's on the way later this season.  Rule #7. (Don't freak out unless I'm freaking out, we're fine)  We live in Florida, this goes with the territory.",Pos,Neu,Neg,Compound,Overall Sentiment
Thank you for the drama free update so refreshing,0.453,0.547,0.0,0.7003,POS
"yes thank you Denis, helps keeps us calm🌺",0.609,0.391,0.0,0.7783,POS
"yes, I agree.",1.0,0.0,0.0,0.6369,POS
Thank you for the updates and keeping it real,0.238,0.762,0.0,0.3612,POS
Taken a few minutes ago in Apollo Beach. My guess is it's in the bay near the mouth of the Alafia.,0.0,1.0,0.0,0.0,NEU
"oh my!!!",0.0,1.0,0.0,0.0,NEU
"As always, Dennis keeping us informed, level headed, and prepared! Appreciate it!!",0.354,0.646,0.0,0.6679,POS
"Ditto what Laura said. Thank you, Denis!",0.318,0.682,0.0,0.4199,POS
I’ve always laughed at the “will my flight get canceled” people until now when I’m trying to send some of my family north and need them to leave 😂😂,0.096,0.865,0.038,0.4215,POS
"the struggle is real! I’m supposed to fly out on Monday, which looks ok, but this is the time to change, before the cancellation!",0.062,0.852,0.086,-0.1615,NEG
especially when flights are cancelled all the time. Weather at least is obvious.,0.0,0.857,0.143,-0.25,NEG
me too,0.0,1.0,0.0,0.0,NEU
right?! he should work for the airlines 😂😂😂 I didn’t know the weather man also flew planes!,0.0,1.0,0.0,0.0,NEU
"I knooooow, right? I used to laugh at those people too. Except now, my husband is supposed to fly into Gainesville, arriving around 7 PM on Sunday night. I’m concerned his flight might get canceled….. He has a ton of patients scheduled for Monday. If his flight gets canceled, it’ll be a sh*t show to get patients rescheduled.",0.065,0.935,0.0,0.5574,POS
can he fly into orlando or jacksonville and drive ? I’d rebook that now in your case to make sure he’s back,0.103,0.897,0.0,0.3182,POS
