I'd call this a 100% chance of rain.,Pos,Neu,Neg,Compound,Overall Sentiment
Riverview about 20 min ago. Went out back to let the dogs out before the rain and saw this!,0.0,1.0,0.0,0.0,NEU
riverview,0.0,1.0,0.0,0.0,NEU
That’s definitely a male cloud.,0.474,0.526,0.0,0.4019,POS
that's what I thought. I wasn't going to say it out loud 😅🤣,0.0,1.0,0.0,0.0,NEU
"You need to stop and grow up!!!!!
Me toooo 🤣🤣🤣🤣🤣🤣🤣",0.0,0.728,0.272,-0.5216,NEG
yikes!,0.0,1.0,0.0,0.0,NEU
Hello what’s goin on🥰,0.0,1.0,0.0,0.0,NEU
THAT is why you are such a great weatherman!!,0.401,0.599,0.0,0.6892,POS
"Dennis, you are better than this. You know with your equipment and forecasting abilities you can get it pretty precisely to 99.99998 percent chance. I know you're a humble man.",0.296,0.704,0.0,0.8442,POS
😂😂😂😂😂 we have the best weather man possible I’m crying I’m laughing so hard at these posts,0.292,0.512,0.196,0.5321,POS
Video of funnel cloud taken in riverview,0.155,0.845,0.0,0.0258,NEU
"wow, where in Riverview?",0.559,0.441,0.0,0.5859,POS
"right off of faulkenburg rd and progress village",0.286,0.714,0.0,0.4215,POS
Yesterday in Citrus Springs,0.0,1.0,0.0,0.0,NEU
Clearwater back yard,0.0,1.0,0.0,0.0,NEU
"We have had that ,thunder loud & crackling and rain here in SW /SMW's/Homosassa!",0.0,1.0,0.0,0.0,NEU
Call 100% tornado in riverview,0.0,1.0,0.0,0.0,NEU
That's what scares the hell out of me! Hit by one that touched down in Delray Beach almost 2 yrs ago.. so much damage to my condo and totaled my car.,0.0,0.715,0.285,-0.895,NEG
We just had a huge storm here around 3ish in Cortez. Couldn't even see driving. Had to pull over bc kiddos were in car w me.,0.091,0.909,0.0,0.3182,POS
I guess the storm coming early,0.0,1.0,0.0,0.0,NEU
"For the second time today, we had rain and thunder storms.. Had a break so we could get ready for whatever comes. Back yard is done.❤️👍",0.094,0.906,0.0,0.3612,POS
"South Venice",0.0,1.0,0.0,0.0,NEU
Yup!,0.0,1.0,0.0,0.0,NEU
I'd say so...,0.0,1.0,0.0,0.0,NEU
"Storm just got done in Clearwater!!!",0.0,1.0,0.0,0.0,NEU
for it to finish up in Oldsmar,0.0,1.0,0.0,0.0,NEU
Nice job!!,0.772,0.228,0.0,0.5242,POS
Same in Dunnellon,0.0,1.0,0.0,0.0,NEU
Good call,0.744,0.256,0.0,0.4404,POS
"Thats good one",0.592,0.408,0.0,0.4404,POS
You think? lol,0.583,0.417,0.0,0.4215,POS
Tampa,0.0,1.0,0.0,0.0,NEU
"cool but go inside gailllllll",0.292,0.708,0.0,0.1655,POS
lol we're fine we didn't dieee marylouuu,0.479,0.521,0.0,0.5574,POS
just making sure little miss Ava is ok,0.416,0.463,0.121,0.4927,POS
she's with her grandma lol,0.412,0.588,0.0,0.4215,POS
Someone on here will argue with you and then ask about their flight,0.0,0.833,0.167,-0.34,NEG
"😂😂😂
True dat!😆",0.607,0.393,0.0,0.4753,POS
Or their cruise. Or if the Skyway will be closed….,0.0,1.0,0.0,0.0,NEU
My daughter got home about 5:25 and caught the funnel cloud over Rvw. 📸,0.084,0.916,0.0,0.0258,NEU
"Ya think 🙄😂",0.0,1.0,0.0,0.0,NEU
Clearwater back yard,0.0,1.0,0.0,0.0,NEU
"Mmmmmmmmmmmmmmmmm I have a bad feeling about this",0.167,0.444,0.389,-0.4588,NEG
And a bad day to be standing under a tree,0.0,0.667,0.333,-0.5423,NEG
Hey Dennis I've been getting a lot of questions about when landfall is going to be. They don't know if Nutty Buddy zebra cakes Star Crunch or oatmeal pie is going to be in the forecast rotfl,0.093,0.907,0.0,0.5574,POS
"Someone in this area didn't get a drop, still... #weatherthings",0.185,0.815,0.0,0.2057,POS
So is it going to rain at Disney? I heard they have a dome!,0.0,1.0,0.0,0.0,NEU
"But will you ""guarantee "" it??? Lol",0.628,0.372,0.0,0.7744,POS
"Fla… not at my house",0.0,1.0,0.0,0.0,NEU
It's booming over the Bay right now and is heading out way in Coquina Key (South St Petersburg),0.0,1.0,0.0,0.0,NEU
"My girlfriends have been sitting on the runway in Fort Myers for over an hour, waiting to deplane. We had A pretty good downpour come through around 1:00. I lost power, but it came back. This is my current situation in Venice. 🙏🏼",0.093,0.87,0.038,0.34,POS
WE NEED IT!,0.0,1.0,0.0,0.0,NEU
you win the internet for today 😂,0.432,0.568,0.0,0.5859,POS
"Good call, you get an A for today! 😂",0.347,0.653,0.0,0.4926,POS
