Lots of folks talking about this funnel cloud. Brandon to Riverview. This is from Harbour Island. 📸 Karine Henschen,Pos,Neu,Neg,Compound,Overall Sentiment
My husband passed it driving on the freeway near Brandon,0.118,0.882,0.0,0.0516,POS
great shot. Those clouds were angry but beautiful 😬.,0.492,0.374,0.134,0.775,POS
That was my first time seeing anything like that!,0.259,0.741,0.0,0.4199,POS
Yup! Saw it too!,0.0,1.0,0.0,0.0,NEU
"My husband saw it, too, on his way to meet me for the Twisters movie!",0.0,1.0,0.0,0.0,NEU
My husband recorded it from our house in Riverview,0.0,1.0,0.0,0.0,NEU
wow. Frightened and amazing,0.661,0.087,0.252,0.6908,POS
Wow,1.0,0.0,0.0,0.5859,POS
Michelle that’s crazy ? Awesome video though,0.39,0.381,0.229,0.4019,POS
"One in Ruskin, over our neighborhood!",0.0,1.0,0.0,0.0,NEU
not so cool when u have it hit your home or town and it flattens everything you own. It’s very devastating to have to go through.,0.0,0.773,0.227,-0.7764,NEG
ghetto potty mouth from Fairfield.,0.0,1.0,0.0,0.0,NEU
potty mouth? What are you 8? 😂,0.0,1.0,0.0,0.0,NEU
no just wanted to use the English language and not lower myself to ghetto talking. How about you?,0.094,0.796,0.11,-0.0803,NEG
My husband was being chased by the same one!,0.0,1.0,0.0,0.0,NEU
"it wanted my boat 😬, but then Mr. Cloud just sucked him back up into the air were he belongs.",0.0,0.826,0.174,-0.6124,NEG
yikes!! Is he ok?,0.481,0.519,0.0,0.4184,POS
Yes - he was heading back in and saw it! They didn't even get rain!,0.202,0.798,0.0,0.508,POS
chased 😂,0.0,1.0,0.0,0.0,NEU
Video we took near Brandon Mall as it was starting to dissipate.,0.0,1.0,0.0,0.0,NEU
it took out the fence around the dumpster at longhorn where I work that is by the Brandon mall,0.0,0.914,0.086,-0.1531,NEG
Here’s how it started,0.0,1.0,0.0,0.0,NEU
Me and my husband definitely got a glimpse of it as well smh it was really trying to form a tornado my first time ever seeing this in real life,0.15,0.779,0.072,0.3612,POS
"WOW and that was all the way from St. Pete area, JESUS, IT WAS A TORNADO FUNNEL CLOUD, JESUS 🙏 IF PEOPLE CAN SEE IT, THAT FAR, THAT'S WHY THEY ARE SO DANGEROUS",0.162,0.714,0.124,0.1298,POS
We saw it while traveling on 50th Street in Tampa,0.0,1.0,0.0,0.0,NEU
How we saw it in Apollo Beach,0.0,1.0,0.0,0.0,NEU
I was driving so I only caught the end of it when I parked. But yes saw this in Brandon! Watched it get longer and longer. It was neat to watch,0.232,0.768,0.0,0.8335,POS
caught it on video - pretty epic! my kids thought they were going to die... i guess I need to take them to see twister.,0.143,0.857,0.0,0.5411,POS
unfortunately you never know what a tornado is gonna do it could’ve dropped on you at any moment and became a vicious tornado heading right towards you. I’ve lived in tornado alley for a big part of my life and the summer. We have had four tornadoes. Always be safe.,0.056,0.849,0.095,-0.25,NEG
"aww how precious. ""I don't wanna get hurt!"" 😭 my heart. I love that yall are teaching about when it is actually a tornado and when it's not. That'll help with that fear and they'll be able to see a distant funnel cloud next time and be in awe of it rather than afraid. 🥹",0.156,0.753,0.091,0.5905,POS
Wow what great pics everyone got ... how cool is that,0.56,0.44,0.0,0.8807,POS
Video I took of it,0.0,1.0,0.0,0.0,NEU
that's an awesome vid!!,0.61,0.39,0.0,0.6892,POS
cool corkscrew action in that rope. Nice capture!,0.473,0.527,0.0,0.6588,POS
Riverview area,0.0,1.0,0.0,0.0,NEU
"We just had it in our neighborhood in Riverview",0.0,1.0,0.0,0.0,NEU
w h at neighborhood,0.0,1.0,0.0,0.0,NEU
The view from my house,0.0,1.0,0.0,0.0,NEU
Yup! Over Apollo Beach,0.0,1.0,0.0,0.0,NEU
one was over the Publx at Apollo. It starting to form.,0.0,1.0,0.0,0.0,NEU
holy moly!!,0.0,1.0,0.0,0.0,NEU
"WOW, THANK YOU LORD, FOR NOT ALLOWING, IT, TO TOUCH DOWN 🙏",0.412,0.588,0.0,0.743,POS
"I didn’t see any funnel clouds over here is St Pete, only this stunning rainbow!🌈",0.268,0.732,0.0,0.5255,POS
"this was my view of it from Seminole",0.0,1.0,0.0,0.0,NEU
41 by Symmes,0.0,1.0,0.0,0.0,NEU
Riverview close with the hospital,0.0,1.0,0.0,0.0,NEU
Yes saw it in Riverview,0.403,0.597,0.0,0.4019,POS
We love Dennis Phillips weather at Jerry's Dockside come on down for lunch anytime #rule7,0.231,0.769,0.0,0.6369,POS
