"Tropical Storm Watches and Warnings! What you need to know
We've got a lot to talk about. Tracking what should be Debby in the Gulf later this weekend.   That's right now on DPL.",Pos,Neu,Neg,Compound,Overall Sentiment
"So, my daughter is flying from Ohio to Tampa late Sunday afternoon 😩",0.0,1.0,0.0,0.0,NEU
I would think the flight would be delayed or cancelled.,0.0,0.642,0.358,-0.4404,NEG
"Denis, what's going on right now over in Spring Hill by 41? Because this wind is absolutely insane",0.0,0.85,0.15,-0.4576,NEG
We had that earlier in Homosassa. It came with the typical pm rain storm,0.0,1.0,0.0,0.0,NEU
Crystal River coast flooding? We flooded with Idalia. Should we begin picking stuff up?,0.0,1.0,0.0,0.0,NEU
Such a funny story. Isn’t it great to have our kids help us?,0.519,0.481,0.0,0.8658,POS
South St Pete... just rain but my power is still on,0.0,1.0,0.0,0.0,NEU
Lightning in tropical storm or hurricane,0.0,1.0,0.0,0.0,NEU
Possible,0.0,1.0,0.0,0.0,NEU
Should we tank trampoline down port richey,0.0,1.0,0.0,0.0,NEU
Can it develop south of Cuba?,0.0,1.0,0.0,0.0,NEU
wondering the same,0.0,1.0,0.0,0.0,NEU
How hot is the gulf? Cause I am not understanding how this thing is not going to intensify in that bathtub out there.,0.0,1.0,0.0,0.0,NEU
Is this pathway it's taking setting up how the path does how much storms will go this year!,0.0,1.0,0.0,0.0,NEU
Are storm surges expected to be updated or 1-3 ft is what we should go off of? Shore Acres Resident that flooded during Idalia.,0.0,1.0,0.0,0.0,NEU
So a normal storm.. ok im going out to the club,0.215,0.785,0.0,0.3535,POS
Exactly our stores in tarpon springs flood easy,0.293,0.707,0.0,0.4404,POS
Thanks for all these updates! Watching you from New Hampshire keeping an eye on my home in St Pete!,0.162,0.838,0.0,0.5399,POS
So just a normal afternoon storm for a Polk County.,0.0,1.0,0.0,0.0,NEU
"High tide 2.9 feet at 12:20 on Sunday for St Joseph Sound",0.0,1.0,0.0,0.0,NEU
"If the center consolidates more south of Cuba, how much further west is it expected to come ashore? Watching in citrus",0.0,1.0,0.0,0.0,NEU
"If it makes landfall on Sarasota, will we be affected by more wind rain?",0.0,0.89,0.11,-0.1531,NEG
Tomorrow 1pm south Florida any rain? Trying to see if beach is still happening for us?,0.0,1.0,0.0,0.0,NEU
I have a event tomorrow night around lake worth just want to know if I should cancel or not 😢,0.176,0.714,0.11,0.0516,POS
Is Clearwater going to be ok I’m 2.2 miles from the gulf waters it’s literally just down the street from me,0.099,0.901,0.0,0.296,POS
Clearwater is always okay.,0.388,0.612,0.0,0.2263,POS
Euro has Idalia’s same track. Hit us right on. We made lots of preparation changes since.,0.0,1.0,0.0,0.0,NEU
Watching from Panama City... are we in the clear? Definitely still watching it 😭,0.325,0.675,0.0,0.6486,POS
Is driving from Orlando to new port Richey Sunday night safe?,0.225,0.775,0.0,0.4404,POS
What about the east coast in Ormond area ?,0.0,1.0,0.0,0.0,NEU
Should I reschedule my flight to Wisconsin Monday afternoon?,0.0,1.0,0.0,0.0,NEU
What does Monday look like for the Bay Area?,0.238,0.762,0.0,0.3612,POS
Tampa Bay storm surge with king tide?,0.0,1.0,0.0,0.0,NEU
This will finally be the year for GFS,0.0,1.0,0.0,0.0,NEU
And that's a scary thought. 😂,0.0,0.484,0.516,-0.4939,NEG
"Watching with my 6 year old, can you tell him everything is good 😂",0.209,0.791,0.0,0.4404,POS
This storm will be a piece of cake...debby cake 🎂,0.0,1.0,0.0,0.0,NEU
Hi from New Tampa,0.0,1.0,0.0,0.0,NEU
Hi,0.0,1.0,0.0,0.0,NEU
Skyway Bridge at 5am Sunday?? You’re the best!,0.409,0.591,0.0,0.7052,POS
I think tomorrows track is gonna be more solid.,0.213,0.787,0.0,0.2247,POS
Summer storm for 6 hours …,0.0,1.0,0.0,0.0,NEU
Will ocala be okay,0.388,0.612,0.0,0.2263,POS
