"Friday Evening Tropical Update:
1. No changes to our post earlier today.  Things are proceeding as forecast. Tropical Storm force winds for our area. (Think afternoon tstorms)  If the NHC track is accurate,  the storm would stay over water longer and could even become a low end hurricane before making landfall in the Big Bend area. Our winds would be the same although Citrus could be higher.
2. The timing of our squally weather will be Sunday morning through the evening. Track ranges from landfall around Sarasota to the Big Bend Area. Regardless of the exact track, wind and rain will be about the same. (30 to 40ish)
3. Surge of 1-3 feet is possible and unfortunately, yet again, the tide is high when the storm approaches.  The exact track DOES matter on this. If it stays offshore longer, the storm will get stronger and the surge could be a bit higher in Citrus and Levy counties. If ""Debby to be"" goes onshore sooner, the resulting surge would be lower across the entire area. 
4. Expect rainfall of anywhere from 2 to 6 inches with some spots higher and some lower. That's just the nature of any tropical system that comes through Florida.
5. We will be in the NE quadrant so there is always the chance we could see a waterspout (or tornado) or 2. 
6. Bottom line, this is more of a nuisance for most people. There could be some power outages...just as we often see during our thunderstorm season. Do I expect widespread issues?  I don't...at least not for the Bay Area.
7. Rule #7. (Don't freak out unless I'm freaking out, we're fine)  We live in Florida, this goes with the territory.  We got this.",Pos,Neu,Neg,Compound,Overall Sentiment
I always appreciate your straight forward- no drama information. And Rule #7.,0.311,0.541,0.149,0.34,POS
I agree. I use to watch PD on the other channel and he is no longer giving a truthful forecast. I feel he has succumbed to big corporate ratings wanting you to tune in by giving you half the truth. I now watch Denis instead of Paul.,0.248,0.709,0.043,0.8555,POS
"Saw some gusty winds toward late afternoon..some rain too, it's died down now though. Thought it was going to get worse so I hurried and brought all lawn furniture put away and secured garbage cans..but it is quiet now..but Thank God! Still cont.praying for everyone.",0.142,0.732,0.126,-0.1759,NEG
did the same. Just walked the dogs and all dry and calm. I’m ok with that 🙂,0.243,0.757,0.0,0.5423,POS
That was just an afternoon storm. It's not even close to us yet.,0.0,1.0,0.0,0.0,NEU
We had the same but that was normal afternoon TS. Nothing to do with the system in the Caribbean.,0.0,1.0,0.0,0.0,NEU
I thought it was starting early..or something..lol..winds were blowing good.,0.266,0.734,0.0,0.4404,POS
yeah i know. Lol. We had some bad storms tonight too and wish that was the brunt of it. Unfortunately the bad stuff comes Sunday. Hopefully not to bad.,0.24,0.462,0.298,-0.5423,NEG
too early hah. Not till end of day tomorrow,0.0,1.0,0.0,0.0,NEU
Thanks Denis Phillips for keeping us in the loop,0.266,0.734,0.0,0.4404,POS
This is one of those breakout the good bourbon and get a 🔥 book to read storms. Looking forward to the relaxation.,0.259,0.741,0.0,0.743,POS
"💯 cheers! 🥃",1.0,0.0,0.0,0.5255,POS
I went to the library today and got books to hunker down with. Lol.,0.189,0.811,0.0,0.4215,POS
that's a great idea I should have done that,0.406,0.594,0.0,0.6249,POS
