"Remember last night I gave the ""whack-a-mole-example"" with the center of the storm moving around and redeveloping in different spots? (Like the carnival game)
  The center has indeed developed a bit more to the South and West this evening.  Models will shift back and forth, but this is slightly different as a new center would mean a track more West.  It was a possibility we talked about extensively last night. 
  I would expect the NHC track to be nudged a bit to the West at 11 pm.  That would be good news for the Bay Area but not so good for areas up in the Big Bend as it would allow the storm to get stronger before landfall. A landfall that would be increasingly likely in a spot near where Idalia ended up last year. 
 We'll have the new update shortly.",Pos,Neu,Neg,Compound,Overall Sentiment
"Denis Phillips you may have mentioned this, but we had a Tropical Storm Debby hit Steinhatchee in June 2012. And it was a mega rain and flood producer.",0.0,1.0,0.0,0.0,NEU
Denis Phillips is it for this weekend or the next week,0.0,1.0,0.0,0.0,NEU
this,0.0,1.0,0.0,0.0,NEU
Crap. I feel so bad for anyone who has had direct hits. I’m in Sarasota and we’ve been so lucky. A TS here would have been so much better for everyone.,0.178,0.655,0.167,0.1031,POS
Poor Cedar Key just rebuilt too 😢,0.0,0.617,0.383,-0.4767,NEG
"Citrus and Levy county has just issued a voluntary evacuation order as of tonight",0.0,1.0,0.0,0.0,NEU
oh crap. Kids in Dunnellon!?,0.0,0.58,0.42,-0.4389,NEG
yeah Citrus already mentioned it on their page. I haven’t seen anything from Levy but I heard Levy just issued a voluntary evacuation order as of this evening. I’m guessing Levy hasn’t updated their page yet to reflect that.,0.044,0.956,0.0,0.1531,POS
It's better if we could take 1 for the team. I'd take a little rain and wind rather than to see this hit the panhandle hard.,0.11,0.837,0.053,0.3612,POS
As long as my homeowners insurance doesn’t go up…. I can take rain and wind. I hope nothing past a cat 1 comes this year (or any year to anyone),0.104,0.896,0.0,0.4404,POS
"yup!!! It's already gone up too much",0.0,1.0,0.0,0.0,NEU
it really has!,0.0,1.0,0.0,0.0,NEU
Still hoping we will be ok if we drive from Philly to Disney arriving sometime Sunday(hoping afternoon) via I-95 and I-4.,0.208,0.792,0.0,0.6124,POS
"More than likely just some afternoon rains, some windy days, & less crowded parks bc people 'cancel in fear'. Enjoy!",0.155,0.756,0.089,0.3595,POS
I’m ok with that(we go every year in August). It’s just the drive down that concerns me. Thank you!,0.227,0.773,0.0,0.6114,POS
"I think you should be fine. Mostly just some heavy rains. Might hit some standing water on the roads, of course, so just leave a little extra space, but you should be good. Be safe and have a great time!",0.312,0.663,0.026,0.9413,POS
"thank you! Kind of like driving in the snow….",0.431,0.569,0.0,0.6476,POS
you'll be fine,0.474,0.526,0.0,0.2023,POS
thank you for the vote of confidence! 🤞🤞🤞🤞,0.504,0.496,0.0,0.7263,POS
inland will just be some rain during the day. No big deal.,0.0,0.833,0.167,-0.296,NEG
Abd some wind.,0.0,1.0,0.0,0.0,NEU
"it's gonna be a very wet day",0.0,1.0,0.0,0.0,NEU
"figured that. Thank you.",0.455,0.545,0.0,0.3612,POS
Im on coastal water on Hilton Head. What do you think for us post upcoming 11 pm update in 25 minutes? I’d love to hear your insights for the Savannah Hilton Head region. Thank you. 😊,0.169,0.831,0.0,0.7717,POS
Enki Research covers Savannah very well.,0.324,0.676,0.0,0.3384,POS
"thank you. I do follow him also.
Not too much as of yet pre 11 update. He does do a great job. I appreciate the no panic straight up approach. Just thinking I’ll be leaving for this one. Too uncertain and uncomfortable.",0.213,0.59,0.196,0.2263,POS
I’ll blame it on Matthew 🤣,0.0,0.625,0.375,-0.34,NEG
why are you asking a FL meteorologist you can watch the NHC or maybe your local news? I don't get our Tampa Bay weather from SC weathermen but maybe that's just me🤣,0.0,1.0,0.0,0.0,NEU
they don't have anyone as good as Denis!,0.313,0.687,0.0,0.4926,POS
Would panhandle still be ok for vacation? Navarre Pensacola area?,0.221,0.779,0.0,0.3736,POS
"I have family in Navarre, love it up there!!!",0.42,0.58,0.0,0.7249,POS
this will be my first time! I pray it stays away,0.224,0.776,0.0,0.3802,POS
it's beautiful hopefully it won't be too rainy......there is a beautiful drive from Navarre Beach to Pensacola Beach along the Gulf of Mexico.,0.356,0.644,0.0,0.8885,POS
I am scheduled to fly home from VA Sunday afternoon into Clearwater. I booked a refundable backup flight into Orlando. Starting a new job Monday and not getting home isn’t an option 🤦🏻‍♀️,0.0,1.0,0.0,0.0,NEU
"Looks like our little morning storm,
prefers the evening hours. Jinx 😳",0.2,0.8,0.0,0.3612,POS
Don’t mention Idalia. It was 120 miles off the coast and we got 4-6 inches of water in our house. 5mnths to get the house back together.,0.0,1.0,0.0,0.0,NEU
yup. 12” for us. Not even a year since,0.0,1.0,0.0,0.0,NEU
"that’s exactly what I was thinking!!!",0.0,1.0,0.0,0.0,NEU
"Storms like these usually happen overnight, don't they? It's just a weird storm totally. And why the first storm of the season!? Lol I don't like Debbie. She has an attitude and needs to go.",0.216,0.741,0.043,0.7752,POS
Question. Ive been here a few years but when I hear big bend area it confuses me. I’m in Hernando near Pasco county line. Is that me ? Or further north. Basically I’m asking what I should expect for this,0.0,0.922,0.078,-0.4497,NEG
Keaton beach was the direct hit for idalia. It's just west of Perry. The bad part for pasco and North is the surge as it goes by..which caused alot of flooding in idalia,0.0,0.901,0.099,-0.5423,NEG
different people will give you different cities... Big bend is roughly Appalachee Bay to Waccasassa Bay.,0.0,1.0,0.0,0.0,NEU
"Tallahassee to Tampa",0.0,1.0,0.0,0.0,NEU
"further north , you're ok",0.423,0.577,0.0,0.296,POS
"Thanks, Denis! What are the odds it could shift back east?",0.242,0.758,0.0,0.4926,POS
"So how about that 950 storm the on August 14th showing up on the GFS in Louisiana 🧐😉🙃🤫🤪 looks like a possible nice Cat 3 headed their way if it pans out, just something to keep an eye on...",0.132,0.868,0.0,0.6486,POS
