"Overnight Tropical Depression #4 Update:
1. If you've been following my posts, you'd know we strongly suggested the center of this system would shift West and South. (The ole ""Whack-a-mole"" example). 🤣  That is exactly what has happened in the past 12 hours.  This has led to a track more to the West.
2. The models haven't changed. The location of the storm center has...and thereby, changing the path. (It's like if someone picked you up, and sat you down 30 miles to the West...your trip path would differ in the direction you magically were relocated) 
3. What does that mean?  It's good and bad.  It really doesn't change OUR forecast.  Still rainy on Sunday with gusty winds.  It MIGHT change the storm surge issue...although that's still dependent on how strong Debby (to be) will become along with its location.
4. Unfortunately, what this does change is it now gives the storm much longer time over water which will inevitably make it stronger. While the NHC keeps this just below hurricane status at landfall, I think the chances are high it will end up being a hurricane before impacting the Big Bend area. 
5. Ironically, back in 2012, Tropical Storm Debby hit the Big Bend area and caused significant flooding. It looks like it might happen again.
6. As for our area...the timing and intensity really haven't changed much. Scroll down to see my previous forecast..it remains about the same. 
7. As always, we'll be updating 24/7.  I don't expect the models to shift back East. Again, the models didn't change, the location of the storm did. I suspect this location sticks and we now have our center of circulation that will begin to strengthen and move North. 
8. Rule #7.  It's a LONG hurricane season and this is just the beginning.  Before we're done, I suspect we go through this at least another 2 or 3 times...but with stronger storms.  Florida weather is not for the faint of heart.",Pos,Neu,Neg,Compound,Overall Sentiment
Do you have new rain totals for the area,0.0,1.0,0.0,0.0,NEU
Denis Phillips oh ok. Thought that might have . Thank you for the gast response. Get some rest haha,0.339,0.661,0.0,0.7717,POS
"Talk AMI to me, I don’t know what Big Bend area is?",0.0,1.0,0.0,0.0,NEU
"Denis thank you! We are in the air now, 10 minutes from landing and the AMI page people are freaking out.",0.102,0.773,0.126,-0.1511,NEG
"Big Bend is well north of AMI, maybe 200 miles or a bit more.",0.149,0.851,0.0,0.2732,POS
"Tallahassee area where I am.",0.0,1.0,0.0,0.0,NEU
by the Big Bend in the coastline.,0.0,1.0,0.0,0.0,NEU
the Capitol of Florida is Tallahassee so where the bend begins before it goes down.,0.0,1.0,0.0,0.0,NEU
thank you!,0.736,0.264,0.0,0.4199,POS
"A capitOl is a building. A capitAl is a city. While the capitol is located *in* Tallahassee, the capital of Florida *is* Tallahassee *itself*.
Tallahassee is a capital, not a capito",0.0,1.0,0.0,0.0,NEU
anything near Wakulla County which is just south of Tallahassee/Leon County.,0.0,1.0,0.0,0.0,NEU
So will it rain at Disney still? 😂😂,0.0,1.0,0.0,0.0,NEU
"I live in Crystal River, but we've been in Orlando for a week. Eeeevery afternoon it's been storming",0.0,1.0,0.0,0.0,NEU
"normal for this time of year and Fl",0.0,1.0,0.0,0.0,NEU
I guess I need to cancel my canoe trip to Havana. 🤣🤣🤣,0.0,0.818,0.182,-0.25,NEG
I was just going to say- what about the flights and Disney trips haha,0.2,0.8,0.0,0.4588,POS
right?!?! He avoided those questions… now he must pay!,0.0,0.582,0.418,-0.6169,NEG
"Don't forget the , ""Do you ever sleep?"" Most def hurricane rookies 😂😂",0.132,0.868,0.0,0.1695,POS
yes,1.0,0.0,0.0,0.4019,POS
it rains everday Florida is rainiest state in us in summer,0.0,1.0,0.0,0.0,NEU
"as it seems of today, never 😉",0.0,1.0,0.0,0.0,NEU
So I guess I should give up on counting drops in St. Pete for the weekend? 😂,0.0,1.0,0.0,0.0,NEU
"Thank you for making me feel a bit better! You are the ONLY meteorologist I trust. my friends call me Mrs Weatherbee because I’m always tuned in to the weather on the tv, especially here in St Petersburg! Keep up the great work!!!",0.322,0.678,0.0,0.9522,POS
"You guys are Weather Rockstars. I get upset when the wind blows leaves on my patio. Floods, trees flying around Furniture and flooring underwater, don’t mean a thing. You go gang!",0.0,0.906,0.094,-0.4389,NEG
"That Indian burial ground thing 🙌🏼🙌🏼🙌🏼🙌🏼",0.0,1.0,0.0,0.0,NEU
yesssss lol I’ve been here 40 years born and raised and still think it’s a thing whether you are joking or not,0.198,0.802,0.0,0.5719,POS
"As a native Floridian, I believe it. 🤷‍♀️🤷‍♀️",0.0,1.0,0.0,0.0,NEU
"I totally believe it! 39, born and raised in Tampa, raising my family here now, and nothing else makes sense!",0.0,1.0,0.0,0.0,NEU
"So, does this mean I CAN leash train my cat at precisely 9:27am on Sunday now??? 😹",0.0,1.0,0.0,0.0,NEU
yes!!,1.0,0.0,0.0,0.508,POS
Depends...does your kitchen window face East?,0.0,1.0,0.0,0.0,NEU
"no, it faces west. Does this mean I can't do it after all?? 😱😭😂",0.0,0.824,0.176,-0.3736,NEG
you can try! The velocity of the cat's tail waving may keep some of the winds away from your house 😂,0.0,1.0,0.0,0.0,NEU
"oh man, I completely forgot to include considerations for the waving tail velocity! That could make a huge difference. Thanks for the reminder! 😹",0.233,0.767,0.0,0.6988,POS
You're probably doomed 🤷‍♀️,0.0,0.417,0.583,-0.6369,NEG
We appreciate you Denis Phillips and please know that Tampa bay is SO LUCKY to have you !!,0.403,0.597,0.0,0.8791,POS
Thank you Denis - please try and get some sleep tonight. Thank you for the wonderful job you do keeping us all informed.,0.379,0.621,0.0,0.875,POS
I definitely agree Florida weather is not for the faint of heart. I grew up here in Florida and I am aware of what hurricane season involves. But I ain’t moving anywhere because I love living here. We got this!,0.232,0.768,0.0,0.8655,POS
"that's right",0.0,1.0,0.0,0.0,NEU
At least it’s a daytime storm 💁🏽‍♀️ I hate when they happen at night,0.0,0.748,0.252,-0.5719,NEG
with the trough in the north and the track moving west will it increase chances of a stall? i'm gettin' a bit edgy after what idalia did last year here in citrus.,0.125,0.821,0.055,0.3182,POS
I think I need to move out of Florida. I am that individual with the faint of heart 🤣🤣 😂,0.0,1.0,0.0,0.0,NEU
"Have family in Niceville, Jacksonville, Homosassa and Tampa. It would be amazing if it barely was felt in those areas, though I'm not sure that will be the case due to the whack a mole. In the meantime, Rule #7 is in full effect.",0.081,0.877,0.042,0.4287,POS
I am glad we didn’t get the worse of it. My prayers to all and I hope everyone one safe without major damage. I thank God this one wasn’t bad and the other one to come aren’t worse. Thank you Denis Phillips for ur support and all ur updates. And being that calming voice that helped me and many others make it through this. Thank you.,0.279,0.583,0.138,0.8784,POS
"Why is it Denis Phillips when you number these predictions.. ( probably wrong term ) I read them like Chuck Lorre at the end of every episode of Big Bang Theory.. Yet, you always help me stay calm.. Regardless, Thank You for that!! #7",0.197,0.739,0.064,0.6688,POS
"In 2017, when Hurricane Irma was imminent, and during his “break” from the news, he sent his family out of town. By the time he returned from his break and told his extremely loyal listeners (many of which based THEIR decisions on whether to leave or stay on what Denis was doing with his own family)that he sent his own family out of town; it was “hunker down” time.",0.047,0.936,0.017,0.4927,POS
"Yay, safe and sound in pinellas..
Sacred Indian burial ground. ❤️",0.412,0.588,0.0,0.743,POS
your forecast hasn't changed!!,0.0,1.0,0.0,0.0,NEU
"its moved farther west, thats a good thing for where I'm at. .",0.225,0.775,0.0,0.4404,POS
"I have a flight from Atlanta to Tampa landing at 10AM Sunday morning. You think that flight will happen? Delta isn’t giving me a definite answer.
TIA",0.289,0.711,0.0,0.8192,POS
"he can't really tell you. The final decision will be up to Delta, so you'll have to keep checking with them. 😊",0.0,1.0,0.0,0.0,NEU
"if Delta can't give you a definite answer why would you think that Denis Phillips, or anyone else, could? Try using your head for something besides a hat rack.",0.0,0.935,0.065,-0.2057,NEG
was more looking for an opinion from a meteorologist on if he thinks the weather will be bad enough for them to cancel. No need to be a doucher.,0.0,0.757,0.243,-0.7717,NEG
"better check due to wind",0.42,0.58,0.0,0.4404,POS
sure it's just a rain storm,0.365,0.635,0.0,0.3182,POS
"Yeap your are golden to land , might be a lil bumpy (turbulence)",0.0,1.0,0.0,0.0,NEU
appreciate you giving solid advice!,0.778,0.222,0.0,0.7177,POS
"Exactly, so if you freak out every time there’s a mention of a storm you will be a nervous wreck by the end of the year. Take a deep breath and chill. And remember Rule #7. 😎",0.0,0.78,0.22,-0.8,NEG
"Will my flight be delayed as I simultaneously go to Disney lol 😂 PS, neither are factual. But I will send you Diet Dr Pepper if it misses us!",0.066,0.793,0.141,-0.2942,NEG
lol. So many people worried about the mouse!,0.268,0.519,0.213,0.1601,POS
because when you travel from the UK it’s can be a once in a life time and has taken years to plan and pay as the cost is astronomical … I would say pretty normal for people to be worried and not maybe something to laugh at,0.138,0.789,0.073,0.6369,POS
they aren’t laughing at the people worried they are laughing cuz people ask Denis Phillips if they should cancel their trip like he’s psychic..he’s a meteorologist and predicts weather he can’t tell people about their trips,0.206,0.696,0.097,0.6908,POS
people just want reassurance I think kindness is key,0.576,0.424,0.0,0.7003,POS
Denis Phillips - You deserve a crown of gold. The comments and questions from people would make me want to jump into the North Sea. Trolls 😏,0.053,0.947,0.0,0.0772,POS
IS MY HOUSE GOING TO BE UNDERWATER,0.0,1.0,0.0,0.0,NEU
IS MY SPECIFIC STREET GOING TO HAVE ANY BRANCHES FALL?,0.0,1.0,0.0,0.0,NEU
WE NEED ANSWERS,0.0,1.0,0.0,0.0,NEU
"not if you prepared for flooding months ago!",0.0,0.781,0.219,-0.2401,NEG
YOURE RIGHT I SHOULDVE PUT UP SANDBAGS IN MAY WHAT WAS I THINKING NOW IM WATCHING OLYMPICS WITH MY FEET IN WEIRD WATER,0.0,0.922,0.078,-0.1779,NEG
"I’ve been MIA. I thought your prediction a few days back was east of east coast? Eyeballing it, that’s a 250 mile shift West from latest track.",0.0,0.887,0.113,-0.4466,NEG
"it was, but the eye pretty much shifted and reformed a little bit south of Cuba. It's a similar movement/track as before, but from the new eye location",0.147,0.853,0.0,0.6486,POS
https://youtu.be/xx5t5ps-bwc?si=q3ctqueCZbQULMDE,0.0,1.0,0.0,0.0,NEU
It's always terrifying when it hits at night. Especially when it comes with tornadoes. Truly horrifying.,0.124,0.558,0.318,-0.6705,NEG
Thank you for always helping us out! Holding off on our weekend drive from Houston to Tampa I think 🤔,0.238,0.762,0.0,0.6114,POS
Rely on your updates and information. THANK YOU!,0.335,0.665,0.0,0.5461,POS
I’m over hurricane season already and it just started!,0.0,1.0,0.0,0.0,NEU
"Wait until September, lol.",0.483,0.517,0.0,0.4215,POS
that’s why Denis said in #7 on this post that “Florida is not for the faint of heart”.,0.0,1.0,0.0,0.0,NEU
"I appreciate you immensely, thank you for your service and educated information...instead of hype!!👏",0.345,0.655,0.0,0.6988,POS
"My sister took this earlier in valrico, pretty intense....",0.286,0.714,0.0,0.4939,POS
I’m flogrown! Bring it! If you’re not freaking I’m not lol rule #7,0.149,0.702,0.149,0.0,NEU
"This looks like good news for my flight home Sunday morning 😁",0.375,0.625,0.0,0.6597,POS
"I fly in to st Pete Sunday, does that mean it looks good for me too?",0.172,0.828,0.0,0.4404,POS
I think so but can’t say for sure 🤷🏻‍♀️😊 Fingers crossed! 🤞🏼,0.245,0.755,0.0,0.501,POS
"ok thanks",1.0,0.0,0.0,0.6249,POS
So less rain at Disney on Sunday? 🙏🏻😜,0.0,1.0,0.0,0.0,NEU
that’s what I want to know as well 😂,0.405,0.595,0.0,0.34,POS
are you here?,0.0,1.0,0.0,0.0,NEU
heading over tomorrow! Are you there for the weekend?,0.0,1.0,0.0,0.0,NEU
yep,1.0,0.0,0.0,0.296,POS
we are doing MK for the first part of the day and then not sure about the afternoon. I’ll text you!,0.0,0.899,0.101,-0.308,NEG
😂 Didn't I just say this thing MIGHT hit cat 1 over the hot water lol still... Ain't worried just thought it was funny cause we was JUST talking about this 🤣,0.233,0.767,0.0,0.7641,POS
"Thanks for being calm,cool,collected and right on in your forecast",0.244,0.756,0.0,0.4404,POS
Well I’m here for a visit so of course it wants to make sure I feel like I’m home 😝 grew up in tally.,0.277,0.723,0.0,0.7096,POS
"So, more heat lightning but with wind?",0.0,1.0,0.0,0.0,NEU
"Track looks a lot like Adelia from last year, which is good for our area.",0.31,0.69,0.0,0.6597,POS
Approximate Storm surge in Treasure Island?,0.306,0.694,0.0,0.296,POS
Doesn’t look like Pasco will be getting much of anything? Ohhh and Denis thank you for all the updates!! You definitely are the BEST!!!☺️,0.297,0.703,0.0,0.8346,POS
Get some sleep Denis!,0.0,1.0,0.0,0.0,NEU
My daughter was born in 2012 Debby. The barometric pressure thing is real. She’s eagerly following her “birthday storm”.,0.119,0.78,0.101,0.1027,POS
"My cousin's, husband Rick, and my cousin, Duke. Aka Rick, get to experience our exciting, ever changing FL weather in the flesh. They are driving down from Rockwood, TN today!!! Good times! 🧡 🌧 🌀 Im thinking no pontoon boat ride Sunday. Stay safe AND THANK YOU! ❤️ 💙 💜",0.241,0.719,0.04,0.9042,POS
Thank you for the update 🙏🏽🧡,0.333,0.667,0.0,0.3612,POS
"If you don’t like storms, don’t move to Florida.",0.238,0.762,0.0,0.3612,POS
winner of dumbest comment tonight,0.376,0.297,0.327,0.128,POS
I hope you get a Lil sleep this weekend. I know it's gonna be a long one.,0.195,0.805,0.0,0.4404,POS
"As always, thanks DP ❤️",0.42,0.58,0.0,0.4404,POS
"Seriously.... 14 years is all it took? They must have more D names by now",0.0,1.0,0.0,0.0,NEU
Agreed. Loathing my name right now 😁,0.214,0.408,0.378,-0.3818,NEG
"Not going to change them unless they're retired, which isn't for good reasons, obviously.",0.0,0.844,0.156,-0.3412,NEG
it's only been 12yrs so even if they circled around twice a season that's only 24x (and I'm sure they didnt circle 2x a year).... they definitely could have come up with something else,0.143,0.857,0.0,0.6124,POS
"To what end? Not recycling the name gives a clue to the climatology. The NHC only retires names under circumstances; this wasn't one. Does the ""I"" storm mean anything? (I'm not getting into a debate about climatology.)",0.0,1.0,0.0,0.0,NEU
"I know. I'm just messing around.",0.0,1.0,0.0,0.0,NEU
when does the storm or hurricane die down? lol,0.204,0.511,0.285,-0.2732,NEG
When it reaches land after being in the GOM.,0.13,0.87,0.0,0.0516,POS
Thank you so so much,0.385,0.615,0.0,0.3612,POS
"We should be fine. This is all for tomorrow right?",0.167,0.833,0.0,0.2023,POS
"Yeah! Going to miss us",0.351,0.423,0.226,0.2244,POS
8 paragraphs for a Tropical Storm? Tell us what our area NEEDS to know and then wrap it up!,0.0,1.0,0.0,0.0,NEU
Listen I'm going to be big mad if the first day of school is cancelled 😭 it's been a long summer y'all.,0.0,0.776,0.224,-0.6369,NEG
omg.. they will close it for a week 🤣🤣🤣,0.0,1.0,0.0,0.0,NEU
"Denis. Suppose to head to CSB tomorrow. What’s odds of them doing some type of evacuation? Need to be cat 1 or higher?
Not sure we should come yet…",0.0,0.921,0.079,-0.323,NEG
Thinking I should be looking to push my Monday morning (9am landing) flight from New England to Orlando International Airport (MCO),0.0,1.0,0.0,0.0,NEU
"On Tuesday, July 16, our Allegiant flight Flint to PIE diverted to Sanford-Orlando due to a rain storm with high winds. Boarded the plane at 9:15 am for a 2 1/2 hour flight and landed back in PIE at 5:00 pm. Never left the plane until we safely reached PIE, Clearwater. Don’t count anything out with Florida summer weather.",0.078,0.922,0.0,0.5574,POS
"Southwest does not include Orlando in its Sat-Mon travel advisory at this time, unlike six other major Florida airports. I'm scared to ask why; my flight is coming in at 8:30 Mon morning. I guess the plane will find its way around the 85 mph hurricane directly in its flight path from StL and land in Orlando just fine.🤷‍♀️",0.0,0.952,0.048,-0.4404,NEG
I can’t imagine them flying super East to avoid the storm…but also like…maybe at this point? Anything to not cancel a flight and lose $?😂🤷‍♂️,0.201,0.635,0.164,0.2732,POS
"I am not excited about getting up at 3 a.m. Monday only to have my flight delayed for several hours or canceled. Hopefully, I will get an update before leaving the house.",0.083,0.797,0.121,-0.0608,NEG
By morning if will be a little more west,0.0,1.0,0.0,0.0,NEU
"See, the Tocobagans pushed it. They always do",0.0,1.0,0.0,0.0,NEU
Somebody said that European spaghetti models were not allowed to be shown in the United States. Is that true?,0.248,0.752,0.0,0.6808,POS
"I wouldn't think so, since the Euro models are talked about regularly. 🤔",0.0,1.0,0.0,0.0,NEU
but I haven't seen them,0.0,1.0,0.0,0.0,NEU
"THANX fit the update Denis, hope you feel better soon......",0.542,0.458,0.0,0.8074,POS
And FL is not for the working class trying to pay for the ever increasing home owners insurance that will fight you on any damage from these lovely storms. 🙄,0.106,0.694,0.2,-0.34,NEG
Until then 😅😅 ☀️☀️☀️🌞😅,0.0,1.0,0.0,0.0,NEU
