2am advisory is out. Up to 80% chance wave becomes a depression or a tropical storm. Red hatched area includes the West coast of Florida and extends into the Gulf. Rainy and squally weather along the coast late Saturday and into Sunday. Might get a track on Friday if NHC decides to pull the trigger on a PTC advisory.  (Potential Tropical Cyclone).,Pos,Neu,Neg,Compound,Overall Sentiment
"More east = less time over the gulf and with close proximity to the peninsula will limit strengthening. It’s been constantly trending east all day, and it wouldn’t surprise me to continue to trend even more east. These storms almost always trend east and ultimately go more east in the end. This isn’t “the storm”. A depression, maybe a low end trop storm. If it were more west it’d no doubt be stronger and have more time over the gulf. So a continued trend east is not a bad thing for Tampa bay",0.106,0.788,0.106,-0.0035,NEU
its not the storm so much as the flooding it causes inland....,0.0,1.0,0.0,0.0,NEU
my daughter is going to Clearwater on Monday. Does it look like it's going to rain all week?,0.128,0.872,0.0,0.3612,POS
Hi. We fly from Frankfurt to Miami on Saturday. We will arrive at 7:10pm. Do you think our flight will go?,0.0,1.0,0.0,0.0,NEU
"Denis Phillips thank you Denis. One more question. We fly to Miami but our house is in cape coral. If our flight will go, we will arrive on saturday at 7:10pm. What would you do … stay a night at the eastcoast or do you think its safe to drive to cape coral at saturday evening/night?",0.097,0.903,0.0,0.6808,POS
"same here, traveling from Warsaw to Miami planned landing at 6 pm Saturday. I have a feeling we won’t go 😞",0.085,0.852,0.062,0.1027,POS
i hope for both of us that our flights will go.,0.244,0.756,0.0,0.4404,POS
Thank you Denis Phillips for all your hard work!,0.249,0.625,0.125,0.3382,POS
"Is this storm going to be named, Debby? I need to know, so I can warn my friends and family... they are very familiar with this kind of temper... 🤣😘",0.101,0.845,0.055,0.3446,POS
The name Debbie has been used for four tropical cyclones in the Atlantic Ocean and for two in the Australian region.,0.0,1.0,0.0,0.0,NEU
Great first name! ☺️,0.594,0.406,0.0,0.6588,POS
Yes! They ALL better get ready or pack up and RUN! 😂🧐🤪,0.491,0.509,0.0,0.8264,POS
we had a tropical depression named debby quite a few years ago and it dumped constant rain on us for 3 days straight non stop amd flooded us pretty bad lol yea Debby is definitely going to have a temper or a debby downer lol,0.23,0.515,0.256,-0.3612,NEG
I remember Debbie it flooded the house we bought a year later all the carpet was flooded and the heat over the summer dried that carpet and cleaned it. When we put floors in we realized Debbie must have cleaned the carpet it rained so long and we had so much.,0.0,1.0,0.0,0.0,NEU
I think it I'd Debby 😛,0.0,1.0,0.0,0.0,NEU
"I love you, Dude! Lived in South Florida most of my life. Moved to Tampa area a couple years ago and discovered you. Thanks for your expertise and level head. I cannot tell you how much I appreciate you.😃",0.24,0.76,0.0,0.8777,POS
"Here’s the last part of my prep: if we get a track today from NHC and it’s at or near the Florida W coast, I’ll bring my patio furniture in today - just because I don’t want it to get totally soaked. My (rental) porch gets soaked when there’s wind and rain.",0.027,0.973,0.0,0.0772,POS
"My nephew once asked me if we should bring in my central ac ,wouldn't want it getting all wet .😂",0.0,0.94,0.06,-0.0572,NEG
Good boy - thinking about all possibilities!,0.39,0.61,0.0,0.4926,POS
Thank you for watching over all of us…,0.263,0.737,0.0,0.3612,POS
"Last time we had a Debbie, we lost a car in the flooding in East Lake. She just sat and dumped so much rain on us.",0.0,0.815,0.185,-0.6124,NEG
