TROPICS | NHC increases chance of development near Florida to 80% as low pressure tracks along the northern Cuban coast toward the eastern Gulf.,Pos,Neu,Neg,Compound,Overall Sentiment
looks about as organized as my daughter's bedroom,0.0,1.0,0.0,0.0,NEU
same with my sons room lol 😆,0.359,0.641,0.0,0.4215,POS
no kidding,0.389,0.0,0.611,-0.2023,NEG
"Thanks Denis. Moved here 22 years ago. Trust your knowledge and your sense of humor.
Thanks for the update. Rule #7",0.397,0.603,0.0,0.8807,POS
he’s my go to because he’s always spot on and he never pushes fear!!!,0.212,0.788,0.0,0.5429,POS
"Thank you, Denis!! Please take a nap!",0.587,0.413,0.0,0.6884,POS
"he never sleeps, but for me to know that..I don't sleep. 😆 🤣 😂",0.0,1.0,0.0,0.0,NEU
"I'm pretty sure Dennis works like me, lots of short sleep and intense bits of analysis/work. My man is a legend though.",0.354,0.646,0.0,0.8074,POS
Drink a Diet Dr Pepper lol.,0.412,0.588,0.0,0.4215,POS
I moved to Tennessee 17 years ago from Oldsmar and have a flight scheduled to fly into Clearwater on Monday. Ugh..if I were a betting girl it would be a good bet that I will be delayed. My first trip back to Florida in 9 years. What a welcome home!!,0.137,0.823,0.04,0.6792,POS
Oldsmar has been rezoned a few more times and is now more of a flood zone but have not seen anything yet,0.0,1.0,0.0,0.0,NEU
I hope it stays that way. I lived in 3 different locations in Oldsmar over my 15 years of living there and each one was a flood zone. It's on the bay. All you can do if you want to live there is to be properly insured and prepared for the worst. I know there has been a lot of changes in Oldsmar in the 17 years we have been gone. I'm looking forward to seeing what they've done to that once little old sleepy town.,0.071,0.882,0.048,-0.0,NEU
"stores and places to eat, but a good handful closed dt to Covid stuff.",0.243,0.757,0.0,0.5927,POS
"well, be glad you don’t live here and have to worry about your home and family being safe & secure. Might want to schedule your FL vacations outside of hurricane season.",0.303,0.622,0.075,0.7783,POS
"I wish this was just a Florida vacation that I am coming for. Family matters are the reason for my travel. I do have family that lives in Clearwater, so I have family to worry about during these times.",0.101,0.822,0.077,-0.0258,NEU
I can't believe it's been 17 years already!,0.0,1.0,0.0,0.0,NEU
Welcome back to the party!!,0.677,0.323,0.0,0.7418,POS
time has flown by!!! I'm hoping I can get there!!,0.332,0.668,0.0,0.6083,POS
"It's been a while! My sister, Mom, and I will have a great time. That is if my plane can land!! haha!",0.327,0.673,0.0,0.8507,POS
Don’t panic! Just a big rain and wind event.,0.0,0.661,0.339,-0.5562,NEG
flooding of coastal areas??? ( please not again. ) Living one foot above sea level.,0.191,0.809,0.0,0.4291,POS
Exactly! Need to be grateful that it’s not even a hurricane….,0.268,0.732,0.0,0.5093,POS
I hope your correct. With the Gulf of Mexico being in the high 80's it MIGHT fuel the storm.,0.146,0.854,0.0,0.4404,POS
exactly,0.0,1.0,0.0,0.0,NEU
91 per Tampa Bay Times this morning.,0.0,1.0,0.0,0.0,NEU
I’ll come through you line with 10 cases of water and 20 loaves of bread 🤣,0.0,1.0,0.0,0.0,NEU
😬 I hope people are examining their trees and where they park.,0.244,0.756,0.0,0.4404,POS
Looks like Florida is gonna be just fine. By tomorrow it will shift more,0.264,0.736,0.0,0.5106,POS
I hope. We heading to Anna Marie right now,0.293,0.707,0.0,0.4404,POS
"This does not look good. For the past two years, I've gotten clobbered by the hurricanes here in Sarasota. Water was coming through my large window in the living room. I had to rely on USAA Home Owner's Insurance to help me repair everything in the living room (mold, new drywall, new carpeting, new paint, etc.)",0.046,0.912,0.041,0.0757,POS
You said last night that we would know more after it clears Cuba. The way it looks like it will hit in the northern part of our state. I am worried about it getting into the gulf water and going crazy in the hot water. Rule# 7. I keep repeating it to my self.,0.072,0.847,0.081,-0.1372,NEG
"Last year when Idalia hit in late August, we were out of the country and experienced severe storm surge and flooding of our home. We are out of the country again. Trying to decide if we should leave early and get home to sandbag house. Live on the Cotee River in NPR. THANK YOU AS ALWAYS!",0.054,0.879,0.068,0.184,POS
this is nothing to what that was,0.0,1.0,0.0,0.0,NEU
yep. That nothing took out my entire first floor with storm surge.,0.167,0.833,0.0,0.296,POS
"I've been here since 1979 I git nervous once an thay was Andrew in 1992 NY Dr year of high school then you didn't have 24 hour news cycle social media ect plus it's how pinealles county is situated on the bay and the 100 year blessing the native Americans laid on us then . So the ones who are worried are the first timers and newbies",0.046,0.892,0.062,-0.0258,NEU
google it it's a good read and a true blessing I think the seminole tribe took it over and reblessed,0.389,0.611,0.0,0.836,POS
"definitely not saying it was a nothing. Just that it wasn’t even close to comparable to the likes of Charlie, Ian, Katrina to name a few. Anything over a cat1 is going to be traumatic at impact.",0.137,0.771,0.092,0.2023,POS
"at the moment, hurricane is not expected ( yes that can change) tropical storm conditions will be likely. Not sure how much surge it would produce though. Sorry I can't be of more help",0.082,0.767,0.151,-0.1348,NEG
I know everyone hates these questions but…. Will thinks flights off the east coast into the Caribbean on Sunday? Or if it’s in Florida will that not affect those?,0.0,0.892,0.108,-0.504,NEG
"If I’m not mistaken, I think Denis said the east coast will be fine.",0.262,0.738,0.0,0.4423,POS
"Because airlines can't even be trusted on the sunniest of days, I would prepare for any delay.",0.16,0.612,0.228,-0.1164,NEG
Well welcome to August everyone 🙂,0.63,0.37,0.0,0.6249,POS
"Thank you, Denis, yet again for your detailed thoughts and your voice of reassurance! I’m going with Rule #7!",0.247,0.753,0.0,0.6792,POS
WTG is rule #7. I just moved here.,0.39,0.61,0.0,0.5904,POS
Rule #7 is the hallmark. Don’t freak out. Denis will let us keep us informed and let us know when we are on high alert.,0.078,0.819,0.103,-0.1779,NEG
Why use the term cyclone? Aren't they in the Pacific?,0.0,1.0,0.0,0.0,NEU
typhoon is in the Pacific.,0.0,1.0,0.0,0.0,NEU
"cyclone is the scientific term! Depressions, tropical storms and hurricanes are all cyclones",0.0,0.775,0.225,-0.5411,NEG
Hoping there won't be a high surge to create salt water flooding . We had two salt water floods here in Redington Beach last year. Luckily house spared but we lost of nice trees and bushes in our yard. Hoping for the best! 🙏☔,0.335,0.614,0.052,0.9446,POS
I have my fan on the back porch facing west. On high. 😀,0.187,0.813,0.0,0.3182,POS
Update: It worked. 💪,0.0,1.0,0.0,0.0,NEU
great idea. I’ll do that too! 😂,0.468,0.532,0.0,0.6588,POS
"what a good idea!!",0.635,0.365,0.0,0.5399,POS
"Someday I'll get a ""Like"" from Denis Phillips for my sarcastic posts. Someday. 😜",0.0,0.846,0.154,-0.25,NEG
"Hi, we’re Dutchies visiting Florida for the summer.
We’re heading to Tampa and Clearwater today. We’ll be staying there for 6 days. Will it be ok to go to these destinations or do we need to rearrange our plans? And if so where to?
We’d appreciate any advice since its hard to find info for tourists! 🙂
Thank You!",0.133,0.845,0.022,0.7872,POS
"sure, just plan on some indoor activities for a couple days instead of paddle boarding and kayaking.",0.133,0.867,0.0,0.3182,POS
"you have found the best, most common sense source of information so listen to Denis!!
Come and enjoy!!",0.349,0.651,0.0,0.8614,POS
you will be fine to stay there!,0.259,0.741,0.0,0.2714,POS
"Understand your concern. Just keep watching the news updates. Living in South Florida for over 50 years I've learned that with these storms, they can change their minds anytime. Keep watching. Have a safe trip.",0.081,0.919,0.0,0.4404,POS
hier ook dutchies in Florida. We plannen onze activiteiten gewoon zoals gepland en volgen wat meer het nieuws en indien nodig reageren we daarop. Wij verblijven wel in de regio Orlando. Ons dagje Hollywood Studio’s voor morgen ( zaterdag ) gepland laten we vooralsnog gewoon doorgaan.,0.0,1.0,0.0,0.0,NEU
you will probably see rain at most. There’s the Salvador Dali museum in Tampa if you are interested as an indoor activity. You never know with these storms it is moving west each projection.,0.076,0.924,0.0,0.4019,POS
checkout Captain Memo's Pirate Cruise in Clearwater,0.0,1.0,0.0,0.0,NEU
"Well, I am here in Escambia, County, my boyfriend is supposed to fly back Monday or Tuesday morning from Newark to Pensacola. I’m thinking that might not happen by the looks of this thing.",0.062,0.938,0.0,0.2732,POS
