TODAY | A heat advisory is back today for a heat index of around 110F at times during the afternoon. Take plenty of breaks if working outside and remember to hydrate.,Pos,Neu,Neg,Compound,Overall Sentiment
THANK YOU DENIS for all your time and efforts for all the information you provide. We appreciate YOU!,0.28,0.72,0.0,0.7371,POS
"Thank you for working these insane hours. My home base is the west coast of Florida, but I'm currently on the ""other side of the pond"". Your updates popping up on my time zone re the upcoming weekend/early next week weather event, while worrying, are very helpful and appreciated. thank you...",0.219,0.704,0.077,0.876,POS
Hopefully employers give employees who work outdoors cooking breaks.,0.252,0.748,0.0,0.4019,POS
a certain somebody made it so outdoor workers arent legally required to take breaks anymore 😡,0.136,0.779,0.084,0.2033,POS
They are going to be cooking alright! 😛 🥵 They should be given the day off!,0.166,0.834,0.0,0.3786,POS
The cooler weather that comes with a tropical storm is looking pretty nice right now,0.333,0.667,0.0,0.7184,POS
"Moving my daughter at UF 🐊
How long will the system stay in the area (if the American mile is on track and it comes back across the state and the East Coast) supposed to be there Monday to Thursday",0.0,1.0,0.0,0.0,NEU
Comming from NY to Clearwater early Sunday … is there going to be a storm 😩😩😩,0.0,1.0,0.0,0.0,NEU
"we were just in New York as well, and currently in Virginia. We will be making our way back to Florida tomorrow with our rv in tow. We shall see what happens on the drive back 😂",0.057,0.943,0.0,0.2732,POS
yes,1.0,0.0,0.0,0.4019,POS
It’s our first day back in our classrooms to get ready for school and our AC is out. Going to be a fun day!,0.225,0.775,0.0,0.7263,POS
fun isn’t the correct word friend,0.619,0.381,0.0,0.7579,POS
no already??,0.0,0.281,0.719,-0.3736,NEG
We do appreciate all the updates and your dedication to keeping us all informed.,0.172,0.828,0.0,0.4019,POS
Thats everyday for me Denis!,0.0,1.0,0.0,0.0,NEU
better start my yard work early!,0.39,0.61,0.0,0.4926,POS
Normal before a storm or hurricane,0.0,1.0,0.0,0.0,NEU
🔥,0.0,0.0,0.0,0.0,NEU
Denis Phillips you need to get some sleep 💤,0.0,1.0,0.0,0.0,NEU
I appreciate the almost nonstop updates. Best meteorologist in Tampa Bay! The rest of them have such outdated Fb pages.,0.29,0.71,0.0,0.7863,POS
agreed!! Got people in Alabama that text me for updates from DP!,0.213,0.787,0.0,0.4545,POS
I think you can make posts to be posted on a timer I believe. He may make them and they release at certain times but not positive.,0.056,0.802,0.142,-0.5165,NEG
If only that storm would go a bit further out into the gulf.,0.0,1.0,0.0,0.0,NEU
You would think work would provide us Gatorades consistently working outside in this.,0.0,1.0,0.0,0.0,NEU
i have had people working here and i invite them in to cool off and drink bottled water it's just insanity in this heat.. there should be PROTECTION ... taking that away was cruel.,0.099,0.711,0.19,-0.6808,NEG
Coconut water people! 💪🏼,0.0,1.0,0.0,0.0,NEU
hey atleast I don’t have to shrink up like a raisin at work,0.2,0.8,0.0,0.3612,POS
Do we need to put away the pool furniture? Maintenance doesn't work on the weekend...,0.0,1.0,0.0,0.0,NEU
5 am and 8 am update what gives missed it ???,0.0,0.745,0.255,-0.4098,NEG
Good advice!,0.761,0.239,0.0,0.4926,POS
omg,0.0,1.0,0.0,0.0,NEU
"Hear the roar go indoors",0.0,1.0,0.0,0.0,NEU
