"NEW | Chance of development now up to 60% over the next 2 days, 90% beyond that. NHC says watches/warnings will likely be needed for Florida later today so also expect advisories on a Potential Tropical Cyclone. This is all to be expected and is ""on track"" with the forecast.",Pos,Neu,Neg,Compound,Overall Sentiment
"Depending on what happens when it hits the Gulf, I would hate to be in the panhandle.",0.0,0.802,0.198,-0.5719,NEG
peninsula is in more trouble than the panhandle,0.0,0.7,0.3,-0.4576,NEG
Rain wise,0.756,0.244,0.0,0.4767,POS
I just went through a tornado in May (Tallahassee) so I’d appreciate it if this thing took a turn.,0.166,0.834,0.0,0.4549,POS
Me and my 12 year old daughter are going to Disney world in Orlando Florida on Saturday thru Wednesday she was so exited and now since she heard it will rain she has been crying so much! Should we just cancel? It should we go ?,0.0,0.882,0.118,-0.6958,NEG
I’m supposed to go to Jekyll Island tomorrow to Wed. Would it be safe to go?,0.162,0.838,0.0,0.4404,POS
"i’m sure it will be safe to to go to Jekyll island since it’s on the East Coast, but you probably will get rain!!!",0.169,0.831,0.0,0.5386,POS
it’s mother nature 🙄,0.0,1.0,0.0,0.0,NEU
she just asked a question. It's ok to ask them. Being nice is free you should try it.,0.372,0.628,0.0,0.8074,POS
and I just responded nicely saying it’s Mother Nature!!! Not it’s F-ing mother nature.,0.239,0.761,0.0,0.5826,POS
"aww extra exclamation points nice.",0.412,0.588,0.0,0.4215,POS
"You guys and your serious flight questions 😂 call your airline. Denis doesn’t manage the airports, runways or flight control stations.",0.0,0.936,0.064,-0.0772,NEG
"I think it's fair to wonder about flights being affected. I'm flying from JFK to PBI tomorrow at 3 and am not sure if the weather up north could affect our flight. I know it's not his job, but maybe someone else here may have some insight.",0.036,0.902,0.061,-0.0338,NEU
it id legit. But unless any of us work for the airlines we’re all just guessing. 🤣,0.0,1.0,0.0,0.0,NEU
"The thing is that even though I’m sure Denis would be happy to help , there just isn’t any way of knowing by anyone. .I’ve been here all my life as my family before me ( I’m 85) and we’re dealing with nature.Ive seen these things stall, turn , stall again , do a u turn , you name it. Even the National Hurricane e Center ( where all the info comes from) will not say exactly until a system is closer and better developed . Even then, they will say “ expected” to do this or that. Folks are expecting way too much too soon. Years ago we didn’t know a storm was even out there till it was almost on top of us. Just stay tuned to Denis , local stations, etc and as it gets closer , or larger ( if it does) you’ll be able to judge. Otherwise , you’ll just drive yourself nuts…no one is giving absolute information because there is none…",0.096,0.881,0.022,0.8984,POS
hahaha it’s every post every year and he includes it in the post that he don’t know and the questions still come 😂😂,0.141,0.859,0.0,0.5574,POS
or if it will be raining at Disney! 🤣🤣🤣,0.0,1.0,0.0,0.0,NEU
you’re so smart!,0.622,0.378,0.0,0.5081,POS
"all the travel questions. After he retires from meteorology , he should be a travel planner since he’s apparently psychic and all.. 🤣",0.0,1.0,0.0,0.0,NEU
that and he doesn’t know when it’ll end or if it’s safe for some. SMMFH!!! 🙄🙄🙄🙄,0.201,0.799,0.0,0.5826,POS
"and “ can I walk my dog at ( time and date). How would he know this? He is not Denis the Great. No glass ball, he probably doesn’t read tea leaves 🍁 or read palms.",0.0,0.845,0.155,-0.6698,NEG
Wait…WHAT?😧,0.0,1.0,0.0,0.0,NEU
Will this be out of Florida by the 6th,0.0,1.0,0.0,0.0,NEU
 its mother nature. 🙄🙄🙄🙄,0.0,1.0,0.0,0.0,NEU
I know,0.0,1.0,0.0,0.0,NEU
then why ask your question??? 🤔🙄,0.0,1.0,0.0,0.0,NEU
It’s ok to ask,0.423,0.577,0.0,0.296,POS
"Because she can",0.0,1.0,0.0,0.0,NEU
we all know it’s Mother Nature. Why do you feel the need to comment that on everything 🙄,0.0,1.0,0.0,0.0,NEU
choosing kindness is free and easy. Have the day you deserve,0.535,0.465,0.0,0.8481,POS
You must have a lot of time on your hands or need the attention to be responding the same thing on multiple questions.,0.0,1.0,0.0,0.0,NEU
because I can too just like her. 😁😁😁😹😹😹😹,0.294,0.706,0.0,0.3612,POS
a minute or two is lots of time….😹😹😹😹😹😹😹😹😹😹😹😹😹😹,0.0,1.0,0.0,0.0,NEU
