"Friday Tropical Thoughts. I think we finally have a pretty good handle on what's going to happen with our ""Stalking Turtle"" aka Debby. 
1. I suspect the NHC puts us in a Tropical Storm Warning later today or tonight. They will likely issue a Potential Tropical Cyclone advisory. This allows them to put up warnings and offer a track.
2. Speaking of track, it looks like what likely will be Debby will make landfall somewhere between Pinellas and Levy County on Sunday. 
3. The storm should either be a Tropical Depression or a Tropical Storm at that time. That is really the only question mark left on the table. The longer it stays over water, the stronger it could become. So, the sooner the landfall the better.
4. Impacts?  Winds between 40 and 50 mph seem likely...with higher gusts. That sounds about like one of our afternoon thunderstorms, right?  We will also be in the Northeast part of the storm so a ""Tornado Watch"" on Sunday is also possible. 
5. Surge. This will be a decent-sized system that is getting stronger at landfall.  There is a chance of some coastal flooding and water rise on Sunday. The water will already be higher (new moon) on Sunday so areas that are prone to flooding with storms should keep a close eye on this and plan accordingly. 
6. Lots of people are asking if this could become a hurricane. Look, anything is possible, but I'm not playing the ""what if"" game.  That spreads misinformation and its hard enough to get the forecast right with these ragged developing storms. At this point, I'm predicting a Tropical Storm with winds of 40 to 50 mph on Sunday. If it changes, you know we'll be updating 24/7 and let you know. 
7. It doesn't look like it will stall so the scenario of this thing sitting in Florida for several days no longer looks like its going to happen. Rainfall of 4-6"" seems likely.
8. Let's recap.  Timing is late Saturday through early Monday...from our Southern counties to our Northern counties. This IS going to cut across the state so inland areas will also get wind. A Tropical Storm Warning seems likely later today as we see a PTC issued from the NHC.  
9.  Nothing to freak out about. We get 40 to 50 mph winds many times in the Summer. There could be some isolated power outages.  Wind-wise, it's an afternoon thunderstorm that will last for several hours. But as always, for folks who flood along the coast, high tide could bring a bit of water as well. Water is always the trickiest part of the forecast because it depends on the angle the storm approaches our area of who sees the push and who doesn't. 
10. I don't know if your flight is canceled and yes, it's going to rain at Disney.  (That should cover 95% of the questions I get)  We got this folks. This is probably good practice for what's on the way later this season.  Rule #7. (Don't freak out unless I'm freaking out, we're fine)  We live in Florida, this goes with the territory.",Pos,Neu,Neg,Compound,Overall Sentiment
"A pretty good handle😂let's be honest hurricanes have a mind of their own....",0.54,0.46,0.0,0.8555,POS
You're not wrong..but I still think I've got a pretty good handle on this one,0.357,0.643,0.0,0.7269,POS
everybody thought that with Charlie too. Until he took a hard right with his left blinker on across all lanes of traffic.,0.0,0.935,0.065,-0.1027,NEG
I only follow and listen to you! You're honest!,0.357,0.643,0.0,0.5972,POS
"You always do! That's why we follow you!",0.0,1.0,0.0,0.0,NEU
Charley was always supposed to hit the west coast of FL and that's exactly what happened.,0.0,1.0,0.0,0.0,NEU
But a week or few days ago you had a pretty good handle. The storm was on the east side of Florida and would most likely stay in the Atlantic! LOL,0.337,0.663,0.0,0.9354,POS
was supposed to hit Tampa or slightly north. Last minute turned hard right through Punta Gorda and up through Orlando where a bunch of folks had evacuated to. Hence my comment.,0.0,0.954,0.046,-0.1027,NEG
Only if the center line down the middle of the cone is gospel (it's not). Charley still made landfall within the cone. I'd hope people learned that lesson.,0.097,0.903,0.0,0.4404,POS
"2 days ago it was going to hit the east coast🤔😂
All good. You're still fun to watch👍🏻",0.292,0.708,0.0,0.7351,POS
Debby in the Gulf like “watch this” 😭,0.294,0.706,0.0,0.3612,POS
"I myself will stick with Denis Phillips, you should as well.",0.189,0.811,0.0,0.2732,POS
he's cool but a few days ago it was a different story. I realize he isn't God but it sure was a confident and FIRM Atlantic Ocean prediction 😂 and now here we are.,0.246,0.692,0.061,0.7703,POS
It will end up shifting and going straight to Houston.,0.174,0.826,0.0,0.2263,POS
your great Denis.,0.672,0.328,0.0,0.6249,POS
"So what you're telling me is, when I unsubscribed from Hurricane season, I needed to check the Tropical storm box too. 😕",0.0,1.0,0.0,0.0,NEU
💯,0.0,0.0,0.0,0.0,NEU
Especially any storm named Debby.,0.0,1.0,0.0,0.0,NEU
isn't Debby supposed to do Dallas?,0.0,1.0,0.0,0.0,NEU
You’re naughty. 🤣🤣,0.0,1.0,0.0,0.0,NEU
Thanks! But what does you freaking out look like? 🤔....asking for a friend! 😉,0.463,0.367,0.17,0.7494,POS
got it! 😀 lol,0.607,0.393,0.0,0.4753,POS
"Donna, he starts drinking full-strength Dr. Pepper!!! 🌶🤣😋",0.0,1.0,0.0,0.0,NEU
It doesn't. He doesn't freak out and that's the point.,0.0,0.815,0.185,-0.2594,NEG
lol,1.0,0.0,0.0,0.4215,POS
"This summary really helps! I, along with lots of others, have loads of hanging orchids and other plants that would need to be moved if we get strong winds…and when possible, a few days “heads up” helps. Fingers crossed this will be a big “afternoon like” thunderstorm. My back says thank you…",0.205,0.795,0.0,0.8974,POS
do you bring your orchids in I have a few in my patio and a few out front hanging on my palm trees should I bring them in doors?,0.0,1.0,0.0,0.0,NEU
I think I told you before you should give away some of your orchids - less work for you!! 😜,0.0,1.0,0.0,0.0,NEU
Only when it’s absolutely necessary…this probably won’t be a necessary event!,0.0,1.0,0.0,0.0,NEU
thx so much I was worried about the bigger plants… but hadn’t given the orchids much thought,0.1,0.801,0.099,0.0047,NEU
"Darn, so no Sunday grilling for us? 😭",0.0,0.706,0.294,-0.3597,NEG
you can inside. 🤣,0.0,1.0,0.0,0.0,NEU
You forgot to answer the constant “can I walk my iguana at 3:12pm on Sunday?” questions 😂😂😂,0.0,1.0,0.0,0.0,NEU
yes you can. It won't be freezing,0.444,0.556,0.0,0.4581,POS
"no wait until 315pm..",0.0,0.577,0.423,-0.296,NEG
"Hurricane season ""I don't know if your flight was cancelled."" It went viral.😂😂 I love it😂😂
Thank you very much, we will be attentive from Haines City.",0.218,0.782,0.0,0.7717,POS
The last insane rain maker was Debbie in 2012. So now we have Debby in 2024….interesting lol,0.137,0.732,0.132,0.0258,NEU
I just said the same thing to my Mom! That was way more intense than some of the hurricanes we've experienced.,0.09,0.91,0.0,0.2228,POS
most rain we ever had for a hurricane in Pinellas beaches and only a TS!,0.0,1.0,0.0,0.0,NEU
"I thought the same thing. I am a native and I’m used to FL weather. But the 2012 Debbie flooded my brand new place for days (we just moved in 3 days prior). That turned into a mold issue which turned into a disaster and I lost more than half of our household items because of it. I have a little PTSD from it. 😆 In all seriousness, it comes with the territory living in FL and we will all be fine. Most things are replaceable. Just hoping this one does a drive by…no stalling allowed. lol",0.095,0.785,0.12,-0.3612,NEG
thought abt this yesterday. Debbie stalled over Jax area I believe and it rained and rained. My son was 3 months old 🤣 he’s 12 now,0.0,0.924,0.076,-0.2023,NEG
Ugh I remember that. Lots of flooding and MOLD!,0.0,0.694,0.306,-0.4753,NEG
yeah I lived in live oak and the whole town was several feet of standing water.,0.136,0.864,0.0,0.296,POS
"We flooded so bad during 2012 Debbie. Insane",0.0,0.455,0.545,-0.8015,NEG
I miss Little Debby. Dr. Put them on the do not digest list.,0.0,0.873,0.127,-0.1531,NEG
I was thinking 💭 the same thing!!!,0.0,1.0,0.0,0.0,NEU
I remember Debbie 2012. I was in the hospital getting ready to give birth to Liam. 😊,0.161,0.839,0.0,0.3612,POS
had the same thought myself! Ironic really…they say it’s going to stall just like the last one.,0.124,0.697,0.179,0.126,POS
"yeah, and I had a tornado from that Debbie! I want NO repeats! 😳 We had a total of 15 inches of rain in a couple of days!",0.166,0.722,0.111,-0.3202,NEG
and that Debbie stalled out in the gulf for like 4 days. Ugh.,0.155,0.559,0.286,-0.2732,NEG
That Debby just would NOT go away!,0.0,1.0,0.0,0.0,NEU
I'm so embarrassed I'm changing my name!! Ugh,0.0,0.493,0.507,-0.7333,NEG
Are you a rain maker?,0.0,1.0,0.0,0.0,NEU
lol naw but flooding each storm does get old,0.192,0.808,0.0,0.2263,POS
