Our system now has a track... the NHC has designated the tropical wave as PTC 4. The track shows a tropical storm somewhere along our coast by Sunday morning. Tropical Storm Warnings and Watches are now in effect. I'll post that map next.,Pos,Neu,Neg,Compound,Overall Sentiment
"From what I'm seeing, it looks like the worst will be in the morning, daylight hours? Much better than an overnight storm! I never sleep on those occasions.",0.168,0.71,0.121,0.1511,POS
"same! I hate the at night storms, I never sleep either!",0.0,0.651,0.349,-0.6467,NEG
I sleep like a teenager during hurricanes. 😆,0.385,0.615,0.0,0.3612,POS
I so agree. I always hate the 2a storms... Somehow scary during those hours... 😕,0.147,0.475,0.378,-0.6565,NEG
"especially if the power goes out, then u hear strange noises, I can't handle that 😞",0.0,0.87,0.13,-0.2023,NEG
"Agree. I have those little lights that Denis Phillips touted right before Irma, but sometimes those freaky little lights can make it even scarier.... 🙄",0.067,0.766,0.167,-0.3818,NEG
"if our power goes out (we live in Orlando), the noises anyone hears is my screaming, “oh, heavens, NO!”",0.132,0.752,0.115,0.1007,POS
I love it! Time to get my boogie board out! 😁,0.374,0.626,0.0,0.6988,POS
when I was a kid we lived near a big ditch and after a storm we'd take our boogie boards out an play in the ditch 😂,0.103,0.897,0.0,0.34,POS
careful what you ask for,0.286,0.714,0.0,0.1531,POS
I was out in the last storm we had in April at Bonita Beach in 4-5 waves it was awesome! 😎 I was the only one on the beach 😆,0.149,0.851,0.0,0.6588,POS
AMEN 🙏,0.0,1.0,0.0,0.0,NEU
not a good idea at all !,0.0,0.597,0.403,-0.4015,NEG
Doesn’t sound like it will be any worse for us than the storm we got the other night that knocked our power out for 2 hours.,0.087,0.804,0.108,-0.1531,NEG
but this involves almost the whole state,0.0,1.0,0.0,0.0,NEU
might need to test out the new generator we got during the tax holiday!,0.187,0.813,0.0,0.4574,POS
"FYI, just finished cutting my lawn for the second time this week 😂😂",0.168,0.732,0.1,0.2577,POS
I just cut mine today 🤣,0.0,0.588,0.412,-0.2732,NEG
us too,0.0,1.0,0.0,0.0,NEU
"I know this is just a tropical storm this time however, if this is the future for this season this track is very scary!!!",0.0,0.828,0.172,-0.6563,NEG
Years ago we had a TS that devastated this area around Tampa!!,0.0,0.686,0.314,-0.6792,NEG
I remember that one well.,0.412,0.588,0.0,0.2732,POS
which one? I’m trying to remember but it’s all a blur?,0.0,1.0,0.0,0.0,NEU
which one? I’ve lived here for 42 years and am drawing a blank on a time when Tampa was “devastated”,0.0,1.0,0.0,0.0,NEU
been here almost 50 yrs devasted is a strong word but some of the tropical waves/depressions/storms have caused issues with the bay area worst I can remember is the no name storm many years ago,0.053,0.739,0.208,-0.8074,NEG
"Tropical Storm Debby in 2012. I am on the beach we had massive flooding, beach erosion, water was almost to my knees, streets flooded for days could not leave, tornados. The entire island was under water. I think we got 10-15” of rain.",0.028,0.972,0.0,0.0382,NEU
exactly- it do remember- it was tropical storm Debby?!?! I’ve been thinking the same thing !,0.0,1.0,0.0,0.0,NEU
oh I remember the no name storm aka “ the storm of the century”! I’ll never forget how the wind how that night and then the water came up and flooded my grandparents house in South Tampa!,0.044,0.881,0.074,-0.2773,NEG
"I agree! Love when they track north in the Atlantic and remain as fish storm.",0.368,0.632,0.0,0.7901,POS
"I guess I'll be getting my dogs up nice and early for their morning duty.
Hope us dog loves have time and it doesn't linger to long.",0.29,0.71,0.0,0.8555,POS
"if you have a covered porch, get some puppy pads and they can go on those at least.",0.0,1.0,0.0,0.0,NEU
"my husband, and I actually purchase a couple of pieces of sod and cut open a big
garbage bag to lay it on and lay pads out as well so that they have a choice.",0.063,0.873,0.063,0.0,NEU
You and me both. 😂. Mine hear it outside and won't even look out a window. 😂,0.0,1.0,0.0,0.0,NEU
Awwww. Mine tries to get under the bed he just shivers non stop. The other one just barks non stop. So I try and keep them in bed and watch a loud movie if possible. Great Danes here ❤️,0.096,0.8,0.104,0.1779,POS
great Pyrenees here 🐩. Poor doggies.,0.366,0.357,0.277,0.25,POS
"I give two of
my four Composure and they wear thunder vests.
The other two could give a hoot .",0.0,1.0,0.0,0.0,NEU
my Sister has two dane's and a doberman.,0.0,1.0,0.0,0.0,NEU
If I would let my husband that's the combination of what we would have. He loves the Danes but wants a doberman too 😂. Our female wouldn't have it though she is a bossy boss 😂😂.,0.068,0.932,0.0,0.3291,POS
I just said the same thing to my husband,0.0,1.0,0.0,0.0,NEU
what about Delray Beach,0.0,1.0,0.0,0.0,NEU
"Looks underwhelming at this point. Thanks for keeping us informed, as always, Denis! Will never forget being so panicked my first hurricane season here and someone told me to follow you — now I never worry until Rule No. 7!",0.164,0.717,0.119,0.2647,POS
exactly. You can tell who’s new to Florida by the comments.,0.0,1.0,0.0,0.0,NEU
