"Inland Communities | You are also under a Tropical Storm Watch for Polk, Hardee and DeSoto counties as tropical storm conditions are possible here as well within 48 hours.",Pos,Neu,Neg,Compound,Overall Sentiment
Me and my 12 year old daughter are going to Disney world in Orlando Florida on Saturday thru Wednesday she was so exited and now since she heard it will rain she has been crying so much! Should we just cancel? It should we go ?,0.0,0.882,0.118,-0.6958,NEG
"the best time to go to Disney is during a storm, trust me!
As long as there isn’t too much lightning and wind, there’s little to no wait for rides and you have the park to yourself. Have fun, get some ponchos and make memories in the rain 😊",0.198,0.768,0.034,0.8799,POS
"It’s also a great place to be if it gets bad. We stayed at the Swan for the last one. They have food and drinks available, plus they let us bring our cats. lol",0.171,0.743,0.087,0.5267,POS
"find indoor plans for Sunday and come enjoy your vacation. If you have a car check out The Turtle Hospital diwn in Jupiter, FL a few hours away. No weather forecasted there.",0.096,0.838,0.066,0.25,POS
tommmroe Should be ok and Monday ok,0.468,0.532,0.0,0.5267,POS
my family and I are still going Tuesday to Disney but I don’t think it’ll be near Orlando,0.0,1.0,0.0,0.0,NEU
Indian blessing will keep it off Tampa!,0.368,0.632,0.0,0.5411,POS
"my brother says Tampa never gets hurricanes, because the government knows how to turn them away so they don't hit MacDill. 🤣",0.0,1.0,0.0,0.0,NEU
yes always!,0.749,0.251,0.0,0.4574,POS
"always does.",0.0,1.0,0.0,0.0,NEU
it's rain. 🤣,0.0,1.0,0.0,0.0,NEU
"I’ve lived here my whole life in between Pasco and Hernando . Tropical storms are nothing compared to what I was afraid would hit with Irma . Get some water (don’t buy it all) , get some batteries and candles . Tie down anything loose outside, move stuff away from trees. You’ll be good . Same thing with a hurricane .",0.052,0.907,0.041,0.1531,POS
skip the candles as they are a fire hazard.,0.0,0.745,0.255,-0.34,NEG
I’ve always used candles . As long as you’re watching them you should be good . 🤷🏻‍♀️,0.172,0.828,0.0,0.4404,POS
"Those little battery “ lanterns “ are good as well..you know what I heard a few years ago…. Those little solar yard lights ..if it’s sunny enough right before … stick them in the sun , then later if power goes out, put them in hallways, bathrooms etc. clever idea",0.175,0.825,0.0,0.8271,POS
We have those lanterns as well . Never thought of the yard lights though as we have those too .,0.11,0.89,0.0,0.2732,POS
"Ohh, I have some of those. I will remember that!!",0.0,1.0,0.0,0.0,NEU
"Well I was going to visit my grandkids in NY Sunday. Guess I should switch my flight",0.13,0.87,0.0,0.2732,POS
I would to be safe,0.492,0.508,0.0,0.4404,POS
I'm new to Florida and I live in South Pasadena just about 5 miles from St Pete Beach area. I also live in a condo that is on the intercostal. Should I go out if this area?,0.0,1.0,0.0,0.0,NEU
we have afternoon showers with this much rain and wind you will be ok,0.145,0.855,0.0,0.296,POS
you will be all good! as of now this is just like a bad afternoon thunderstorm... just a little longer.. lol.,0.307,0.562,0.131,0.5738,POS
"sign up for your local weather notifications from the county...Google it, not sure for Pinellas",0.0,0.877,0.123,-0.2411,NEG
"Gutters on house and 2 barns cleaned and puddle areas trenched to run off elsewhere. Thanks Dennis for always being honest with us !",0.245,0.755,0.0,0.7574,POS
My only concern for this one is possible river flooding. I’m in Desoto on the Peace River..River low now but heavy rains north of us may cause problem. We’re fortunate in that we get a phone call from County Emer management if flood is threat..it happens slowly . Plus we monitor online . Big pain though because the roads become impassable for days !,0.086,0.775,0.139,-0.5778,NEG
"Time to mow the lawn, weed eat, and clean the house, my house needs to look pretty for the hurricane ….. I know I’m not the only one that does this",0.174,0.826,0.0,0.7096,POS
yep I do this as well!,0.605,0.395,0.0,0.5562,POS
makes the aftermath not as bad,0.363,0.637,0.0,0.431,POS
I have to finish mowing the back yard since I didn't finish a day ago due to the rain. 😂,0.0,1.0,0.0,0.0,NEU
bet it’s time to do the front again 😂,0.0,1.0,0.0,0.0,NEU
I do it too lol.,0.483,0.517,0.0,0.4215,POS
"nope, I mowed Wednesday and trimmed yesterday. Spending this afternoon cleaning and laundry so I don't have to worry this weekend about any of it",0.099,0.901,0.0,0.3412,POS
now that is my neighbor. she was going to mow and now it is raining...,0.0,1.0,0.0,0.0,NEU
I always make sure the dishes are clean and all the laundry is done you never know when you're going to lose your electricity. Also wash your hair blow dry it you may not have a dryer for a few days.,0.117,0.82,0.063,0.3182,POS
"nope, if I am going to be stuck in the house it better be clean. Same with leaving for vacation, I wanna come back to a clean house .",0.265,0.671,0.064,0.743,POS
nope I do this too make sure all the laundry is done 🤷🏻‍♀️😂,0.173,0.827,0.0,0.3182,POS
"Do you think it has potential to turn into a hurricane?
Should I put my shutters on my house?",0.0,1.0,0.0,0.0,NEU
Always has the potential and the gulf is warm. Warm water=fuel.,0.297,0.703,0.0,0.4215,POS
"When y'all get your degree for meteorology, then maybe you can predict a hurricane. Until then, leave it up to Denis Phillips",0.0,0.943,0.057,-0.0516,NEG
"they literally said that it has a potential to become a hurricane and they are absolutely correct. We still really don’t know what the abnormally warmer water will do. Even Denis has said that the warm water is a wildcard this year.
If they said it definitely will I would agree with you, but they didn’t.
I may not be a meteorologist, but I do listen and remember what has been said.",0.098,0.902,0.0,0.5647,POS
Hi I see your from Ohio so now that I’m aware your lack of knowledge when it comes to hurricanes I’ll go easy 😊. My degree comes from living in Florida all my life and riding out numerous hurricanes. Not to mention countless hours repairing powerlines after hurricanes. It’s always a possibility that a storm can turn into a hurricane that’s just common sense.,0.046,0.918,0.036,0.1531,POS
"ummm, stalk much?? Any whoo... I've lived in Florida since 1989, so I've seen my share of weather and rode out numerous hurricanes myself. So, my knowledge is not lacking as you say. Get your facts straight before you start saying things you don't really know about...",0.09,0.91,0.0,0.5362,POS
1989 huh. then you know the possibility of a hurricane exists. Why you felt the need to spray verbal diarrhea in your comment is beyond me. This lady asked a simple question. Everyone here has been helpful except you.,0.072,0.928,0.0,0.4215,POS
I think once it passes Cuba and hits the warm waters it’ll become a hurricane. 😬,0.137,0.863,0.0,0.2263,POS
absolutely that’s a possibility,0.0,1.0,0.0,0.0,NEU
"I'd like to thank the Tocobaga and Ybor Chickens ahead of time. If you know, you know. 😂",0.25,0.75,0.0,0.6124,POS
So I’m in Seminole on vacation. Obviously not from here. Should I worry? Me and family are staying at an airbnb.,0.0,0.868,0.132,-0.4404,NEG
"personally, I wouldn't worry. But if you have outdoor plans, I would think about an alternative just in case.",0.096,0.904,0.0,0.1786,POS
"Why does one need water? In my 70+ yrs in Clearwater, we never ran out of water.",0.0,1.0,0.0,0.0,NEU
"i think the concern is if there is a water main break or breach, water could be contaminated.",0.0,1.0,0.0,0.0,NEU
extremely rare with a tropical storm or hurricane. Can only happen if a tree it uprooted and happens to be tangled in a water main. Which is nearly impossible in Florida because you cannot lay mains that close to a tree.,0.0,1.0,0.0,0.0,NEU
"it does happen!! During Ian my sisters couldn’t drink the water !! With all standing water too it’s not safe to drink it. We went through Charlie too and couldn’t drink the water that’s why they tell you to have enough water to drink. If you are on a well and no electricity, you won’t have water.",0.034,0.871,0.095,-0.5682,NEG
"that happened because the pump stations lost power and DEP requires a boil water notice if system pressure drops below 20psi. Standing water has no baring of domestic drinking water as it's a closed system.
I never said it didn't happen, I said it was extremely rare. There's a reason you never hear about pipe crews repairing water mains after a storm.
The only time this doesn't apply is if you're on a well and lose power or the septic system overflows and soaks into ground water.
99% of people will never need to horde cases of drinking water. Everyone also seems to forget there are crews working out in the heat that actually need cases of water daily and can't get it because ignorant people buy it up because that's what they've always done.",0.015,0.886,0.098,-0.8519,NEG
makes sense. I best load up.,0.512,0.488,0.0,0.6369,POS
if you have a well and electric goes out you need bottled water. In my area we are always losing power for one reason or another. and we are on a well.,0.124,0.799,0.077,0.1531,POS
"So just stock up on coke and whiskey and snacks
Got it
However Sam’s people missed the memo 😆",0.0,0.885,0.115,-0.296,NEG
"I think the storm is going to be going to Port Charlotte South of Tampa Bay.",0.0,1.0,0.0,0.0,NEU
me too and go out the east side across Polk County,0.0,1.0,0.0,0.0,NEU
"me tooo",0.0,1.0,0.0,0.0,NEU
where do you get that. NOAA doesn't say that?,0.0,1.0,0.0,0.0,NEU
is this true Denis Phillips ?,0.412,0.588,0.0,0.4215,POS
Looks like Highlands is saved!,0.651,0.349,0.0,0.68,POS
We just moved to Polk county!!,0.0,1.0,0.0,0.0,NEU
welcome to where 90 percent of all storms go,0.273,0.727,0.0,0.4588,POS
