No real changes overnight. Saturday will be a typical August day with impacts from Debby (to be) arriving on Sunday.,Pos,Neu,Neg,Compound,Overall Sentiment
Wow you’re up late.. thank you for updating and keep us all informed!,0.375,0.625,0.0,0.7644,POS
Denis Phillips thank you Dennis,0.385,0.615,0.0,0.3612,POS
Denis Phillips has the system moved away more from plant city Dover area?,0.0,1.0,0.0,0.0,NEU
looks like a direct hit. 🤣🤣🤣🤣,0.385,0.615,0.0,0.3612,POS
"not funny",0.0,0.294,0.706,-0.3412,NEG
Is Sarasota / Bradenton in the Cone at All ...earlier I seen where we are completely out of the Cone ? ...Thank you,0.0,1.0,0.0,0.0,NEU
You really should be asleep,0.0,1.0,0.0,0.0,NEU
Denis Phillips same 😆,0.0,1.0,0.0,0.0,NEU
Denis Phillips Yes and people think WE'RE strange... 🤣😂,0.252,0.748,0.0,0.4019,POS
"Denis Phillips we might be night owls
🦉
Look how much more we accomplish uninterrupted!🙏
Thank you for always keeping us posted.
So we can make sound choices.",0.19,0.81,0.0,0.7069,POS
Denis Phillips yup! Me too! 🤪,0.0,1.0,0.0,0.0,NEU
Denis Phillips Me too.,0.0,1.0,0.0,0.0,NEU
Denis Phillips Sleep is overrated! Cat naps work just fine. 3:56 am now,0.148,0.852,0.0,0.2714,POS
"Denis Phillips You should have been a cop with us at TPD working midnights. Your wit, and yes sarcasm...(admit it) which is well received by my group by the way, would have fit in nicely. Thanks for the updates.",0.284,0.716,0.0,0.9022,POS
"Sleep is overrated",0.0,1.0,0.0,0.0,NEU
looks like SW might miss the heavy rains.,0.248,0.594,0.158,0.2263,POS
Denis Phillips i wont count it out til its gone by...,0.0,1.0,0.0,0.0,NEU
"Have a goodnight sleep and great weekend Denis Phillips",0.369,0.631,0.0,0.6249,POS
sleep??,0.0,1.0,0.0,0.0,NEU
"I’m actually enjoying a cup of coffee on lanai .. embrace the calm,, it’s a gorgeous morning. prayers up for this little DEBBIE!",0.357,0.643,0.0,0.8748,POS
"Yes Denis thank you so much. We all say and we all mean it. 💙",0.302,0.698,0.0,0.6369,POS
"Thanks Denis Phillips for keeping us informed. I am an ""owner"" of a MAJOR grocery company in the southeast that happens to have the best sweet tea and subs around.....lol. Your forecasts help us be prepared to take care of the public and ensure they can get the supplies and food they need during the hurricane season. You are amazing!!!!! Rule #7!!!!",0.29,0.71,0.0,0.9669,POS
We just had a gallon of that sweet tea at work yesterday. I calculated that there's .77 of a pound of sugar in that gallon. Probably why I couldn't stop drinking it 😂,0.158,0.842,0.0,0.5978,POS
