"TD 4 | The 11 am track is in and shows no big changes with the storm center staying west of our beaches. Hopefully the center stays far enough west to lower our surge potential, however a storm surge warning is now up from Aripeka north. Surge forecasts in these areas are 3-5', with 2-4' forecast for the rest of our coast.",Pos,Neu,Neg,Compound,Overall Sentiment
A lot can still happen. Remember Ian was supposed to hit us and took a hard right at Fort Myers. I know this is a tropical depression and not a hurricane but still crazier things have happened. We all need to stay on alert.,0.066,0.824,0.111,0.0258,NEU
"yes! I was in an evacuation zone in St Pete with Ian. Traveled 4 hrs in hurricane traffic to get east to Winter Garden. St Pete faired well. Winter Garden not so much. Power out for 2 days. Heavy rains. The Winter Garden family members should have come to me in St Pete. lol! 😂 Be aware, just like Denis says! In the end anything can happen. I’ll never forget Irma, either. That was my worst, in Winter Haven. Others have been thru worse than Irma. ❤️ 🙏 🌴 🌧️ ☀️",0.129,0.797,0.074,0.5334,POS
I'm so glad you bought a generator. It'll miss us.,0.277,0.589,0.135,0.4005,POS
she can keep it for when any real hurricanes hit,0.0,1.0,0.0,0.0,NEU
and buy up all the toilet paper!,0.0,1.0,0.0,0.0,NEU
"I don’t think that would be necessary… Lol",0.318,0.682,0.0,0.4215,POS
No usually it’s bread and water.,0.0,0.694,0.306,-0.296,NEG
I really wish people would stop comparing storms. The conditions are not the same,0.185,0.679,0.136,0.2006,POS
"neither are all the false spaghetti models before a storm is even vl
Close to Florida 🤣 🤣 🤣",0.0,1.0,0.0,0.0,NEU
"good point. Michael is the one that caught everyone off guard.",0.225,0.775,0.0,0.4404,POS
Lord help us!,0.599,0.401,0.0,0.4574,POS
please no not further west! tallahassee doesn't need to get hit that hard. we're still recovering from the may tornados! 😢,0.098,0.724,0.178,-0.2225,NEG
"my thoughts exactly and still scarred from it 😭",0.0,1.0,0.0,0.0,NEU
It’s odd. I just got notification of a tropical storm warning ending at 7 PM tonight. It’s on all of my weather apps as well. This isn’t supposed to even come near us until later tomorrow correct,0.056,0.82,0.124,-0.3818,NEG
I was wondering the same thing as I got the same notice.,0.0,1.0,0.0,0.0,NEU
my phone never notifies me. I had to buy a weather radio. They're all marked to go off but they don't. Anyone know how I can fix this? I have an android Samsung,0.0,1.0,0.0,0.0,NEU
"I have the weather channel app, you may have to go into your settings and allow the notifications to pop up",0.091,0.909,0.0,0.2263,POS
"I did they are all on.",0.0,1.0,0.0,0.0,NEU
Yes. Tomorrow.,0.73,0.27,0.0,0.4019,POS
"apps stink of misinformation. Don't bother, follow this guy. Paul Delgado is also a good source of information. Floridian speaking. 👍",0.198,0.602,0.201,-0.0165,NEU
They will issue another.,0.0,1.0,0.0,0.0,NEU
"Because it's done for your region",0.0,1.0,0.0,0.0,NEU
"hey, they turned our cruise ship around and never stopped at msc private island lol....",0.106,0.894,0.0,0.1695,POS
"Let’s remember something else, it has not made that Northwest turn yet. I want to see between now and when they come out at 5 o’clock if that turn starts to take place. A subtle detail like that makes all the difference in the long run.",0.085,0.915,0.0,0.4215,POS
definitely moving NW,0.574,0.426,0.0,0.4019,POS
"OK so it has started that NW turn and not a wobble",0.227,0.773,0.0,0.4466,POS
no not a wobble. It’s on track.,0.0,0.694,0.306,-0.296,NEG
so it’s definitive on the northwest turn now. That’s what we were looking for. They might do something on the intermediate in terms of an advisory but the track I want to see at 5 o’clock what that is.,0.039,0.961,0.0,0.1154,POS
I mean I’m no weather man hit if you look at the track it’s doing what it’s supposed to. We can’t predict exact moments.,0.0,0.909,0.091,-0.296,NEG
NHC says NW appears to have started,0.0,1.0,0.0,0.0,NEU
it did start?,0.0,1.0,0.0,0.0,NEU
"That’s our area Denis, near Aripeka- Thanks for all you do Denis!! Let’s prepare for worst and hope for best Rule#7",0.334,0.537,0.129,0.7568,POS
Hang in there.,0.0,1.0,0.0,0.0,NEU
"thank you- you too",0.455,0.545,0.0,0.3612,POS
"Thanks Denis....you have always been the best at keeping us well informed! We love ya",0.555,0.445,0.0,0.9286,POS
Hang in there! ❤️🙏🏻,0.0,1.0,0.0,0.0,NEU
Is there an associated rainfall map?,0.0,1.0,0.0,0.0,NEU
I saw 6”-10” for us,0.0,1.0,0.0,0.0,NEU
where is us? Spring Hill here.,0.0,1.0,0.0,0.0,NEU
st pete,0.0,1.0,0.0,0.0,NEU
"Thanks",1.0,0.0,0.0,0.4404,POS
"Thank you! You are the only weatherman I will follow when stuff is scary!",0.145,0.636,0.219,-0.3147,NEG
"Meteorologist I should say ❤️",0.0,1.0,0.0,0.0,NEU
"Early tracks were 2 pm west of Tampa now 8pm west of Tampa, looks like track slowed down… hopefully that’s not enough time to sit out there and strengthen too much… ALOT can change if so",0.19,0.81,0.0,0.7579,POS
I was thinking the same thing. There’s been no mention of the timing change at all,0.0,0.864,0.136,-0.296,NEG
Ikr 😳 ughh I hate the waiting game 😝 and it in that hot gulf,0.0,0.748,0.252,-0.5719,NEG
"the very LAST thing we need is a slow down.
🤦🏻‍♀️
GURRRRLLL",0.0,1.0,0.0,0.0,NEU
it did slow down from 17mph to 15,0.0,1.0,0.0,0.0,NEU
"ughhh 😩 Truly being stalked by a turtle lol",0.533,0.467,0.0,0.6908,POS
that’s always the concern- when a storm sits and collects strength,0.262,0.738,0.0,0.4939,POS
"Exactly.. Was just noting that it wasn’t being said , in fact ‘No big changes’ was said, and it slowing down Is a change to be concerned with",0.0,1.0,0.0,0.0,NEU
Is there any talk about Tampa airport closing tomorrow? We Have a flight into Tampa in the evening on Sunday ….wondering how this TS will impact air traffic. I imagine it will to some degree…but just curious if anything has been mentioned yet about airports….or if it’ll be a game time decision,0.046,0.954,0.0,0.3182,POS
"have a flight into Tampa around 4pm Monday and also wondering.
Following.",0.0,1.0,0.0,0.0,NEU
we’re in the same situation!,0.0,1.0,0.0,0.0,NEU
depends on your airline- I saw Southwest put out an advisory for Tampa,0.0,1.0,0.0,0.0,NEU
same🙏🏽✨️😩,0.0,1.0,0.0,0.0,NEU
they only close airport in high winds. You’ll be fine,0.167,0.833,0.0,0.2023,POS
he already mentioned that he didn’t know but idiots keep asking…,0.0,1.0,0.0,0.0,NEU
thanks. too many comments to read thru to see who asked what.,0.209,0.791,0.0,0.4404,POS
"From the TPA website ""TRAVELER ALERT: We continue to monitor the weather forecast. TPA remains open and operational at this time. Check directly with your airline for the latest flight information."" https://www.tampaairport.com/",0.086,0.914,0.0,0.4466,POS
thank you!🙏,0.736,0.264,0.0,0.4199,POS
Thanks for the continued updates Denis Phillips. You are appreciated!,0.448,0.552,0.0,0.7574,POS
"Staying in Clearwater beach as a tourist , does the storm surge close roads in the area? If so how long before is it wise to move out of area as have flight to catch tomorrow night",0.084,0.916,0.0,0.4767,POS
"we are in a similar situation, right now in Tampa Bay, leaving monday (hopefully)",0.0,1.0,0.0,0.0,NEU
"good luck",1.0,0.0,0.0,0.7096,POS
"Good luck to you too, do you have more information by now? Our hotel acts like there is nothing going on …",0.318,0.682,0.0,0.8126,POS
"I took a look on my weather radar and this storm is getting it's ""act together"", which is actually pretty impressive considering how it was just a bunch of rainstorms yesterday",0.2,0.8,0.0,0.7579,POS
"Glad to see Tampa Bay in a much better place, keep going west Debby!",0.36,0.64,0.0,0.7345,POS
