On my way to the store to get storm snacks for work. #littledebbie #cosmicbrownies,Pos,Neu,Neg,Compound,Overall Sentiment
Parrish Publix has a rather large supply of all Little Debbie snacks! I did not purchase any but was tempted.,0.0,1.0,0.0,0.0,NEU
did the bakery have hurricane cakes? I heard they stopped making them.,0.0,0.84,0.16,-0.2263,NEG
I honestly didn’t look,0.6,0.4,0.0,0.4588,POS
I brewed some coffee to save for cold brew in case power goes out,0.211,0.789,0.0,0.4939,POS
I keep it on hand and am drinking it every day. My summertime go to right now.,0.176,0.824,0.0,0.4939,POS
I brew at home and then have in an easy pour container in the fridge. It’s perfect for the warm weather.,0.333,0.667,0.0,0.8176,POS
"haha me too! Priorities!☕️",0.544,0.456,0.0,0.555,POS
great idea!,0.815,0.185,0.0,0.6588,POS
we make our own cold coffee.,0.0,1.0,0.0,0.0,NEU
thanks for reminding me 😉☕️,0.42,0.58,0.0,0.4404,POS
good idea 💡,0.744,0.256,0.0,0.4404,POS
ty for suggestion,0.565,0.435,0.0,0.3818,POS
"oh thats smart! Never occurred to me.",0.333,0.667,0.0,0.4574,POS
Cawfee 🤌,0.0,1.0,0.0,0.0,NEU
smart!,1.0,0.0,0.0,0.4574,POS
I’ve already pre-snacked half my Cheetos 🤦🏻‍♀️,0.0,1.0,0.0,0.0,NEU
"my favorite comfort food during hurricanes!",0.592,0.408,0.0,0.6996,POS
BOGO at Publix this week! I got mine!,0.0,1.0,0.0,0.0,NEU
good to know thanks! I have 1 emergency bag but looks like I’ll have 3 later today!😜,0.396,0.512,0.092,0.7126,POS
that’s where I got mine too!,0.0,1.0,0.0,0.0,NEU
"me, too!",0.0,1.0,0.0,0.0,NEU
"I always do that too 😂🤣",0.0,1.0,0.0,0.0,NEU
lol,1.0,0.0,0.0,0.4215,POS
"That’s what I just did, I’m ready! Got everything I needed and now I’m just going to say a little prayer 🙏 for all of us in it’s path… STAY SAFE EVERYONE, and Dennis Thankful we have you to keep us updated! 👍",0.229,0.771,0.0,0.8864,POS
I'll be happy when all the Little Debbie Memes are gone 😁,0.27,0.73,0.0,0.5719,POS
me too😬. my hubby always told people his wife looked like Little Debbie🤪. and when i was younger i’d have to say i kinda did🤣,0.102,0.898,0.0,0.3612,POS
No one ever called me Little Debbie when I was young. At least not to my face! Lol 😂,0.152,0.739,0.108,0.2244,POS
I was called little Debbie snack cakes when I was in elementary school so I’m just embracing it. 😂😂,0.0,1.0,0.0,0.0,NEU
"me too😅🤣😂",0.0,1.0,0.0,0.0,NEU
Sane here. Already gotten some ribbing from my sister. 😄,0.0,1.0,0.0,0.0,NEU
it does bring back childhood memories LOL 🤣,0.371,0.629,0.0,0.5473,POS
"ok a Cat 3 hurricane coming for u in 2 weeks",0.268,0.732,0.0,0.296,POS
same lol,0.737,0.263,0.0,0.4215,POS
same,0.0,1.0,0.0,0.0,NEU
"Oatmeal pies, the best",0.583,0.417,0.0,0.6369,POS
you can airfry Oatmeal pies then top with scoop of ice cream..,0.254,0.746,0.0,0.34,POS
"I’ll be there in 5",0.0,1.0,0.0,0.0,NEU
I was going to say that. Frozen with ice cream topping puts it beyond epic,0.0,1.0,0.0,0.0,NEU
"I don’t care for the oatmeal pies, but the peanut butter pies……. I swear they have some addictive additive in them. They are so good. Try them…",0.236,0.721,0.043,0.7853,POS
"I just ate one. I'm trying to decide if their taste has changed, or if it's me. They didn't taste very good.",0.0,0.884,0.116,-0.3865,NEG
taste has definitely changed in all of their products….imo…and not for the better. I don’t buy any of them anymore due to throwing them out.,0.1,0.812,0.089,0.0757,POS
generic asf,0.0,1.0,0.0,0.0,NEU
"Thank you for always doing an amazing job. Calm, accurate and no hype.",0.434,0.455,0.111,0.7506,POS
"Little Debbie Swiss Rolls are the best! Especially straight from the freezer",0.401,0.599,0.0,0.7707,POS
"never tried that. my second favorite after cosmic brownies",0.273,0.727,0.0,0.4588,POS
I've never tried of cosmic brownies! Yikes! Sounds like they have espresso in them. 😁,0.192,0.808,0.0,0.4738,POS
no just have bright colored candy pieces on them💜🩵🩷🧡💚,0.24,0.579,0.182,0.1779,POS
every 5 years or so i het the cosmic brownies. Every time i am reminded that they feel like playdoh.,0.135,0.865,0.0,0.3612,POS
We call those Space Ranger Brownies as that is what my now 25 YO called them when she was little (due to her love of Buzz Lightyear 🤣) They’re still one of her faves!,0.12,0.88,0.0,0.6696,POS
I will forever now call them Space Ranger Brownies!!!! To Infinity and Beyond!!!!! 🩵,0.0,1.0,0.0,0.0,NEU
Gasp! Cosmic brownies make me happy!!😍,0.0,1.0,0.0,0.0,NEU
My choice,0.0,1.0,0.0,0.0,NEU
YES!!!! 🙌🏼,0.0,1.0,0.0,0.0,NEU
"I got these and fudge elf cookies haha",0.333,0.667,0.0,0.4588,POS
"my now deceased hubby loved nutty buddy",0.394,0.606,0.0,0.5994,POS
"im coming to your house!",0.0,1.0,0.0,0.0,NEU
"stick with the ""turtle"" theme!",0.0,1.0,0.0,0.0,NEU
"I'm going to dislike you🤣
I'm addicted to anything related to a turtle snack",0.0,0.822,0.178,-0.3818,NEG
"wow! I’ve not seen those yet.",0.45,0.55,0.0,0.6239,POS
I have not noticed these yet how much cholesterol is in those? They look yummy.,0.207,0.793,0.0,0.5267,POS
