Today's rain is really only the beginning. Lots more is on the way with flooding likely in some spots. A Flood Watch has been issued for part of the region through Monday. Update on the way.,Pos,Neu,Neg,Compound,Overall Sentiment
"Spring Hill here and we just had the strongest wind gusts come through and rip off my zip ties from my sunshade. It's been up for months and through many of our daily storms. These gusts were different- trust me. If this is any indication of what Deb is bringing with her, these outer bands could get really nasty.",0.094,0.847,0.059,0.3197,POS
just had the same here in north hudson,0.0,1.0,0.0,0.0,NEU
Not much going on here in my part of Fort Myers.,0.0,1.0,0.0,0.0,NEU
I’m here in Gainesville. It looks like we are going to get nailed. We’ve been through many storms and hurricanes. I always hope we don’t lose power. If we don’t I will be a happy camper 🙏🏻❤️,0.218,0.718,0.065,0.7506,POS
"Gainesville here too, and I concur!!",0.0,1.0,0.0,0.0,NEU
"I’m in Port Orange (just south of Daytona) and we have some decent wind but Denis Phillips from all I can see we aren’t even in the cone, so will we get storms or just rain? All my apps are high % for rain.",0.0,1.0,0.0,0.0,NEU
"Hi Jami, 🙋‍♀️, I'm in Port Orange as well. According to Meteorologist Noah Bergren we are only supposed to get 5 inches of rain here in the Daytona Beach vicinity. With that being said do you happen to know when the rain is going to start? Is it supposed to start tomorrow morning, afternoon or evening? I *know* when the storm pulls away and heads up into GA , we are at a HIGH risk for spin up tornadoes. However I think our exact forecast as far as what to expect *may* change before then.",0.023,0.954,0.023,0.0,NEU
Views from Clearwater Beach around 1pm today,0.0,1.0,0.0,0.0,NEU
bet the waves are awesome,0.506,0.494,0.0,0.6249,POS
surprisingly the water was very calm all things considered.,0.406,0.594,0.0,0.5849,POS
"It's pretty cool now. Crazy people still in the water",0.369,0.47,0.161,0.4767,POS
This was facing NW. We were surrounded by storms but nothing came down for an additional 45 minutes.,0.0,1.0,0.0,0.0,NEU
"look at those peeps staying in the water?!?!
😳🙄",0.0,1.0,0.0,0.0,NEU
that's crazy I'm 15 minutes from there and we got nothing,0.0,0.806,0.194,-0.34,NEG
Crazy thunderstorms in Spring Hill,0.0,0.625,0.375,-0.34,NEG
"It just started raining here in the Shady Hills area about 15 minutes ago, and thankfully we haven't had anything but a light shower in the past 5 days.",0.068,0.932,0.0,0.2263,POS
"Well end of summer pool party has been moved indoors",0.375,0.625,0.0,0.5859,POS
Finished draining some water out of my pool just as today's deluge started in Odessa 😳,0.0,1.0,0.0,0.0,NEU
"smart
i meant to do that and didn’t yet.",0.278,0.722,0.0,0.4019,POS
I’m contemplating doing the same. This current deluge of water is getting me near the top again. When it stops I guess I will pull the hose out to drain. Odessa is getting it hard today for the 3rd time.,0.045,0.879,0.075,-0.0516,NEG
