"NEW | Flood watches have been issued through Mon evening for coastal counties for rainfall amounts of 5-10"" with some isolated amounts of 15""+ possible. The heaviest rains will fall Sun to Mon and amounts will vary based on where heaviest rain bands set up. If you live in an area that is prone to flooding from heavy rain, now is the time to make sure drains around your property are clear.",Pos,Neu,Neg,Compound,Overall Sentiment
Pinellas’ drought conditions will soak-up a contribution to the water table.,0.0,1.0,0.0,0.0,NEU
"Doubt we will get much rain at all in the Great Valrico Desert.",0.233,0.625,0.142,0.3818,POS
Power is out in Dade City. 😫,0.0,1.0,0.0,0.0,NEU
Power is back on! (off from 2:00-3:45PM). Thanks Withlacoochee River Electric!💡,0.258,0.742,0.0,0.5399,POS
at least we have the Olympics for entertainment!,0.306,0.694,0.0,0.4753,POS
"exactly, Em!",0.0,1.0,0.0,0.0,NEU
"yes we can watch surfing🏄 😂",0.403,0.597,0.0,0.4019,POS
"if you have power",0.0,1.0,0.0,0.0,NEU
"thats not entertaining lol",0.0,0.297,0.703,-0.5773,NEG
I should have known better then to state my opinion on this darn page. I pray you all wake up and find Jesus,0.215,0.785,0.0,0.6369,POS
"if you like drag queens mocking the first supper.",0.191,0.458,0.351,-0.2732,NEG
I am not embarrassed to love Jesus.,0.223,0.422,0.355,-0.3089,NEG
"and you would know Jesus sat with everyone not just ""Christians"" ☺️",0.0,1.0,0.0,0.0,NEU
I’m flying into Clearwater tomorrow morning. To stay in Indian rocks as a tourist. Is there anything that’s I should be worried about?,0.0,0.901,0.099,-0.296,NEG
"storm surge. That area is right near the water",0.0,1.0,0.0,0.0,NEU
a really wet vacation.,0.0,1.0,0.0,0.0,NEU
delays or cancelations due to weather,0.0,1.0,0.0,0.0,NEU
Denis Phillipsanybupdate on airport activity tomorrow,0.0,1.0,0.0,0.0,NEU
"Waiting for the update at 5pm, even though the cone shift more west, still everything can happen. Now the storm is out in water.",0.0,1.0,0.0,0.0,NEU
"Just had a rain ban come thru Northeast Hillsborough County.
No worries here, we will be fine.",0.08,0.536,0.384,-0.7783,NEG
At Sams's club NPR and now it's pouring!,0.0,1.0,0.0,0.0,NEU
Sams in New Port Richey,0.0,1.0,0.0,0.0,NEU
that’s actually an awesome pic !,0.523,0.477,0.0,0.6588,POS
"Where are you located?",0.0,1.0,0.0,0.0,NEU
"NPR",0.0,1.0,0.0,0.0,NEU
"location? Ocala?",0.0,1.0,0.0,0.0,NEU
"which location",0.0,1.0,0.0,0.0,NEU
Rain going sideways and very windy in Spring Hill,0.0,1.0,0.0,0.0,NEU
Pasco County is getting hit pretty hard with rain right now. It’s so dark out. It looks like it’s 9 o’clock at night ,0.218,0.728,0.054,0.6486,POS
"that was really heavy. I agree",0.41,0.59,0.0,0.4173,POS
I think we probably had more rain last week than we will get this week,0.0,1.0,0.0,0.0,NEU
"In holiday and we are getting some really nasty weather!! Already flooded 😳",0.157,0.582,0.261,-0.417,NEG
"I think going forward, they should name all storms after food items like a theme, we have little Debbie, then skip over E and then go to fajitas or French fries",0.085,0.915,0.0,0.3612,POS
"Eggs Benedict",0.0,1.0,0.0,0.0,NEU
"I'm flying to mars tomorrow around 10am, will my flight be cancelled ?",0.0,0.846,0.154,-0.25,NEG
Todays rain is our normal afternoon storms. Waiting for the winds and Debby,0.0,1.0,0.0,0.0,NEU
"Standing by, Denis, in Gulfport on the Bay.",0.0,1.0,0.0,0.0,NEU
"I did my gutters yesterday - thank god that I did - it’s coming down sideways now",0.295,0.705,0.0,0.5574,POS
"thankfully my husband cleared ours out too and our tree people were out 2 weeks ago. We are on Citrus Park its been crazy raining here off and on then Sun comes out then rains again. This is nothing as Denis said so praying tomorrow will be ok as I didn't really being stuff in, just took my birdfeeders down and hanging baskets. Our pond out back I know will overflow as it did back in 2012 with that Debby storm. Praying our power doesn't go out as it gets miserably hot inside and can't handle it due to health problems. 😔",0.11,0.816,0.074,0.4481,POS
Odessa getting hit hard for the 3rd time today,0.0,0.851,0.149,-0.1027,NEG
When will the rain move out? Asking for my beach chair! 😂,0.0,1.0,0.0,0.0,NEU
"exactly! Lol",0.756,0.244,0.0,0.4753,POS
Not worried about flights or Disney. My worry is if I can get my Dunkin Iced Coffee in the morning! 🤣,0.086,0.77,0.145,-0.3191,NEG
Flying to tampa Tuesday.. Hopefully 🙈🙈,0.351,0.649,0.0,0.4019,POS
same. This was supposed to be over by then but it’s looking like it’s spilling over to Tuesday,0.16,0.84,0.0,0.5023,POS
"Already seeing floods in Tarpon!",0.0,1.0,0.0,0.0,NEU
"If I have to travel from st Pete to Clearwater tomorrow, what time should I leave st Pete? Before 12pm?",0.0,0.916,0.084,-0.1431,NEG
"Well, this will be interesting for flights coming in Monday evening.....ugh.",0.348,0.652,0.0,0.5859,POS
"What about flights into st Pete airport on Sunday evening",0.0,1.0,0.0,0.0,NEU
"what about calling them!? 🙄🙄🙄",0.0,1.0,0.0,0.0,NEU
"What about the winds? Panels up?",0.0,1.0,0.0,0.0,NEU
it doesn’t appear that the storm will produce winds higher than 45mph here.,0.0,1.0,0.0,0.0,NEU
Thanks! I’ll keep a watch. Ian blossomed over a short time and it’s currently over very warm gulf/Caribbean waters. Hurricanes are different now due to the extremely warm waters from global warming. I’m always a bit anxious after experiencing Andrew in 1992.,0.203,0.753,0.044,0.7334,POS
From Texas and staying updated. But wondering does weather like this normally affect MCO?,0.2,0.8,0.0,0.5023,POS
No,0.0,0.0,1.0,-0.296,NEG
"New to the area, do I need to move my car off of Anna Maria Island? It lays pretty low to the ground",0.126,0.791,0.083,0.2732,POS
i have family in VA Beach and they move their cars to the higher levels of the parking garages at airport when storms like this roll in.,0.091,0.909,0.0,0.3612,POS
"I would! I’d probably get a hotel room farther from the shore, ESPECIALLY, if on Anna Maria.",0.0,1.0,0.0,0.0,NEU
Move it...better to be safe than sorry.,0.315,0.543,0.141,0.3818,POS
better safe than sorry.,0.716,0.123,0.16,0.6705,POS
"yes i would",0.73,0.27,0.0,0.4019,POS
Thanks for the continuing updates! You're the best!,0.562,0.438,0.0,0.8264,POS
That’s a lot of rain ☔️,0.0,1.0,0.0,0.0,NEU
Let’s go! Bring on the rain 🌧️ 💪,0.0,1.0,0.0,0.0,NEU
Where did homosassa go on this map??,0.0,1.0,0.0,0.0,NEU
this guy is good to follow about the storms,0.266,0.734,0.0,0.4404,POS
I hate this map. Where is Zephyrhills or Dade City or Wesley Chapel on here? Don't we count?,0.0,0.798,0.202,-0.6199,NEG
no.,0.0,0.0,1.0,-0.296,NEG
Love the current updates .You Rock!!,0.489,0.511,0.0,0.6988,POS
"I’m going to be “that person” 🙃
Is it likely that flights to Tampa will be affected Monday?",0.0,0.909,0.091,-0.1531,NEG
that’s guaranteed. Expect a lot of free airport appreciation time:),0.485,0.515,0.0,0.765,POS
"I fly in to Tampa st Pete tomorrow, hopefully 🤞",0.278,0.722,0.0,0.4019,POS
"Youre good, if before 0800.",0.42,0.58,0.0,0.4404,POS
I leave at 10:48 am,0.0,0.714,0.286,-0.0516,NEG
Theyre saying now that the big blow is noonish. Good luck.,0.396,0.604,0.0,0.7096,POS
thx,1.0,0.0,0.0,0.3612,POS
not because of our airport. But because lights have to go out to the north. Flights to Miami will be open. I'm sure.,0.118,0.882,0.0,0.4497,POS
"as lokely as you are smart. Not at all.",0.252,0.748,0.0,0.4019,POS
f,0.0,0.0,0.0,0.0,NEU
"So if we’re in NE St Pete (near but not IN Shore Acres) and didn’t flood during Eta or last year’s storms, we will be okay, surge-wise?",0.083,0.917,0.0,0.3291,POS
Raining here in Crystal River,0.0,1.0,0.0,0.0,NEU
Why is there lightning in west Pasco. Is this regular rain right now? Meaning not part of the TS. I've never seen lightning per a tropical system. Maybe I'm forgetting...,0.0,1.0,0.0,0.0,NEU
"yes. He said that many times already……",0.31,0.69,0.0,0.4019,POS
"Denis Phillips, driving home to Lakeland from Atlanta tomorrow. Leaving early 7-8ish. Stupid? Thoughts on just taking our chances with the amounts of rain, or waiting it out til Tuesday since it’s heading up this way as well. 🥴😅",0.09,0.831,0.079,-0.128,NEG
"girl wait!!! You know these folks can't drive!!! Stay safe my friend ❤",0.26,0.596,0.143,0.4519,POS
so this storm is slow moving! If you stay because of weather tomorrow you might as well stay two more days because the worst of the storm will be going through upper Florida and Georgia on Monday!,0.05,0.838,0.112,-0.555,NEG
Spring Hill right now,0.0,1.0,0.0,0.0,NEU
"still so beautiful ❤️
Hope it passes u soon",0.551,0.449,0.0,0.8104,POS
"Thank you Denis!
Looking for advice from non sarcastic people! Lol
I am staying on Gulf Blvd. in Madeira Beach. Going to leave tomorrow morning to avoid flooding and my car getting stuck. Where is a good place to drive to and get a hotel tomorrow. I am not sure how far I should bother going. Thank you Floridians!",0.159,0.653,0.188,0.4242,POS
"love my staycations at Madeira. I’m not a Denis Phillips by any means but I’m thinking being this is more of a water event not so much winds, just get away from west coast shore. Go East It’ll be windy but not hurricane windy. That’s my uneducated meteorologist not being Denis opinion 😁 be safe",0.114,0.886,0.0,0.7543,POS
"Thank you so much for the response. Much appreciated. I will be doing that instead of just sitting around here worrying of floods.",0.213,0.699,0.088,0.5267,POS
welcome. I’m pretty sure there will storm surge so yeah best to get off the beach👍.,0.59,0.41,0.0,0.9417,POS
"But is Disney going to close?",0.0,1.0,0.0,0.0,NEU
"hopefully.",1.0,0.0,0.0,0.4019,POS
"next stupid question?",0.0,0.37,0.63,-0.5267,NEG
"here’s one: can’t you recognize a joke?",0.306,0.694,0.0,0.296,POS
...the day before,0.0,1.0,0.0,0.0,NEU
"Whats predicted wind
Bring in lawn furniture?",0.0,1.0,0.0,0.0,NEU
good ?,1.0,0.0,0.0,0.4404,POS
"Is this storm THE storm Debbie or our afternoon storm in
Port Richey",0.0,1.0,0.0,0.0,NEU
Very heavy rain in Spring Hill,0.0,1.0,0.0,0.0,NEU
DOH! My roof!😢,0.0,1.0,0.0,0.0,NEU
"will be ok🤗got the big macaroni pot to catch the water😂",0.0,1.0,0.0,0.0,NEU
"Nice, will this officially bring us out of the annual drought deficit that we had experienced from the non existent rainy season of last summer ?",0.097,0.764,0.139,-0.0516,NEG
Weeki Wachee is in it now,0.0,1.0,0.0,0.0,NEU
"Dark. Windy..Rain starting S Brooksville",0.0,1.0,0.0,0.0,NEU
What about Cape Coral port Charlotte? Is there a larger map to show all of the coast?,0.0,1.0,0.0,0.0,NEU
I know he doesn't talk about south of Venice very often. Pt Charlotte peeps want into too.,0.08,0.92,0.0,0.0772,POS
"I am getting so confused.",0.0,0.501,0.499,-0.4572,NEG
ME TOO! I apparently have my timeline off. I was under the impression this was a Saturday night into Sunday storm.. now I’m seeing Sunday into Monday and it’s storming and pouring where I am in SH,0.064,0.936,0.0,0.2942,POS
bless your heart…,0.583,0.417,0.0,0.4215,POS
"excuse me ?",0.565,0.435,0.0,0.0772,POS
I know what that really means so also sir bless your heart for trolling me 🖕🏻,0.18,0.82,0.0,0.4703,POS
Pouring in Tarpon Springs!,0.0,1.0,0.0,0.0,NEU
The current rain storm has nothing to do with the tropical depression 🥵,0.0,0.748,0.252,-0.5719,NEG
seems like an outer band to me but i am no weather expert,0.12,0.687,0.192,-0.2617,NEG
"not according to the meteorologist",0.0,1.0,0.0,0.0,NEU
Baynews9 just called it a tropical outer band…. Related to the Cuban Low pressure area.,0.0,0.736,0.264,-0.5106,NEG
we dont need no stinking bay news 9. We have snacks and rule #7,0.28,0.72,0.0,0.5667,POS
"Lots of people filling up yesterday (Friday). Perhaps Ian is still on everyone’s mind.",0.0,1.0,0.0,0.0,NEU
"Pouring in Spring Hill!",0.0,1.0,0.0,0.0,NEU
Pasco getting it,0.0,1.0,0.0,0.0,NEU
"Flying back from Cancun to Tampa Monday at 12 pm should be interesting.
Thank you for your coverage! ☀️ 🌧️",0.234,0.766,0.0,0.6696,POS
All that fuss for nothing,0.0,1.0,0.0,0.0,NEU
be safe,0.744,0.256,0.0,0.4404,POS
Be safe! 🙏🙏🙏🙏🙏🙏,0.615,0.385,0.0,0.4926,POS
"We going be ok",0.423,0.577,0.0,0.296,POS
Looks like the storm is a day early here in Brooksville. It’s pouting and windy as all get up.,0.128,0.872,0.0,0.3612,POS
"This is not the storm. Just the usual afternoon rain",0.0,1.0,0.0,0.0,NEU
"I hope for less than 10"". Trying to bury my grandfather this week😩",0.209,0.791,0.0,0.4404,POS
"Current pics in Port Richey",0.0,1.0,0.0,0.0,NEU
Thai is one cool picture! 👍🏼,0.341,0.659,0.0,0.3802,POS
"2 days ago you said don't worry, no floods, you need to pay attention to Mike's Weather Page",0.218,0.711,0.071,0.4393,POS
"Thx Denis....
I'm just happy this isn't a hurricane 🌀",0.508,0.492,0.0,0.7351,POS
Too bad Pasco County dropped the ball and allowed their subcontractor to leave construction barriers blocking the sewers in my neighborhood. Geniuses!! Bet someone gets paid a lot of money to be a crap project planner.,0.0,0.741,0.259,-0.8585,NEG
Thank you for keeping our community informed!,0.318,0.682,0.0,0.4199,POS
"Not at my house. elevation 103' north Clearwater at Sunset point rd.",0.0,1.0,0.0,0.0,NEU
"The Rain & wind started here in SW Citrus/SMW's about 20 mins ago, just stopped and the Sun is out! ND NIW crackling Thunder has begun!",0.0,0.906,0.094,-0.3578,NEG
In port richey. 😳,0.0,1.0,0.0,0.0,NEU
I just had to come over the HF Bridge for a birth. I was scared lol,0.168,0.659,0.174,-0.0258,NEU
"Denis, How much wind are we anticipating ?",0.0,1.0,0.0,0.0,NEU
"We can handle this",0.0,1.0,0.0,0.0,NEU
"Pouring rain in Weeki Wachee
Very windy for about 20 mins but they have died down now",0.0,0.766,0.234,-0.7096,NEG
mucha agua es lo q hay,0.0,1.0,0.0,0.0,NEU
ugh,0.0,0.0,1.0,-0.4215,NEG
"Thanks. Needed my Denis Phillips update. Your prediction for NPR?",0.244,0.756,0.0,0.4404,POS
"NPR",0.0,1.0,0.0,0.0,NEU
yikes! Be safe,0.615,0.385,0.0,0.4926,POS
"beautiful",1.0,0.0,0.0,0.5994,POS
Thanks denis!,0.761,0.239,0.0,0.4926,POS
I think it might rain,0.0,1.0,0.0,0.0,NEU
Thanx,0.0,1.0,0.0,0.0,NEU
