OK. Let's see your hurricane snacks.,Pos,Neu,Neg,Compound,Overall Sentiment
Wine and Ice Cream!,0.0,1.0,0.0,0.0,NEU
"I see you have your priorities in order!!!!",0.0,1.0,0.0,0.0,NEU
yeah you did! Nice 😊,0.726,0.274,0.0,0.6476,POS
omg we just got this ice cream today it's amazing!,0.313,0.687,0.0,0.6239,POS
I want to hang out with you. Love blue bell and wine ❤️🍷🍨,0.355,0.645,0.0,0.6705,POS
Me too!,0.0,1.0,0.0,0.0,NEU
We think alike! Only I bought Josh wine and Tillamook ice cream!,0.0,1.0,0.0,0.0,NEU
"I LOVE Tillamook! Fortunately for me, I flew away from the storm yesterday to Oregon and will be eating Tillamook at the factory in a few days. Yum!",0.187,0.813,0.0,0.7592,POS
where did you find the Tabitha Brown wine?,0.0,1.0,0.0,0.0,NEU
you win the Internet today - best post 🤣💯,0.571,0.429,0.0,0.8402,POS
"and wine yes!!!!",0.0,1.0,0.0,0.0,NEU
It is possible I went a little overboard. The good news is school starts in a week and the kids will want after school treats.,0.164,0.836,0.0,0.4472,POS
"Frosted Fudge!!! My all time fav! Haven't seen them in stores for years.",0.258,0.742,0.0,0.6331,POS
No not at all.. But that will be long gone before August 12th..Sweet Mom in more ways than one..😉,0.0,0.918,0.082,-0.1531,NEG
I have a feeling you’re going to need to shopping again lol,0.35,0.65,0.0,0.5106,POS
that’s perfect!,0.8,0.2,0.0,0.6114,POS
perfect!!!,1.0,0.0,0.0,0.6784,POS
"wow..just wow",0.792,0.208,0.0,0.5859,POS
"that and Debbie’s brother is trying to form right behind her, so at least if he comes this way you will have leftovers. 🥰",0.0,1.0,0.0,0.0,NEU
"I see a theme here....little ""Debby's lol",0.412,0.588,0.0,0.4215,POS
little Debbie snacks for big Debbie storm love it,0.344,0.656,0.0,0.6369,POS
A few of these I don't think my local Publix carries. The Pumpkin treats come out later this month.,0.0,1.0,0.0,0.0,NEU
"Got Olive Garden, wine, some Crown and other happy stuff. 😊",0.291,0.709,0.0,0.5719,POS
"Love me some OG",0.583,0.417,0.0,0.6369,POS
We have our “ Hurricane” and Little Debbie’s!!,0.0,1.0,0.0,0.0,NEU
"my favorite ""snack"" picture! Enjoy!!",0.702,0.298,0.0,0.795,POS
"we’re coming over! 🤣",0.0,1.0,0.0,0.0,NEU
"Big pot of great northern beans. Skillet of southern cornbread, homemade peach cobbler, and sweet tea.",0.336,0.664,0.0,0.7964,POS
"my Mom used to do this same meal minus sweet tea, during blizzards ❤️ I lost her February unexpectedly, seeing this post makes me think of her and smile. Enjoy ❤️",0.235,0.703,0.062,0.7506,POS
you must be feom the midwest. I grew up on that meal.,0.0,1.0,0.0,0.0,NEU
Kansas here. I did also! Throw in some ketchup with the beans for me. 😎,0.0,1.0,0.0,0.0,NEU
West Virginia.,0.0,1.0,0.0,0.0,NEU
please send me your address. I'll bring a plate to fill up 🤣🤣🤣,0.173,0.827,0.0,0.3182,POS
"Moxie with spiced rum, whoopee pies, homemade banana bread and Bigelow brown beer too. Chose to be stuck in Maine for a couple extra days because flight will get cancelled I'm sure. I will be following lil' Debbie all weekend...from a very safe distance.",0.118,0.796,0.086,0.3597,POS
I was like “where did you find those WHOOPIE PIES “ around here. You’re in my Grand State of Maine where WHOOPIE Pies are as popular as lobster. PS didn’t notice the Hannaford package.,0.223,0.777,0.0,0.8074,POS
I am a Mainiac. 😊 Moved to FL in 93. And plenty of Lobstah has been eaten. 😍🦞🦞🦞,0.0,1.0,0.0,0.0,NEU
"where did you find Moxie???",0.0,1.0,0.0,0.0,NEU
I was going to say I’ve never found it outside of New England!,0.0,1.0,0.0,0.0,NEU
it’s a soda that taste like a mix of root beer and sarsaparilla. It’s a New England thing.,0.152,0.848,0.0,0.3612,POS
"I love whoopee pies!",0.692,0.308,0.0,0.6696,POS
where did you get moxie????,0.0,1.0,0.0,0.0,NEU
"Extra toasty Cheez-Its, BBQ and plain Lays, M&M peanuts, Goldfish, and an ABC run…..😉😜",0.0,1.0,0.0,0.0,NEU
"yes!!!!! 🙌 😂",0.0,1.0,0.0,0.0,NEU
"no wonder we are friends.",0.373,0.361,0.265,0.2263,POS
"I thought Debbie was bringing the snacks!!",0.0,1.0,0.0,0.0,NEU
you win 🏆,0.792,0.208,0.0,0.5859,POS
can’t top this one lol,0.605,0.395,0.0,0.5574,POS
"It's my birthday, so I get a pass for the things in my Hurricane Snack Kit!",0.0,1.0,0.0,0.0,NEU
HAPPY BIRTHDAY,0.787,0.213,0.0,0.5719,POS
"Happy, Happy Birthday! 🎂🍰🍭🍾🍷🎉🎈🧨🎊🎁🎈🎈",0.794,0.206,0.0,0.8268,POS
"Don't forget about DoorDash and UberEats! We can bring food, alcohol, supplies, etc! I may get rained on, but I love helping people! 🙂",0.375,0.625,0.0,0.8959,POS
"and dont forget to tip more in the rain!! Lol",0.387,0.613,0.0,0.6187,POS
thank you! 🙂,0.736,0.264,0.0,0.4199,POS
"I always feel guilty using them when it rains 😔",0.0,0.714,0.286,-0.4215,NEG
"no, don't! We still want to help and earn money! The drivers who don't want to get out in it, won't go. We are contractors, not employees. It's our choice to go or not go. We don't get paid by the hour, only a few dollars from DoorDash or Uber (usually $2-$4 per delivery). The rest is customer tips. That's to cover time spent, gas, car expenses, phone bill, taxes (we're 1099 so WE pay our taxes, nothing from DoorDash or UberEats). So it's all up to us to get what we want out of it. Work more or work less... it's up to us. I choose to work more and don't mind the rain! Thanks for thinking of us, though! Very sweet! 🙂",0.077,0.865,0.058,0.7591,POS
"thank you!",0.736,0.264,0.0,0.4199,POS
you're welcome! I love helping people! 🙂,0.833,0.167,0.0,0.8745,POS
"Guys, tip your drivers a hefty tip bc they are out in the nasty weather so you don’t have to. Stay safe y’all.",0.109,0.755,0.136,-0.1779,NEG
"thank you! 🙂",0.736,0.264,0.0,0.4199,POS
"and tip your drivers! They work so hard! Stay safe!",0.291,0.575,0.134,0.4894,POS
"thank you! I love helping people, but couldn't deliver without tips! 🙂",0.483,0.517,0.0,0.674,POS
