"For those nervous about an unexpected ""hard right turn"", don't be. Now that there's a well-defined center of circulation, the models will have a pretty easy job. No changes to impact on our area. The updated NHC track will come out around five.",Pos,Neu,Neg,Compound,Overall Sentiment
"I dont know, ill believe it once its closer by, as It's always happened last second, like with Irma, Ian, etc...up until the last min then it made a turn that wasn't in the forecast or projected path.",0.124,0.876,0.0,0.5903,POS
exactly Debby is going to do what she wants to,0.0,1.0,0.0,0.0,NEU
"yea I agree, and it's gonna be stronger, and now landfall is much later than they had projected which means more time for the high to come down...I think it'll turn anywhere from citrus county to big bend area.
They also said beryl wasn't gonna be strong at all, not even a hurricane and once it was in gulf waters it rapidly intensified....to a major hurricane. So I think this one is gonna get much stronger than anticipated esp being over the gulf waters another whole day.",0.086,0.884,0.03,0.6121,POS
yepp!! I believe ALL that,0.0,1.0,0.0,0.0,NEU
and actually Andrew was supposed to hit in Ft Lauderdale and hit way south in Kendall,0.0,1.0,0.0,0.0,NEU
And good ole Charley !! Was expected to hit Tampa …nope …marched its little self right up the Peace River in Punta Gorda ..,0.241,0.759,0.0,0.7896,POS
was it projected to be as far west off coast too? I'm just wondering lol cause I think itll ride up coast more east than they are saying too,0.094,0.906,0.0,0.4215,POS
"It never got into the Gulf really .I remember watching the weather on TV when it was announced that it had turned waaay before Tampa , Very much a surprise if I remember..between Port Charlotte and Punta Gorda ..",0.064,0.936,0.0,0.3353,POS
Ian was modeled to hit Tampa St Pete until it took a hard right in the middle of the night landing me trapped in Venice through a strong CAT 4 & couldn’t get out for a week. Nothing is entirely impossible hence always being & staying prepared.,0.111,0.787,0.102,0.1027,POS
"I live near Fort Myers and they had evac notices for my area a full day before it hit. Plenty of time to prep my work, my house, drive 8 hours to Tallahassee, and have a full night's sleep before the storm hit.",0.0,1.0,0.0,0.0,NEU
I live in St Pete and was under evac notice being in flood zone A. I went south…🤷‍♀️,0.0,1.0,0.0,0.0,NEU
"yes, however the models had accurately adjusted at this point prior to Ian’s landfall. This was also the case for Irma as well….which is his point.",0.097,0.903,0.0,0.4019,POS
True. Irma wasn't supposed to hit central Florida but it took a turn and we got hit hard.,0.103,0.811,0.086,0.0772,POS
but Ian was pretty obvious 18 hours out it was going south of Bradenton/Sarasota.,0.249,0.751,0.0,0.6486,POS
not that far out. My dad in Ft Myers wasn't prepared. Happened over night.,0.0,0.886,0.114,-0.1695,NEG
I'm in Tampa and was ready... had to drive supplies South after.,0.0,1.0,0.0,0.0,NEU
"for sure Fort Myers got hit really hard, but you could see it coming the night before unfortunately. The media did a poor job, letting people know south of Tampa was where the real danger was until it was too late.",0.033,0.702,0.265,-0.9108,NEG
there was a cold front that the models weren’t picking up. I know Mike and maybe even Denis (I can’t remember) was mentioning it. Hopefully the models are better now.,0.177,0.823,0.0,0.6808,POS
"Exactly. South Venice and Englewood took the burnt of the cat 4/5 eyewall winds for the ENTIRE duration of the storm. Yet literally no weather person spoke about that. Winds were clocked at over 150 mph in Venice.",0.0,0.944,0.056,-0.296,NEG
Do we know when.. or when we’ll know.. when the bands start moving into NC? We’re traveling from eastern NC to TN and not trying to drive through ut,0.0,1.0,0.0,0.0,NEU
"like Tuesday for NC",0.455,0.545,0.0,0.3612,POS
that’s what I was originally thinking. But some of the new maps are saying Thursday 🤦🏻‍♀️,0.0,1.0,0.0,0.0,NEU
"No disrespect, but your station said Hurricane Ian was heading for Tampa Bay and then the next day it slammed into Fort Myers and Sanibel. Nobody knows diddly poo about where it’s going.",0.0,0.899,0.101,-0.3612,NEG
"Ian never left the cone.",0.0,1.0,0.0,0.0,NEU
Charlie was already a HURRICANE this isnt,0.0,1.0,0.0,0.0,NEU
"look it up, BAWK BAWK",0.0,1.0,0.0,0.0,NEU
"Do you think my husband will be able to fly to Sarasota tomorrow",0.0,1.0,0.0,0.0,NEU
"we r wondering the same out of Tpa",0.0,1.0,0.0,0.0,NEU
"St Pete for me tomorrow",0.0,1.0,0.0,0.0,NEU
Thank you Denis Phillips!! We can always count on you. We appreciate you so much and all you do to keep us updated and calm! ☺️,0.267,0.733,0.0,0.8114,POS
It will go even further west of Tallahassee.,0.0,1.0,0.0,0.0,NEU
"I hope Tallahassee is as far west as it goes…",0.266,0.734,0.0,0.4404,POS
"lol. One man’s meat is another man’s poison. It is a strange thing to hope it moves away from you, knowing you are, in essence dumping it on someone else.",0.153,0.643,0.204,-0.2263,NEG
"I didn’t mean that way , 🙁",0.0,1.0,0.0,0.0,NEU
"Denis Phillips, some of us are still traumatized from Charley's ""turn""! And Jeanne, who TURNED AROUND & came back for us like it was personal. 😆",0.091,0.8,0.109,-0.126,NEG
"Back in 65 , we were in Miami. “ Betsy” strolled up the east coast of Florida, for a spell , turned around and perched in the Bahamas for 2 days before it decided to come to Miami. I was in the hospital with all other expectant mothers because back then we had to go to hospital if we were within a month of delivery. My husband spent the time at home alone with 2 toddlers and German Shepherd eating cookies …",0.0,0.973,0.027,-0.25,NEG
"I think all of us in Polk are waiting for the ""turn""..lol",0.0,1.0,0.0,0.0,NEU
"Polk county here… we got them all. 2004 was a wild one",0.0,1.0,0.0,0.0,NEU
