"Hello Debby. The National Hurricane Center has upgraded Debby to a Tropical Storm. No real changes to the track, but they do bump up winds 5 mph upon landfall which would upgrade Debby to a hurricane. They also slow it down as it approaches land not making landfall until Monday afternoon.",Pos,Neu,Neg,Compound,Overall Sentiment
"If anyone lives in the big bend area where this is forecasted to hit, I'd be expecting a major hurricane before landfall... there's 36 hrs between now and landfall and that's nothing but bath water in the gulf. I'd be leaving town for a few days or boarding up windows",0.0,1.0,0.0,0.0,NEU
true you just never know what these storms will truly do until the last minute . They have been known to make drastic changes .,0.213,0.787,0.0,0.6908,POS
I totally agree. I've been in Florida for 40 years and have seen it all.,0.177,0.823,0.0,0.4201,POS
I’ve been here 25 . Some of the tropical storms can do extensive damage just with the rainfall .,0.0,0.833,0.167,-0.4939,NEG
"True, especially in flood-prone areas. South Florida has been underwater several times this year.",0.177,0.823,0.0,0.4215,POS
yep . Our house was one that flooded n we are possibly facing again . Our house is raised but we have a separate living space that is not and many homes in the neighborhood that are not and they all flooded and redid their homes . I’m praying for everyone that it doesn’t happen again. We are on the Weeki Wachee River .,0.08,0.92,0.0,0.5927,POS
"you must be new here",0.0,1.0,0.0,0.0,NEU
"What kind of chances are we looking at for this thing to intensify beyond a Cat 2 or 3?
PCB here trying to make plans accordingly",0.061,0.939,0.0,0.1298,POS
"none. It's already a tropical storm. ( with lots of rain.)",0.0,1.0,0.0,0.0,NEU
"none.",0.0,1.0,0.0,0.0,NEU
"What would the timing window for tornado impact be for the Tampa, and south of Tampa areas, be?",0.0,1.0,0.0,0.0,NEU
"all day tomorrow, Sunday 🙂",0.0,1.0,0.0,0.0,NEU
"it's in the gulf",0.0,1.0,0.0,0.0,NEU
exactly. Which means tornado activity will be east of it. I’m just asking what the timing of that potential will be for this area.,0.0,1.0,0.0,0.0,NEU
sigh. I asked a legit question because the local news has said there will be tornados. We have had them in the past. My own home was affected by one. I’m not a newbie. Just asking him about time frame of a known concern.,0.027,0.934,0.039,-0.128,NEG
you do realize we commonly get tornadoes in tropical weather right ??,0.0,1.0,0.0,0.0,NEU
Denis Phillips has actually said the northeast quadrant is the most likely area to get tornados in this storm. 😊,0.0,1.0,0.0,0.0,NEU
right. And that’s where we are at right now. Trying to figure out the timing of the worst of it before I medicate my kitties to keep them calm in case anything happens.,0.063,0.824,0.113,-0.4215,NEG
"yes, I was just explaining for anyone who might think we wouldn't get any tornadoes. 😊
I hope your kitties are ok. 💖",0.328,0.672,0.0,0.7783,POS
"thank you. I’m going to hold off until tomorrow unless it picks up tonight. The night we got 12” of rain one of my girls had a seizure from the stress. Apparently it’s a common thing, so now we try to avoid it. 🙂",0.055,0.835,0.11,-0.3612,NEG
alrighty guess you live in a bubble …. Google how many actually touchdown a year in pinellas county,0.0,1.0,0.0,0.0,NEU
Was able to cut my lawn earlier today before the rains came. Have all the necessities to live after a storm hits. Stay safe !,0.121,0.799,0.08,0.2714,POS
"I remember the last Tropical Storm ""Debby"" in 2012. On Sunday, June 24 at 3pm, I just got off the air at the Q-105 studios in St. Petersburg when some of the worst was just beginning. Heading north over the Howard Frankland Bridge was wild... huge waves crashing over the wall and across the highway, and probably the hardest rain in which I've ever driven. The entire trip home to Pasco was a crazy ride!",0.029,0.884,0.087,-0.6696,NEG
a lot of flooding with that one-I remember it well,0.208,0.792,0.0,0.2732,POS
"This is the one we drove down through!",0.0,1.0,0.0,0.0,NEU
"yes, that’s when we moved to the Sunshine State😂",0.457,0.543,0.0,0.7096,POS
it's wild when the waves crash over the sides! I moved to the middle lane so fast lol,0.16,0.712,0.128,0.1705,POS
"I REMEMBER that too !!",0.0,1.0,0.0,0.0,NEU
ok yes! It was a nasty storm now that you mention it. I was wondering if there was a Debby and it was terrible flooding,0.164,0.602,0.234,-0.4753,NEG
"Hello and good bye ASAP! Everyone stay safe.",0.504,0.496,0.0,0.7263,POS
"Like the old Beatles song …",0.385,0.615,0.0,0.3612,POS
Thank you so much foe keep updating what's going on with the weather today god bless yes I worry a lot because 2 of my daughters live in St Pete thank you be safe all of you,0.326,0.546,0.128,0.8137,POS
I'll take some water and wind...thanks for always keeping us informed! You are the best Denis!,0.242,0.758,0.0,0.6988,POS
Denis Phillips where can I get a more specific forecast for Pasco county (Port Richey)? Tampa bay area forcasts never seems to include us😪,0.0,1.0,0.0,0.0,NEU
I would say as the map looks right now we will be experiencing rain bands depending on how close it comes to the shore line. i would say a significant amount of rain until Monday. We thought this thing would be fast moving predicting it between tonight and tomorrow morning but now Sunday night into Monday .... annoying I say but gets you more time to prepare but I don't think it's gonna be a big event in our area... I'm in Pasco too... but if your area tends to flood with heavy rain I would predict that be the case... mild to moderate amount of flooding.,0.014,0.952,0.034,-0.4854,NEG
thanks. My block and surrounding area doesn't normally flood and I've been here 5 years,0.163,0.674,0.163,0.0,NEU
oh that's good! I know New Port Richey can tend to flood depending on where you are of course. Stay safe but as it's even looking now we are definitely just gonna have some nasty weather I think. it's moving more west and definitely hitting the big bend area,0.194,0.722,0.084,0.6588,POS
Seems very weird they aren’t expecting it to develop much. And the last one was a Cat 5 which has never happened so early before,0.0,0.917,0.083,-0.2484,NEG
"As always, you are right on top of this. Thank you for always being there for us!",0.234,0.766,0.0,0.5562,POS
best weather man in the Tampa area!,0.428,0.572,0.0,0.6696,POS
thank you!,0.736,0.264,0.0,0.4199,POS
"Slower forward speed = farther south it crosses the state?",0.0,1.0,0.0,0.0,NEU
"yes and no. A slower travel could add to intensity which could make it want to lean in, but high pressure and upper level steering currents will have the final say. It's already moving north, no real steering currents that should draw it east at an earlier point. My concern is that the intensity forecast is a bit too conservative at this point, but I have high confidence in the track so far. Just a hobbiest in weather, so it's just my 2 cents.",0.085,0.833,0.082,0.0644,POS
"thank you",0.714,0.286,0.0,0.3612,POS
"you're welcome. I pray I'm correct, due to the models and weather folks I've found trust in, and don't want anything unexpected to happen to folks in impact areas. I'm in one myself, in an RV, so I've been glued to forecast info. That said, opinions and models are constantly changing, so hope for the best, prepare for the weird.",0.231,0.728,0.041,0.9395,POS
uhhh....look at the map,0.0,1.0,0.0,0.0,NEU
Sun shining in Largo. Seems we've avoided it so far. 😊,0.0,0.789,0.211,-0.34,NEG
"not even here yet! 🙄",0.0,1.0,0.0,0.0,NEU
"not coming to Tampa bay",0.0,1.0,0.0,0.0,NEU
"Came in to work tonight at North Bay Hospital to these cupcakes which are epic",0.0,1.0,0.0,0.0,NEU
"I’m dead 😅",0.0,0.189,0.811,-0.6486,NEG
admin got them for us,0.0,1.0,0.0,0.0,NEU
"It’s gonna be a rainy and squally Sunday. But that’s OK. As long as the power is on in my place, I have no issues reading my book while listening to the rain outside. Sunday is my relaxation day.",0.187,0.726,0.087,0.7615,POS
sounds good to me too...as long as the power doesn't go out!,0.225,0.775,0.0,0.4926,POS
"yes I bought a good book today to read tomorrow, power or no power",0.333,0.536,0.131,0.5267,POS
that’s exactly what I plan on doing,0.0,1.0,0.0,0.0,NEU
"sounds like the perfect day",0.674,0.326,0.0,0.7351,POS
"same here",0.0,1.0,0.0,0.0,NEU
"Love your updates - we know all the changes that can happen in a matter of minutes!!!
That’s where I check with you !!!!!
Thank you 😊",0.31,0.69,0.0,0.8388,POS
"Will there be waves at Clearwater Beach to body surf on?",0.0,1.0,0.0,0.0,NEU
We should all thank our lucky stars for continuing to have the luck we do with dodging these storms in Tampa bay,0.3,0.65,0.051,0.7845,POS
Tocobaga tribe coming through once again for Tampa Bay,0.0,1.0,0.0,0.0,NEU
"absolutely 💯 🖤",0.0,1.0,0.0,0.0,NEU
I will thank CHRIST 🙏,0.556,0.444,0.0,0.3612,POS
amen! I’m not about to put my faith in a long since extinct pagan tribe of Indians or “lucky stars”.,0.147,0.853,0.0,0.4753,POS
Denis. Thank you for all you do. You are our favorite. We are going out of town for a while and we were wondering what type of rainfall amounts we should expect. We are leaving Sunday morning by plane or we would stick around.,0.118,0.882,0.0,0.6705,POS
"Praying for a hedge of protection around Taylor County, we still have not fully recovered from Hurricane Idalia that hit us last August.",0.106,0.894,0.0,0.3612,POS
praying with you for that,0.385,0.615,0.0,0.3612,POS
"thank you!",0.736,0.264,0.0,0.4199,POS
"Gov repaired the SW Coast in time. Temp bridge for voters, too",0.0,1.0,0.0,0.0,NEU
Do you have a county by county forecast?,0.0,1.0,0.0,0.0,NEU
Your regional NWS office will have regionally specific forecasts.,0.0,1.0,0.0,0.0,NEU
"I would like to know this, too.",0.333,0.667,0.0,0.3612,POS
I’m interested in that too,0.403,0.597,0.0,0.4019,POS
by the looks of the models county's above tampa and North will get the worst of it,0.0,0.796,0.204,-0.6249,NEG
"https://www.weather.gov/tbw/",0.0,1.0,0.0,0.0,NEU
"I know intensity forecasting is very difficult, but I think the NHC seems to underestimate the strength upon landfall",0.187,0.609,0.204,0.154,POS
I don't know. A lot of the storms that intensified a lot in the gulf were usually already hurricanes. This one just made tropical. I'm not sure it has the time. We'll see. I could be wrong. I have been before. I don't see it going higher than 2 though. But then again...Michael. So we'll see.,0.0,0.93,0.07,-0.3676,NEG
"Considering three days ago it was being forecast to skirt the East coast of Florida, the professionals completely missed this one.",0.0,0.889,0.111,-0.3597,NEG
last hurricane we had was supposed to hit the pan handle and went to Orlando instead !,0.0,1.0,0.0,0.0,NEU
Hard to really tell anything until it actually comes out of the Caribbean. In 2017 Irma was supposed to do the same thing and as soon as it started to shift in Cuba and the warm waters shifted in northwest.,0.046,0.92,0.034,0.128,POS
Irma came from Africa and was a hurricane way before she hit,0.0,1.0,0.0,0.0,NEU
wow really!? It wasn’t even a storm yet? They were giving us information on what the models could give us based on a “cluster” of storms. It wasn’t even a closed low or anything. Sheesh! 🙄 hence the “windshield wiper affect” with the models.,0.154,0.8,0.045,0.7222,POS
"until our technology is better, we need to let these storms play out. We need to always be prepared. My point is that constantly focusing on a “potential “ storm for days, if not a couple of weeks, simply causes stress for everyone. We need better technology. Being in a 24/7 cycle with updates (with everything!) can be daunting. Preparation is key.",0.157,0.801,0.042,0.7644,POS
"totally agree, but no need to stress though if you prepare and just listen to Denis Phillips and rule #7. Saying the professionals totally missed this one is wrong.",0.047,0.597,0.356,-0.9244,NEG
I stand corrected on my comment. I’m a weather “nut”. I wanted to be a meteorologist but I stink at math and science. 😂 I’m just fascinated. Thank you for holding me accountable.,0.212,0.687,0.102,0.5927,POS
I think we’re all weather nuts. 😜 that’s why we’re on here. 😆,0.0,0.796,0.204,-0.3182,NEG
"exactly! Thank you for grace. Stay safe this season.",0.586,0.414,0.0,0.8172,POS
"Looks like you’re in the clear! Jp will probably get some rain",0.444,0.556,0.0,0.7345,POS
Any idea how big this storm is and how far out the heavy rain would be?,0.0,1.0,0.0,0.0,NEU
things he already answered…..,0.0,1.0,0.0,0.0,NEU
"I live in the big bend area, our eyes are glued to your forecast. Thank you for keeping us informed 🙏🏻",0.116,0.884,0.0,0.3612,POS
prayers,0.0,1.0,0.0,0.0,NEU
So still lots of rain for Tampa Bay Area? I’m asking cause with this map looks further west,0.0,1.0,0.0,0.0,NEU
Thank u Eric and Peyton,0.455,0.545,0.0,0.3612,POS
"yes, this is just the eye path. Impacts extend hundreds of miles outside of the eye.",0.239,0.761,0.0,0.5267,POS
yes,1.0,0.0,0.0,0.4019,POS
Anyone able to fly out of Florida Monday?!,0.0,1.0,0.0,0.0,NEU
I keep checking TPA to see if flights are coming into Tampa tomorrow night. I have family coming in.,0.0,1.0,0.0,0.0,NEU
that's what I'm wondering too. We're supposed to fly back into Sarasota Mon. at 1pm.,0.0,1.0,0.0,0.0,NEU
"I’m supposed to go back. Waiting to see what happens",0.0,1.0,0.0,0.0,NEU
What r the chances of Debby turning and hitting us again once it crossed?,0.13,0.87,0.0,0.2023,POS
"the cone of uncertainty is huge. So anything is possible",0.181,0.63,0.189,-0.0258,NEU
"How will it affect our kids in Tallahassee?",0.0,1.0,0.0,0.0,NEU
my whole street is covered in tarps from the tornados last month.,0.0,1.0,0.0,0.0,NEU
duh…,0.0,1.0,0.0,0.0,NEU
The 5pm update looks more west. Is there any chance it misses the panhandle and makes landfall further west like Louisiana?,0.184,0.738,0.078,0.3818,POS
Is it going out to sea after floridac,0.0,1.0,0.0,0.0,NEU
"It may be slower, but more rain hanging out before it makes landfall.",0.0,1.0,0.0,0.0,NEU
"Just some heavy rain, thunderstorm like winds and some coastal flooding. Am I a meteorologist you may ask? I am not.. but In 1992 I successfully guessed the correct amount of jelly beans in a jar and won a 50 dollar gift card to Stacey's Buffet.",0.293,0.707,0.0,0.9428,POS
you win the best reply as of 5:40pm!! Hahahahaahhaah,0.551,0.449,0.0,0.8619,POS
"you should have said you stayed in a holiday inn express, LOL",0.409,0.591,0.0,0.7378,POS
I've used that one before. 😊,0.0,1.0,0.0,0.0,NEU
I lived on the east coast of Florida for many years and went through many storms. I now live in New Hampshire. I am praying for everyone because that is what we are called to do--to serve one another. May the Lord watch over you and keep you safe. Psalm 91:11❤👏,0.105,0.895,0.0,0.6597,POS
"that’s cool. I just moved from NH to Daytona Beach last August, so in FL for a year!! Lived in NH for 30 plus years!!",0.362,0.638,0.0,0.9069,POS
from Maine and toggling between there and Florida. This is our 3rd bout with these bigger storms. I prefer a good old fashioned Maine blizzard!,0.127,0.873,0.0,0.4926,POS
"I use to love the snow and blizzards, now I’d be happy if I’d never saw a snowflake again!! :):)",0.347,0.653,0.0,0.8585,POS
"Thank You🌻",0.714,0.286,0.0,0.3612,POS
"For those of you that use Withlacoochee electric company for your power source, they have a wonderful generator program. They'll actually put the payments onto your bill each month so you don't have to have all the money up front. It's a lifesaver for those of you who are worried about power outages during storms or hurricanes. You can find out more information on their website.",0.106,0.863,0.031,0.743,POS
"Thank you. I had looked into that 1-2 years ago but it wasn't available. I'll have to check it out again. Although they're really fast about getting the power back on. I only lost power for 2 days during Irma. I am grateful to have them as my power company, their rates are not crazy high.",0.14,0.81,0.05,0.6546,POS
"I took advantage of the program myself. It's wonderful security knowing that you have a generator attached to your home that flips on automatically in the event of an outage. It gives you real peace of mind. And they do all the work through Withlacoochee. They cleaned up everything and left my yard in beautiful condition. I had the propane tank buried as well. It was well worth the money, and it is also something that adds value to your home if you were to ever sell it. Comes with an 8 or 10 year warranty depending on whether you go with an 8 or 10 year payment plan. At the time when I got mine, it was a zero interest program. You needed to put down a down payment in order to start the process once you qualified. They did ask that you had a certain credit score so be aware of that. But they can answer all your questions by getting a hold of them via phone.",0.129,0.871,0.0,0.9306,POS
Thank you for sharing that info. I'm sure it is peace of mind. I will look further into it. 🙂,0.442,0.558,0.0,0.8779,POS
why does this keep coming up with new updates?,0.0,1.0,0.0,0.0,NEU
now she’s totally missing Disney!,0.0,0.59,0.41,-0.4186,NEG
"yep. My clients are so excited since we know plenty of people canceled their vacays, but they held off. Tropical storm Debby as the ultimate crowd thinner. 🙂",0.128,0.872,0.0,0.3936,POS
"omg yay!!",0.799,0.201,0.0,0.6103,POS
Shifting a little West at each update,0.0,1.0,0.0,0.0,NEU
"Praying for Everyone's Protection 🙏🙏🙏🙏",0.385,0.615,0.0,0.3612,POS
"Awww man, does this mean Debby does Tallahassee instead of Dallas?🤠🫣🤭",0.0,1.0,0.0,0.0,NEU
Yeey! We had a very brief rain today in new Tampa with partly cloudy all day 🌦️now sitting outside in the shade enjoying the pleasant breeze 😎🌴🌺,0.226,0.774,0.0,0.7901,POS
Denis Phillips I can't see with the label on map but I have family in NC/Raleigh area. What kind of time frame for the bad weather to get to that are? Thanks,0.105,0.765,0.13,-0.2263,NEG
Not a Floridian so I don't know what something like this impacts the airports and the ports. What do we need to expect in the Miami area next Friday?,0.088,0.912,0.0,0.3612,POS
nothing will change. That airport is approximately 200 miles from me (Pasco County),0.0,1.0,0.0,0.0,NEU
"Thank you",0.714,0.286,0.0,0.3612,POS
"Miami is on opposite coast",0.0,1.0,0.0,0.0,NEU
"Thank you",0.714,0.286,0.0,0.3612,POS
What are your thoughts about Tampa Airport on Monday?,0.0,1.0,0.0,0.0,NEU
his thoughts are that he doesn’t know and wishes people would quit asking…..,0.118,0.882,0.0,0.1531,POS
"chk w/ the airport!!!!!!",0.0,1.0,0.0,0.0,NEU
This right here 👏🏼👏🏼👏🏼,0.0,1.0,0.0,0.0,NEU
Am I reading this right... This things gonna stick around land till Wednesday? Isn't that incredibly slow?,0.0,1.0,0.0,0.0,NEU
Is rapid intensification predictable yet? Is there any reason to assume this storm wouldn’t or wouldn’t intensify in that way? Looks like it has a long run way in the bath tub of mexico,0.082,0.918,0.0,0.4329,POS
Wouldn't surprise me. We've seen that quite a few times with other storms.,0.0,0.858,0.142,-0.2057,NEG
I am not from here. Could someone tell me the latest you would plan to drive over the sky bridge on Sunday?,0.0,1.0,0.0,0.0,NEU
"I'm thinking it will be closed completely",0.0,1.0,0.0,0.0,NEU
What do you think about storm surge in Tampa Bay?,0.0,1.0,0.0,0.0,NEU
I’m moving today 🤦🏻‍♀️ just started raining hard on siesta key hopefully just an outer band that doesn’t last long,0.122,0.814,0.063,0.3182,POS
Will Tampa Bay get anything?,0.0,1.0,0.0,0.0,NEU
"Thank you!!
Everyone be safe",0.666,0.334,0.0,0.717,POS
"Omg. This drives me crazy. Time to move out of florida",0.0,0.806,0.194,-0.34,NEG
WHY am I only getting updates from you 6 days later now. I keep having a heart attack when I check it 😂😂😜. Debby blew out timeshare roof off in St. Pete and flooded a room in Weeki. I only seem to be getting updates now that are days old,0.0,0.931,0.069,-0.4767,NEG
"I was wondering that also, Thought it was my phone and he's such a great meteorologist",0.24,0.76,0.0,0.6249,POS
Looking good once again for pinellas,0.367,0.633,0.0,0.4404,POS
I like your positivity! And I know as a lifelong Floridian you know what to do for a tropical storm. 💕,0.303,0.697,0.0,0.7263,POS
Let’s stay positive!!,0.677,0.323,0.0,0.6351,POS
of course! Just didn’t want you thinking you may not get anything! Stay safe!,0.297,0.703,0.0,0.6219,POS
"this is the eye path only. Pinellas county will still see impacts.",0.0,1.0,0.0,0.0,NEU
we still under a tropical storm warning,0.0,0.676,0.324,-0.34,NEG
"so not good a enough to drop the warning",0.0,0.41,0.59,-0.7339,NEG
so much of Pinellas is low lying and surrounded by water.. flooding is my concern,0.0,0.703,0.297,-0.6705,NEG
"do you know your elevation? If you have flood insurance, you should be able to find it on your survey. I have found it helps with storms to know your worst case scenario and plan accordingly.",0.065,0.831,0.103,-0.3612,NEG
"That thing going to be a hurricane when it hits Tallahassee!!! We all know it!!!",0.0,1.0,0.0,0.0,NEU
I haven’t seen how many miles off shore it will be when it passes by us in west Pasco ?,0.0,1.0,0.0,0.0,NEU
"judging by the track compared to the width of the state, a good guess might be 75 miles.",0.153,0.847,0.0,0.4404,POS
"the last debby to come through here, I lost my home, hope this is not a repeat",0.159,0.714,0.126,0.1531,POS
how many miles out from the coast in manatee sarasota county is this projected and how high are wind 7-10 miles inland should we expect,0.0,1.0,0.0,0.0,NEU
It looks like Debbie is aiming straight for you. Stay safe.,0.477,0.523,0.0,0.743,POS
kind of . More Taylor county,0.0,1.0,0.0,0.0,NEU
"I didn't blow up the map, so I didn't look all that close. I'm happy to see it moved west away from us.",0.156,0.844,0.0,0.5719,POS
"""Well, I guess we should all enjoy the sunshine while we can... because Tropical Storm Debby is on her way. And just like my namesake, she'll probably ruin all your weekend plans. Wah wahhhh.""",0.213,0.695,0.091,0.6249,POS
"I can handle this in Hudson",0.0,1.0,0.0,0.0,NEU
"That much time in the gulf and it's only going to strengthen to a 1???",0.179,0.821,0.0,0.4291,POS
Hi Debby! You really aren’t welcome here. Go home. 🏠,0.309,0.691,0.0,0.553,POS
"Oh now she is, after all, extending your no sprinkler time 😂🤣",0.0,0.833,0.167,-0.296,NEG
Worried mostly about the Sunday afternoon high tide at 2:11. Interpolating the track it appears that the storm’s slowing is going to keep the eye just south of Tampa Bay at that time. This should lessen the surge. Am I reading that correctly?,0.0,0.949,0.051,-0.296,NEG
"We just had some big gusts of wind in Sarasota and we lost a palm tree 🌴😩",0.0,0.867,0.133,-0.3182,NEG
Heavy rain with thunder and lightning in West Venice just ended. Sky is still heavy-looking.,0.0,1.0,0.0,0.0,NEU
"Big bolts of lightning ⚡ in Venice pretty frightening ,now it's getting really dark . Stay safe 🙏 everyone !",0.291,0.569,0.14,0.5355,POS
same and lights went out now back on,0.0,1.0,0.0,0.0,NEU
what part of Sarasota? We’re getting rain/wind too. I’m off Fruitville near McIntosh. Is this the beginning of Debby or just a storm,0.0,1.0,0.0,0.0,NEU
"the beginning its not as bad,as it was predicted for us in Sarasota it looks like its way off shore",0.116,0.884,0.0,0.3612,POS
"that is from the outer bands of Debby",0.0,1.0,0.0,0.0,NEU
"we sure did!",0.564,0.436,0.0,0.3802,POS
palms rarely seem to go down 🌴🥺,0.0,1.0,0.0,0.0,NEU
right. We just cut one down because it was going bad. Couldn't let it get blown down in a storm and cause damage.,0.0,0.683,0.317,-0.8316,NEG
"yes getting dark and wind gusts are getting stronger , hope no one loses power . ☺️",0.361,0.441,0.198,0.5719,POS
"Will you let us know about surges, times and high tides? Can people around Old Tampa Bay on Pinellas side (Riviera Bay) sleep tonight and get ready for flooding tomorrow?",0.09,0.91,0.0,0.4329,POS
he already has…,0.0,1.0,0.0,0.0,NEU
oh no! I missed it. I thought I looked at everything. Thanks. I will look again. Sorry Denis.,0.154,0.529,0.317,-0.2714,NEG
What about flooding around Ozona,0.0,1.0,0.0,0.0,NEU
send me your address. I'll tell you the likelihood. For the jet skis HIGHLY. Probable,0.0,1.0,0.0,0.0,NEU
"Sky is turning so dark here in Bradenton! Crazy!",0.0,0.728,0.272,-0.4559,NEG
When should I walk Fluffy?,0.0,1.0,0.0,0.0,NEU
"Wait until you see your neighbor walking Fifi.",0.0,1.0,0.0,0.0,NEU
or Fido🤷‍♀️,0.0,1.0,0.0,0.0,NEU
"Can we get an update on storm surge for Pasco County please?",0.173,0.827,0.0,0.3182,POS
Wonder if they (NHC) are under pressure from the Insurance Companies to get a system named for as in most cases home owners deductible almost double once a system is named.,0.0,0.927,0.073,-0.296,NEG
"its a scientifically based process, always has been still i",0.0,1.0,0.0,0.0,NEU
Obviously. Do you pay home owners and flood insurance and live on the water in Florida?,0.0,0.915,0.085,-0.1027,NEG
"yep. Sure do. Still rebuilding after Idalia in fact. It wouldn't surprise me for that to become a thing.. project 2025 aims to dismantle the NWS, among other big money perks.. was wondering WHY but.. 🤔",0.121,0.831,0.049,0.3991,POS
