Storm Surge updates for Sunday afternoon and evening. We'll be updating graphics and information all night long and I'll have a DPL starting at 7pm. Link will be posted. LIVE update on ABC Action News at 6.,Pos,Neu,Neg,Compound,Overall Sentiment
"You are the only weather person I watch..Been following you you for over 20 yrs..You are simply the best,, As Sheriff Judd would put it... Lol",0.104,0.896,0.0,0.4215,POS
We’re in Destin for my hsubands work temporarily do we have anything we worry about??? I’ve been freaking out,0.0,0.731,0.269,-0.7383,NEG
"don't freak out it's only a storm",0.325,0.675,0.0,0.3412,POS
"Ugh, I work on the water in Crystal River I hope it's not going to get flooded again! Last year we were closed for a month!",0.128,0.77,0.103,0.1739,POS
"I would prepare for that possibility",0.0,1.0,0.0,0.0,NEU
"ya, prepare to be broke again🙄 Nothing else I can really do.",0.0,0.781,0.219,-0.4215,NEG
"Port Richey this afternoon",0.0,1.0,0.0,0.0,NEU
"great Photo",0.804,0.196,0.0,0.6249,POS
"wow! Neat picture 😮🙌🏼",0.78,0.22,0.0,0.7959,POS
it was not TS related. I live in port Richey too and it did get squally for a little bit.,0.0,1.0,0.0,0.0,NEU
"Dunedin Causeway right now",0.0,1.0,0.0,0.0,NEU
Noticed that high tide measurements in the bay have been 1/2+ ft higher the past couple of days without this storm so 2 - 4 should concern some.,0.0,1.0,0.0,0.0,NEU
Yeah I was wondering if king tides were going to get mentioned. That's what screwed people up on the barrier island for TS Eta and Idalia.,0.076,0.761,0.163,-0.3612,NEG
"Redington Beach 6pm",0.0,1.0,0.0,0.0,NEU
"Thank you for continuing to give the updates without scare tactics
Rule #7",0.318,0.682,0.0,0.6283,POS
Travel south on I75. We seen a number of power bucket trucks from PA heading south. Coming to help us out!,0.193,0.807,0.0,0.5093,POS
"Only seeing the fight not the weather",0.0,0.698,0.302,-0.3818,NEG
Thank you for working hard to keep us updated! 🌟,0.249,0.625,0.125,0.3382,POS
"Thanks from hernando beach ⛱️",0.42,0.58,0.0,0.4404,POS
"I think your dog is enjoying the weather lol 😆",0.508,0.492,0.0,0.7351,POS
"and they are the best radar too",0.412,0.588,0.0,0.6369,POS
"...yes, we just had a big rain storm!",0.0,1.0,0.0,0.0,NEU
"...agree 100%",0.0,1.0,0.0,0.0,NEU
"Question general: where to find link to DPL so’s I can jump into it.",0.0,1.0,0.0,0.0,NEU
We have family traveling to Longboat Key Aug 12th….will they be in the clear by then?,0.148,0.852,0.0,0.3818,POS
This storm will be long gone by then. But don't know anything about any possible future storms!,0.0,1.0,0.0,0.0,NEU
There’s a fight on😳,0.0,0.435,0.565,-0.3818,NEG
"Is there a time frame said surge will start coming in first year on the water",0.0,1.0,0.0,0.0,NEU
"Thank you for. Stay safe 🙏",0.643,0.357,0.0,0.6597,POS
Is the surge area the white area or the pink area?,0.0,1.0,0.0,0.0,NEU
white is 2-4 and pink is 3-5,0.0,1.0,0.0,0.0,NEU
thank you for responding.,0.455,0.545,0.0,0.3612,POS
"Thank you Denis. Will be watching your updates.",0.263,0.737,0.0,0.3612,POS
"Thank you Denis Phillips for updates, so appreciated.👍",0.263,0.737,0.0,0.3612,POS
What should we expect in Polk County? Mulberry to be exact?,0.0,1.0,0.0,0.0,NEU
why do you laugh at everything that’s more annoying than the questions or comments -,0.194,0.645,0.161,0.1548,POS
"Right? He is so childish that it’s sickening.",0.0,0.489,0.511,-0.7404,NEG
How is north port going to weather the storm?,0.0,1.0,0.0,0.0,NEU
"You are so appreciated. Thank you for what you do.",0.467,0.533,0.0,0.7917,POS
Best bet of which little town gets the eye wall?,0.318,0.682,0.0,0.6369,POS
"Prayers that we stay above the tides 💗🙏🙏",0.0,1.0,0.0,0.0,NEU
"No rain in Clearwater all day!",0.0,0.667,0.333,-0.3595,NEG
Thank you Denis!! You are greatly appreciated!!!,0.592,0.408,0.0,0.8053,POS
👍👍👍👍👍👍👍,0.0,1.0,0.0,0.0,NEU
