"(***Update: My son at FSU just told me classes are cancelled on Monday) For folks with kids at FSU or FAMU, you're probably gonna want to keep an eye on this storm. While the official forecast barely has it becoming a hurricane at landfall, there is a ton of warm water and energy out there and it is certainly possible it could be stronger. Could be close enough to Tally for impacts. Strong Tropical Storm force winds and some power outages on Monday. Lots of time to update but keep your kids in the loop. We'll update 24/7 as always.",Pos,Neu,Neg,Compound,Overall Sentiment
FSU has already suspended classes until Tuesday.,0.0,0.659,0.341,-0.4767,NEG
"I flew my son home to Chicago yesterday from FAMU because of this storm. In two years he's had two Hurricanes threats, a tornado and now this.",0.0,0.896,0.104,-0.4215,NEG
"Quite a welcoming to Florida!",0.537,0.463,0.0,0.54,POS
exactly! It's suppose to be sunshine and blue skies! An emergency evacuation plan was required for admissions. I should've known then. 🤨,0.155,0.738,0.107,0.2924,POS
"and 98% of the time you don’t need an evac plan but in Chicago you need thunderstorm, tornado and blizzard plans!",0.0,1.0,0.0,0.0,NEU
we don't make plans for any of those things. We go to work and school during blizzards and thunderstorms.,0.0,1.0,0.0,0.0,NEU
Welcome to Florida 😉,0.6,0.4,0.0,0.4588,POS
"Suggestion - follow Dennis Phillips, Weather man. He explains things so anyone can understand and hes pretty accurate. Hes got a following and you can find him on line. Its great for us Chicago ppl who dont know a lot about FL weather and how Hurricanes work.",0.148,0.852,0.0,0.8074,POS
"this is FLORIDA. This is not a big deal.",0.0,1.0,0.0,0.0,NEU
my kid didn't have lights for four days after the tornado. They said that wouldn't be a big deal either before hand.,0.138,0.862,0.0,0.4939,POS
🙄wow,0.0,1.0,0.0,0.0,NEU
"This will not be a cat 1 it will be stronger …history tells us that , with the open water … deep hot water and the fact that it’s forming earlier than they thought. I’ve lived in FL for 40 years and have seen this happen so many times",0.056,0.944,0.0,0.3818,POS
"people don't remember how close and how fast Andrew grew! If not mistaken, hit homestead area at a cat 5 or close to it",0.103,0.897,0.0,0.3404,POS
"well, it’s been a long time coming for the Spring Hill area. We’ve had many near misses.",0.117,0.778,0.106,0.0516,POS
"that’s not what the hurricane center is saying.",0.0,1.0,0.0,0.0,NEU
they are the same people that said Michael was going to be just a tropical storm almost to landfall,0.0,1.0,0.0,0.0,NEU
oh sorry I misread your message. I thought u said it wouldn’t be a hurr 1 meaning it would stay a trop storm.,0.0,0.815,0.185,-0.34,NEG
