"Here are my thoughts on Tropical Storm Debby:
1. No changes to impacts for our area. Gusty winds along the coast with heavy rain. Think afternoon thunderstorm. The storm surge threat continues for Sunday afternoon and evening. 
2. A track to the Big Bend area is likely with landfall on Monday morning. The NHC has a minimal hurricane with winds of 75 mph but it is certainly possible it could be stronger. There is a TON of warm water out there and that's potential fuel for Debby.
3. Rainfall will be 2"" inland and up to 8"" along the coast. A Flood Watch remains in effect. Rain will continue through Monday as Debby will slow down after landfall. It wouldn't shock me one bit if some areas see more than a foot of rain.
4. Ironically, back in 2012, Tropical Storm Debby hit the Big Bend area and caused significant flooding. It looks like it might happen again. 
5. As for our area...intensity really hasn't changed much but the timing has slowed down a bit. The worst of the rain and wind will be Sunday afternoon and evening. 
6. Rule #7.  It's a LONG hurricane season and this is just the beginning.  Before we're done, I suspect we go through this at least another 2 or 3 times...but with stronger storms.  Florida weather is not for the faint of heart. Hang in there. We got this. And make sure friends and family in the BIg Bend area keep a VERY close eye on this one. There is the potential it could be a lot stronger than the NHC is forecasting.",Pos,Neu,Neg,Compound,Overall Sentiment
"Thank you for you honest outlook Denis!! We can always count on you to be real!!",0.332,0.668,0.0,0.7887,POS
Over here in Pinellas Park- full double rainbow🌈,0.0,1.0,0.0,0.0,NEU
A beautiful thing to step out my front door to!,0.344,0.656,0.0,0.636,POS
"Tampa too!",0.0,1.0,0.0,0.0,NEU
"Same on Bayshore!",0.0,1.0,0.0,0.0,NEU
St. Pete!,0.0,1.0,0.0,0.0,NEU
"k
The",0.0,1.0,0.0,0.0,NEU
"It’s enough to stir up the oyster beds and maybe get more oysters for winter! 🦪",0.0,1.0,0.0,0.0,NEU
Well at least a stunning rainbow before the storms! I shot this in St. Pete near Rosevelt Blvd tonight!,0.261,0.739,0.0,0.6467,POS
this is so beautiful my daughter passed away at all children hospital on 07/07/2024 and I know she is some where over the rainbow I am broken I will never be to same again without my sweet baby girl Valencia,0.112,0.763,0.125,0.1056,POS
looks like a double rainbow!,0.482,0.518,0.0,0.4199,POS
My guess is she is gonna strengthen significantly just due to the extreme water temps in the gulf.... we shall see. ..,0.099,0.901,0.0,0.3182,POS
"Look at #2 in his post.",0.0,1.0,0.0,0.0,NEU
So far we have a double rainbow,0.0,1.0,0.0,0.0,NEU
We adopted our first cat during TS Debby in 2012 and today is the bday of our second cat. Connected by fate!,0.0,1.0,0.0,0.0,NEU
"Don’t live on a barrier island if you are a chicken… this is my motto!
Thank you for your guidance.",0.138,0.788,0.074,0.3164,POS
"Sure brought a beautiful double 🌈 out in Upham Beach",0.508,0.492,0.0,0.7351,POS
"I have been texting with my FSU student your updates. Thanks for the straight forward information, Dennis. Hurricane ready-and hide from the wind.",0.188,0.745,0.067,0.4767,POS
I remember tropical storm Debby. The pond in our yard overflowed into the driveway (Tallahassee area) so we were kayaking and skimboarding up and down the drive! 😂,0.0,1.0,0.0,0.0,NEU
"What is “inland”. We are in st Pete, 6mi or so from coastline. Is that inland or on the coast?",0.0,1.0,0.0,0.0,NEU
hey George you are the Coast I live Inland Zephyrhills Lakeland Wesley Chapel Dade City,0.0,1.0,0.0,0.0,NEU
"this post says coastal counties
https://www.facebook.com/share/p/Xu4y4eK4aZgy6Fgv/?mibextid=WC7FNe",0.0,1.0,0.0,0.0,NEU
"thanks, but doesn’t really help. His above posts talks about rain fall on the coast and inland. Those are never defined…and said often.",0.22,0.78,0.0,0.7131,POS
"Thanks Denis Phillips. Always appreciate your pragmatic advice!",0.495,0.505,0.0,0.7088,POS
Picture daughter took in front of the my home in Port Richey,0.0,1.0,0.0,0.0,NEU
nice shot. Even though some storms bring not so good stuff the skies are always amazing🩵,0.141,0.706,0.153,-0.0589,NEG
"yes. Pray for the worst, Hope for the Best! Stay safe",0.627,0.205,0.168,0.8805,POS
faint of heart!!! I would MUCH rather be here than the Midwest when a Tornado can just appear! I know they can come with these been here(off and on) since 1960.,0.0,1.0,0.0,0.0,NEU
this is the guy to watch,0.0,1.0,0.0,0.0,NEU
How will this affect Moore Haven? Only been in Florida for a week. So very new to me. I am in my camper at North lake RV park near the Seminole Reservation. Thank you for any information,0.068,0.932,0.0,0.3612,POS
I remember 2012 very well. It was the last week of June. We had a flight to Seattle for a cruise. Fight took off with no delay thru the downpour. Wind wasn’t much of an issue the morning we left.,0.056,0.777,0.167,-0.5729,NEG
"Will my flight into TPA tonight be canceled?! Just kidding 🙂 I mean I did have a flight due in at 9 tonight that Southwest Airlines claimed was cancelled due to the storm, but they can get me in 3 hours later from a different airport 🙄",0.03,0.925,0.045,-0.1511,NEG
it’s nuts how they just cancel and blame the storm when that’s not even the reason,0.0,0.66,0.34,-0.6908,NEG
my flight coming down to West Palm today said that they have canceled the return flight to New York due to the weather and I am on the East Coast.,0.0,1.0,0.0,0.0,NEU
I think many people were trying to get in and out of Florida to beat Debby. It was also starting to get windy yesterday.,0.0,1.0,0.0,0.0,NEU
"If I’m driving from st Pete to Clearwater tomorrow, what time should I be on the road? Before 12pm?",0.0,1.0,0.0,0.0,NEU
"From what Denis has said, looks like we'll just get lots of rain. Please drive safely!",0.389,0.611,0.0,0.807,POS
