"TD 4 | The 5 am advisory is in. TD 4 will slowly strengthen over the next 24 hours as it moves into the Gulf. The track will stay west of Tampa Bay, but still close enough to us for widespread showers and storms, isolated tornados and some minor storm surge. Details all morning on Good Morning Tampa Bay.",Pos,Neu,Neg,Compound,Overall Sentiment
Just keep on moving West!,0.0,1.0,0.0,0.0,NEU
no I have a feeling last min it be coming back to the east,0.109,0.73,0.161,-0.1779,NEG
doesn't it always do that.,0.0,1.0,0.0,0.0,NEU
NOOO !! My dog hates the rain ☔☔,0.0,0.668,0.332,-0.5399,NEG
actually it does ask fort Myers lmao,0.394,0.606,0.0,0.5994,POS
"Yes, I'm thinking the same. Once it nears Charlotte Harbor it will pull it east.😁",0.162,0.838,0.0,0.4019,POS
Kinda worried about that little wave that’s following behind!,0.0,0.784,0.216,-0.2957,NEG
"shhhhhh lol",0.737,0.263,0.0,0.4215,POS
"Thank you for your updates, Denis, as always! Greatly appreciated!",0.455,0.545,0.0,0.7702,POS
I just see that coastal Pinellas is now under a Tropical Storm Warning. Upgraded from a Watch.,0.0,0.844,0.156,-0.34,NEG
watch means conditions within 48 hours and warning is conditions within 36 hours or less. If both are tropical storm then it just means the timeframe is closer.,0.0,0.918,0.082,-0.34,NEG
Thanks. And Yes. I know. Been an avid follower of Denis Phillips for decades. 😆😆😆,0.415,0.585,0.0,0.7783,POS
Don't let your guard down Tampa we know how mother nature turns things in a instant!,0.0,1.0,0.0,0.0,NEU
Looks like Tallahassee will avoid the worst of it. My fingers are crossed.,0.133,0.532,0.335,-0.5859,NEG
Denis Phillips is Jacksonville getting it 2pm Monday? And is wind speed about 60mph? The graphic at the top has covered that info for days,0.083,0.917,0.0,0.2869,POS
"Thank you Dennis. From Lovering Ave Wilm De. I can know things in FL are truly safe, from your posts. Heartfelt!",0.43,0.57,0.0,0.902,POS
Thank you Dennis you're the best!!,0.646,0.354,0.0,0.8065,POS
"Thank you for all your knowledge Denis.",0.294,0.706,0.0,0.3612,POS
