Here are my thoughts on Tropical Storm Debby,Pos,Neu,Neg,Compound,Overall Sentiment
Might be just a 12 pack Diet Dr Pepper storm for Denis. The cases are reserved for hurricanes ❤️🤣,0.0,1.0,0.0,0.0,NEU
"Basically a loooong summer storm in the bay area then, tomorrow. Just hope we get a couple breaks in between to take the pup out to potty, but feeling grateful that's all we getting in the Tampa Bay area 🙏",0.185,0.815,0.0,0.7717,POS
"literally thinking the same exact thing. My poor guy is already terrified of storms, to think he can’t go for a walk either, breaks my heart even more",0.0,0.779,0.221,-0.7964,NEG
"same for our Golden Retriever...hate them being scared. ❤️🐕❤️",0.0,0.734,0.266,-0.4404,NEG
I'm in Plant City and a typical afternoon thunderstorm here knocks our power out. Last weekend a 45 min storm knocked our power out for 8 hours. No power=no water. So I'm really hoping it isn't too much wind & lightning.,0.083,0.863,0.054,0.2862,POS
I was thinking the same thing Vicki🐶,0.0,1.0,0.0,0.0,NEU
How our evening ended in St Pete a double rainbow ❤,0.0,1.0,0.0,0.0,NEU
Stunning!!,1.0,0.0,0.0,0.4912,POS
Rainbow before the storm in Largo.,0.0,1.0,0.0,0.0,NEU
Some utility truck staging in Saint Pete College parking lot Clearwater,0.0,1.0,0.0,0.0,NEU
Also Jacksonville Electric trucks Largo Mall.,0.0,1.0,0.0,0.0,NEU
good to know they are preparing,0.367,0.633,0.0,0.4404,POS
did you get your chickens raincoats? Hopefully they're high enough...,0.231,0.769,0.0,0.4019,POS
my girls are well protected 🌺 the older ones are smart will stay in the coup . The two middle rescues are curious will be in their run and can go in the coop any time . The new girls i will have to lock them up if it gets too wet they are not really brite yet 🤣,0.201,0.799,0.0,0.8834,POS
"Thank you very much for keeping me very well informed about the hurricane season, my daughter Stephanie lives in New Port Richey with my grandchildren and I live in Rio de Janeiro/Brazil. Before I would freak out and panic here in Brazil... your information helps me a lot to better understand the whole situation. Thank you.",0.198,0.707,0.095,0.6901,POS
You have to be exhausted! Thank you for your frequent updates! I'm hoping you can get some sleep soon. You are the man!!,0.223,0.69,0.086,0.6083,POS
"Denis, you are the best, thank you for keeping us informed !!",0.421,0.579,0.0,0.8065,POS
Denis Phillips you look exhausted... To think this is just the beginning of the season pretty much we need to send Diet Dr. pepper your way lol thx for all your hard work with keeping us updated🫶,0.198,0.769,0.033,0.7964,POS
"Poor Denis, you look so tired. We appreciate you so very much. I hope you'll get time to rest between this storm and the next one.",0.187,0.613,0.2,-0.1117,NEG
You look like you need some sleep. Lol,0.469,0.531,0.0,0.6486,POS
"The panic buyers have already cleaned the stores out of dairy products, water and bread. Apparently Walmart shut down their deliveries until Tuesday",0.0,0.87,0.13,-0.5106,NEG
"2012 Debby put most of TB under water, hoping this isn't the case for us or the panhandle area. Hoping everyone has a good outcome.",0.288,0.712,0.0,0.8176,POS
Agree you definitely look really sleepy. How do you stay awake so long? Thank you for all your forecasts and telling us all like it is without trying to stress everyone out. I like how you explain things so we can all understand it. Hope you get some rest but with the Diet Dr. Pepper and all the Little Debbie snacks your sure to be on a sugar high. You are the best weatherman!,0.256,0.744,0.0,0.9562,POS
Don't let them work you to death Go to sleep,0.0,0.698,0.302,-0.5994,NEG
Same I’m flying in from NC at 10pm. Fingers crossed,0.0,1.0,0.0,0.0,NEU
Anyone have an air mattress I could borrow,0.0,1.0,0.0,0.0,NEU
Thank you Denis! I couldn't appreciate your support and knowledge more. Thank you for always being there! ❤️,0.242,0.563,0.195,0.2658,POS
Thanks for the updates. We planned on driving to from Southeast Texas to the Tampa area leaving Sunday night. That would put us in Tallahassee right at 2 PM Monday. We have decided to leave about 10 hours later and hoping it will be passed by that time. We may have to extend our stop at the Alabama Buc-ees but we will be monitoring your feed Denis Phillips.,0.074,0.887,0.039,0.3612,POS
