Amazing how models will agree when there's actually a center to track!  This is a Big Bend storm. Our coastal areas will get pretty gusty tomorrow with much less rain and wind inland. I'll give updated thoughts after the 11pm NHC update.,Pos,Neu,Neg,Compound,Overall Sentiment
Thanks as always for the updates. I hope everyone in Big Bend area is safe.,0.442,0.558,0.0,0.8271,POS
"in other news, I like your surname!",0.358,0.642,0.0,0.4199,POS
I’m predicting not much rain tomorrow as we head to church,0.0,1.0,0.0,0.0,NEU
"Only a little over 11 months since Idalia tore up Cedar Key and much of the Big Bend area. I hope they don't get a big storm surge and severe flooding, they're still rebuilding from last year.",0.077,0.853,0.069,0.0772,POS
I know they are still rebuilding from last August. I have been up there. I really hope this is not bad for them.,0.251,0.749,0.0,0.7221,POS
praying for Cedar Key! Love it there!,0.593,0.407,0.0,0.8065,POS
we were just there as my parent's have a place right on the water there. Fingers crossed they get through unscathed.,0.0,1.0,0.0,0.0,NEU
praying for Cedar Key! Love it there! Hope your parents place will be ok!,0.559,0.441,0.0,0.9131,POS
I think this one will be a huge rainmaker. Guess it saw what Debby did and is going to”have ld my beer”.,0.108,0.892,0.0,0.3182,POS
we just finished our house last month here in Yankeetown 😞,0.0,1.0,0.0,0.0,NEU
So it's missing Tampa completely now?,0.0,0.669,0.331,-0.3566,NEG
all of Florida will feel effects from this storm. We are on the dirty side of the storm.,0.0,0.854,0.146,-0.4404,NEG
"it Always was, but there’s still wind and rain to deal with…",0.0,1.0,0.0,0.0,NEU
you are under a tropical storm warning. Time to learn the basics.,0.0,0.806,0.194,-0.34,NEG
Time to learn to just scroll on by and not condescend.,0.0,1.0,0.0,0.0,NEU
just trying to help!,0.499,0.501,0.0,0.4574,POS
"..it’s not always what you say..but how you say it.
Peace.",0.259,0.741,0.0,0.5423,POS
"Good! So everyone west of Panama City can relax! We’re good and that’s that in a 🐚 shell. No more hoping, wishing, I’ve been, I’m from, this and that, etc. it’s going to Georgia/ Carolina, Lmao.",0.387,0.567,0.046,0.9456,POS
Love that drunken blue model track.,0.457,0.543,0.0,0.6369,POS
"Good morning Dennis. Thank you for all you do keeping us aware of the weather at all times. Working diligently to let us know when storms will be an issue. I am wondering if airports will close because of Debby? PIE and TPA? I remember storm last year in Sept. 2023 closed PIE, TPA and Orlando also.",0.098,0.902,0.0,0.6966,POS
"I used to live norfolk virginia and this will cause
issues there.",0.0,1.0,0.0,0.0,NEU
Do we know an approximate distance between the storm and the coast Denis? Approx.,0.0,1.0,0.0,0.0,NEU
about 100 miles west of Pinellas if current track holds,0.0,1.0,0.0,0.0,NEU
thank you. We are in Pasco. You stay safe.,0.435,0.565,0.0,0.6597,POS
"me too , thanks for asking that question",0.326,0.674,0.0,0.4404,POS
"I thought I heard Dennis say tomorrow we were going to have like a typical afternoon thunderstorm, but it’s gonna last for 12 hours with a lot of rain but then did he just say that we’re going to get less rain that was only like an hour ago",0.104,0.896,0.0,0.6124,POS
he saying inland will have much less wind and rain than those of us on the coast. That’s been said all along.,0.0,1.0,0.0,0.0,NEU
no he said that the coastal areas will have much more gusty winds with less rain is how I read it and then it’s something with 2nd inland?,0.0,0.922,0.078,-0.296,NEG
"he says “less rain and wind inland”. The 2 is a typo. Two separate things in one sentence. Maybe he should have made it two sentences, but it is grammatically correct.",0.077,0.923,0.0,0.0644,POS
Well watch the 11PM update now.,0.296,0.704,0.0,0.2732,POS
"it's Denis",0.0,1.0,0.0,0.0,NEU
Yea and? That's why he updates as much as he does because predictions change with new information.,0.0,1.0,0.0,0.0,NEU
the storm was still changing- this is the most current update,0.0,1.0,0.0,0.0,NEU
I’m not calling Dennis a liar or anything. I’m just saying this was like less than an hour ago. I heard this he had a 90 second video.,0.184,0.816,0.0,0.6372,POS
You misunderstood him.,0.0,0.455,0.545,-0.34,NEG
"Coconut Creek, Florida",0.0,1.0,0.0,0.0,NEU
"It’s okay now. It went directly from still to storming and the sky looked “different.”",0.119,0.881,0.0,0.2263,POS
That sounds good for Tampa.,0.42,0.58,0.0,0.4404,POS
We are just trying to recover from last years 😔,0.0,1.0,0.0,0.0,NEU
We had no rain. I was hopeful!,0.367,0.408,0.225,0.3382,POS
"we have had tons here in Cortez",0.0,1.0,0.0,0.0,NEU
lucky,1.0,0.0,0.0,0.4215,POS
"Tons of rain n Polk in frostproof so far",0.0,1.0,0.0,0.0,NEU
Thank you for the continual updates! Take care of yourself and try to get some rest!!,0.32,0.68,0.0,0.7633,POS
"Hey Denis! I’m in Sarasota and Sarasota County Government just issued a statement saying we’ll get 6-12 inches west of 75, with 18 inches in some locations, and cited the NWS as their updated source. Thoughts? This surprised me and I wanted to get your feedback. Thank you! 😍",0.102,0.898,0.0,0.6103,POS
"Go to the NOAA website. www.weather.gov and do a search for your city and at the bottom of the forecast, look at the forecast details.",0.0,1.0,0.0,0.0,NEU
"Well, that if that area has the sandy color on the drought map it won't for much longer. Hope everyone stays safe.",0.294,0.706,0.0,0.7845,POS
Thanks for your continued updates to keep us informed! We appreciate your dedication.,0.349,0.651,0.0,0.7088,POS
"Oh no, almost the same track as Hurricane Idalia last year.",0.0,0.82,0.18,-0.296,NEG
