"11pm Update: Tropical Storm Debby now has winds of 45 mph. Notice the track, it really hasn't changed much. Maybe just a touch to the East. The models are in great agreement and we're confident of this track. The big question is just how strong. NHC now has 85 mph before landfall and with all that warm water, it could be stronger. Updates 24/7 and the latest right now on ABC Action News.",Pos,Neu,Neg,Compound,Overall Sentiment
Thank you Denis,0.556,0.444,0.0,0.3612,POS
"Denis for President🇺🇸 ! - all kidding aside, thank you for all you do to keep us safe and informed.
And thank you to your family for sacrificing the time they could be spending with you, and lending us Floridians your complete attention during these Hurricane months.🙌🏼🫶🏻",0.19,0.81,0.0,0.8221,POS
"I couldn't agree more, Denis is the best 💙💙",0.341,0.487,0.171,0.4749,POS
"...ABSOLUTELY AGREE ❤️",0.618,0.382,0.0,0.4995,POS
it’s that kind of that feeling you have when someone is watching over you while you sleep. ( feeling safe and sound knowing he is watching over the weather and providing accurate forecasting so us worrywarts don’t over stress lol),0.13,0.748,0.123,-0.1725,NEG
...Absolutely agree 👍,0.714,0.286,0.0,0.3612,POS
"I think this will hit hurricane status as it passes Pinellas County, and continues to intensify to winds of 100+ mph at landfall. I also think this will turn toward east a bit sooner than predicted, perhaps just a bit north of Cross City.",0.0,1.0,0.0,0.0,NEU
storms in the gulf seem to always intensify by 2 cats before hitting panhandle area unfortunately. Passing its not the case,0.0,0.888,0.112,-0.34,NEG
I believe the pic shows it hitting as a hurricane.,0.0,1.0,0.0,0.0,NEU
"it will make landfall as a hurricane, yes. It will reach hurricane status at about the time it passes by Pinellas county , but well offshore",0.209,0.791,0.0,0.5499,POS
Just went through Beryl in Houston. Our trees were weakened by drought and freeze and they toppled like dominoes. Just fyi,0.222,0.685,0.093,0.296,POS
It can still move closer to Tampa so keep watching updates!,0.0,1.0,0.0,0.0,NEU
Sounds like that's very unlikely by the experts.,0.263,0.737,0.0,0.3612,POS
there's still time..no harm in being prepared just in case🤷‍♀️,0.142,0.597,0.261,-0.3818,NEG
I've seen a few people say the experts also said Ian would make landfall in Tampa and they were surprised when it hit Fort Myers. I don't remember much of that storm but that's what I have read.,0.041,0.959,0.0,0.1154,POS
a strong Strom go where to the east,0.355,0.645,0.0,0.5106,POS
Yup yup. That’s why we had a mandatory evacuation. Then it turned at the last minute and hit Fort Myers.,0.067,0.933,0.0,0.0772,POS
