"Overnight Debby thoughts:
1. No meaningful changes to the track. Recon found a slightly repositioned center and thus shifted the track just a touch to the East. The forecast remains solid.
2. When Debby passes our area, it will be getting stronger. Coastal areas should see winds around 40 mph on Sunday afternoon and evening. The winds could be higher in Hernando and Citrus counties. Storm surge is still a big concern for areas along the Gulf and Bay.  We will continue to update any changes, but the timing of high tide will be in the afternoon and early evening.
3. Landfall will occur in the Big Bend area on Monday morning. Latest guidance has winds of around 85 mph. The odds of Rapid Intensification according to models is about 30%. So not likely, but certainly possible. Either way, the impacts on our area will remain the same.  Windy, gusty along the coast with heavy downpours. The closer you are to the beach, the heavier the rains will be.
4. My suggestion?  Hang at home on Sunday and keep up to date with any changes we may see. It's gonna be a pretty nasty day and difficult to drive in the squally weather. Rainfall totals will be 4 to 8 inches along the coast with much lower totals inland.
5. Nothing to freak out about in the Bay Area. Unfortunately, the Big Bend will see much more wind and surge than we do, however, it's a pretty rural coastal area up there and shouldn't be nearly as strong as Idalia was last year when it hit pretty much the same area.
6. Keep it here 24/7. No one updates social media like we do during a storm. It's our passion. Hope you find it useful.  Stay safe on Sunday!",Pos,Neu,Neg,Compound,Overall Sentiment
"It is certainly obvious that it is your passion, and to quote an old Carly Simon song, “Nobody Does It Better”! Thank you, Denis, and please pass our thanks on to your entire team!
☀️🌀🌪️⚡️🌈☔️",0.313,0.687,0.0,0.9133,POS
will do! Thanks!,0.635,0.365,0.0,0.5399,POS
"We appreciate all you do and the way you do it, Denis Phillips !! This is obviously your calling! As Frederick Beuchner said, paraphrasing here...where we find our calling is the intersection between our passion and a great need in the world. Thank you so much for your service for us all! May you receive extra blessings from God for all you give! 🙌🕊️🎚️🌅🎁💞",0.251,0.749,0.0,0.9588,POS
well I hope this is his calling.. he should be almost to the age of retirement…,0.278,0.722,0.0,0.6124,POS
I just need to know…where is Jim Cantore going to show up tomorrow lol! 🤣 Any guesses Denis? Thanks again for your continued coverage and I hope you get some rest tonight!,0.261,0.739,0.0,0.8475,POS
Reporting live here from Jacksonville and WOW look at this wind *single palm frond drifts lazily back and forth* Stay safe out there!!!,0.283,0.717,0.0,0.8522,POS
Maybe Perry or Steinhatchee,0.0,1.0,0.0,0.0,NEU
Jim posted today he would be on the coast soon and to prep for a possible cat 2.,0.0,1.0,0.0,0.0,NEU
We don't need Jim! We have Denis! 🌀🌬🌪,0.0,1.0,0.0,0.0,NEU
"Where ever Jim is, You don't wanna be! LoL",0.0,0.753,0.247,-0.3867,NEG
Thank you for all of your updates! I follow you from Jacksonville and you are amazingly thorough! Please get some rest!,0.249,0.751,0.0,0.7144,POS
he’s better than anyone we have in Jax. I miss John Gaughn.,0.215,0.667,0.119,0.3182,POS
that's for sure. Hardly any info given to us in Jax and I'm in Evac Zone A!,0.139,0.861,0.0,0.3802,POS
"I ABSOLUTELY find your social media updates useful! Keep up the great work!!",0.441,0.559,0.0,0.8349,POS
Thank you for the update we all greatly appreciate the accuracy of them,0.333,0.667,0.0,0.6697,POS
Thank you so much for keeping us updated on the storms in our area!! I tell people that you’re the best and I remember you said “Rule#7”! 😎😊,0.24,0.76,0.0,0.8213,POS
"Rural here in the Big Bend yes, but definitely still lots of us surviving (if not currently thriving in light of Debby) here lol - we appreciate your updates up here tons & so wish we had an actual channel to access them through up here. We have been tracking the storm through y’all for the last week, best reports we’ve seen thus far, growing up in OK with storm season & tornadoes you learn real quick which weatherman to swear by & so lucky so many Floridians swear by you & pointed me your way!",0.308,0.67,0.022,0.9889,POS
stay safe up there! Citrus County here. So very grateful for the Denis Phillips forecasts too.,0.326,0.674,0.0,0.7759,POS
stay safe prayers for minimal effects in big bend🙏,0.266,0.734,0.0,0.4404,POS
"Very kind..stay safe!",0.634,0.366,0.0,0.5378,POS
"Hey, fellow Tornado Alley dweller! 👋🏻 Former NW Arkansan here who also super appreciate Denis Phillips 🙌🏻",0.369,0.631,0.0,0.8016,POS
