A Tropical Storm Warning is now in effect for all of West Central Florida including Tampa Bay. This means Tropical Storm conditions are expected within 36 hours. A Hurricane Watch is now in effect from Yankeetown north to the Aucilla River.,Pos,Neu,Neg,Compound,Overall Sentiment
Thank you Denis. I wake up several times during the night to check on the storm and you are always here 🙂 Stay safe everyone.,0.205,0.795,0.0,0.6597,POS
"Yes radio EAS just announced also. Stay safe Everyone. Thank you, Denis for all of your great reporting. You are soooo appreciated. 💙🙏🌩",0.463,0.537,0.0,0.9382,POS
"Thank you, Denis. Yesterday at TPA was a preview to the wild ride we ""enjoy"" during FL storm seasons. You keep our heads above water in all ways!",0.097,0.903,0.0,0.4199,POS
"I'm from KY, currently at Indian rocks beach should we stay somewhere else with the storm surge coming in. I have no clue what to expect, it's a one story home right off the shoreline. I've got 4 littles to think about so not totally sure what to do in weather like this.",0.046,0.868,0.086,-0.2829,NEG
"I am from Kentucky too. I went through hurricane Ian. I live in a different area than you, but I moved my car to higher ground, but my neighbors didn’t, and both of their cars were ruined in flood water from the Myakka River. Just be safe, you and your children. This is just the beginning of the worst of hurricane season. You are listening to the best weatherman, Denis Phillips.",0.118,0.761,0.12,-0.0387,NEU
if the surge is currently 2-4ft are we thinking that's going to change? Is that a lot? Lol and I'm in zone A so we would be the first to have to leave right?,0.097,0.869,0.035,0.4836,POS
"I am in zone A too. I am more inland, but flood from a river. I am not as familiar with storm surge. Yes, you should leave if there is any danger of that surge and flooding. Zone A is the first to leave. Be safe and don’t wait until you can’t get out because of rising water, especially if you have children. Tanya Bennett seems to live close to you. I would message her for more local advice on flooding. You be safe and take care.",0.162,0.762,0.075,0.8847,POS
"I am a Kentuckian also. Just to be on the safe side, go inland to avoid flooding. Be safe! 🙏",0.273,0.628,0.099,0.5983,POS
other than that it’s just going to be a storm similar to what we have on a regular basis. It may just last longer.,0.0,1.0,0.0,0.0,NEU
you need to park your vehicles on higher land. Flooding is a real concern. It usually comes from the intercostal and makes its way to the beach side last. I’m an IRB resident. I live closer to the beach and with the last passing storm water covered my tires. The people on the intercostal had a lot of water in their homes,0.0,1.0,0.0,0.0,NEU
"the pay pines Walmart has a ton of spots that people use during storm surge.
Right over the tom Stuart causeway",0.0,0.931,0.069,-0.1027,NEG
tune into local emergency operations. They would determine need for mandatory evacuations based on zone.,0.077,0.769,0.154,-0.3182,NEG
"Stay safe, West Central Florida!",0.444,0.556,0.0,0.4926,POS
I have a friend who is supposed to drive from Asheville to Orlando on Monday. Will it be safe to drive either 75 or 95 through this?,0.21,0.79,0.0,0.7269,POS
95 floods pretty bad sometimes-we used to live in Asheville and traveled that route many times. If storm is crossing FL it will go over 95,0.104,0.782,0.114,-0.0772,NEG
Thoughts on the concert at BayCare Sound/Coachman park tonight? Think they’ll call it?,0.0,1.0,0.0,0.0,NEU
"Any info on how the keys will be impacted?",0.0,1.0,0.0,0.0,NEU
"🤣 he's the weatherman, not traffic control. Wait until Monday to see what conditions are like.",0.152,0.848,0.0,0.3612,POS
"I’m asking about the Fl Keys, lol. The TS is going right by it before Monday, so it’s very much so a weather related question.",0.109,0.891,0.0,0.4215,POS
wrong post!! Omg lol sorry this was suppose to be for someone else's comment asking of they could drive on 75 or 95 🤣 my bad,0.087,0.65,0.263,-0.6892,NEG
"lol no worries. I was confused, not gonna lie 😂",0.199,0.284,0.518,-0.5423,NEG
We're going up the ladder slowly lol,0.318,0.682,0.0,0.4215,POS
Thank you Denis. I’m inland Citrus and appreciate your prompt posts!,0.379,0.621,0.0,0.6696,POS
"I’m on holiday, staying in a small cottage in Clearwater. We have a car parked outside the front of the cottage also. We have never experienced this predicted weather (from the uk).. are we safe? Should we move? Help 🙏 xx",0.198,0.802,0.0,0.8253,POS
"in addition to what others have said (you’ll be fine!), you’d be wise to have your devices charged (and have cellular on, not just WiFi) just in case you lose power.",0.086,0.78,0.134,-0.1759,NEG
"if you're not on the beach it should be fine. If you are, flooding is the biggest concern with the storm so you may want to relocate more inland, this is a baby storm though",0.095,0.905,0.0,0.3321,POS
You'll be fine,0.474,0.526,0.0,0.2023,POS
"You're in Clearwater or is it Clearwater Beach? If you're in Clearwater, it's fine. You'll get to see a taste of tropical weather as part of your vacation memories. Clearwater Beach has more risk of flooding. You can check with the local authorities to see if there are any concerns, but it's unlikely. The brunt of the storm is going north of us (I'm just south of you in Largo.) There is a phone app called ""WINDY"" that is fun and interesting and will show you the winds at your location.",0.098,0.885,0.018,0.8273,POS
Keeping watch on the weather as our children drive back to Tampa from a short visit to Myrtle Beach!,0.0,1.0,0.0,0.0,NEU
This is why Denis Phillips is the best. He cares about us. And wants use all to get the right information that's why he doesn't sleep during hurricane season. Diet Dr Pepper Man.,0.188,0.812,0.0,0.802,POS
Tampa is in the clear people shifted west. Business as usual,0.206,0.794,0.0,0.3818,POS
"It was so good to see you today. It has been a long time.",0.238,0.762,0.0,0.5777,POS
I have an appointment at a new oncologist Monday at 2 in Hudson...hoping it's not canceled,0.0,1.0,0.0,0.0,NEU
"My mom is in Jacksonville
Had a tornado go right thru the yard
No warning nothing
Now I see there hurricane watch
Thanks for all the updates",0.098,0.746,0.156,-0.1779,NEG
Seems when we are well prepared the storms miss us...we must have forgot something 😬,0.241,0.663,0.096,0.34,POS
Thank you Denis for all that you do. We appreciate you❤️,0.366,0.634,0.0,0.6369,POS
