"Inland Communities | TD 4's current track should keep the tropical storm force winds (39+ mph) to your west, which is why you have not been upgraded to a Tropical Storm Warning. A wobble east could change that so keep checking in with us.",Pos,Neu,Neg,Compound,Overall Sentiment
"I just got a warning from a Pinellas County stating surge is now 2-4 feet. If you add high tide for Ozona which is 2.9 ft at 12:20 Sunday, that adds up to 5-7 feet. I’m at 7 feet above see level. We’re sandbagging for sure. I had water after Idalia at high tide.",0.044,0.909,0.046,-0.0258,NEU
Love this. Look forward to seeing this graphic information more north(Marion county),0.276,0.724,0.0,0.6369,POS
"Marion isn't his area. He does try to show quite a bit, but you may want to try Eric Burris for Central FL.",0.065,0.935,0.0,0.1154,POS
"thanks",1.0,0.0,0.0,0.4404,POS
"thank you. Didn't realize.",0.455,0.545,0.0,0.3612,POS
How much rain is expected? Trying to figure out how much to drain my pool.,0.0,1.0,0.0,0.0,NEU
https://www.nhc.noaa.gov/.../graphics_at4.../094934.shtml...,0.0,1.0,0.0,0.0,NEU
"You know what that say, a wobble West is the best!",0.333,0.667,0.0,0.6696,POS
"As a retired broadcast journalist (ABC radio affiliate) from California, I say you do an excellent job in reporting!",0.2,0.8,0.0,0.6114,POS
I'm in Venice and contemplating my.storm shutters. Do we have a wind guesstimate?,0.0,1.0,0.0,0.0,NEU
we r in englewood and just closed ours ..we figured just in case (better now than when it’s raining) + the house next door that was destroyed by Ian STILL hasn’t been taken down !! So im sure all summer we will deal with the debris 🥹,0.053,0.868,0.078,-0.2972,NEG
same. We got crushed in ian,0.0,0.641,0.359,-0.4215,NEG
I'll decide later this eve,0.0,1.0,0.0,0.0,NEU
"no shutters, this is a summer storm, not a hurricane",0.0,0.761,0.239,-0.296,NEG
"you don't need it",0.0,1.0,0.0,0.0,NEU
Venice won't see anything at all,0.0,1.0,0.0,0.0,NEU
"Good morning Denis What’s up for Homosassa area, lol moved from Tampa and this is first time in this area 🙏🏻",0.231,0.769,0.0,0.6908,POS
"There may be flooding in Citrus County. He's been saying that since yesterday. The farther west it goes, the better.",0.132,0.868,0.0,0.4404,POS
"thanks Megan, we will be prepared as always just in case. I was told when we were looking to buy a home to always stay on the other right side of 19 for those reasons",0.134,0.866,0.0,0.5859,POS
I am in Citrus County...well in CT and supposed to fly Home tomorrow late night..not sure if that will happen...anyways check your flood zone bc flooding in those zone is typically bad. If there is an evacuation please follow them.,0.104,0.816,0.079,0.0258,NEU
I am supposed to visit Crystal River tomorrow - Weds. Been wondering what to do bc of flooding.. sigh.,0.064,0.936,0.0,0.0258,NEU
