"Here's a look at timing and odds of tropical storm winds in your area. Surge risk has lessened with the new center forming South and West of the previous one. Again, look for a rainy Sunday (especially West of I-75) with squally conditions along the coast. Nothing to stress over. As was the case last year with Idalia, the worst will be in the Big Bend area.",Pos,Neu,Neg,Compound,Overall Sentiment
"Would changing plans in Orlando from Sunday to Tuesday be a better plan",0.209,0.791,0.0,0.4404,POS
"Yes",1.0,0.0,0.0,0.4019,POS
Denis Phillips thank you! Hoping for a better day at Disney on Tuesday instead of tomorrow 😅,0.414,0.586,0.0,0.8172,POS
Just a practice run,0.0,1.0,0.0,0.0,NEU
we just moved down from WI and we 100% using this as a practice run. I'm sure our neighbors think we are nuts!,0.093,0.813,0.093,0.0,NEU
"That is absolutely not time wasted! The more you do it the more efficient you become, and the more things you catch for next time.",0.214,0.786,0.0,0.7412,POS
"thank you!! I feel the same. We used to tornados which give no warning, so certainly a different exercise",0.247,0.556,0.197,0.2908,POS
"I grew up in Fl, but left for 25 years...moved back to take care of the folks. First storm was Irma. Scared the CRAP out of me. Moved all my furniture up on blocks, sealed my whole house off. Turned out to be a 2, which is not that big of a deal. Now I'm much more relaxed.",0.13,0.717,0.153,-0.168,NEG
Hermione was a cat 1 and had a large storm surge cat means nothing when it comes to the storm surge,0.0,1.0,0.0,0.0,NEU
"all my experience was with tornadoes too before moving here 3 years ago. I’ve now got an emergency and safety kit, fill up our washing machine with water because I only have showers, listen to Denis and follow rule number 7. I’ve now had experience with Ian—zone 3 and I evacuated, missing us and hitting those South 🥹, Tropical storm Elsa, and last year Idalia. Do your best to prepare, take every storm serious and hope for the best.
Welcome to Florida, it’s wonderful here🌞🤗",0.223,0.716,0.061,0.9517,POS
love Nashotah! I was in Pewaukee! then Racine which is a tornado alley off of Burlington for sure!,0.345,0.655,0.0,0.8114,POS
"that was us last year during Idalia. We put all our main floor furniture up off the floor and the hurricane shutter for the sliding glass door.
All for nothing. As others have said - it’s good practice.",0.075,0.925,0.0,0.4404,POS
Thx. We are math and health/science management nerds.,0.263,0.737,0.0,0.3612,POS
"We get a lot of practice, lol",0.359,0.641,0.0,0.4215,POS
Indian 🪦 burial ground for the win again 🙈,0.388,0.612,0.0,0.5859,POS
I moved here from Houston to run a senior living community in Clearwater and they all told me this! Lol 😍,0.172,0.828,0.0,0.5487,POS
I’m dual residences with Houston and Sarasota. FL is way better!!,0.258,0.742,0.0,0.5399,POS
Don’t jinx us. Storm hasn’t hit yet.,0.0,1.0,0.0,0.0,NEU
Amen to that .,0.0,1.0,0.0,0.0,NEU
"never mind that up and down the coast where there have been direct hits, there are burial mounds, it's here in Tampa Bay that they are protected",0.1,0.9,0.0,0.4404,POS
I saw so much damage last year in the Big Bend area when I traveled through there 3 weeks after the storm. I doubt they have recovered. Plus miles and miles and miles of trees were down along interstate 10.,0.0,0.85,0.15,-0.7165,NEG
