"Here are the updated spaghetti models. Now that we have a center of circulation, the models (and track) should remain rather consistent.",Pos,Neu,Neg,Compound,Overall Sentiment
"We thought that with Charlie too. Any chance of the east turn / hook, earlier than expected?",0.118,0.882,0.0,0.25,POS
"Denis Phillips I wasn’t here for Charlie, so this is helpful. I’d love to better understand what is different about this storm from that one, purely for my own curiosity. But I know you’re a busy man! Haha. Thanks for all you do.",0.296,0.704,0.0,0.929,POS
"Denis Phillips that question has been on my mind, too...",0.0,1.0,0.0,0.0,NEU
Denis Phillips is there gonna be any dry times tomorrow here in Cortez??,0.0,1.0,0.0,0.0,NEU
Denis Phillips I know storms like to wobble a lot…is there any chance this one will wobble back to east?,0.22,0.78,0.0,0.5423,POS
Denis Phillips cool 👍 … the 20 year anniversary of Charlie & friends in the infamous month of August,0.278,0.722,0.0,0.6597,POS
it was a more organized storm earlier. This one actually just organized (formed a center) yesterday,0.0,1.0,0.0,0.0,NEU
"I do understand that, I just thought that Denis was implying that there some sort of additional meteorological difference in the structure of the storm and I wanted to get science-y haha",0.097,0.903,0.0,0.4588,POS
it was not an easy storm season that year!,0.0,0.748,0.252,-0.4015,NEG
"I wonder about eye replacement. I've heard of this before.",0.0,1.0,0.0,0.0,NEU
Denis is the only one that said Charley was going to turn. I've been watching him for 20 years.,0.0,1.0,0.0,0.0,NEU
Key west 10am Sat morning,0.0,1.0,0.0,0.0,NEU
😱stay safe.,0.744,0.256,0.0,0.4404,POS
"Denis you’re the MAN! Thank you for putting in the tireless hours of staying up to make sure your very extended family is safe.
🫶🏻🩷🙏🏼☀️☔️🌀🌪️",0.266,0.734,0.0,0.7901,POS
"I’m liking this model! Wind and rain, but will pass me by!
Thanks for all your hard work!",0.284,0.647,0.069,0.7163,POS
Should this track lessen the storm surge and flooding on LBK?,0.0,1.0,0.0,0.0,NEU
My husband is a pastor in Zephyrhills- we were wondering how bad it’ll be between 10-1 on Sunday? We just don’t want people driving if it’s bad. What do yall think? We’re about 40 miles from the coast.,0.03,0.797,0.173,-0.7941,NEG
"Just remember we are the east side (the dirty side) so we will still get a lot of rain and possible waters pouts or tornados activity.
Please don't let your guards down and continue to listen to the man that keeps us calm well updated.
Thank you Denis.
Stay safe all",0.205,0.746,0.049,0.802,POS
"if you have the capacity videotape the sermon and make it available on your you tube and Facebook pages so folks can watch from home and send out e mails, texts, Facebook posts etc so especially the elderly and those with young kids will know and stay safer and drier.",0.055,0.945,0.0,0.4215,POS
play it safe rather then being sorry.,0.5,0.377,0.123,0.6124,POS
that’s kinda what we were thinking,0.0,1.0,0.0,0.0,NEU
Hopefully this stays as just a rain maker for us! Thanks for the quality updates!,0.34,0.66,0.0,0.7339,POS
"Legend has it that Native American burial mounds are the reason that the area hasn’t been hit by a hurricane since 1921.
According to the legend, the Native American tribe Tocobaga built burial mounds all across the Tampa Bay area, the largest one resting in what is now known as Safety Harbor in Florida, just 30 minutes from Tampa. We have been saved again. 🙌🏼",0.083,0.917,0.0,0.6808,POS
"my great great grandfather homesteaded pass-a-grille and passed this story to my grandfather and father. Along with a much more amusing tale of Jose Gaspars treasure being buried in Tampa Bay and that Jose put a Pirates protection on the bay till he returned for it. Fortunately for us Jose passed before he could return for it so the protection stays.
Either one - I’ll take it.",0.181,0.819,0.0,0.923,POS
"Native Americans were in touch with nature/the great outdoors; modern man is so out of touch with their environment. I am sure the chosen sacred burial site was chosen to keep those souls safe from weather, etc.... And so a ""legend is born......",0.197,0.803,0.0,0.8519,POS
"I am pretty sure the Native Ancestors are pretty disappointed with how we have desecrated their land, so I wouldn’t bank on that protection much at this point.",0.257,0.651,0.092,0.6808,POS
"I’ve heard this a lot. There are several along & in Tampa Bay (like up in along the actual bay). There’s a large one in New Port Richey, too almost at
the end of the ‘Cotee River. ❤️‍🩹🫶",0.0,1.0,0.0,0.0,NEU
"I wish they would have built those in Southwest Florida so then maybe we'd have been avoided being hit by hit by Charley, Wilma, Irma and Ian lol or rather they should have just built those throughout the entire state of Florida so we would have been avoided being hit by the rest of them lol",0.132,0.792,0.076,0.5423,POS
if you visit Philippe park in safety harbor there is a memorial mound in reference to the legend.,0.149,0.851,0.0,0.4215,POS
"they said that about North Port, FL and we got hit hard by Ian",0.0,0.903,0.097,-0.1027,NEG
most likely has to do with the depth of the waters around Tampa.,0.0,1.0,0.0,0.0,NEU
"I think it's just luck, but I like legends.",0.512,0.488,0.0,0.6428,POS
"I adore legends. But I would have to wonder, if it were an ancient burial ground, wouldn't it have protected the area much longer and we wouldn't have had the hurricane in 1921?",0.067,0.843,0.09,-0.2045,NEG
"I’m in western North Carolina and my husband wants to drive home to St. Pete through that tomorrow. Crazy, right?",0.0,0.888,0.112,-0.34,NEG
yes.,1.0,0.0,0.0,0.4019,POS
"yes!!",1.0,0.0,0.0,0.508,POS
But is it gonna affect the airport?,0.0,1.0,0.0,0.0,NEU
Is there a graphic showing the days and times of its path. I have to travel to Alabama. Trying to decide if I go today or wait until Monday morning? 😩,0.0,1.0,0.0,0.0,NEU
if you have an option I would go today.,0.0,1.0,0.0,0.0,NEU
"thank you, I think that’s what we will do!",0.285,0.715,0.0,0.4199,POS
safe travels!!,0.777,0.223,0.0,0.5399,POS
from what I see (at this point) it will be crossing northern FL Monday afternoon/evening. If you are driving I would not want to be in that mess!,0.0,0.857,0.143,-0.4614,NEG
If you are going….definitely go today,0.0,1.0,0.0,0.0,NEU
click on Denise's name and go to his page. He posts the track and updates regularly. I would leave today.,0.0,0.938,0.062,-0.0516,NEG
ok thank you!,0.833,0.167,0.0,0.6114,POS
"First Little Debbie, now spaghetti. What’s next, Doritos tornados?",0.0,1.0,0.0,0.0,NEU
hopefully!😃,0.0,1.0,0.0,0.0,NEU
taco salad!,0.0,1.0,0.0,0.0,NEU
Rule #7 wins again!,0.571,0.429,0.0,0.6114,POS
"Looks like it's going to go around Tampa Bay",0.238,0.762,0.0,0.3612,POS
Goin a round tampa no way this track will change at 11am,0.0,0.82,0.18,-0.296,NEG
"I remember all to well Hurricane Ian turned at the last 90 minutes. I had the opportunity to head to Tampa, I didn't. Fort Myers was destroyed.",0.168,0.722,0.11,0.1779,POS
The damage to Fort Myers Beach was terrible. It was a scary time. 🙁,0.0,0.486,0.514,-0.8591,NEG
fort Myers was not destroyed. Fort Myers beach had some flooding.,0.208,0.792,0.0,0.3875,POS
"I would say it was pretty destroyed by Ian!!!",0.258,0.484,0.258,0.0,NEU
"girl, you’re joking right",0.388,0.612,0.0,0.2263,POS
"my dear friends in Cap Coral and another in ft Myers would absolutely totally disagree with you for sure. It was so sad indeed!!! Some of our favorite places are no longer there, they had to rebuild elsewhere than their original location. You must be thinking about somewhere else.",0.22,0.635,0.145,0.5877,POS
