"TODAY | Expect partly cloudy skies with afternoon and evening scattered showers and storms. Tomorrow, we'll see widespread showers and storms associated with Tropical Depression 4. If you live in flood prone areas, use today to get ready for the potential of minor storm surge or fresh water flooding.",Pos,Neu,Neg,Compound,Overall Sentiment
I have never heard so much about a tropical depression. What will they do when it’s a hurricane?,0.0,0.791,0.209,-0.5719,NEG
"FYI, Honeymoon Island State Park closed for storm prep.",0.24,0.76,0.0,0.368,POS
"We are meant to be going to discovery cove tomorrow will it be open what do you reckon
Thanks",0.139,0.861,0.0,0.4404,POS
"We live in Hudson Florida, on the side of U.S.19 that doesn't usually flood. I feel pretty good about the rain part, but my stomach is in knots because I don't know what the wind is going to do.",0.104,0.896,0.0,0.4678,POS
"Yes, wind is always an issue with me too.",0.252,0.748,0.0,0.4019,POS
How do you think the winds will be in Lutz? I have a lot of yard art and I will move it into the garage if the winds are going to be bad.,0.0,0.892,0.108,-0.5423,NEG
"better safe than sorry",0.716,0.123,0.16,0.6705,POS
exactly! I'm in Sebring and just closed all my shutters.,0.0,1.0,0.0,0.0,NEU
"How many miles off Tampa Bay is the eye to be predicted to be?",0.0,1.0,0.0,0.0,NEU
quite a few! 😆..Tampa is out of the cone as of now...,0.0,1.0,0.0,0.0,NEU
"Yes.. I was just curious..",0.0,1.0,0.0,0.0,NEU
High tide around 2:30pm tomorrow. Hopefully the surge is no worse than the 2-4 ft expected.,0.129,0.619,0.252,-0.3818,NEG
"Will be monitoring this closely here in St Pete Beach.",0.0,1.0,0.0,0.0,NEU
"New moon will make high tide higher then usual, plan for water intrusion, like the beach always does without storm..",0.116,0.884,0.0,0.3612,POS
"Thanks Denis for All the updates and explanations.",0.293,0.707,0.0,0.4404,POS
"Should we prepare for a wind event?",0.0,1.0,0.0,0.0,NEU
Is Clearwater good?,0.592,0.408,0.0,0.4404,POS
Lots of rain!,0.0,1.0,0.0,0.0,NEU
You're the Bomb Denis!! ❤️,0.0,0.514,0.486,-0.5837,NEG
What’s the status for Zephyrhills??,0.0,1.0,0.0,0.0,NEU
"What does Polk look like on Sunday and Monday?",0.238,0.762,0.0,0.3612,POS
How high will the winds be in New Port Richey?,0.0,1.0,0.0,0.0,NEU
"Thank you as always, Denis. Your updates always help in planning the day!
☀️🌀🌪️⚡️🌈☔️",0.314,0.686,0.0,0.6696,POS
"Thanks Denis Phillips !!
Can you update the anticipated rain total? Trying to decide if I should drain my pool water down some. 🤔",0.142,0.858,0.0,0.5399,POS
"if it was me, I’ll do it now",0.0,1.0,0.0,0.0,NEU
already on it! Thx!,0.507,0.493,0.0,0.4738,POS
"Holy cow, only 89° today - refreshing cold front.... 🌬⛄️",0.0,1.0,0.0,0.0,NEU
"those aren't bad temps for Florida in August. Pretty much the same as up here in Athol, Mass.",0.274,0.726,0.0,0.7227,POS
this is the lowest they've been! I was shocked by the nice breeze we got last night on my walk. It's usually like 95+,0.19,0.644,0.166,0.1759,POS
Will my flight be canceled and will Disney get rain?😂🤣😅🤣just kidding.,0.123,0.877,0.0,0.1027,POS
Today's August 10th and I am just getting the post from August 3rd ?? Why?,0.0,1.0,0.0,0.0,NEU
"Good morning ☕️ As always, thank you!",0.532,0.468,0.0,0.69,POS
How are the flights holding up today? Any cancelations yet? 😆 🤣 😂,0.0,1.0,0.0,0.0,NEU
