2am update is in. No changes to intensity. Track is updated every 6 hours so the next advisory will have a new track. It won't change. This track seems relatively LOCKED IN. Intensity is still a question mark for landfall though.  Hopefully Debby just won't have enough time to get tremendously organized and strengthen quickly. Look for a rainy and windy day along the coast with much less wind and rain inland.  Have a great night! 🐢,Pos,Neu,Neg,Compound,Overall Sentiment
Denis Phillips unbelievable,0.474,0.526,0.0,0.2023,POS
"Thank you Denis Phillips! You don't panic, I don't panic. That being said, you don't sleep, I don't sleep. Floridian here. I've got a lot of family members who were commercial fisherman as well as sponge divers. Watching the weather/ tides is in my bloodline. Maybe that's why I'm a night owl. 😂",0.19,0.81,0.0,0.8517,POS
Tallahassee better be prepared for all the downed trees 😪 It's what made me fall in love with this city but it is also the downfall when storms come.,0.194,0.806,0.0,0.6124,POS
Fingers crossed all our beautiful trees stay put 🤞,0.358,0.642,0.0,0.5994,POS
"For sure a scary city to live in during storms with all the trees. Lighting, wind, saturated ground can bring them down in a second. Tally needs to work towards getting all the power lines buried...easier said than done, I know...",0.055,0.867,0.077,-0.2263,NEG
"Last year, I went up to Cedar Key to help clean up after the devastation of Idalia. Hoping this is not a repeat.",0.293,0.607,0.1,0.6597,POS
Thank you Dennis for keeping us updated.,0.294,0.706,0.0,0.3612,POS
Thank you Denis for the update!,0.358,0.642,0.0,0.4199,POS
Thank you for all you do Denis! Definitely appreciated my friend! Drink a Dr Pepper and gets some rest!,0.473,0.527,0.0,0.9114,POS
Going to get a good drenching. Your going to get a lot! Tornadoes after are worst than the hurricane around here.,0.119,0.7,0.181,-0.3595,NEG
"Thanks so much for the update, Denis",0.326,0.674,0.0,0.4404,POS
"Thank you Denis Phillips!! Hope you are getting some rest!",0.44,0.56,0.0,0.7412,POS
Thank you for the update as always!,0.318,0.682,0.0,0.4199,POS
Prayers for all tysvm for what you do for everyone as well 🙏,0.16,0.84,0.0,0.2732,POS
This was 8pm-ish tonight. Rainbow before the floods!,0.0,1.0,0.0,0.0,NEU
"I can't tell what day this was for you, but here's the one I took around 6:50 PM on my birthday - 08/02/2024. I don't know what's causing the empty spots in mine. I can tell it looks like a cloud is causing one because it's in front of the rainbow, but the blue in the middle? Maybe Denis Phillips knows?",0.061,0.901,0.037,0.3421,POS
"It looks like rain in the middle, maybe? I took a photo of one here, (Indian River County), and I wondered about mine, too. The rainbow just stopped midway.",0.088,0.845,0.067,0.1531,POS
this one I took was yesterday 8/3,0.0,1.0,0.0,0.0,NEU
I took mine on August 2nd.,0.0,1.0,0.0,0.0,NEU
"Thanks fir the updates
Be safe",0.592,0.408,0.0,0.7003,POS
Thank you for the updates.,0.385,0.615,0.0,0.3612,POS
"Flight from SLC to Tampa was canceled after a 45 minute delay we are all stuck here",0.0,0.765,0.235,-0.5106,NEG
"Denis Phillips well i rested. Woke up right as you posted. Ty so much for caring. Its tough being by yourself, in a wheelchair (i can use walker and cane). Like right now really wish I had someone here to talk to. I'm not freaked out just always better to have someone else around. I tell you, I do have some wonderful neighbors. Blessings everyone.",0.332,0.648,0.019,0.9724,POS
big hugs 💕,0.762,0.238,0.0,0.4939,POS
ty,1.0,0.0,0.0,0.3818,POS
take care!! 🥰,0.791,0.209,0.0,0.5837,POS
ty very much,0.565,0.435,0.0,0.3818,POS
"of course you do. I'm in Land O Lakes. Where are you at?",0.0,1.0,0.0,0.0,NEU
"Thank you Denis for always keeping us calm , and giving us updates now please get some rest 👍",0.422,0.578,0.0,0.8176,POS
"Thanks for all the updates. Night night for me, too. Stay safe, all.",0.345,0.655,0.0,0.7003,POS
"I would never use the words ""NEVER"" with hurricanes in the gulf. It keeps trending east",0.0,1.0,0.0,0.0,NEU
That track looks different 🤔 it looks father west,0.0,1.0,0.0,0.0,NEU
"Yes, that was my thought, too. 🤷🏻‍♀️",0.31,0.69,0.0,0.4019,POS
it is,0.0,1.0,0.0,0.0,NEU
"OK so it looks like Tally is going to get creamed! ???",0.395,0.605,0.0,0.76,POS
Thank you for keeping us updated and entertained all at ince 🤗🤗🤗💪🏾💪🏾💪🏾💪🏾,0.342,0.658,0.0,0.6369,POS
"Where's the general dividing line between ""coastal"" and ""inland?"" Thanks, Denis Phillips.",0.209,0.791,0.0,0.4404,POS
Blowing pretty good here in KW,0.604,0.396,0.0,0.7269,POS
"yup, the boat is rocking & rolling",0.0,1.0,0.0,0.0,NEU
Thanks Denis Phillips its quiet for now in Providence lakes in Brandon .,0.209,0.791,0.0,0.4404,POS
Driving from NY Tuesday morning to clermont. What kind of drive will it be?? Just Rainey or bad rain to drive in??,0.0,0.825,0.175,-0.6662,NEG
"To Clermont Florida",0.0,1.0,0.0,0.0,NEU
anyway yiu could delay a day or two?? Rough travel during storm,0.0,0.79,0.21,-0.3939,NEG
how long will it take you to drive from NY to the Carolina's on Tuesday?,0.0,1.0,0.0,0.0,NEU
it’s 16 hour drive. Wasn’t going to drive straight through unless I have to.,0.137,0.863,0.0,0.2263,POS
"I’m doing the same basically. I’m hanging back a day in NC",0.0,1.0,0.0,0.0,NEU
bad weather,0.0,0.222,0.778,-0.5423,NEG
So I need to check in with my dad in Tallahassee?,0.0,1.0,0.0,0.0,NEU
always!,0.0,1.0,0.0,0.0,NEU
Am I safe Driving to Punta Gorda from Dothan Alabama early Sunday morning,0.209,0.791,0.0,0.4404,POS
It all confuses me...I moved here 3 yrs ago and I'm still so confused. I stocked up on water and dog food 😂 all is well 😀,0.077,0.73,0.193,-0.4924,NEG
I knew you would bring good news!! 🙏🏼❤️,0.367,0.633,0.0,0.5399,POS
Is going to Tampa,0.0,1.0,0.0,0.0,NEU
if you watch his live he has answered this question quite a few times But to answer your question no it isn't Coming to Tampa.,0.0,0.891,0.109,-0.4215,NEG
"he literally answers that in the caption on this post",0.0,1.0,0.0,0.0,NEU
does inland mean 75 eastward or us 19 eastward?,0.0,1.0,0.0,0.0,NEU
Thanks Denis! Glad you are here for us! ♥️,0.481,0.519,0.0,0.7568,POS
Rule #7,0.0,1.0,0.0,0.0,NEU
"Carrollwood: any impact?",0.0,1.0,0.0,0.0,NEU
"Thought I heard a tornado just North of us by Clearwater Largo Rd and S Myrtle Ave about the time this post was made. Haven't been out to check but don't think it registered any warning. Probably just a downdraft...
We always watch you Denis Phillips . #7!",0.0,0.925,0.075,-0.5255,NEG
