"A Tornado Warning has been issued for parts of DeSoto, Hardee, Manatee until Aug 04 9:15AM. Download the ABC Action News App for the latest weather information.",Pos,Neu,Neg,Compound,Overall Sentiment
We are fortunate to have Denis Phillips as our go to meteorologist...he probably gets tired of all the praise...All the others have the same info he has but somehow coming from him..it seems we all have a best friend who has our back..oh and lets not forget all the subtle/extra info he gleans from the computer models because thats who he is!! Thank you Denis from all of us...,0.219,0.758,0.024,0.9512,POS
"agreed",1.0,0.0,0.0,0.2732,POS
"Tornado warning came across my phone but when I clicked on it I accidentally erased it. I couldn’t tell what county it was in. I looked here on fb and of course, Denis has posted the information.
So grateful for this Facebook group. I do now realize that if it were in my county, it would be an alert on my phone and not just a news blurb.
But still ➡️ 👏 Denis 👏 ",0.098,0.837,0.065,0.533,POS
Praying for everyone in the storms path. 🙏,0.294,0.706,0.0,0.3612,POS
heavy rain.. that moaning wind just began st pete.. i got home in time.. glad i just got my gutters done a week ago.. Duke just keep us ON no matter what. xoxoxo,0.122,0.772,0.107,0.128,POS
"Edited
Dear Little Debby, Please nourish large quantities of Little Debby treats for the ultimate sugar rush ever. You are required to move on out with absolutely no lag time
Poof! Be gone as I pop you with an antique hat pin. Stay safe.
Bless-Zings all ya'll. ✌️💜😇
P.S. Inspiration from Denis Phillips. Much Gratitude 😉",0.218,0.705,0.078,0.8535,POS
"If Waffle House is still open there is nothing to worry about",0.179,0.821,0.0,0.3412,POS
We are in ny we aren't scared had seven here two weeks ago,0.167,0.833,0.0,0.3412,POS
Have any of these tornados actually touched down yet?,0.0,1.0,0.0,0.0,NEU
"Is it still aiming for Tallahassee, we are headed that way to see my granddaughter at FSU",0.0,1.0,0.0,0.0,NEU
thank you,0.714,0.286,0.0,0.3612,POS
"Thanks for the info Denis 😀",0.42,0.58,0.0,0.4404,POS
"Denis Phillips I am always lost with the word Warning, I used to live in TX and when we get a tornado warning there is because there is a confirmation of a tornado and we are on path and it’s eminent to take shelter. When there are rotations or a tornado may form they will send a Tornado Watch.",0.055,0.823,0.122,-0.4342,NEG
"tropical storm ""warning"" means we will be getting tropical storm like conditions within 24 hours so whenever it was issued within the next 24 hours. And tornado warning here means a tornado has already been spotted so sounds like it's the same as Texas",0.105,0.844,0.051,0.3818,POS
great to know its about the same. 💕 Thanks,0.538,0.462,0.0,0.7906,POS
"no tornado was seen .",0.0,0.577,0.423,-0.296,NEG
"yes, but so far we haven't had the big tornadoes Texas has and I hope it stays that way! lol",0.377,0.623,0.0,0.8655,POS
yes Ive seen some bad ones and that’s the reason I moved here. It is nerve racking getting the notifications in your phone that says tornado 🌪️ warning TAKE SHELTER and you are like what now?!!! 🤣,0.121,0.721,0.158,-0.3769,NEG
I cannot imagine!! People are always afraid of hurricanes in Florida but at least we have a decent warning with them. I've always felt bad for those that live in the tornado areas,0.0,0.775,0.225,-0.8568,NEG
tornado warning is radar indicated tornado. Might not be spotted on the ground.,0.0,0.833,0.167,-0.34,NEG
tornado was only seen as suspicious warning on radar but not confirmed warning .,0.0,0.604,0.396,-0.6757,NEG
Is the system still expected to be out of the Florida area by Tuesday?,0.0,1.0,0.0,0.0,NEU
Debby was a strong TS,0.524,0.476,0.0,0.5106,POS
"Again, why is this coming up in notifications days after the hurricane",0.0,1.0,0.0,0.0,NEU
"Just to let you know Busch gardens is closed today",0.0,1.0,0.0,0.0,NEU
"I think you need this, lol",0.448,0.552,0.0,0.5023,POS
"Prayers 🙏🏻
My daughter and her family live in that area .",0.0,1.0,0.0,0.0,NEU
Stay safe! 💜,0.761,0.239,0.0,0.4926,POS
🙏🙏🙏,0.0,1.0,0.0,0.0,NEU
