"While Debby is starting to get ""that look"", the tropics are coming to life elsewhere. It was only a matter of time.",Pos,Neu,Neg,Compound,Overall Sentiment
"How are you holding up so far, Denis? So you have enough DDP??",0.0,1.0,0.0,0.0,NEU
Denis Phillips I almost bought some yesterday in your honor😀,0.0,1.0,0.0,0.0,NEU
someone should set up a Go Fund Me page,0.0,1.0,0.0,0.0,NEU
Denis Phillips just make sure to get some sleep after all this is over,0.15,0.85,0.0,0.3182,POS
Denis Phillips I No You Got Your Publix Lil Debbies And Sweet.,0.211,0.634,0.155,0.2023,POS
Denis Phillips to go along with those McD cheeseburgers!,0.0,1.0,0.0,0.0,NEU
I sure appreciate you being there during strong storms. Mwah!,0.707,0.293,0.0,0.902,POS
Ernesto might end up being the “little storm that could.” The siblings can cause quite a stir. 🙃Let’s hope he doesn’t turn out to be the family troublemaker!,0.11,0.795,0.095,0.1169,POS
well put!,0.705,0.295,0.0,0.3382,POS
"Oh rats. Earnesto means ""determined, earnest, serious"". Nope, we are not having any of that!",0.204,0.796,0.0,0.5562,POS
Hopefully a very slow moving- very strong cat 5 . Florida needs a good cleaning to get rid of all of the whiney transplants from somewhere else.,0.301,0.623,0.075,0.7841,POS
"wow really?!?!",0.826,0.174,0.0,0.695,POS
Heavy rain in Oldsmar my yard already has a few lakes.,0.0,1.0,0.0,0.0,NEU
"right there w ya, we are in Palm Harbor and besides the big canal in my backyard I also have a few lakes! Be safe",0.132,0.868,0.0,0.4926,POS
you too,0.0,1.0,0.0,0.0,NEU
thank you!!,0.755,0.245,0.0,0.4738,POS
same here in greater carollwood,0.385,0.615,0.0,0.3612,POS
"any idea if the Bay is up over the seawalls yet on Shore Drive?",0.0,1.0,0.0,0.0,NEU
I’m on shore dr w,0.0,1.0,0.0,0.0,NEU
Totally enjoying hearing my name every two minutes 😬 #Debbie,0.316,0.684,0.0,0.5709,POS
Hoping my ex is listening to the weather too! 🥳😂,0.256,0.744,0.0,0.4753,POS
It’s weird reading about it out loud 😂,0.0,0.779,0.221,-0.1779,NEG
I want it too stop! 😫,0.224,0.345,0.43,-0.2942,NEG
Off and on wind gusts and some rain here in Largo.,0.0,1.0,0.0,0.0,NEU
but it’s spelled Debby. That’s how my daughter spells hers. There was already a hurricane Debbie back in 2012,0.0,1.0,0.0,0.0,NEU
how cute. My daughter used to spell it Debbie then changed it several years ago. I like it better. I named her Debra after Debra Paget the movie star. I can’t believe she is almost 71 now.,0.213,0.787,0.0,0.8126,POS
that is who my parents named me after.,0.0,1.0,0.0,0.0,NEU
well guess what? My daughter at birth was,0.231,0.769,0.0,0.2732,POS
same🤣,0.0,1.0,0.0,0.0,NEU
Me too 😅😅,0.0,1.0,0.0,0.0,NEU
