"Great view of how bands set up. You can see them here. Very heavy downpours spin through, then a break. Then the next band moves in. This will be around (especially WEST of I-75) all day.",Pos,Neu,Neg,Compound,Overall Sentiment
Great to see that you are home via that screen shot and hopefully resting a bit. Thank you to you and the ABC news team for everything you do,0.271,0.729,0.0,0.8519,POS
"Denis Phillips Dunedin?!? 🤔",0.0,1.0,0.0,0.0,NEU
rain,0.0,1.0,0.0,0.0,NEU
Thanks chief,0.744,0.256,0.0,0.4404,POS
"Denis Phillips is there a way to estimate the times that the ""bands"" hit hard? I have kids that both have to drive to and from work today and tomorrow, so I was thinking of making them drive in-between those bands if timing them is a possibility. Also, be safe driving yourself! godspeed",0.062,0.911,0.027,0.4199,POS
"Denis Phillips ""in"" as in ""inland?""",0.0,1.0,0.0,0.0,NEU
"Sorry for more specific questions
We are driving from Orlando to st Pete’s today . We are here from England on holiday .
Just wondered if any one local had any advise ? We were trying to get in before 2 from what we had seen ?",0.069,0.902,0.029,0.4137,POS
Thanks all much appreciated 👍,0.756,0.244,0.0,0.7351,POS
Safe travels,0.744,0.256,0.0,0.4404,POS
just be careful,0.444,0.556,0.0,0.1531,POS
"the faster you get to this area the better, it’s going to get much worse later. It’s just raining steady right now",0.112,0.769,0.119,-0.0516,NEG
should be fine just wet and slippery. Good luck!,0.571,0.429,0.0,0.7901,POS
"Seems like one long band in Largo. Been raining hard for over an hour. Lots of info on Sarasota, Manatee, St. Pete and Tarpon Springs. NONE about Largo and Clearwater.",0.078,0.878,0.044,0.2732,POS
"I was about to mention about a Tornado warning in the Arcadia area but it looks like you already got it highlighted on your radar in the photo.
Stay safe everyone.",0.204,0.747,0.049,0.7506,POS
"We are staying in Sarasota holidaying here from the UK. Lots of rain at the moment, we are really hoping we get some sunshine back in the next few days 🙏 for us to enjoy. We stayed in Bradenton last year and our flight home was cancelled due to the hurricane, so we knew what to expect. But that was towards the end of our holiday and didn’t mind staying longer 😂. But we are a few days in this time. Hopefully all will pass soon and everyone stays safe",0.172,0.812,0.015,0.9403,POS
Following these bands closely to know when to let the dog out! 🤣🐾🐾,0.0,1.0,0.0,0.0,NEU
🤣🤣 same!!,0.0,1.0,0.0,0.0,NEU
The clouds seem to be moving pretty quickly I’d say that’s a good sign Debby isn’t hanging around long at all,0.253,0.747,0.0,0.7269,POS
the clouds you see moving are the bands of rain and those are moving fast but in a circular rotational direction that has the little or nothing to do with the storm movement Direction and speed.,0.0,1.0,0.0,0.0,NEU
cousin from Fort Lauderdale took this photo,0.0,1.0,0.0,0.0,NEU
that has no correlation to forward speed,0.0,0.732,0.268,-0.296,NEG
How fast/slow is it moving north? We are in Citrus County by Crystal River.,0.0,1.0,0.0,0.0,NEU
Tarpon Springs having a break at the moment. I'm sure it won't be long.,0.161,0.839,0.0,0.3182,POS
pouring where I live in Tarpon. I’m hearing loud thunder too. I’m as far west in Tarpon behind gulf.,0.0,1.0,0.0,0.0,NEU
"yes, the break didn't last long!",0.374,0.626,0.0,0.4574,POS
We just hot our first band here in Citrus County.,0.0,1.0,0.0,0.0,NEU
Nothing in plant city except a little breezy. It’s been a nice change from the heat.,0.177,0.823,0.0,0.4215,POS
"Little Debby started eating her oatmeal and lifting weights.. She heard you, Denis!",0.0,1.0,0.0,0.0,NEU
Might be able to go swimming soon in my backyard if anyone wants to come over for a pool party 😝,0.13,0.87,0.0,0.4019,POS
ours is pooling too,0.0,1.0,0.0,0.0,NEU
"hahaha, mine are out running in it. We're in Apollo Beach, not too far.",0.217,0.783,0.0,0.5574,POS
I wish mine were water dogs. I have divas lol,0.478,0.522,0.0,0.6705,POS
where is this located,0.0,1.0,0.0,0.0,NEU
I'm in Gibsonton FL (by Riverview/south of Tampa),0.0,1.0,0.0,0.0,NEU
it’s not raining in Land O Lakes yet. I’m just curious.,0.204,0.796,0.0,0.3182,POS
ah okay probably soon then. We're getting the bands then the lull and then another band 🤦🏻‍♀️,0.106,0.894,0.0,0.2263,POS
wow!,1.0,0.0,0.0,0.6239,POS
where are you,0.0,1.0,0.0,0.0,NEU
I'm in new port Richey,0.0,1.0,0.0,0.0,NEU
Just starting noon in Gulfport finally getting heavy wind & rain,0.0,1.0,0.0,0.0,NEU
Those breaks between the bands help. Our street drains very slow. The breaks help.,0.31,0.69,0.0,0.6597,POS
"It was a trip looking at the radar, seeing the bands of rain and hearing it for HOURS and they kept coming and coming. Yellow, red, yellow, red...",0.0,1.0,0.0,0.0,NEU
"Absolutely pouring on West Bay, Largo",0.0,1.0,0.0,0.0,NEU
"Its crazy, downtown st pete and its not even raining right now lol",0.173,0.679,0.148,0.1027,POS
he said it would 🤷‍♂️,0.0,1.0,0.0,0.0,NEU
We sure appreciate your work giving us all the low drama updates.,0.423,0.457,0.12,0.6486,POS
Yep...that is what is happening here!,0.0,1.0,0.0,0.0,NEU
"It definitely is lol
Wasn't happy driving through any of this",0.333,0.485,0.182,0.3616,POS
