DEBBY 5 AM | No changes. Debby is slowly strengthening with 50 mph winds. No changes to our forecast with the core of the storm staying well west of our coast. Showers and storms pick up in coverage later this morning. Localized flooding is possible with a Flood Watch for the entire area. A tornado threat will increase later today as well.,Pos,Neu,Neg,Compound,Overall Sentiment
Thanks for the updates. I share them with my daughter in Philly so she doesn't worry so much about us.,0.327,0.673,0.0,0.7763,POS
"Thankful for you Denis.",0.552,0.448,0.0,0.5719,POS
"Still wishing this storm had gone to Dallas. It would’ve been a great headline.",0.353,0.647,0.0,0.7184,POS
Thanking Debby and Denis for keeping us out of the cone of certainty.,0.143,0.857,0.0,0.25,POS
uncertainty! UN!,0.0,0.251,0.749,-0.4559,NEG
Can you spell sense of humor?,0.296,0.704,0.0,0.2732,POS
Thank you. You keep us so well informed. So appreciate it.,0.507,0.493,0.0,0.8039,POS
last night he said inland areas did not have to worry. Orlando area is way outside the cone. Probably regular summer rain there.,0.099,0.901,0.0,0.3412,POS
how about Tampa?,0.0,1.0,0.0,0.0,NEU
wind and rain event. Along shore or areas that usually flood may see flooding.,0.0,1.0,0.0,0.0,NEU
thank you!,0.736,0.264,0.0,0.4199,POS
I’m heading Kissimmee area. Is this for Tampa Area? Or all of FL. I’m worried about the flooding. He mentions localized flooding.,0.0,0.905,0.095,-0.296,NEG
https://forecast.weather.gov/MapClick.php?lat=28.2947...,0.0,1.0,0.0,0.0,NEU
during heavy rain events there is always localized flooding in low lying areas. Obviously the worst flooding will be on the coast.,0.0,0.664,0.336,-0.8625,NEG
"Watching from JAX, very concerned about flooding due to the slooooowwww speed 🌀 Our neighbors in SE Georgia are watching and waiting, also. Praying it speeds UP and when it goes into the Atlantic, if fizzles instead of doubling back! We've have those hurricanes before - No bueno! 🙄",0.063,0.893,0.045,0.2225,POS
Good morning! Thanks for the update. I live in St. Pete at 49th/22nd and it’s beautiful out - somewhat windy and cooler - and I appreciate your update. 🌬,0.388,0.612,0.0,0.9134,POS
Thx Dennis. Your forecasts are the very best! Thx for all U do. I cashier at the Crystal Beach Publix. Were U at my store yesterday for your Little Debbie’s???,0.301,0.699,0.0,0.884,POS
he may have been. He doesn't live to far from there.,0.0,1.0,0.0,0.0,NEU
No changes? It looks like the projected intensity has increased and the timing of said intensity also increased (hurricane strength right at/after it passes Tampa Bay).,0.299,0.634,0.066,0.7717,POS
It's making the turn so much earlier than expected. It's moving NNW now and I'm sure N very soon. Bottom of cone maybe even a bit below. Tampa better not just take it lightly we in for some bad weather today and tomorrow! Stay safe!,0.17,0.762,0.068,0.6351,POS
Tmrw morning? Ughh.. I have to drive far for work tmrw for a training. I'm nervous about the drive! I'm in Tampa.,0.0,0.888,0.112,-0.3382,NEG
today all day it will progress get worse,0.235,0.504,0.261,-0.0772,NEG
stay safe! It won't be anything super bad for our area but it will definitely take lots of people off guard. Just be mindful thats all,0.18,0.685,0.135,0.3546,POS
I’m driving to Jax today. 🙏,0.0,1.0,0.0,0.0,NEU
Thank you so much! Stay safe!,0.61,0.39,0.0,0.7389,POS
Stay safe! ❤️❤️,0.615,0.385,0.0,0.4926,POS
you are unnecessarily causing anxiety.,0.0,0.702,0.298,-0.1779,NEG
how? I'm just talking like everyone else on here. There is nothing to stress about. Facts are facts,0.232,0.768,0.0,0.5903,POS
Source? I want to see because the tropical tidbits satellite looks like that.,0.275,0.725,0.0,0.4215,POS
Love your updates. You're the only Weatherman we trust for realistic coverage of our FL storms!,0.358,0.642,0.0,0.8313,POS
entertaining yes accurate- not,0.737,0.263,0.0,0.6808,POS
Watching from the UK hoping it doesn't affect our travel plans and praying you all ride it out safely 🙏🏽❤️,0.333,0.667,0.0,0.8176,POS
Thank you for the updates!,0.411,0.589,0.0,0.4199,POS
Nice and dry in Venice. So glad my morning paper didn't get washed off the drive and into the retention pond drain,0.234,0.766,0.0,0.7264,POS
it hasn’t reached us yet. It will later this morning. It looks like it’s south of Naples now,0.196,0.804,0.0,0.4404,POS
"it must have slowed down, it was forecasted to start raining last night",0.0,1.0,0.0,0.0,NEU
it’s at 13 mph.,0.0,1.0,0.0,0.0,NEU
Right now,0.0,1.0,0.0,0.0,NEU
downpours just started,0.0,1.0,0.0,0.0,NEU
Good morning Denis Phillips. Thank you for your dedication to keeping us safe. Your weather updates keep us informed and reassured. I'll be staying tuned.,0.344,0.656,0.0,0.875,POS
ditto,0.0,1.0,0.0,0.0,NEU
"Thank you. If it stays on that track, we may not get any rain or flooding in Citrus County.",0.122,0.878,0.0,0.3612,POS
had it moves in north of us and a SW wind with a high tide all water property will get flooding lived in old homosassa many years and experienced it many times,0.0,1.0,0.0,0.0,NEU
it looks like we’ll still get plenty of rain.,0.238,0.762,0.0,0.3612,POS
the biggest bands are on the East. You are getting rain.,0.0,1.0,0.0,0.0,NEU
Haha! Getting a deluge!,0.642,0.358,0.0,0.555,POS
"yep!!!",1.0,0.0,0.0,0.4724,POS
"5am. Thanks, Denis, for keeping us in the know.",0.266,0.734,0.0,0.4404,POS
Stay safe,0.744,0.256,0.0,0.4404,POS
"I really appreciate all of your updates. Thank you.",0.478,0.522,0.0,0.6697,POS
"Where do you find out what time storms are expected to hit along with high tide? High tide is at 1:26 pm at 3.7ft expected for Hudson, when is the storm by us? We have a church a few blocks off the coast",0.0,0.947,0.053,-0.3094,NEG
🙏✨️🙌 no significant damage but that area is inevitable sadly,0.095,0.405,0.5,-0.7184,NEG
Thank you Denis!!! Been a fan since your amazing coverage of hurricane Charlie 20yrs ago ❤ 8.14.2004 you're the best!!!,0.499,0.501,0.0,0.9321,POS
"stay safe out there",0.492,0.508,0.0,0.4404,POS
Thank you so much for the constant updates. I share with my Daughters that live in Polk & Highlands Counties.,0.227,0.773,0.0,0.5719,POS
"I have lived in the Keys since 1960 and been through every Hurricane since, and that's been many, Irma was the absolute worst for me. Thank you for your calmness in the storm, many people look to you for theirs
including me, thank you Denis",0.149,0.772,0.079,0.3818,POS
I live in Citrus Co and took a major loss during Hermine. The following year my daughter who lived in the Keys was hit by Irma. I couldn't even believe the devastation half of their 2nd story was blown away..,0.0,0.873,0.127,-0.6249,NEG
I lost my roof and carport during Irma. Our tornado came through our community,0.0,0.839,0.161,-0.3182,NEG
Irma was one nasty girl.,0.0,0.526,0.474,-0.5574,NEG
take care of your health staying up alot can take it's toll.. good supplements and healthy food.. xoxoox green smoothies.. i know you love DR PEPPER but get some good stuff in you as well please.. xooox,0.333,0.667,0.0,0.9186,POS
"Thank you, Denis for keeping us informed about the storm. You are much appreciated!",0.337,0.663,0.0,0.7263,POS
Thank you! I live in Naples but have an Airbnb rented on Manasota Key on Wednesday through Saturday. Will the beach be okay by then?,0.166,0.834,0.0,0.5255,POS
"Yes, it should be long gone by then. You can look at the 7 day forecast. It’ll be long gone by Wednesday",0.119,0.881,0.0,0.4019,POS
thank you!,0.736,0.264,0.0,0.4199,POS
Good morning Dennis! Thank you for always informing us with the latest forecast. Well appreciated 👏,0.502,0.498,0.0,0.8777,POS
Thank you for the ongoing updates! Woke up and first thing I did was check in with you 😎,0.149,0.851,0.0,0.4199,POS
me too!!!,0.0,1.0,0.0,0.0,NEU
Thank you for the continual updates. Waiting for the rain to start in Clearwater. Doggy will get wet today!,0.134,0.866,0.0,0.4199,POS
These storms always tend to be stronger nowadays,0.271,0.729,0.0,0.3818,POS
Thank you for delivering good information without all the scare drama!,0.51,0.49,0.0,0.8085,POS
"Thanks for the constant updates Denis! You’re a rockstar!",0.332,0.668,0.0,0.5399,POS
Thanks Dennis will be keeping an eye out while at work. My drive in was great but I worry about the hour drive home from Hillsborough into pasco,0.139,0.742,0.119,-0.09,NEG
Thank you Denis Phillipsm we count on you,0.263,0.737,0.0,0.3612,POS
It shows 70 mph winds directly northwest of North Port when it arrives later this morning. Does that mean we will have 70 mph winds in North Port since it’s so far out in the Gulf?,0.0,1.0,0.0,0.0,NEU
No. You'll must likely have varied wing gust but not a constant 70 mph,0.0,0.882,0.118,-0.1531,NEG
We are currently on our way to Orlando arriving at 5 or so…should we be ok??,0.155,0.845,0.0,0.3736,POS
"Thank You Denis Here in Davenport.",0.333,0.667,0.0,0.3612,POS
"Thank you Denis Phillips. Will Polk get anything, or are we in the clear?",0.298,0.702,0.0,0.6249,POS
Good morning ! Thank you Denis! Get some rest for a minute!,0.44,0.56,0.0,0.7412,POS
Any idea how our airports are going to do?,0.0,1.0,0.0,0.0,NEU
"Denis has stated numerous times he has nothing to do with airport closures, flight cancellations, or delays. Call the airport or the airline you are flying on. Also, what Don Johnson said above.",0.0,1.0,0.0,0.0,NEU
"never said he did! Just asking as if he was a journalist, and had any info he could apprise us of!!",0.0,1.0,0.0,0.0,NEU
