"A Tornado Warning has been issued for parts of DeSoto, Hardee, Manatee until Aug 04 11:15AM. Download the ABC Action News App for the latest weather information.",Pos,Neu,Neg,Compound,Overall Sentiment
I see that big dark cloud approaching from the south. 😎,0.0,1.0,0.0,0.0,NEU
Palm Harbor coast. Heaviest rain band now not too much wind.,0.0,1.0,0.0,0.0,NEU
"Really bad in Venice !! Dark ,howling winds and heavy rain !!!",0.0,0.689,0.311,-0.715,NEG
🙏🏼🙏🏼🙏🏼🙏🏼 Lord protect Us all AMEN AMEN,0.302,0.698,0.0,0.3818,POS
How much warning will we get before they close Sunshine Skyway bridge?,0.205,0.641,0.154,0.2023,POS
"So, polk county shouldn't see much?",0.0,1.0,0.0,0.0,NEU
"Many more to come, tropical systems always spin up tornadoes that never reach the ground",0.0,0.929,0.071,-0.0191,NEU
ummm I was in Cape Coral for Ian and a tornado ripped through my house and destroyed it. So yes they do touchdown.,0.119,0.754,0.127,-0.0534,NEG
3 hours ago😆,0.0,1.0,0.0,0.0,NEU
right,0.0,1.0,0.0,0.0,NEU
Thanks for reminding me of Denis Phillips live updates😁,0.266,0.734,0.0,0.4404,POS
