A Tornado Watch is in effect for our area. Please stay tuned to your ABC Action News station for the latest update.,Pos,Neu,Neg,Compound,Overall Sentiment
Time to go live Denis Phillips,0.0,1.0,0.0,0.0,NEU
yes please denis is this thing shifting east or what lol,0.494,0.506,0.0,0.7783,POS
"yes, Denis is the best!! Wish he were on right now.",0.56,0.44,0.0,0.8802,POS
"Pretty quiet in Lealman for the last hour. First band was heavy.",0.225,0.775,0.0,0.4939,POS
"Just the alert for Pinellas County!🙏🏻",0.333,0.667,0.0,0.3595,POS
no,0.0,0.0,1.0,-0.296,NEG
all of florida 🙂,0.0,1.0,0.0,0.0,NEU
"pretty much 🧐👀
These storms are so big",0.314,0.686,0.0,0.4939,POS
Tampa didn’t get any thank goodness.,0.579,0.421,0.0,0.6705,POS
Got the pinellas alert,0.423,0.577,0.0,0.296,POS
