"JUST IN | The track for Debby remains on course. Winds are up to 65 mph. NEW this hour... the storm surge WARNING is now in effect from Longboat Key north, including Tampa Bay. The NHC has upped the forecast in these areas from a 2-4' surge, to a 3-5' surge.",Pos,Neu,Neg,Compound,Overall Sentiment
Thanks Denis 🙏 you’re the man,0.42,0.58,0.0,0.4404,POS
Everyone’s phones went off in church this morning with a warning. Pastor said “I’m not freaking out because Denis Phillips is not freaking out”. Rule #7 made it to church this morning.,0.133,0.799,0.068,0.3103,POS
love this!,0.818,0.182,0.0,0.6696,POS
mine went off this morning and twice last night.,0.0,1.0,0.0,0.0,NEU
thats awesome!!!!,0.0,1.0,0.0,0.0,NEU
Dropped my son off at the airport. He just called saying they’re cancelling flights going up the eastern coast. His wasn’t cancelled (fingers crossed) since he’s headed back to Texas after his leave.,0.0,0.857,0.143,-0.4588,NEG
I’m to fly to VA on Thursday. Not sure what will happen,0.0,0.849,0.151,-0.2411,NEG
my friend was supposed to fly into tonight to stay at our house and she was cancelled like 30 min ago. Nothing heading down from md til til now,0.169,0.772,0.059,0.5719,POS
which airport?,0.0,1.0,0.0,0.0,NEU
Tampa.,0.0,1.0,0.0,0.0,NEU
"Poor Panama City!
They're still massively rebuilding from Michael .....",0.0,0.726,0.274,-0.5255,NEG
For those of you new to the area long boat key is in the Sarasota/ Manatee area South of St Pete/Petersburg,0.0,1.0,0.0,0.0,NEU
thank you I was about to google it.,0.294,0.706,0.0,0.3612,POS
"thank you for clarifying where LK is located",0.263,0.737,0.0,0.3612,POS
they could google it too. 🤷🏾‍♂️,0.0,1.0,0.0,0.0,NEU
why are you here then? You can literally google anything. 🤷🏼‍♂️,0.0,1.0,0.0,0.0,NEU
"because I'm seeing his post, knowing the areas he is referring to. If you don't know what he's talking about, it can easily be googled.",0.091,0.909,0.0,0.34,POS
It's called being kind. You should try it some time.,0.274,0.726,0.0,0.5267,POS
I do regularly. But looking things up on your own if pretty fundamental in learning.,0.249,0.751,0.0,0.6486,POS
I said last evening that Debbie would attain hurricane status as it passes by Pinellas County. I still believe that. It's only 9 mph away right now.,0.0,1.0,0.0,0.0,NEU
I thought so too. For some awful reason the past few years the wind and storm surge intensity always ends up being worse than expected.,0.0,0.783,0.217,-0.7269,NEG
