"NEW | As expected, a Tornado Watch is now in effect until 8 pm. We've already had several tornado warnings inland. This will continue as conditions are favorable for more to develop in the outer bands of Debby.",Pos,Neu,Neg,Compound,Overall Sentiment
"🤦🏼‍♀️ I thought I was done with 🌪️🌪️🌪️🌪️ when I moved here from Tornado Alley, Tennessee",0.0,1.0,0.0,0.0,NEU
"me, too, when I moved here from Texas. And there are no warning sirens here! 😩",0.0,0.71,0.29,-0.5983,NEG
"We have had a lot up in IL, and we are moving down in a few weeks. At least we aren't afraid of them!",0.0,1.0,0.0,0.0,NEU
Right ? Forty Eight years of dealing with them and personally in numerous . Call us experienced 😂,0.0,1.0,0.0,0.0,NEU
thankfully tornadoes associated with tropical storms and hurricanes are pretty short lived. I moved here from TN 7 years ago 3 weeks before Irma hit,0.231,0.769,0.0,0.7184,POS
100% correct. Usually they are weak too. Nothing like the monsters you experienced in Tennessee.,0.0,0.722,0.278,-0.6136,NEG
"That’s wonderful news! I lived in Murfreesboro, smack in the middle of the alley. Seems no matter where they originated, they always hit us",0.187,0.733,0.081,0.4389,POS
"I lived in McMinnville and saw how often Murfreesboro got hit, as well as Crossville where I have friends",0.257,0.743,0.0,0.6369,POS
"oh girl, you got hit enough in McMinnville. My ex daughter-in-law is from McMinnville. Heck, half the town is her family. Her uncle has a nursery, her mom was a teacher there, and her dad was the head of Parks & Recreation. You might even know them",0.0,1.0,0.0,0.0,NEU
as small as McMinnville was it's possible that I knew them,0.0,1.0,0.0,0.0,NEU
I do know them but not well,0.0,0.692,0.308,-0.3007,NEG
I wouldn’t call them fools. Maybe compared to what they’ve experienced before it is rare or infrequent,0.0,0.824,0.176,-0.4939,NEG
Tornado watch in Marion County as well,0.259,0.741,0.0,0.2732,POS
"That's one thing I don't like about hurricanes are the tornado threat. 🙏",0.0,0.62,0.38,-0.6715,NEG
"Currently raining and calm in Palm Harbor. We had a thunder storm worse than what we have now, last week.",0.103,0.759,0.138,-0.2023,NEG
Crap!!!!! I wondered if we were going to definitely be included. Thank you so much for constantly keeping us updated and informed. Take a good long break once this is over. You deserve it.,0.242,0.758,0.0,0.8507,POS
"When will you be on? Whoever's on air right now is killing me, and I can't watch 😞",0.0,0.773,0.227,-0.6597,NEG
"me too!! I had to turn it to fox 13",0.0,1.0,0.0,0.0,NEU
all the others are horrible lol .... They tone of voice just gives me anxiety lol,0.246,0.526,0.228,0.1027,POS
agree 100%,0.714,0.286,0.0,0.3612,POS
Thank goodness the only tornado was on screen.,0.478,0.522,0.0,0.6705,POS
"My weather radio has gone off more times today than I'd like it to. 📻...and, we are just getting started here in NPR.",0.102,0.898,0.0,0.3612,POS
"When will it be at its worse here in our area in Tampa?? I'm in Cortez",0.0,0.813,0.187,-0.5362,NEG
"I live in a mobile home. For a tornado warning, I take my dog, phone, pillows, a blanket, snack and water and sit in the bathtub until the warning is over. Am I supposed to stay in the bathtub until 8pm? Asking for a friend 😜",0.074,0.814,0.112,-0.1531,NEG
Can't we just have a stormy day without the tornado threat for a change 😩😩😩,0.188,0.812,0.0,0.4168,POS
"Nothing going on in San Antonio fl",0.0,1.0,0.0,0.0,NEU
But 2 very very important questions for Denis Phillips is it raining in Disney and is my flight from Tampa cancelled 😂🤣😅,0.124,0.774,0.102,0.1424,POS
that was very sarcastic I find it amusing how a guy trying to keep us safe is always asked this.,0.241,0.658,0.101,0.4951,POS
is joking as it's always asked. 😀 stay dry everyone,0.192,0.808,0.0,0.2263,POS
"Some seen in the sky in desoto county. Any idea if touch down ?",0.0,1.0,0.0,0.0,NEU
When will Eastern Pasco and Hernando counties start seeing wind?,0.0,1.0,0.0,0.0,NEU
"Still all quiet here in Lake Wales",0.0,1.0,0.0,0.0,NEU
"I need the taco meme",0.0,1.0,0.0,0.0,NEU
You are so calming .You should be the only person giving news on weather. These other people will Never compare to you .,0.228,0.772,0.0,0.7088,POS
Is it say we will have 70 mph wind gusts?,0.0,1.0,0.0,0.0,NEU
If I drive to work around 6pm near Pinellas Park will I get blown away by a tornado 🌪️? Please Denis Phillips I need answers!,0.115,0.885,0.0,0.3802,POS
Thanks for all you do and the time you invest to keep us all informed Denis Phillips !!,0.17,0.83,0.0,0.5399,POS
you guys okay?,0.487,0.513,0.0,0.2263,POS
yep!,1.0,0.0,0.0,0.3595,POS
"we are getting hit bad here in siesta key",0.0,0.696,0.304,-0.5423,NEG
Oh no! I didn’t even know it was by you and actually thought you were coming home?! ,0.0,0.843,0.157,-0.4184,NEG
We are in it now it's like a hurricane we're inside but the rain and the winds are incredible and the beach is up to like all the way up,0.156,0.844,0.0,0.6124,POS
Your car might but you may not if you're wearing a seat belt lol,0.236,0.764,0.0,0.5719,POS
THANK YOU DENIS FOR ALL YOUR INFORMATION,0.294,0.706,0.0,0.3612,POS
Thanks for the Info but I'm not worried 🙂,0.416,0.584,0.0,0.5076,POS
Just got notification in Walchula (how ever it’s spelt) there’s one going north east,0.0,1.0,0.0,0.0,NEU
Stay safe 🙏🏻🙏🏻🙏🏻,0.592,0.408,0.0,0.4404,POS
thanks for the update,0.492,0.508,0.0,0.4404,POS
Thanks.,1.0,0.0,0.0,0.4404,POS
..... so no drum circle 🙃,0.0,0.616,0.384,-0.3597,NEG
"WHEN DOES DEBBY GET TO THE ST. PETE AREA?",0.0,1.0,0.0,0.0,NEU
