"Tropical Storm Debby may produce a few tornadoes across the Peninsula with some of the feeder bands that move through. The SPC has us in a level 2 out of 5 risk.",Pos,Neu,Neg,Compound,Overall Sentiment
I’d be okay with that if it got Glen Powell to my house looking like this… 🤣,0.239,0.761,0.0,0.5267,POS
this the best I can do ya... 😉,0.457,0.543,0.0,0.6369,POS
"right just blow him my way",0.0,1.0,0.0,0.0,NEU
Thank you for the updates! Sun is coming up amidst a few clouds and warm breeze in San Antonio. Have a blessed Sunday!,0.33,0.67,0.0,0.8353,POS
"Your the best Denis! Thank you for all the updates. We know when a tropical system is anywhere near Florida, sleep escapes you to keep us informed. We appreciate you!",0.315,0.685,0.0,0.8881,POS
"As always, thank you for the updates! I check hourly! So thankful for you! Stay safe all!",0.448,0.552,0.0,0.89,POS
It feels absolutely wonderful on the waterfront in Safety Harbor right now.,0.405,0.595,0.0,0.7778,POS
I always LOVE that dock & view in SH. Thanks for a beautiful video this morning. ❤️‍🩹,0.516,0.484,0.0,0.9141,POS
"Thanks Denis! The air and breeze is wonderful in So Sarasota County at the moment!",0.356,0.644,0.0,0.8011,POS
"My daughter needs to drive from Tampa to Ft Myers today.
Are you guys seeing downpour in Sarasota? Floooding?",0.0,1.0,0.0,0.0,NEU
"the heavy rain just started about 5 minutes ago.",0.0,1.0,0.0,0.0,NEU
Plenty of lil Debbie's at Publix gateway!,0.0,1.0,0.0,0.0,NEU
"I'm flying on tonight,,wonder if it will be delayed",0.0,0.808,0.192,-0.2263,NEG
"Thanks for the update you’re the best",0.587,0.413,0.0,0.7964,POS
Weather going downhill now in Sarasota,0.0,1.0,0.0,0.0,NEU
Nothing but a “coolish” beautiful breeze right now in Dunedin. Was excited to be able to grab a good walk with my dog before the storm arrives !,0.216,0.657,0.126,0.463,POS
Indian Rocks beach,0.0,1.0,0.0,0.0,NEU
Thank you,0.714,0.286,0.0,0.3612,POS
great photo,0.804,0.196,0.0,0.6249,POS
"My daughter is in Naples. Just lost power and received tornado alert",0.152,0.69,0.159,-0.0258,NEU
🙏stay safe,0.744,0.256,0.0,0.4404,POS
Thank you ,0.714,0.286,0.0,0.3612,POS
"your welcome I’m from Cape Coral , but know in Zephyhills, , im here 30 years still hate this time of year , take care 🙏",0.208,0.626,0.166,0.0644,POS
"I get so stressed, no matter how prepared I am.
Stay safe",0.377,0.306,0.317,-0.002,NEU
"me too , I live in a mobile home now, it’s really scary , we will be ok 🙏",0.124,0.678,0.197,-0.3167,NEG
Thankyou 🙏,0.0,1.0,0.0,0.0,NEU
"We are still waiting for some of this rain y’all said was coming. Haven’t seen a drop!",0.0,0.862,0.138,-0.3382,NEG
Thank you for the update.,0.385,0.615,0.0,0.3612,POS
