"Outer bands of Debby now moving into our area. Winds could easily gust over 40 mph as these stronger bands move onshore. We're watching for isolated tornadoes today as well, and there's already a tornado warning in Collier Co down to our south. We'll keep you posted all day.",Pos,Neu,Neg,Compound,Overall Sentiment
"Feeling it right now as I sit on my porch in Ellenton. Wind picked up, then passed, can hear the rain coming.",0.07,0.93,0.0,0.128,POS
thanks for posting Kathy. We were concerned about a possible tornado. Hope everyone is well in Ridgewood.,0.378,0.622,0.0,0.7845,POS
"we are okay, I don't sleep well normally so I am kind of use to it, rain, wind bands all night. Seems to have slowed but power flicking on & off is always worrisome, as are tornado warnings. It is 7:30 am seems to be quieting down.",0.029,0.813,0.158,-0.7436,NEG
We both had two text alerts and a phone calls from the collier county for the immediate area. She hid in the bathroom while I took a video outside. That was the area of concern.,0.0,0.957,0.043,-0.1027,NEG
"As always, THE only one to watch for calm forecasting without hype , here in the Tampa area.",0.126,0.874,0.0,0.3182,POS
"Will I be able to mow my lawn at 10:07? Will there be a band in Wesley Chapel? (Sorry, everyone makes that joke but I couldn’t resist)",0.079,0.921,0.0,0.2406,POS
the time to mow was yesterday! lol just sit back and watch the lawn grow now man. Nothing else can be done 🤣,0.128,0.872,0.0,0.4753,POS
"Im within a mile from the gulf in new port Richey, this will be a good test run for the start of the season.",0.121,0.879,0.0,0.4404,POS
how’s the flooding normally in new port richey? We are staying at a air bnb,0.0,1.0,0.0,0.0,NEU
we definitely flood out this way but it also depends what area of NPR. Some areas are high and dry.,0.089,0.911,0.0,0.2144,POS
"We live right by the Cotee River, this is our first hurricane season living in this part of new port Richey so wondering the same!😅",0.0,1.0,0.0,0.0,NEU
me too but a quarter mile from AMI .... Yep I'm gonna use this one to stress less for what's to come later. Hopefully anyways....,0.205,0.676,0.119,0.3919,POS
Stay safe! ☺️,0.615,0.385,0.0,0.4926,POS
"we will. We have voluntary evac.... We are on 2nd level here so we are staying. If it changes to mandatory, my kids and dogs ,and I are out of here as we always do ....",0.037,0.963,0.0,0.0772,POS
you as well 😁,0.512,0.488,0.0,0.2732,POS
And not as bad as first talked about days ago,0.241,0.759,0.0,0.431,POS
That’s a long tail coming our way,0.0,1.0,0.0,0.0,NEU
"I am here in collier county and its over now but heavy rain with wind, stay safe everyone!",0.206,0.794,0.0,0.63,POS
