"A Tornado Warning has been issued for parts of Hardee, Polk until Aug 04 12:30PM. Download the ABC Action News App for the latest weather information.",Pos,Neu,Neg,Compound,Overall Sentiment
I got the dogs tied down and brought the lawn furniture in...did I do this right???,0.0,1.0,0.0,0.0,NEU
Getting pretty soggy in N. Redington Beach @1209,0.314,0.686,0.0,0.4939,POS
"Denis Phillips Riverview.",0.0,1.0,0.0,0.0,NEU
where at in Riverview?,0.0,1.0,0.0,0.0,NEU
this was where you collect the sand bags. I think Larry Park. It was Friday or yesterday while filling the sand bags.,0.0,1.0,0.0,0.0,NEU
Dennis when will Debby be out of Polk county,0.0,1.0,0.0,0.0,NEU
"Denis, is the timeline that was shown yesterday still accurate?",0.0,1.0,0.0,0.0,NEU
"Stay safe from Tennessee",0.492,0.508,0.0,0.4404,POS
what’s it doing now! You guys be safe! Love you,0.49,0.51,0.0,0.8264,POS
Them some scary shades of red 😬,0.0,0.61,0.39,-0.4939,NEG
This was my daughter’s birthday. She had a show.,0.0,1.0,0.0,0.0,NEU
This is getting serious,0.0,0.698,0.302,-0.0772,NEG
TAKE COVER EZEKIEL!!!!,0.0,1.0,0.0,0.0,NEU
