"Afternoon update:
 1. Lots of folks just got a Storm Surge Warning alert. High tides will rise through the afternoon. A surge between 2 and 4 feet seems reasonable in some spots at high tide. 
2. No changes to track. Rain bands will move through the area all day and night. Again, inland gets much less. Total amounts along the coast will be in the 4 to 8 inch range. 
3. Tornado threat with outer bands will continue this afternoon and evening. 
4. As for landfall, the Big Bend area will see Debby move onshore around 8am Monday morning. Winds will be in the 90 mph range. Not as strong as Idalia, but definitely packing a punch. I expect Tallahassee to see winds around 65 mph. 
5. Folks with kids at FSU and FAMU, expect power outages on Monday. With winds of 65-75 mph, there will be trees down in some spots, but the worst will be to the East.
6. Our weather will begin improving on Monday. We'll be on tv all day and updating online as well.",Pos,Neu,Neg,Compound,Overall Sentiment
My pastor shared the 7 rules this morning as part of his message being prepared for the storm (s of life!),0.203,0.797,0.0,0.5562,POS
That’s awesome. Denis Phillips - I hope you see this! You’ve made it to church! ❤️😉,0.387,0.613,0.0,0.8217,POS
got my rule #7 hat.,0.0,1.0,0.0,0.0,NEU
of course you do! 🤣,0.0,1.0,0.0,0.0,NEU
"yes, it was so good. Check it out online - Calvary Chapel St Pete😊",0.369,0.631,0.0,0.7537,POS
can you share them with us?,0.306,0.694,0.0,0.296,POS
https://www.facebook.com/share/v/7nNAxWSd32d4zfe7/?mibextid=WC7FNe,0.0,1.0,0.0,0.0,NEU
I cannot stand hurricane season! It’s only tolerable because I follow you! Thanks for all you do to keep us informed.,0.162,0.838,0.0,0.5399,POS
trade you I'll take my Florida weather and hurricane season again over living in tornado alley and having to deal with devastating tornadoes twice a year during spring and fall. At least with hurricanes there's plenty of time and warning to get prepared and get to a safe area if needed. I live in a very rural country area now and we don't even have storm shelters to keep people safe it's so sad.,0.094,0.782,0.123,-0.5256,NEG
"Thank you, Denis and Team!!!",0.458,0.542,0.0,0.5229,POS
TV? What station? I'm new to area and I was told to follow you for the best weather info. Didn't know you were on tv too! I have antenna and streaming.,0.148,0.852,0.0,0.7052,POS
ABC ch 11 in the Tampa Bay area,0.0,1.0,0.0,0.0,NEU
ABC,0.0,1.0,0.0,0.0,NEU
"it's ABC Action news, and if you have a Roku tv, there's the box right there for ABC Action news. And I'm streaming on my Roku TV as well! Denis Phillips is the best!",0.182,0.818,0.0,0.7835,POS
"I love that you are reporting on the colleges too. Just this morning, an out-of-state mom asked us Florida moms about the storm in one of the college parents' groups. We all told her to follow you.",0.107,0.893,0.0,0.6369,POS
that’s why i follow him! OOS mom of an fsu student that’s supposed to move back tomorrow 😅😅,0.0,1.0,0.0,0.0,NEU
I hope everything works out.,0.492,0.508,0.0,0.4404,POS
OOS mom of UT kiddo!! I got the recommendation from a parent group as well and boy has it calmed my nerves 😬,0.223,0.718,0.059,0.5972,POS
"I'm on the coast in Hudson. High tide was half an hour ago and the water didn't even go over the sea wall. Now, will high tide at 2 am be affected by Debby at all, that is the question...",0.0,0.96,0.04,-0.1531,NEG
You are the best! You're my only Authority for what's going on with the weather!,0.319,0.681,0.0,0.7256,POS
"Thank you for always being straightforward and honest without the hype!",0.404,0.596,0.0,0.7263,POS
Looking at the system on radar it looks like the storm is wabbling East more and more.,0.135,0.865,0.0,0.3612,POS
"Watching from Tally, thanks Denis for covering our area.",0.266,0.734,0.0,0.4404,POS
Hanging out in dunedin area,0.0,1.0,0.0,0.0,NEU
"have you played Uno All wild or Uno Flip? So much fun!!!",0.407,0.593,0.0,0.7817,POS
get Uno Blast! So much fun 😁 😂,0.436,0.564,0.0,0.5954,POS
just learned how to play skip-bo,0.324,0.676,0.0,0.34,POS
we used to play skip bo junior with our kid. I need to learn the normal version.,0.138,0.862,0.0,0.34,POS
oh Skip Bo is fun too!👍,0.418,0.582,0.0,0.5562,POS
"this and we enjoy Left, Right & Center too. (Dice game)",0.262,0.738,0.0,0.4939,POS
"UNO! Haven’t seen that since college.",0.0,1.0,0.0,0.0,NEU
"Thank you for updating us as often as you do. You are the best, most thorough and easily understood meteorologist in our area. No drama, just the facts. Thank you!",0.309,0.635,0.056,0.8737,POS
Denise thank you for presenting the facts without all the hype. Many people my age 75 and older are panicking. I’m a native so this isn’t my first rodeo. I live on the water in Homosassa. Why they post things like life threatening talk surge for citrus scares the elderly.,0.088,0.758,0.153,-0.5719,NEG
they keep crying wolf and wonder why people don’t heed warnings when they really need to.,0.0,0.725,0.275,-0.6486,NEG
We're still on Margaritaville at Sea heading back to Tampa. They held us a little above Cozumel all day yesterday only going 8 mph. Beautiful day but today it's rainy and rocky. Supposed to dock at 6:45 am tomorrow. The big question is will we be able to get under the Sunshine Skyway Bridge due to storm surge 🤔,0.11,0.866,0.024,0.743,POS
I thought I saw where the Port was closed and will have to come in to Port tomorrow,0.0,1.0,0.0,0.0,NEU
yes supposed to come in at 6:45 am tomorrow because they are closed today. Originally we were supposed to dock this morning.,0.114,0.886,0.0,0.4019,POS
great question???,0.823,0.177,0.0,0.6848,POS
s it safe to drive over bridge from Tampa to Clearwater tomorrow?,0.225,0.775,0.0,0.4404,POS
Oh our bay outback in Cortez is almost coming to our bottom porch lol.... Hasn't stopped raining yet since early am .... Winds are gusting pretty strong too . Thx for the updates all throughout this season,0.25,0.75,0.0,0.8647,POS
Stay safe. Hope your house doesn’t flood.,0.537,0.463,0.0,0.7003,POS
it has never entered thankfully but stops shy of a couple inches. Fingers crossed we are lucky again. Thank u,0.267,0.5,0.233,0.4374,POS
🙏🏻 it will pass you by. The water in Lake Tarpon tonight is very very high. We are ok but neighbors are lower and closer to the water. We hope your farm will be ok.,0.196,0.737,0.067,0.6652,POS
Once this moves further north/northeast...Will it get weaker or stronger through the week...total novice here from UK....we supposed tk fly Wednesday but from past experience we fly down that coast😬🫣 love all these updates!,0.193,0.759,0.048,0.7871,POS
"and if there’s still some storm by the Carolina’s, they’ll change the flight path to go around.
Love Edinburgh. Enjoy Orlando!",0.288,0.712,0.0,0.8268,POS
gets weaker as it goes over land. You will be fine flying in on Wednesday. Enjoy your visit!,0.228,0.647,0.125,0.3382,POS
🤞 thank you we are very excited! Xx,0.523,0.477,0.0,0.6689,POS
"Thank you Denis. I moved to Marion County, so all of my news comes out of Orlando now and I’m not a fan lol. The only way I can follow you is via Facebook and the app, but I haven’t seen you on there yet.",0.041,0.886,0.073,-0.102,NEG
he can't get on soon enough. Some of the current crew seem to be having trouble with words.,0.0,0.863,0.137,-0.4019,NEG
Manasota Key right now,0.0,1.0,0.0,0.0,NEU
Thanks Pam for sending this ground report,0.326,0.674,0.0,0.4404,POS
what county is this,0.0,1.0,0.0,0.0,NEU
"Charlotte County",0.0,1.0,0.0,0.0,NEU
"stay safe",0.744,0.256,0.0,0.4404,POS
it's just inside Charlotte County on the southernmost part of the key,0.0,1.0,0.0,0.0,NEU
oh my!,0.0,1.0,0.0,0.0,NEU
"Thank you for reporting for FSU parents! Watching and hoping they don't take a hit!",0.329,0.671,0.0,0.7081,POS
Really wish that the banner would not cover up the days that it's going to hit in the map. You can see Monday then it jumps to thursday. Maybe you can talk to somebody about that LOL,0.157,0.843,0.0,0.7598,POS
I need to drive from Lakeland to Davenport tomorrow morning. I’m leaving at 8:30. Anyone have an opinion about how bad the weather might be. Looks to me like some rain and wind but nothing major. Am I underestimating or should it be fine?,0.087,0.863,0.05,0.1779,POS
Second rain band coming through Clearwater area again. This one is a bit stronger with the winds the rain is now going sideways.,0.11,0.89,0.0,0.3818,POS
"Denis Phillips, my Sarasota residing-sister Elizabeth insisted I follow you here so that I might be better informed (and panic less!) about her and the rest of my beloved family down there. Both jobs accomplished! She was not wrong, you are as delightful, charming, calm, and reassuring as you are smart! Thanks for treating us like we are part of your family!! This Philadelphian is a huge fan!",0.412,0.552,0.036,0.9859,POS
Thanks Dennis for the updates and getting us accurate info.,0.244,0.756,0.0,0.4404,POS
"Welp, it looks like this didn’t happen…. It’s currently covering the whole state and to think I was gonna do some yard work today 😝",0.102,0.898,0.0,0.3612,POS
So she's almost a hurricane now. Right outside of Tampa bay?,0.0,1.0,0.0,0.0,NEU
"Denis we all appreciate you.
Yes it is your job we know this.
You go way above and beyond your call. Only if more of us were as passionate and caring about our jobs as your are.",0.267,0.733,0.0,0.9001,POS
Just what does it take to close the bridges?? High tide @2-3PM makes crossing Howard Frankland too risky!,0.0,0.874,0.126,-0.351,NEG
"we were talking about how people get alerted if the skyway gets closed. Is there a website for national weather service, Highway Patrol or some other place to check? Just curious. ",0.073,0.927,0.0,0.3182,POS
thank you ! Muah!,0.865,0.135,0.0,0.7494,POS
